"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aghar Balian","","","","","1","1","196","110","86","56.12"
"Aghar Jitoo","","","","","1","6","155","45","110","29.03"
"Akhli","","","","","1","1","70","40","30","57.14"
"Alyah","","","","","1","1","159","80","79","50.31"
"Anji","","","","","1","1","55","30","25","54.55"
"Arhbais","","","","","1","2","220","98","122","44.55"
"Arli Hansali","","","","","1","5","77","51","26","66.23"
"Arnas","","","","","1","1","125","75","50","60.00"
"Atrana Kot","","","","","1","1","34","0","34","0.00"
"Baddar","","","","","1","8","290","85","205","29.31"
"Bakal","","","","","1","1","85","60","25","70.59"
"Balda","","","","","1","8","58","23","35","39.66"
"Baldhanoon","","","","","1","3","147","46","101","31.29"
"Bamlia","","","","","1","1","3","1","2","33.33"
"Bana","","","","","1","3","60","0","60","0.00"
"Bandhar","","","","","1","1","119","0","119","0.00"
"Batan","","","","","1","1","139","90","49","64.75"
"Bathoie","","","","","1","4","152","0","152","0.00"
"Bayoolian","","","","","1","2","592","420","172","70.95"
"Berigalah","","","","","1","1","31","11","20","35.48"
"Bhabar Brahmana","","","","","1","14","280","101","179","36.07"
"Bhabar Rosyalan","","","","","1","3","250","246","4","98.40"
"Bhaga","","","","","1","2","868","578","290","66.59"
"Bhagan Kot","","","","","1","8","259","73","186","28.19"
"Bhagate Jagir","","","","","1","1","70","50","20","71.43"
"Bhagate Khalsa","","","","","1","3","95","95","0","100.00"
"Bhagta","","","","","1","12","159","119","40","74.84"
"Bhambla","","","","","1","1","112","112","0","100.00"
"Bhangal","","","","","1","4","237","206","31","86.92"
"Bharakh","","","","","1","2","508","372","136","73.23"
"Bharneli","","","","","1","1","90","40","50","44.44"
"Bhransal (Bharasal)","1","0","0","1","1","3","64","0","64","0.00"
"Bidha","","","","","1","4","245","113","132","46.12"
"Biji Pur","","","","","1","1","144","100","44","69.44"
"Budhan","","","","","1","10","14496","3706","10790","25.57"
"Chak Bhagta","","","","","1","1","103","103","0","100.00"
"Chakal Hawalan","","","","","1","1","172","0","172","0.00"
"Chakal Saltha","","","","","1","2","87","42","45","48.28"
"Chaklas","","","","","1","5","600","232","368","38.67"
"Chamyara","","","","","1","1","55","30","25","54.55"
"Chana","","","","","1","3","139","80","59","57.55"
"Chandial Kot","1","1","0","0","1","2","90","34","56","37.78"
"Chandwa","","","","","1","1","190","190","0","100.00"
"Chankah","","","","","1","8","132","42","90","31.82"
"Charala Kot","","","","","1","6","175","0","175","0.00"
"Chassana","","","","","1","2","819","702","117","85.71"
"Chassot","","","","","1","3","125","0","125","0.00"
"Chaurakot","","","","","1","9","104","54","50","51.92"
"Chhandi","","","","","1","9","135","21","114","15.56"
"Chhapanoou","","","","","1","2","286","194","92","67.83"
"Chhitar","","","","","1","2","45","35","10","77.78"
"Chilad","","","","","1","2","576","454","122","78.82"
"Dab Jagir","","","","","1","2","53","40","13","75.47"
"Dab Khalsa","","","","","1","1","10","7","3","70.00"
"Dadooa","","","","","1","2","209","140","69","66.99"
"Dandakot","","","","","1","2","111","0","111","0.00"
"Danga Kot","","","","","1","6","265","10","255","3.77"
"Daroon","","","","","1","1","57","42","15","73.68"
"Dayoota (Bayoota)","","","","","1","3","44","0","44","0.00"
"Dehyarhi","","","","","1","2","66","53","13","80.30"
"Dera Baba Bandha","","","","","1","12","47","0","47","0.00"
"Devi Garh","","","","","1","7","337","27","310","8.01"
"Dewal","1","0","0","1","1","6","369","0","369","0.00"
"Dhaki Kote","1","0","0","1","1","5","243","0","243","0.00"
"Dhalyoot","","","","","1","1","103","0","103","0.00"
"Dhalyoot (Dehote)","","","","","1","1","103","70","33","67.96"
"Dhanorh","1","0","0","1","1","3","416","145","271","34.86"
"Dhansal","","","","","1","1","358","0","358","0.00"
"Dhanwan","","","","","1","3","98","98","0","100.00"
"Dhar Vishnu Devi","","","","","1","1","15","15","0","100.00"
