"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abtal Katlan","","","","","1","1","92","90","2","97.83"
"Amli","","","","","1","4","299","194","105","64.88"
"Amwal","","","","","1","1","93","93","0","100.00"
"Anand Pur","","","","","1","8","894","834","60","93.29"
"Anmbala (Ammbala)","","","","","1","1","66","66","0","100.00"
"Badali","","","","","1","1","104","104","0","100.00"
"Badheri","","","","","1","3","128","49","79","38.28"
"Badhwal","","","","","1","2","178","175","3","98.31"
"Badiyal","","","","","1","1","70","70","0","100.00"
"Badla Brahmana","","","","","1","22","1053","689","364","65.43"
"Badla Denonion(Badla Deoniyar)","","","","","1","1","47","47","0","100.00"
"Bagla","","","","","1","1","475","475","0","100.00"
"Bagun","","","","","1","1","44","44","0","100.00"
"Baila Monhar (Un-inhabited)","","","","","1","1","5","0","5","0.00"
"Baila Samba","","","","","1","1","31","31","0","100.00"
"Bain","","","","","1","1","128","128","0","100.00"
"Bajawati","","","","","1","1","31","31","0","100.00"
"Bajpur","","","","","1","1","384","384","0","100.00"
"Baletar","","","","","1","4","451","306","145","67.85"
"Balooni","","","","","1","1","129","129","0","100.00"
"Balori","","","","","1","12","1722","1532","190","88.97"
"Balour","","","","","1","1","118","87","31","73.73"
"Bapanir Garh","","","","","1","1","97","67","30","69.07"
"Bara","","","","","1","7","343","234","109","68.22"
"Bardon","","","","","1","1","96","56","40","58.33"
"Bari Kamlia (Bari Kamila)","","","","","1","1","124","121","3","97.58"
"Barota","","","","","1","2","10","10","0","100.00"
"Basi Khurd","","","","","1","1","99","65","34","65.66"
"Bathal","","","","","1","1","60","56","4","93.33"
"Bedi","","","","","1","1","47","44","3","93.62"
"Beli","","","","","1","1","47","43","4","91.49"
"Bhakri","","","","","1","3","359","359","0","100.00"
"Bhaloora","","","","","1","1","198","198","0","100.00"
"Bhangdor","","","","","1","7","542","531","11","97.97"
"Bhangwal","","","","","1","1","203","162","41","79.80"
"Bharath Gar","","","","","1","6","241","179","62","74.27"
"Bhatiari Katlan","","","","","1","1","183","183","0","100.00"
"Bhekari (Pekhari)","","","","","1","4","579","561","18","96.89"
"Bhoran","","","","","1","1","44","8","36","18.18"
"Bian","","","","","1","1","61","61","0","100.00"
"Bijeypur (Un-inhabited)","","","","","1","1","5","5","0","100.00"
"Bindral","","","","","1","1","164","162","2","98.78"
"Birpur (CT)","","","","","1","8","1098","886","212","80.69"
"Budwana","","","","","1","1","56","56","0","100.00"
"Burj Sheru","","","","","1","1","87","62","25","71.26"
"Chachwal","","","","","1","2","135","135","0","100.00"
"Chak Baglan","","","","","1","2","172","120","52","69.77"
"Chak Bakain Kani","","","","","1","1","79","43","36","54.43"
"Chak Balotriyan","","","","","1","1","120","88","32","73.33"
"Chak Bamu (Un-inhabited)","","","","","1","1","52","48","4","92.31"
"Chak Banan","","","","","1","1","60","60","0","100.00"
"Chak Bhagta","","","","","1","1","73","73","0","100.00"
"Chak Bhimbo","","","","","1","1","67","64","3","95.52"
"Chak Chaban Kalan (Chak Chaba Kalan)","","","","","1","1","121","99","22","81.82"
"Chak Chaban Khurd (Chak Chaba Khurd)","","","","","1","1","116","94","22","81.03"
"Chak Chataka","","","","","1","1","152","132","20","86.84"
"Chak Daulat","","","","","1","1","131","130","1","99.24"
"Chak Deesa Dohlian Gujran","","","","","1","1","28","28","0","100.00"
"Chak Dewan Bhimsain (Un-inhabited)","","","","","1","1","29","26","3","89.66"
"Chak Dulma","","","","","1","1","87","87","0","100.00"
"Chak Dyla","","","","","1","1","52","14","38","26.92"
"Chak Faqira","","","","","1","1","53","27","26","50.94"
"Chak Girdhari","","","","","1","1","26","26","0","100.00"
"Chak Goran","","","","","1","1","61","61","0","100.00"
"Chak Harkha (Un-inhabited)","","","","","1","1","24","4","20","16.67"
"Chak Hiran","","","","","1","1","145","123","22","84.83"
"Chak Jangi","","","","","1","1","40","40","0","100.00"
"Chak Jasu","","","","","1","1","27","27","0","100.00"
"Chak Jawahir","","","","","1","1","69","56","13","81.16"
"Chak Jawahir Singh","","","","","1","1","52","50","2","96.15"
"Chak Jhanda Singh","","","","","1","1","47","46","1","97.87"
"Chak Katlan","","","","","1","1","19","18","1","94.74"
"Chak Khod Singh","","","","","1","1","92","92","0","100.00"
"Chak Khokhron","","","","","1","1","56","56","0","100.00"
"Chak Lala","","","","","1","1","52","52","0","100.00"
"Chak Mahanga Gojar","","","","","1","1","82","82","0","100.00"
"Chak Mahtab Singh","","","","","1","1","48","48","0","100.00"
"Chak Manga Rakwal","","","","","1","2","530","471","59","88.87"
"Chak Medu Basotra","","","","","1","1","49","49","0","100.00"
"Chak Medusadralia","","","","","1","1","63","60","3","95.24"
"Chak Nanak","","","","","1","1","208","167","41","80.29"
"Chak Nazir","","","","","1","1","134","105","29","78.36"
"Chak Rakwala","","","","","1","1","10","9","1","90.00"
"Chak Sadda","","","","","1","1","134","134","0","100.00"
"Chak Salarian","","","","","1","4","332","332","0","100.00"
"Chak Salarian","","","","","1","1","64","48","16","75.00"
"Chak Shaman","","","","","1","1","38","20","18","52.63"
"Chamblyal (Un-inhabited)","","","","","1","1","86","86","0","100.00"
"Chan Matlani","","","","","1","1","220","220","0","100.00"
"Chandli","","","","","1","4","167","158","9","94.61"
"Chani Mansar","","","","","1","1","69","69","0","100.00"
"Chanori","","","","","1","1","62","24","38","38.71"
"Chhajwal","","","","","1","1","317","307","10","96.85"
"Chhan Kahna","","","","","1","1","44","44","0","100.00"
"Chhan Malagar","","","","","1","1","61","61","0","100.00"
"Chhan Prohtan","","","","","1","1","61","61","0","100.00"
"Chhani Jasu","","","","","1","1","87","87","0","100.00"
"Chhani Manhassan","","","","","1","1","178","174","4","97.75"
"Chhni Fatwal","","","","","1","1","234","234","0","100.00"
"Dabeka","","","","","1","1","77","45","32","58.44"
"Daboh","","","","","1","1","159","159","0","100.00"
"Dabooj Shahzada","","","","","1","1","96","75","21","78.13"
"Daghor","","","","","1","6","581","437","144","75.22"
"Darui (Daroyee)","","","","","1","1","188","188","0","100.00"
"Deawan","","","","","1","9","429","224","205","52.21"
"Dergarh","","","","","1","1","23","23","0","100.00"
"Devoj Kaka","","","","","1","2","240","203","37","84.58"
"Dhalout","","","","","1","1","22","22","0","100.00"
"Dhantah","","","","","1","3","248","248","0","100.00"
"Dhorah","","","","","1","1","51","51","0","100.00"
"Dhupsaddi","","","","","1","3","184","184","0","100.00"
"Douniyan","","","","","1","1","182","182","0","100.00"
"Dudyal","","","","","1","2","116","113","3","97.41"
"Dwal","","","","","1","1","47","47","0","100.00"
"Gadwal","","","","","1","3","471","453","18","96.18"
"Gahani Alna","","","","","1","1","47","47","0","100.00"
"Galahad","","","","","1","1","40","40","0","100.00"
"Galwal","","","","","1","1","174","173","1","99.43"
"Gangith","","","","","1","1","51","51","0","100.00"
"Gawal Chorah","","","","","1","1","25","25","0","100.00"
"Ghagour","","","","","1","1","379","323","56","85.22"
"Ghagwal","","","","","1","2","317","317","0","100.00"
"Ghobarahmana","","","","","1","2","367","341","26","92.92"
"Ghomanhassan","","","","","1","1","103","87","16","84.47"
"Ghorakhwalan","","","","","1","2","324","321","3","99.07"
"Gogar","","","","","1","1","379","379","0","100.00"
"Gopwal","","","","","1","1","72","40","32","55.56"
"Goran","","","","","1","17","1068","906","162","84.83"
"Gurah Jattan","","","","","1","4","293","293","0","100.00"
"Harsaath","","","","","1","3","561","561","0","100.00"
"Irazi Samba","","","","","1","1","438","438","0","100.00"
"Jamudah","","","","","1","1","59","56","3","94.92"
"Jar Jareialy (Un-inhabited)","","","","","1","1","130","126","4","96.92"
"Jar Mananu (Un-inhabited)","","","","","1","1","180","175","5","97.22"
"Jar Mutan","","","","","1","1","9","9","0","100.00"
"Jarh Sarwa","","","","","1","1","6","6","0","100.00"
"Jarhabtal","","","","","1","1","104","12","92","11.54"
"Jasaath","","","","","1","3","231","231","0","100.00"
"Jatah","","","","","1","1","28","28","0","100.00"
"Jatwal","","","","","1","7","293","293","0","100.00"
"Jed","","","","","1","3","108","108","0","100.00"
"Jerdah","","","","","1","4","767","724","43","94.39"
"Jhalyari Kalan","","","","","1","1","130","130","0","100.00"
"Jhalyari Khurd","","","","","1","1","60","60","0","100.00"
"Jhang","","","","","1","2","356","356","0","100.00"
"Jhumikan (Jhumian)","","","","","1","1","43","43","0","100.00"
