"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abal Wanah","","","","","1","2","67","48","19","71.64"
"Adijan Adwan","","","","","1","4","162","118","44","72.84"
"Adora Ram Pathri","","","","","1","1","69","48","21","69.57"
"Adva","","","","","1","1","47","24","23","51.06"
"Aglar","","","","","1","3","78","43","35","55.13"
"Aglar Charat","","","","","1","2","522","304","218","58.24"
"Ahagam","","","","","1","2","90","60","30","66.67"
"Ali Shah Pora","","","","","1","1","30","29","1","96.67"
"Aloorah","","","","","1","2","173","169","4","97.69"
"Amer Bogh","","","","","1","1","56","55","1","98.21"
"Amshi Pora","","","","","1","6","268","233","35","86.94"
"Arahama","","","","","1","4","168","113","55","67.26"
"Ari Pora","","","","","1","1","70","58","12","82.86"
"Awind","","","","","1","1","124","96","28","77.42"
"Awnera","","","","","1","5","596","521","75","87.42"
"Baba Pora","","","","","1","4","316","257","59","81.33"
"Badi Gam","","","","","1","1","77","57","20","74.03"
"Badi Marg","","","","","1","1","73","45","28","61.64"
"Bagh -I -Hari Pora","","","","","1","1","50","49","1","98.00"
"Balah Pora","","","","","1","2","229","201","28","87.77"
"Bandah Paho","","","","","1","2","108","65","43","60.19"
"Barah Bugh","","","","","1","7","292","182","110","62.33"
"Barthi Pora","","","","","1","6","532","375","157","70.49"
"Baskochan","","","","","1","2","71","55","16","77.46"
"Bata Pora Niladang","","","","","1","1","61","37","24","60.66"
"Bimini Pora","","","","","1","2","154","115","39","74.68"
"Brari Pora","","","","","1","1","78","45","33","57.69"
"Brari Porah Pala Pora","","","","","1","1","39","35","4","89.74"
"Buta Maran Wanpora","","","","","1","4","288","223","65","77.43"
"Chak -I -Aziz Shah","","","","","1","1","12","12","0","100.00"
"Chaki - Hakim Baqar","","","","","1","1","36","36","0","100.00"
"Chaki Cholend","","","","","1","3","255","189","66","74.12"
"Chaki Diyaro","","","","","1","1","50","32","18","64.00"
"Chaki Sidiq Khan","","","","","1","1","92","90","2","97.83"
"Chaki- Shamshi Pora","","","","","1","3","64","64","0","100.00"
"Chako","","","","","1","2","77","55","22","71.43"
"Chakorah","","","","","1","2","246","156","90","63.41"
"Chal Gund","","","","","1","1","27","10","17","37.04"
"Chanchawar","","","","","1","1","11","10","1","90.91"
"Chater Wosh","","","","","1","1","92","69","23","75.00"
"Chatri Pora","","","","","1","3","145","137","8","94.48"
"Chawan","","","","","1","6","386","314","72","81.35"
"Chedran","","","","","1","2","100","68","32","68.00"
"Chera Marg","","","","","1","1","171","170","1","99.42"
"Chidvi Pora","","","","","1","1","32","31","1","96.88"
"Chilli Pora","","","","","1","1","45","32","13","71.11"
"Chitra Gam","","","","","1","5","457","321","136","70.24"
"Chitra Gam","","","","","1","2","156","138","18","88.46"
"Chode Gam","","","","","1","1","109","107","2","98.17"
"Choti Pora","","","","","1","5","95","41","54","43.16"
"Chowdari Gund","","","","","1","1","60","48","12","80.00"
"Chowgam","","","","","1","1","110","95","15","86.36"
"Dagah Pora","","","","","1","1","52","38","14","73.08"
"Dangam","","","","","1","1","124","103","21","83.06"
"Dangar Pora","","","","","1","1","124","101","23","81.45"
"Daram Dore","","","","","1","1","152","125","27","82.24"
"Dashi Pora","","","","","1","1","115","100","15","86.96"
"Dasso","","","","","1","1","187","145","42","77.54"
"Day Gam","","","","","1","3","168","123","45","73.21"
"Dev Pora (Forest Block)","","","","","1","24","1616","792","824","49.01"
"Diyaroo","","","","","1","4","173","118","55","68.21"
"Dobi Pora","","","","","1","1","62","42","20","67.74"
"Dom Pora","","","","","1","2","85","56","29","65.88"
"Doma Wani","","","","","1","1","49","35","14","71.43"
"Drager","","","","","1","1","49","32","17","65.31"
"Drawni","","","","","1","1","82","62","20","75.61"
"Dreri Kali Pora","","","","","1","4","420","369","51","87.86"
"Durah Pora","","","","","1","2","138","112","26","81.16"
"Feri Pora","","","","","1","3","124","93","31","75.00"
"Gada Pora","","","","","1","2","137","108","29","78.83"
"Gadhi Pora","","","","","1","2","151","94","57","62.25"
"Gagren","","","","","1","2","304","262","42","86.18"
"Gahend","","","","","1","2","81","52","29","64.20"
"Gano Pora","","","","","1","4","213","166","47","77.93"
"Gano Pora Arash","","","","","1","4","189","134","55","70.90"
"Goti Pora","","","","","1","4","411","84","327","20.44"
"Gund - I- Darvesh","","","","","1","2","115","92","23","80.00"
"Gund -I- Uwan","","","","","1","1","26","24","2","92.31"
"Gund -I-Hado","","","","","1","2","273","234","39","85.71"
"Habdi Pora","","","","","1","1","45","31","14","68.89"
"Haider Gund","","","","","1","1","108","101","7","93.52"
"Haji Pora","","","","","1","1","64","50","14","78.13"
"Halow Pora","","","","","1","1","49","33","16","67.35"
"Hamhonala","","","","","1","2","190","164","26","86.32"
"Hanji Pora","","","","","1","1","95","92","3","96.84"
"Hardo Nagisheran","","","","","1","2","136","102","34","75.00"
"Hardo Pandove","","","","","1","2","293","271","22","92.49"
"Hari Pora","","","","","1","1","50","36","14","72.00"
"Hef- Kuri","","","","","1","1","102","102","0","100.00"
"Heff","","","","","1","3","310","279","31","90.00"
"Hei Pora Bata Gund","","","","","1","4","174","107","67","61.49"
"Herman","","","","","1","3","513","430","83","83.82"
"Hillow Gun-I-Murid","","","","","1","2","155","153","2","98.71"
"Hind Sita Pora","","","","","1","3","156","115","41","73.72"
"Hir Pora","","","","","1","13","1468","1251","217","85.22"
"Hoshang Pora","","","","","1","1","101","87","14","86.14"
"Jampathri","","","","","1","4","385","331","54","85.97"
"Kach Dorah","","","","","1","3","250","208","42","83.20"
"Kani Gam","","","","","1","1","131","100","31","76.34"
"Kani Hama","","","","","1","1","73","73","0","100.00"
"Kani Pora","","","","","1","1","85","69","16","81.18"
"Kani Pora","","","","","1","3","137","115","22","83.94"
"Kanjiuler","","","","","1","4","193","144","49","74.61"
