"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Amara","","","","","1","1","34","34","0","100.00"
"Amwara","","","","","1","5","119","61","58","51.26"
"Bachhal","","","","","1","3","82","45","37","54.88"
"Bachhal Jattan","","","","","1","1","12","12","0","100.00"
"Badhole","","","","","1","4","122","122","0","100.00"
"Badhota","1","1","0","0","1","15","302","0","302","0.00"
"Bain","","","","","1","2","42","24","18","57.14"
"Bainsta","","","","","1","2","85","85","0","100.00"
"Baland","","","","","1","4","114","114","0","100.00"
"Bali","","","","","1","4","151","126","25","83.44"
"Balian","","","","","1","5","405","373","32","92.10"
"Bant","","","","","1","1","26","15","11","57.69"
"Bap","","","","","1","5","179","116","63","64.80"
"Bapanir Garh","","","","","1","1","27","27","0","100.00"
"Bari","","","","","1","3","79","79","0","100.00"
"Barial","","","","","1","1","12","12","0","100.00"
"Baririan","","","","","1","2","36","36","0","100.00"
"Barola","","","","","1","3","85","85","0","100.00"
"Barta","","","","","1","3","84","84","0","100.00"
"Basan","","","","","1","1","24","12","12","50.00"
"Basant Garh","","","","","1","6","232","192","40","82.76"
"Bashat","","","","","1","1","35","22","13","62.86"
"Bashti","","","","","1","1","20","20","0","100.00"
"Basnot","","","","","1","2","30","0","30","0.00"
"Batna","","","","","1","1","21","21","0","100.00"
"Battal","","","","","1","5","555","522","33","94.05"
"Beernoo","","","","","1","2","58","58","0","100.00"
"Beli","","","","","1","2","78","69","9","88.46"
"Beraliata Sawana Banj","","","","","1","6","255","90","165","35.29"
"Beraltha","","","","","1","2","48","48","0","100.00"
"Bermean","","","","","1","3","81","74","7","91.36"
"Bhag Pur","","","","","1","3","135","76","59","56.30"
"Bhati Badighar","","","","","1","2","54","54","0","100.00"
"Bhatiari","","","","","1","3","82","82","0","100.00"
"Bheela Jagir","","","","","1","2","52","26","26","50.00"
"Bhugtharian","","","","","1","4","130","130","0","100.00"
"Bindla","","","","","1","1","34","17","17","50.00"
"Blas Pur","","","","","1","2","105","105","0","100.00"
"Blotha Chagla","","","","","1","3","78","52","26","66.67"
"Blotha Uppralla","","","","","1","4","123","99","24","80.49"
"Bobay","","","","","1","5","104","104","0","100.00"
"Brey","","","","","1","1","21","21","0","100.00"
