"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Bokaro","68","68","0","0","612","3858","249295","142236","107059","57.06"
"Chatra","340","241","10","89","1375","6092","208258","89769","118489","43.10"
"Deoghar","49","49","0","0","2356","8992","260416","177072","83344","68.00"
"Dhanbad","74","74","0","0","1079","2905","241814","85994","155820","35.56"
"Dumka","6","4","2","0","2693","7498","309651","183511","126140","59.26"
"Garhwa","158","135","8","15","843","3893","248061","44709","203352","18.02"
"Giridih","187","182","5","0","2559","6403","421209","149892","271317","35.59"
"Godda","1","1","0","0","1692","5691","251167","143102","108065","56.97"
"Gumla","60","37","0","23","943","2815","181165","88172","92993","48.67"
"Hazaribagh","43","23","0","20","1192","5384","312718","112008","200710","35.82"
"Jamtara","3","3","0","0","1082","5418","152890","84941","67949","55.56"
"Khunti","126","124","1","1","753","1901","113529","45720","67809","40.27"
"Koderma","47","40","7","0","577","1003","102807","47580","55227","46.28"
"Latehar","200","133","2","65","750","3258","139984","90139","49845","64.39"
"Lohardaga","86","40","1","45","352","1371","92408","36407","56001","39.40"
"Pakaur","46","29","0","17","1141","3635","183001","86606","96395","47.33"
"Palamu","409","398","9","2","1712","6459","329376","68620","260756","20.83"
"Pashchimi Singhbhum","347","224","1","122","1643","8998","288620","105190","183430","36.45"
"Purbi Singhbhum","22","22","0","0","1611","6629","225536","120569","104967","53.46"
"Ramgarh","11","10","1","0","305","998","131707","50478","81229","38.33"
"Ranchi","102","92","9","1","1298","4909","425166","155675","269491","36.62"
"Sahibganj","43","1","0","42","1353","2896","203674","103159","100515","50.65"
"Sarikela-Kharswana","54","53","0","1","1146","4616","244471","118647","125824","48.53"
"Simdega","43","37","0","6","449","1386","149983","61182","88801","40.79"
"Total","2,525","2,020","56","449","29,516","1,07,008","54,66,906","23,91,378","30,75,528",""
