"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abra","","","","","1","1","8","2","6","25.00"
"Achaiya","","","","","1","1","54","26","28","48.15"
"Adamdi","","","","","1","6","215","111","104","51.63"
"Adarkunri","1","1","0","0","1","14","351","134","217","38.18"
"Agardi","1","1","0","0","1","11","218","67","151","30.73"
"Ahardih","","","","","1","7","809","414","395","51.17"
"Aiyar","","","","","1","5","522","264","258","50.57"
"Alargo","","","","","1","5","771","396","375","51.36"
"Alkusa","","","","","1","22","483","207","276","42.86"
"Aluara","","","","","1","12","500","338","162","67.60"
"Amadi","","","","","1","6","810","415","395","51.23"
"Amainagar","1","1","0","0","1","8","137","12","125","8.76"
"Ambadih","","","","","1","2","54","27","27","50.00"
"Ambadih","","","","","1","4","296","223","73","75.34"
"Ambatanr","","","","","1","1","48","23","25","47.92"
"Amdiha","","","","","1","13","704","401","303","56.96"
"Amdiha","","","","","1","7","589","327","262","55.52"
"Amdiha","","","","","1","22","853","379","474","44.43"
"Amjhar","","","","","1","3","63","38","25","60.32"
"Amuramu","1","1","0","0","1","6","105","0","105","0.00"
"Andhartairya","","","","","1","12","886","504","382","56.88"
"Angwali","","","","","1","14","1548","1256","292","81.14"
"Ara Saram","","","","","1","6","289","141","148","48.79"
"Araju","1","1","0","0","1","16","672","537","135","79.91"
"Araldih","","","","","1","2","491","257","234","52.34"
"Arari","","","","","1","1","89","81","8","91.01"
"Argamno","1","1","0","0","1","5","309","253","56","81.88"
"Arita","","","","","1","17","948","583","365","61.50"
"Arjua","","","","","1","8","606","303","303","50.00"
"Armo","","","","","1","7","430","219","211","50.93"
"Asanbani","","","","","1","8","492","299","193","60.77"
"Asanshol","","","","","1","9","384","225","159","58.59"
"Ashudi","","","","","1","1","37","14","23","37.84"
"Babudi","","","","","1","22","1720","981","739","57.03"
"Babuigor","1","1","0","0","1","14","360","170","190","47.22"
"Badhadi","","","","","1","9","358","217","141","60.61"
"Bagda","","","","","1","6","329","235","94","71.43"
"Baghjobra","","","","","1","1","8","2","6","25.00"
"Baghraiya","","","","","1","1","8","2","6","25.00"
"Bagiari","","","","","1","5","247","166","81","67.21"
"Bahadurpur","","","","","1","1","423","328","95","77.54"
"Bahadurpur","","","","","1","9","317","225","92","70.98"
"Bakaspura","","","","","1","1","145","88","57","60.69"
"Balia","","","","","1","1","51","24","27","47.06"
"Balrampur","","","","","1","3","226","132","94","58.41"
"Bamundanrika","","","","","1","7","376","252","124","67.02"
"Banchas","","","","","1","4","331","270","61","81.57"
"Banchatra","","","","","1","6","221","113","108","51.13"
"Bandhdi","","","","","1","13","535","267","268","49.91"
"Bandhdih","","","","","1","11","1254","321","933","25.60"
"Bandhpur","","","","","1","1","8","2","6","25.00"
"Bandiha","","","","","1","1","13","4","9","30.77"
"Bandio","","","","","1","6","576","291","285","50.52"
"Banga","","","","","1","4","204","147","57","72.06"
"Bangaria","","","","","1","8","320","191","129","59.69"
"Bansa","","","","","1","3","87","50","37","57.47"
"Banshara","","","","","1","3","105","77","28","73.33"
"Banshgari","","","","","1","5","195","139","56","71.28"
"Banshtora","","","","","1","13","1089","570","519","52.34"
"Bansi","","","","","1","7","266","165","101","62.03"
"Baradi","","","","","1","5","612","314","298","51.31"
"Baradih","","","","","1","5","862","444","418","51.51"
"Baradih","","","","","1","2","692","343","349","49.57"
"Barai","","","","","1","8","503","383","120","76.14"
"Barai  Kalan","","","","","1","6","355","222","133","62.54"
"Barai Khurd","","","","","1","2","79","51","28","64.56"
"Barajor","","","","","1","14","811","512","299","63.13"
"Baramasia","","","","","1","2","296","208","88","70.27"
"Baramesya","1","1","0","0","1","11","253","185","68","73.12"
"Barda","","","","","1","8","308","221","87","71.75"
"Baridari","","","","","1","6","313","150","163","47.92"
"Baridih","1","1","0","0","1","4","95","72","23","75.79"
"Barishabad","","","","","1","2","99","76","23","76.77"
"Barka Murpa","","","","","1","1","8","2","6","25.00"
"Barkama","","","","","1","13","889","458","431","51.52"
"Barki Kuri","","","","","1","5","269","136","133","50.56"
"Barki Sidhabara","","","","","1","4","245","120","125","48.98"
"Barkichidri","","","","","1","6","304","246","58","80.92"
"Barkipunu","1","1","0","0","1","13","874","709","165","81.12"
"Barmasia","","","","","1","3","93","47","46","50.54"
"Barpokharia","","","","","1","6","479","307","172","64.09"
"Bartua","","","","","1","2","107","51","56","47.66"
"Baryadi","","","","","1","4","47","20","27","42.55"
"Basantpur","","","","","1","3","192","98","94","51.04"
"Basaria","","","","","1","4","218","176","42","80.73"
"Basaria","","","","","1","3","213","142","71","66.67"
"Batbinor","","","","","1","13","786","532","254","67.68"
"Batboa","","","","","1","6","246","196","50","79.67"
"Belanja","","","","","1","9","353","219","134","62.04"
"Belargaraha","","","","","1","3","138","70","68","50.72"
"Beldih","","","","","1","10","210","0","210","0.00"
"Belut","","","","","1","6","297","187","110","62.96"
"Bemrotanr","","","","","1","3","193","132","61","68.39"
"Bendi","","","","","1","3","134","61","73","45.52"
"Bendotanr","","","","","1","2","204","130","74","63.73"
"Berani","","","","","1","4","71","29","42","40.85"
"Bhabanidi Alias Phudanidi","","","","","1","1","8","2","6","25.00"
"Bhagabandh","","","","","1","4","141","87","54","61.70"
"Bhalmara","","","","","1","6","463","236","227","50.97"
"Bhandar Kudar","","","","","1","3","191","95","96","49.74"
"Bhanrro","","","","","1","13","738","459","279","62.20"
"Bharajuri","","","","","1","8","311","228","83","73.31"
"Bharu","","","","","1","1","528","340","188","64.39"
"Bhaski","1","1","0","0","1","15","1324","1038","286","78.40"
"Bhawani","","","","","1","4","338","177","161","52.37"
"Bhawanipur","","","","","1","1","97","79","18","81.44"
"Bhitia","","","","","1","2","42","21","21","50.00"
"Bhulan Khetko","","","","","1","4","159","127","32","79.87"
"Bhunyadarika","","","","","1","6","221","140","81","63.35"
"Bhursatanr","1","1","0","0","1","2","33","0","33","0.00"
"Bhuski","","","","","1","1","8","3","5","37.50"
"Bijulia","","","","","1","6","371","117","254","31.54"
"Bindabanpur","","","","","1","4","281","149","132","53.02"
"Birkham","","","","","1","4","456","232","224","50.88"
"Birni","","","","","1","17","1914","980","934","51.20"
"Birsa","","","","","1","8","642","317","325","49.38"
"Birsaram","","","","","1","5","159","44","115","27.67"
"Bishwanathdi","1","1","0","0","1","2","39","0","39","0.00"
"Bodma","","","","","1","7","476","237","239","49.79"
"Bodro","","","","","1","4","782","404","378","51.66"
"Bodro","","","","","1","6","237","143","94","60.34"
"Bogla","","","","","1","8","546","354","192","64.84"
"Boryadi","","","","","1","8","538","367","171","68.22"
"Brindabanpur Alias Shatatanr","","","","","1","5","197","95","102","48.22"
"Bundu","","","","","1","4","612","279","333","45.59"
"Burgara","","","","","1","6","280","135","145","48.21"
"Buribinora","","","","","1","10","522","317","205","60.73"
"Chagri","","","","","1","5","296","144","152","48.65"
"Chainpur","","","","","1","8","831","432","399","51.99"
"Chainpur","","","","","1","3","210","141","69","67.14"
"Chakalia","","","","","1","13","605","403","202","66.61"
"Chakpendra","","","","","1","2","56","28","28","50.00"
"Chalkari","","","","","1","13","1808","925","883","51.16"
"Champi","","","","","1","13","1740","903","837","51.90"
"Chandaha","","","","","1","12","560","371","189","66.25"
"Chandankiari","","","","","1","22","2204","1119","1085","50.77"
"Chandarpura","","","","","1","3","414","349","65","84.30"
"Chandipur","","","","","1","5","245","170","75","69.39"
"Chandipur","","","","","1","5","233","168","65","72.10"
"Chando","","","","","1","7","949","487","462","51.32"
"Chandra","","","","","1","14","997","794","203","79.64"
"Chapri","","","","","1","3","156","78","78","50.00"
"Chargi","","","","","1","7","413","283","130","68.52"
"Charri","","","","","1","8","634","330","304","52.05"
"Chatro Chati","","","","","1","6","465","232","233","49.89"
"Chatugara","","","","","1","5","486","247","239","50.82"
"Chepro","","","","","1","12","355","163","192","45.92"
"Chhanrgoi","1","1","0","0","1","7","88","0","88","0.00"
"Chhatatanr","","","","","1","19","1240","648","592","52.26"
"Chhotki Sidhbara","","","","","1","5","366","180","186","49.18"
"Chhotki-Kuri","","","","","1","2","168","87","81","51.79"
"Chidri Khurd","","","","","1","1","39","17","22","43.59"
"Chiksia","","","","","1","13","407","241","166","59.21"
"Chilga","","","","","1","5","204","98","106","48.04"
"Chilgora","","","","","1","6","536","448","88","83.58"
