"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"3Hulwaria","","","","","1","8","380","162","218","42.63"
"Abukatu","1","1","0","0","1","3","73","38","35","52.05"
"Adauria","","","","","1","4","90","41","49","45.56"
"Ahirpurwa","","","","","1","3","57","28","29","49.12"
"Ahuri","","","","","1","4","110","45","65","40.91"
"Akona","","","","","1","1","5","1","4","20.00"
"Akta","","","","","1","2","20","9","11","45.00"
"Alagdiha","","","","","1","3","46","26","20","56.52"
"Amauna","","","","","1","5","136","50","86","36.76"
"Amauna","","","","","1","3","58","34","24","58.62"
"Ambadih","","","","","1","5","68","36","32","52.94"
"Ambadohar","1","1","0","0","1","3","80","34","46","42.50"
"Ambatanr","1","1","0","0","1","2","33","12","21","36.36"
"Ambatari","","","","","1","3","77","50","27","64.94"
"Amdiha","","","","","1","3","35","19","16","54.29"
"Amgawan","","","","","1","9","328","162","166","49.39"
"Amin","","","","","1","4","107","49","58","45.79"
"Amin","","","","","1","8","213","66","147","30.99"
"Aminia","1","1","0","0","1","2","28","18","10","64.29"
"Amjhar","","","","","1","4","66","35","31","53.03"
"Amkudar","1","1","0","0","1","4","101","45","56","44.55"
"Angara","1","1","0","0","1","4","52","25","27","48.08"
"Angara","1","1","0","0","1","4","93","55","38","59.14"
"Angara Kalan","","","","","1","2","53","34","19","64.15"
"Angara Khurd","","","","","1","2","53","24","29","45.28"
"Angarah","1","0","0","1","1","5","177","0","177","0.00"
"Anjnu","","","","","1","1","8","2","6","25.00"
"Anup Chak","1","1","0","0","1","3","22","7","15","31.82"
"Ara","","","","","1","5","204","134","70","65.69"
"Ara","","","","","1","6","217","141","76","64.98"
"Ara-Atu","1","0","0","1","1","7","117","0","117","0.00"
"Ara-Atu","1","0","0","1","1","5","467","270","197","57.82"
"Arjun Khurd","","","","","1","2","20","12","8","60.00"
"Armedag","","","","","1","4","55","27","28","49.09"
"Arsel","","","","","1","5","133","42","91","31.58"
"Arudana","","","","","1","1","20","3","17","15.00"
"Arugara","","","","","1","4","175","77","98","44.00"
"Asarhia","","","","","1","6","176","92","84","52.27"
"Asarhia","","","","","1","4","180","74","106","41.11"
