"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achato","","","","","1","4","99","70","29","70.71"
"Adhanua","","","","","1","2","109","91","18","83.49"
"Agai","","","","","1","8","193","129","64","66.84"
"Agiya","","","","","1","2","38","2","36","5.26"
"Aguiya","","","","","1","2","40","30","10","75.00"
"Aguiya Chak","","","","","1","2","64","48","16","75.00"
"Ajabraydih","","","","","1","5","123","83","40","67.48"
"Ajnari","","","","","1","5","124","99","25","79.84"
"Ajuband","","","","","1","3","56","51","5","91.07"
"Akduara","","","","","1","5","106","78","28","73.58"
"Alagbara","","","","","1","2","56","40","16","71.43"
"Alakhjora","","","","","1","5","185","127","58","68.65"
"Alampur","","","","","1","3","61","44","17","72.13"
"Alkoin","","","","","1","6","117","85","32","72.65"
"Alkusa","","","","","1","4","94","56","38","59.57"
"Aluara","","","","","1","3","154","114","40","74.03"
"Amarpur","","","","","1","1","25","21","4","84.00"
"Amasar","","","","","1","4","131","100","31","76.34"
"Amba","","","","","1","2","33","30","3","90.91"
"Amba","","","","","1","2","79","67","12","84.81"
"Ambabad","","","","","1","1","30","19","11","63.33"
"Ambakanali","","","","","1","2","55","27","28","49.09"
"Ambatanr","","","","","1","2","49","24","25","48.98"
"Ambatanr","","","","","1","5","81","24","57","29.63"
"Ambatila","","","","","1","3","70","33","37","47.14"
"Amdiha","","","","","1","18","703","487","216","69.27"
"Amdiha","","","","","1","2","41","29","12","70.73"
"Amgachhi","","","","","1","6","105","82","23","78.10"
"Amgachhi","","","","","1","9","166","103","63","62.05"
"Amgachhi","","","","","1","4","54","28","26","51.85"
"Amgachhi","","","","","1","10","191","131","60","68.59"
"Amgachhi","","","","","1","2","61","56","5","91.80"
"Amgaria","","","","","1","5","91","57","34","62.64"
"Amjora","","","","","1","3","111","0","111","0.00"
"Amjora","","","","","1","1","88","79","9","89.77"
"Amla Chatar","","","","","1","3","58","43","15","74.14"
"Amlawa","","","","","1","3","73","50","23","68.49"
"Amratanr","","","","","1","1","14","13","1","92.86"
"Amrita","","","","","1","3","94","54","40","57.45"
"Amruwa","","","","","1","5","134","96","38","71.64"
"Anandpur","","","","","1","3","64","31","33","48.44"
"Andrigadar","","","","","1","4","146","106","40","72.60"
"Angaro","","","","","1","1","24","13","11","54.17"
"Angbali","","","","","1","4","68","56","12","82.35"
"Anjo","","","","","1","2","44","30","14","68.18"
"Arabani","","","","","1","1","22","18","4","81.82"
"Arai","","","","","1","4","102","69","33","67.65"
"Arai","","","","","1","3","51","41","10","80.39"
"Arandiya","","","","","1","3","114","66","48","57.89"
"Araria","","","","","1","5","158","102","56","64.56"
"Arazi Amgachhi","","","","","1","2","39","22","17","56.41"
"Arazi Dumabad","","","","","1","5","123","78","45","63.41"
"Arazi Padumbana","","","","","1","1","29","13","16","44.83"
"Arazi Rhawi","","","","","1","5","129","108","21","83.72"
"Arazi Silwe","","","","","1","3","71","62","9","87.32"
"Arazi Telbhanga","","","","","1","6","121","85","36","70.25"
"Arenja","","","","","1","2","48","34","14","70.83"
"Arjuna","","","","","1","4","160","100","60","62.50"
"Arjunka","","","","","1","7","204","143","61","70.10"
"Arjunpur","","","","","1","3","77","49","28","63.64"
"Asahna","","","","","1","2","41","32","9","78.05"
"Asahna","","","","","1","4","88","61","27","69.32"
"Asanbahiyari","","","","","1","4","77","64","13","83.12"
"Asanbani","","","","","1","2","50","30","20","60.00"
"Asanbani","","","","","1","12","285","182","103","63.86"
"Asanbani","","","","","1","2","47","43","4","91.49"
"Asanbani","","","","","1","2","33","30","3","90.91"
"Asanpur","","","","","1","3","49","38","11","77.55"
"Asansol","","","","","1","2","59","41","18","69.49"
"Asansol","","","","","1","1","44","32","12","72.73"
"Asansol","","","","","1","3","63","37","26","58.73"
"Ashana","","","","","1","2","83","74","9","89.16"
"Ashana","","","","","1","3","118","91","27","77.12"
"Ashna","1","1","0","0","1","1","18","9","9","50.00"
"Asna","","","","","1","6","176","89","87","50.57"
"Asta","1","1","0","0","1","4","151","96","55","63.58"
"Asta","1","1","0","0","1","8","155","13","142","8.39"
"Asta","1","1","0","0","1","1","30","27","3","90.00"
"Astahir","","","","","1","2","54","50","4","92.59"
"Asur Bandha","","","","","1","5","104","74","30","71.15"
"Athmuria","","","","","1","5","101","59","42","58.42"
"Aurabari","","","","","1","3","893","868","25","97.20"
"Aurajori","","","","","1","3","167","128","39","76.65"
"Auwal Teliyadih","","","","","1","4","81","69","12","85.19"
"Auwal Teliyadih Chhit","","","","","1","11","195","136","59","69.74"
"Awrasol","","","","","1","1","29","13","16","44.83"
"Babhan Kund","","","","","1","5","131","92","39","70.23"
"Babhandiha","","","","","1","8","140","76","64","54.29"
"Babhandiha","","","","","1","2","43","23","20","53.49"
"Babhanganwan","","","","","1","7","248","152","96","61.29"
"Babudih","","","","","1","1","29","13","16","44.83"
"Babudih","","","","","1","1","19","12","7","63.16"
