"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Bagalkot","","","","","627","1462","294976","234219","60757","79.40"
"Bangalore","","","","","395","652","152516","123183","29333","80.77"
"Bangalore Rural","","","","","1053","1686","197955","193059","4896","97.53"
"Belgaum","5","1","0","4","1288","2320","872465","723066","149399","82.88"
"Bellary","","","","","555","1383","363517","321372","42145","88.41"
"Bidar","","","","","621","1844","506075","427107","78968","84.40"
"Bijapur","","","","","692","1539","362935","282906","80029","77.95"
"Chamarajanagar","5","2","0","3","492","1047","301414","245056","56358","81.30"
"Chikkaballapura","","","","","1515","2392","258987","253464","5523","97.87"
"Chikmagalur","","","","","1117","3586","215188","187752","27436","87.25"
"Chitradurga","","","","","1065","2247","347244","299311","47933","86.20"
"Dakshina Kannada","","","","","353","4215","298135","289762","8373","97.19"
"Davanagere","","","","","802","1152","262735","255655","7080","97.31"
"Dharwad","","","","","358","395","164677","154399","10278","93.76"
"Gadag","","","","","332","545","147412","126345","21067","85.71"
"Gulbarga","","","","","919","1934","379502","322286","57216","84.92"
"Hassan","1","1","0","0","2562","4045","364820","313322","51498","85.88"
"Haveri","","","","","703","772","296826","260255","36571","87.68"
"Kodagu","","","","","292","516","118263","94018","24245","79.50"
"Kolar","","","","","1794","2547","256765","251841","4924","98.08"
"Koppal","","","","","630","953","246258","204981","41277","83.24"
"Mandya","","","","","1370","2046","339324","318525","20799","93.87"
"Mysore","","","","","1317","2523","522795","437679","85116","83.72"
"Raichur","","","","","886","2124","320994","266669","54325","83.08"
"Ramanagara","","","","","874","2983","279159","269259","9900","96.45"
"Shimoga","3","3","0","0","1530","4804","260992","216890","44102","83.10"
"Tumkur","","","","","2716","6923","618786","559261","59525","90.38"
"Udupi","","","","","247","3446","317358","312991","4367","98.62"
"Uttara Kannada","25","22","0","3","1274","7714","298243","268861","29382","90.15"
"Yadgir","","","","","515","1350","255389","191201","64188","74.87"
"Total","39","29","0","10","28,894","71,145","96,21,705","84,04,695","12,17,010",""
