"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achanur","","","","","1","2","115","105","10","91.30"
"Adagal","","","","","1","2","635","446","189","70.24"
"Adihal","","","","","1","1","103","72","31","69.90"
"Adihudi","","","","","1","33","1714","1264","450","73.75"
"Agasarakoppa","","","","","1","2","280","238","42","85.00"
"Aiahole","","","","","1","1","551","390","161","70.78"
"Akkimaradi","","","","","1","1","388","315","73","81.19"
"Aladakatti","","","","","1","1","132","93","39","70.45"
"Alagundi(B.K)","","","","","1","2","1222","1038","184","84.94"
"Alagur","","","","","1","7","1735","1460","275","84.15"
"Albal","","","","","1","1","363","296","67","81.54"
"Algundi","","","","","1","1","578","560","18","96.89"
"Allur. S.P.","","","","","1","2","195","137","58","70.26"
"Alur","","","","","1","2","116","82","34","70.69"
"Alur .S.K.","","","","","1","2","392","305","87","77.81"
"Amalzari","","","","","1","1","552","390","162","70.65"
"Amarawadgi","","","","","1","1","158","111","47","70.25"
"Amarawati","","","","","1","1","467","329","138","70.45"
"Amblikoppa","","","","","1","1","132","93","39","70.45"
"Aminagad (CT)","","","","","1","1","2827","2800","27","99.04"
"Anadinni","","","","","1","1","330","234","96","70.91"
"Anagawadi","","","","","1","1","532","374","158","70.30"
"Anantagiri","","","","","1","2","233","191","42","81.97"
"Anapakatti","","","","","1","1","98","69","29","70.41"
"Anawal","","","","","1","1","529","374","155","70.70"
"Andamuranal","","","","","1","1","360","341","19","94.72"
"Ankalagi","","","","","1","1","180","126","54","70.00"
"Antapur","","","","","1","1","247","203","44","82.19"
"Arakeri","","","","","1","1","734","515","219","70.16"
"Asangi","","","","","1","10","1323","1088","235","82.24"
"Asangi","","","","","1","1","105","74","31","70.48"
"Bachinagudd","","","","","1","1","274","192","82","70.07"
"Badagandi","","","","","1","3","683","522","161","76.43"
"Badami (Rural) *","","","","","1","2","729","526","203","72.15"
"Badardinni","","","","","1","2","527","370","157","70.21"
"Badgi","","","","","1","1","455","319","136","70.11"
"Badnur","","","","","1","1","187","152","35","81.28"
"Bagalkot (Rural)","","","","","1","1","183","129","54","70.49"
"Balakundi","","","","","1","1","618","434","184","70.23"
"Ballur","","","","","1","3","300","248","52","82.67"
"Bandakeri","","","","","1","1","152","108","44","71.05"
"Bandigani","","","","","1","4","314","250","64","79.62"
"Banhatti (Rural)","","","","","1","2","75","70","5","93.33"
"Bankaneri","","","","","1","1","122","86","36","70.49"
"Bannidinni","","","","","1","1","75","53","22","70.67"
"Bannihatti","","","","","1","1","137","96","41","70.07"
"Baragi","","","","","1","1","469","381","88","81.24"
"Basarikatti","","","","","1","1","90","63","27","70.00"
"Basavanagar","","","","","1","1","120","30","90","25.00"
"Basawanal","","","","","1","3","359","275","84","76.60"
"Bavalatti","","","","","1","1","223","156","67","69.96"
"Bedarabudihal","","","","","1","1","89","62","27","69.66"
"Beeranur","","","","","1","1","147","103","44","70.07"
"Beerkabbi","","","","","1","2","255","179","76","70.20"
"Bekamaladinni","","","","","1","1","57","40","17","70.18"
"Belagali","","","","","1","18","6353","5652","701","88.97"
"Belawalakoppa","","","","","1","1","248","174","74","70.16"
"Belgal","","","","","1","1","269","189","80","70.26"
"Bellikindi","","","","","1","1","96","67","29","69.79"
"Belur","","","","","1","1","897","638","259","71.13"
"Benakanadoni","","","","","1","1","146","102","44","69.86"
"Benakanavari","","","","","1","1","98","69","29","70.41"
"Benakatti","","","","","1","1","532","374","158","70.30"
"Bennur","","","","","1","1","403","284","119","70.47"
"Bevinal","","","","","1","1","218","153","65","70.18"
"Bevinamatti","","","","","1","3","472","399","73","84.53"
"Bevinamatti-S.Haveli","","","","","1","2","726","510","216","70.25"
"Bevoor","","","","","1","1","924","649","275","70.24"
"Bhadra Nayakan Jalihal","","","","","1","2","534","419","115","78.46"
"Bhagavati","","","","","1","1","440","310","130","70.45"
"Bhairamatti","","","","","1","1","250","176","74","70.40"
"Bhantnur","","","","","1","3","629","513","116","81.56"
"Bhimanagad","","","","","1","1","251","177","74","70.52"
"Bidari","","","","","1","2","967","790","177","81.70"
"Bidri","","","","","1","2","428","352","76","82.24"
"Bilgi (Rural)","","","","","1","2","298","274","24","91.95"
"Bilkerur","","","","","1","1","377","264","113","70.03"
"Binjawadgi","","","","","1","1","160","113","47","70.63"
"Bisaladinni","","","","","1","1","263","186","77","70.72"
"Bisanal","","","","","1","4","1124","1032","92","91.81"
"Bisanalkoppa","","","","","1","2","146","110","36","75.34"
"Bisnal","","","","","1","1","497","349","148","70.22"
"Bodanayakdinni","","","","","1","1","342","240","102","70.18"
"Bommanagi","","","","","1","1","245","173","72","70.61"
"Bommanbudni","","","","","1","1","57","46","11","80.70"
"Budanagad","","","","","1","1","198","139","59","70.20"
"Budhihal(S.H)","","","","","1","2","860","604","256","70.23"
"Budihal","","","","","1","1","73","51","22","69.86"
"Budihal (Inam)","","","","","1","2","126","88","38","69.84"
"Budihal (S.K.)","","","","","1","2","128","90","38","70.31"
"Budihal (S.K.)","","","","","1","2","294","206","88","70.07"
"Budihal(S.G.)","","","","","1","2","66","46","20","69.70"
"Budni","","","","","1","1","203","165","38","81.28"
"Budni  (B.K.)","","","","","1","2","384","330","54","85.94"
"Budni Khurd","","","","","1","2","359","291","68","81.06"
"Budni(P.D)","","","","","1","2","1080","876","204","81.11"
"Budni(P.M)","","","","","1","4","1447","1259","188","87.01"
"Byadar-Aralikatti","","","","","1","2","60","48","12","80.00"
"Chamalapur","","","","","1","1","101","71","30","70.30"
"Channal","","","","","1","2","309","255","54","82.52"
"Chatnihal","","","","","1","1","144","101","43","70.14"
"Chawadapur","","","","","1","3","213","160","53","75.12"
"Chebbi","","","","","1","1","268","188","80","70.15"
"Chick Hodlur","","","","","1","2","204","144","60","70.59"
"Chick Myageri","","","","","1","2","402","282","120","70.15"
"Chick Sitimani","","","","","1","2","100","92","8","92.00"
"Chick-Otageri","","","","","1","1","161","113","48","70.19"
"Chickbadawadgi","","","","","1","2","383","329","54","85.90"
"Chickhanchinal","","","","","1","2","328","230","98","70.12"
"Chickka-Shellikeri","","","","","1","2","556","390","166","70.14"
"Chickkodagali","","","","","1","3","434","328","106","75.58"
"Chickmagi","","","","","1","1","274","192","82","70.07"
"Chickmalagavi","","","","","1","1","52","36","16","69.23"
"Chicksangam","","","","","1","1","496","479","17","96.57"
"Chicksinganagutti","","","","","1","1","121","86","35","71.07"
"Chickyaranakeri","","","","","1","1","63","44","19","69.84"
"Chikadapur","","","","","1","1","268","188","80","70.15"
"Chikanal","","","","","1","1","318","224","94","70.44"
"Chikk-Sansi","","","","","1","2","200","140","60","70.00"
"Chikkalaki","","","","","1","7","855","711","144","83.16"
"Chikkamuchalagudda","","","","","1","1","153","107","46","69.93"
"Chikkanasabi","","","","","1","1","41","29","12","70.73"
