"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abachikkanahalli","","","","","1","1","14","14","0","100.00"
"Acharlahalli","","","","","1","1","88","86","2","97.73"
"Adakavala","","","","","1","1","58","56","2","96.55"
"Adihosahalli","","","","","1","1","80","77","3","96.25"
"Adinarayana Hosahalli","","","","","1","3","241","238","3","98.76"
"Agalakote","","","","","1","1","55","53","2","96.36"
"Agalakuppa","","","","","1","4","274","266","8","97.08"
"Agasarahalli","","","","","1","1","41","39","2","95.12"
"Agasarahalli","","","","","1","1","64","62","2","96.88"
"Agrahara Vaddahalli","","","","","1","2","84","82","2","97.62"
"Ahobalapalya","","","","","1","1","3","2","1","66.67"
"Ajjagondahalli","","","","","1","1","102","100","2","98.04"
"Akkalenahalli Mallena - Halli","","","","","1","2","93","90","3","96.77"
"Akkathammanahalli","","","","","1","1","99","98","1","98.99"
"Akkupet","","","","","1","1","27","26","1","96.30"
"Aladahalli","","","","","1","2","24","19","5","79.17"
"Alagondahalli","","","","","1","1","88","85","3","96.59"
"Alahalli","","","","","1","1","291","285","6","97.94"
"Alappanahalli","","","","","1","1","210","205","5","97.62"
"Alappanahalli","","","","","1","5","200","198","2","99.00"
"Allalasandra","","","","","1","1","87","85","2","97.70"
"Alunaikanahalli","","","","","1","2","144","142","2","98.61"
"Alurdoddanahalli","","","","","1","1","325","318","7","97.85"
"Amani Palankere","","","","","1","1","38","38","0","100.00"
"Ambalagere","","","","","1","1","124","121","3","97.58"
"Ambalipura","","","","","1","1","21","18","3","85.71"
"Ananthapura","","","","","1","1","84","74","10","88.10"
"Ananthapura","","","","","1","2","136","130","6","95.59"
"Anighatta","","","","","1","1","184","179","5","97.28"
"Ankonahalli","","","","","1","2","48","48","0","100.00"
"Ankonahalli","","","","","1","1","65","63","2","96.92"
"Ankonahalli","","","","","1","1","37","35","2","94.59"
"Anneswara","","","","","1","3","456","445","11","97.59"
"Antharahalli","","","","","1","1","172","168","4","97.67"
"Anugondahalli","","","","","1","1","243","239","4","98.35"
"Anupahalli","","","","","1","1","209","200","9","95.69"
"Appagondanahalli","","","","","1","3","175","167","8","95.43"
"Appajipura","","","","","1","1","12","12","0","100.00"
"Appasandra","","","","","1","1","121","117","4","96.69"
"Appasandra Plantation","","","","","1","1","37","35","2","94.59"
"Appkarenahalli","","","","","1","2","104","100","4","96.15"
"Aradeshahalli","","","","","1","1","417","408","9","97.84"
"Aralagere Amanikere","","","","","1","1","36","35","1","97.22"
"Aralamallige","","","","","1","3","569","557","12","97.89"
"Aralasandra","","","","","1","3","69","67","2","97.10"
"Araledibba","","","","","1","1","225","220","5","97.78"
"Arasanahalli","","","","","1","1","165","160","5","96.97"
"Arasanahalli Peddanahalli","","","","","1","2","225","220","5","97.78"
"Arasinakunte (CT)","","","","","1","5","2640","2613","27","98.98"
"Arebommanahalli","","","","","1","1","133","130","3","97.74"
"Arehalli","","","","","1","1","178","174","4","97.75"
"Arehalli","","","","","1","1","110","106","4","96.36"
"Arehalli Guddadahalli","","","","","1","2","939","920","19","97.98"
"Arjunabettahalli","","","","","1","1","100","99","1","99.00"
"Arlemakanahalli","","","","","1","1","5","5","0","100.00"
"Arlemakanahalli District  Plantation","","","","","1","1","37","35","2","94.59"
"Arlemakanahalli Plantation","","","","","1","1","37","35","2","94.59"
"Aroodi","","","","","1","6","702","687","15","97.86"
"Aruvanahalli","","","","","1","1","156","152","4","97.44"
"Attibele","","","","","1","1","127","124","3","97.64"
"Attibele","","","","","1","1","331","323","8","97.58"
"Attivatta","","","","","1","1","219","213","6","97.26"
"Attur","","","","","1","1","79","76","3","96.20"
"Avalakuppe","","","","","1","2","186","182","4","97.85"
"Avathi","","","","","1","1","768","752","16","97.92"
"Avverahalli","","","","","1","1","79","77","2","97.47"
"Bachahalli","","","","","1","1","51","49","2","96.08"
"Bachchahalli","","","","","1","2","251","247","4","98.41"
"Badrapura","","","","","1","1","5","2","3","40.00"
"Badrapura","","","","","1","1","47","47","0","100.00"
"Bagalur","","","","","1","1","56","53","3","94.64"
"Bagur","","","","","1","1","186","184","2","98.92"
"Baladimmanahalli","","","","","1","1","24","15","9","62.50"
"Balaguruvanapalya","","","","","1","1","3","2","1","66.67"
"Balenahalli","","","","","1","1","51","49","2","96.08"
"Balepura","","","","","1","1","272","267","5","98.16"
"Ballagere","","","","","1","3","322","316","6","98.14"
"Bammanahalli","","","","","1","1","136","132","4","97.06"
"Banahalli","","","","","1","1","37","35","2","94.59"
"Banahalli","","","","","1","1","163","158","5","96.93"
"Banamakanahalli","","","","","1","1","82","80","2","97.56"
"Banarahalli","","","","","1","1","34","33","1","97.06"
"Banasavadi","","","","","1","5","158","152","6","96.20"
"Banavathi","","","","","1","5","502","492","10","98.01"
"Bandahalli","","","","","1","1","94","91","3","96.81"
"Bandaramanahalli","","","","","1","1","3","3","0","100.00"
"Bankenahalli","","","","","1","1","65","63","2","96.92"
"Bannimangala","","","","","1","1","180","175","5","97.22"
"Bannimangala Amanikere","","","","","1","1","28","26","2","92.86"
"Baragoor","","","","","1","5","232","214","18","92.24"
"Bardi","","","","","1","3","368","359","9","97.55"
"Bargenahalli","","","","","1","2","250","245","5","98.00"
"Basabathanahalli","","","","","1","1","36","35","1","97.22"
"Basavanahalli","","","","","1","1","1597","1565","32","98.00"
"Basavapatna","","","","","1","2","105","102","3","97.14"
"Basettihalli (CT)","","","","","1","1","38","38","0","100.00"
"Bathiganahalli","","","","","1","1","22","22","0","100.00"
"Bavapura","","","","","1","3","126","122","4","96.83"
"Bediganahalli","","","","","1","1","114","111","3","97.37"
"Beedikere","","","","","1","4","515","509","6","98.83"
"Beedikere Agrahara","","","","","1","2","60","60","0","100.00"
"Beerahalli","","","","","1","1","142","138","4","97.18"
"Beerasandra","","","","","1","1","205","200","5","97.56"
"Begur","","","","","1","1","310","302","8","97.42"
"Belamangala","","","","","1","1","92","89","3","96.74"
"Bellikere","","","","","1","1","227","222","5","97.80"
