"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A Medihalli","","","","","1","2","210","164","46","78.10"
"Adde Vishwanathapura","","","","","1","3","890","866","24","97.30"
"Adiganahalli","","","","","1","4","305","290","15","95.08"
"Adigarakallahalli","","","","","1","6","1757","1678","79","95.50"
"Adigondanahalli","","","","","1","1","277","261","16","94.22"
"Adur","","","","","1","3","270","237","33","87.78"
"Agara","","","","","1","3","3","3","0","100.00"
"Agasa Thimmanahalli","","","","","1","1","5","5","0","100.00"
"Ajjanahalli","","","","","1","1","1","1","0","100.00"
"Ali Bommasandra","","","","","1","2","303","270","33","89.11"
"Alur","","","","","1","1","1","1","0","100.00"
"Amani Bidarakere","","","","","1","1","191","179","12","93.72"
"Amani Doddakere","","","","","1","1","6","6","0","100.00"
"Andapura","","","","","1","1","361","341","20","94.46"
"Anekal (Rural)","","","","","1","4","310","258","52","83.23"
"Arakere","","","","","1","1","1","1","0","100.00"
"Aravantigepura","","","","","1","1","53","48","5","90.57"
"Arehalli","","","","","1","1","93","75","18","80.65"
"Arenur","","","","","1","1","130","122","8","93.85"
"Attibele (CT)","","","","","1","1","2560","2416","144","94.38"
"Avadadenahalli","","","","","1","1","260","246","14","94.62"
"Avalahalli","","","","","1","1","114","106","8","92.98"
"Avalahalli","","","","","1","1","1","1","0","100.00"
"B.Hosahalli","","","","","1","2","598","590","8","98.66"
"Badamanavarthekaval","","","","","1","2","2","2","0","100.00"
"Bagalur","","","","","1","1","1","1","0","100.00"
"Bagganadoddi","","","","","1","1","80","74","6","92.50"
"Balagaranahalli","","","","","1","1","1119","1052","67","94.01"
"Ballur","","","","","1","1","939","883","56","94.04"
"Banahalli","","","","","1","1","1197","1124","73","93.90"
"Banahalli","","","","","1","1","98","91","7","92.86"
"Bandapura","","","","","1","1","137","128","9","93.43"
"Bande Nalla Sandra","","","","","1","2","288","256","32","88.89"
"Bandebommasandra","","","","","1","2","127","123","4","96.85"
"Bandi Kodigehalli Palya","","","","","1","1","1","1","0","100.00"
"Bandikodegehalli Amanikere","","","","","1","1","1","1","0","100.00"
"Bannerughatta","","","","","1","5","2072","1983","89","95.70"
"Bannerughatta Kaval","","","","","1","2","694","694","0","100.00"
"Begihalli","","","","","1","3","287","216","71","75.26"
"Bendiganahalli","","","","","1","1","136","127","9","93.38"
"Bestammanahalli","","","","","1","1","184","161","23","87.50"
"Bhaktipura","","","","","1","1","75","69","6","92.00"
"Bheemanakuppe","","","","","1","1","1","1","0","100.00"
"Bheemanakuppe- Ramasagara","","","","","1","1","1","1","0","100.00"
"Bhoothanahalli","","","","","1","9","1257","748","509","59.51"
"Bhovi Palya (Shanthi Pur)","","","","","1","1","1213","1195","18","98.52"
"Bidaragere","","","","","1","1","219","194","25","88.58"
"Bidaraguppe","","","","","1","5","818","741","77","90.59"
"Bidarakadahalli","","","","","1","1","20","20","0","100.00"
