"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abanali","","","","","1","1","38","30","8","78.95"
"Abbihal","","","","","1","2","579","573","6","98.96"
"Achamatti","","","","","1","1","267","219","48","82.02"
"Adahalli","","","","","1","1","510","322","188","63.14"
"Adalatti","","","","","1","3","486","200","286","41.15"
"Adi","","","","","1","1","214","169","45","78.97"
"Adi","","","","","1","3","1296","1112","184","85.80"
"Adibatti","","","","","1","1","320","249","71","77.81"
"Agasage","","","","","1","1","535","411","124","76.82"
"Agrani-Ingalgaon","","","","","1","1","507","447","60","88.17"
"Aigali","","","","","1","18","3214","2273","941","70.72"
"Ainapur","","","","","1","1","3112","2424","688","77.89"
"Ajjanakatti","","","","","1","1","261","225","36","86.21"
"Ajur","","","","","1","2","898","807","91","89.87"
"Akkatangerahal","","","","","1","3","1312","1115","197","84.98"
"Akkisagar","","","","","1","1","233","188","45","80.69"
"Akkiwat","","","","","1","1","310","245","65","79.03"
"Akkol","","","","","1","1","1593","1537","56","96.48"
"Akrali","","","","","1","9","232","185","47","79.74"
"Aladakatti K.M","","","","","1","2","656","522","134","79.57"
"Aladakatti K.Y","","","","","1","2","219","176","43","80.37"
"Alagawadi","","","","","1","3","1190","1079","111","90.67"
"Alakhanur","","","","","1","1","1771","1338","433","75.55"
"Alatage","","","","","1","3","432","404","28","93.52"
"Aldhal","","","","","1","1","198","140","58","70.71"
"Allehol","","","","","1","1","54","43","11","79.63"
"Alloli-Kansoli","","","","","1","2","256","202","54","78.91"
"Alur (K.M)","","","","","1","1","305","207","98","67.87"
"Amagaon","","","","","1","1","59","47","12","79.66"
"Amalzari","","","","","1","1","191","149","42","78.01"
"Amarapur","","","","","1","1","109","86","23","78.90"
"Amate","","","","","1","1","233","184","49","78.97"
"Amatur","","","","","1","1","367","291","76","79.29"
"Ambadagatti","","","","","1","1","830","661","169","79.64"
"Ambewadi","","","","","1","1","710","664","46","93.52"
"Ambewadi","","","","","1","1","36","31","5","86.11"
"Amboli","","","","","1","3","150","105","45","70.00"
"Ammanagi","","","","","1","1","1518","1310","208","86.30"
"Amminbhavi","","","","","1","1","582","467","115","80.24"
"Anagadi","","","","","1","1","84","66","18","78.57"
"Anantapur","","","","","1","4","1465","964","501","65.80"
"Aneguddi","","","","","1","2","201","200","1","99.50"
"Anigol","","","","","1","1","659","522","137","79.21"
"Ankalagi (Badalankalagi)","","","","","1","1","855","706","149","82.57"
"Ankale","","","","","1","3","293","203","90","69.28"
"Ankale","","","","","1","1","1062","851","211","80.13"
"Ankalgi","","","","","1","2","1417","1312","105","92.59"
"Ankalgudiketra","","","","","1","1","517","329","188","63.64"
"Ankali","","","","","1","2","2316","1897","419","81.91"
