"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"55 Mallapura","","","","","1","2","35","30","5","85.71"
"Adavi Sooravvanahalli","","","","","1","2","228","201","27","88.16"
"Adivikyadigihalli","","","","","1","1","211","176","35","83.41"
"Advimallanakeri","","","","","1","3","311","261","50","83.92"
"Agasanur","","","","","1","1","480","404","76","84.17"
"Agrahara","","","","","1","8","1069","934","135","87.37"
"Akkatangirahal","","","","","1","2","200","170","30","85.00"
"Alabanur","","","","","1","1","105","88","17","83.81"
"Alabur","","","","","1","3","521","429","92","82.34"
"Aladahalli","","","","","1","1","3","3","0","100.00"
"Alur","","","","","1","2","734","665","69","90.60"
"Amalapura","","","","","1","2","382","332","50","86.91"
"Amarapura","","","","","1","1","185","155","30","83.78"
"Ambli","","","","","1","2","679","580","99","85.42"
"Ammanakeri","","","","","1","1","284","239","45","84.15"
"Anandadevanahalli","","","","","1","1","426","389","37","91.31"
"Andralu","","","","","1","1","185","166","19","89.73"
"Anekal","","","","","1","1","125","105","20","84.00"
"Angoor","","","","","1","2","558","515","43","92.29"
"Ankammanahal","","","","","1","1","296","249","47","84.12"
"Ankasamudra","","","","","1","3","3806","3743","63","98.34"
"Antapur","","","","","1","2","515","437","78","84.85"
"Appainahalli","","","","","1","9","1876","1775","101","94.62"
"Appalapur","","","","","1","1","441","369","72","83.67"
"Araliganur","","","","","1","1","437","371","66","84.90"
"Arlihalli","","","","","1","7","221","184","37","83.26"
"Asundi","","","","","1","1","398","334","64","83.92"
"Avinamadugu","","","","","1","1","58","49","9","84.48"
"Ayyanahalli","","","","","1","1","441","369","72","83.67"
"Ayyanahalli","","","","","1","2","720","612","108","85.00"
"Ayyanahalli","","","","","1","1","174","146","28","83.91"
"B.M.Sugur","","","","","1","2","416","351","65","84.38"
"Bachigondanahalli","","","","","1","5","1532","1355","177","88.45"
"Badaladuku","","","","","1","2","742","646","96","87.06"
"Badanahatti","","","","","1","9","2105","1914","191","90.93"
"Bagawady","","","","","1","9","1079","953","126","88.32"
"Balakundi","","","","","1","9","929","814","115","87.62"
"Banapura","","","","","1","1","90","75","15","83.33"
"Banavikal","","","","","1","5","1044","942","102","90.23"
"Bande Basapura Tanda","","","","","1","2","951","804","147","84.54"
"Bandrahal","","","","","1","1","392","328","64","83.67"
"Bandri","","","","","1","4","1169","995","174","85.12"
"Bannigola","","","","","1","4","1164","1015","149","87.20"
"Bannihatti","","","","","1","1","286","240","46","83.92"
"Bannikal","","","","","1","4","890","750","140","84.27"
"Basarahalli","","","","","1","1","74","62","12","83.78"
"Basarakodu","","","","","1","3","435","366","69","84.14"
"Basarakodu","","","","","1","1","257","215","42","83.66"
"Basavanadurga","","","","","1","1","160","135","25","84.38"
"Beerabbi","","","","","1","4","492","441","51","89.63"
"Beerahalli","","","","","1","1","231","194","37","83.98"
"Belagal","","","","","1","3","1724","1593","131","92.40"
"Belagodu","","","","","1","1","20","16","4","80.00"
"Bellahunshi","","","","","1","1","272","257","15","94.49"
"Bellary Gonahal","","","","","1","1","624","612","12","98.08"
"Bellary[R]","","","","","1","2","826","699","127","84.62"
"Belligatta","","","","","1","3","461","399","62","86.55"
"Bellikatti","","","","","1","4","530","490","40","92.45"
"Belugoduhal","","","","","1","1","275","232","43","84.36"
"Bennikal","","","","","1","2","977","857","120","87.72"
"Bennikallu","","","","","1","1","833","698","135","83.79"
"Bevinahalli","","","","","1","1","250","210","40","84.00"
"Bevoor","","","","","1","1","154","129","25","83.77"
"Bhujanganagar","","","","","1","1","874","732","142","83.75"
"Bhyragamadinne","","","","","1","1","192","161","31","83.85"
"Bhyrapura","","","","","1","5","655","593","62","90.53"
"Bisalahalli","","","","","1","1","250","209","41","83.60"
"Bobbukunta","","","","","1","3","362","335","27","92.54"
"Boggur","","","","","1","9","360","325","35","90.28"
"Bommagatta","","","","","1","2","658","566","92","86.02"
"Bommalapura","","","","","1","1","187","157","30","83.96"
"Bommanahal","","","","","1","1","210","176","34","83.81"
"Boppalapura","","","","","1","2","279","247","32","88.53"
"Budanur","","","","","1","1","336","282","54","83.93"
"Buduguppa","","","","","1","5","653","523","130","80.09"
"Bukkasagara","","","","","1","2","731","613","118","83.86"
"Burranayakanahalli","","","","","1","1","113","95","18","84.07"
"Buvvanahalli","","","","","1","1","214","182","32","85.05"
"Byalachinte","","","","","1","1","154","129","25","83.77"
"Byalakundi","","","","","1","1","162","136","26","83.95"
"Byalhunsi","","","","","1","1","223","187","36","83.86"
"Byasigaderi","","","","","1","9","1658","1523","135","91.86"
"Byluru","","","","","1","5","1364","1216","148","89.15"
"Byluthumbaraguddi","","","","","1","3","544","502","42","92.28"
"Byluvadigeri","","","","","1","1","417","350","67","83.93"
"Byradevanahalli","","","","","1","4","1326","1136","190","85.67"
"C.Imadapura","","","","","1","1","214","209","5","97.66"
"Chaganur","","","","","1","1","567","476","91","83.95"
"Chanahal","","","","","1","1","642","540","102","84.11"
"Chanakanur","","","","","1","1","214","186","28","86.92"
"Chandrasekarapura","","","","","1","1","650","592","58","91.08"
"Chandur","","","","","1","1","20","16","4","80.00"
"Chapparadahalli","","","","","1","2","361","302","59","83.66"
"Chellagurki","","","","","1","1","438","368","70","84.02"
"Chikka Bellary","","","","","1","2","622","527","95","84.73"
"Chikkajaiganur","","","","","1","3","126","99","27","78.57"
"Chikkajogi Tanda","","","","","1","2","579","496","83","85.66"
"Chikkakeriyaginahalli","","","","","1","2","479","406","73","84.76"
"Chikkantapur","","","","","1","1","205","171","34","83.41"
"Chilakanahatti","","","","","1","1","402","338","64","84.08"
"Chintrapalli","","","","","1","9","2142","2008","134","93.74"
"Chiribi","","","","","1","2","693","625","68","90.19"
"Chitiginahalu","","","","","1","3","276","259","17","93.84"
"Chitrathagundu","","","","","1","2","561","485","76","86.45"
"Chornur","","","","","1","8","1565","1490","75","95.21"
"Chowdapura","","","","","1","5","1049","968","81","92.28"
"Dammur","","","","","1","5","3155","3044","111","96.48"
"Dammur Kaggal","","","","","1","2","877","741","136","84.49"
"Danapura","","","","","1","8","1444","1161","283","80.40"
"Danapuram","","","","","1","3","134","111","23","82.84"
"Danayakanakere","","","","","1","2","1219","1021","198","83.76"
"Daroji","","","","","1","3","2003","1916","87","95.66"
"Darur","","","","","1","3","762","664","98","87.14"
"Dasanahalli","","","","","1","3","508","445","63","87.60"
"Dasanur","","","","","1","9","1130","1038","92","91.86"
"Dasapura","","","","","1","1","239","201","38","84.10"
"Dasara Nagenahalli","","","","","1","1","311","263","48","84.57"
"Dasarahalli","","","","","1","2","639","539","100","84.35"
"Dasmapura","","","","","1","4","1366","1262","104","92.39"
"Deogiri","","","","","1","2","644","569","75","88.35"
"Devagondanahalli","","","","","1","4","813","747","66","91.88"
"Devalapura","","","","","1","1","853","715","138","83.82"
"Devalapura","","","","","1","3","638","593","45","92.95"
"Devarabudenahalli","","","","","1","2","202","172","30","85.15"
"Devaramallapur","","","","","1","1","409","343","66","83.86"
"Devasamudra","","","","","1","3","1380","1148","232","83.19"
"Dharmasagara","","","","","1","1","290","244","46","84.14"
"Dhoopadahalli","","","","","1","4","1146","1009","137","88.05"
"Dombrahalli","","","","","1","3","455","372","83","81.76"
"Donimalai (F)","","","","","1","1","95","93","2","97.89"
"Donimalai Township (CT)","","","","","1","1","1660","0","1660","0.00"
"Dowlatpur","","","","","1","1","407","341","66","83.78"
"Emmiganur","","","","","1","8","2803","2690","113","95.97"
"Emmihatti","","","","","1","1","407","341","66","83.78"
"Enigi","","","","","1","1","304","255","49","83.88"
"G.Kodihalli","","","","","1","2","590","499","91","84.58"
"Gaddikeri","","","","","1","1","441","370","71","83.90"
"Gadiganur","","","","","1","1","843","707","136","83.87"
"Gajapura","","","","","1","2","296","258","38","87.16"
"Gajiginahal","","","","","1","1","127","106","21","83.46"
"Gandabommanahalli","","","","","1","4","666","631","35","94.74"
"Gangalapur","","","","","1","3","330","312","18","94.55"
"Garga","","","","","1","3","529","463","66","87.52"
"Genatikatte","","","","","1","1","187","157","30","83.96"
"Genikihal","","","","","1","5","1362","1293","69","94.93"
"Godehal","","","","","1","1","120","101","19","84.17"
"Gollalingammanahalli","","","","","1","3","567","542","25","95.59"
"Gollanaganahalli","","","","","1","1","203","177","26","87.19"
"Gollarahalli","","","","","1","1","287","241","46","83.97"
"Gonahal","","","","","1","1","170","142","28","83.53"
"Gonahal","","","","","1","1","170","142","28","83.53"
"Gosabalu","","","","","1","1","400","336","64","84.00"
"Gotur","","","","","1","3","424","358","66","84.43"
"Gowripur","","","","","1","1","180","151","29","83.89"
"Gowripur","","","","","1","1","89","74","15","83.15"
"Gubbihal","","","","","1","1","41","34","7","82.93"
"Gudadur","","","","","1","1","357","299","58","83.75"
"Gudekota","","","","","1","8","1791","1574","217","87.88"
"Gudioblapura","","","","","1","2","334","278","56","83.23"
"Guledahalu","","","","","1","1","112","94","18","83.93"
"Gundiganur","","","","","1","3","276","262","14","94.93"
"Gundinahole","","","","","1","1","3","3","0","100.00"
"Gundlahalli","","","","","1","1","101","85","16","84.16"
"Gundlavaddigeri","","","","","1","1","147","122","25","82.99"
"Gundumunugu","","","","","1","7","1321","1255","66","95.00"
"Guttiganur","","","","","1","1","426","357","69","83.80"
"Hagalur","","","","","1","1","500","419","81","83.80"
"Hagalur Hosahalli","","","","","1","2","1328","1123","205","84.56"
"Hagaranur","","","","","1","3","592","512","80","86.49"
"Hagaribommanahalli","","","","","1","3","1466","1243","223","84.79"
"Hakandi","","","","","1","4","678","649","29","95.72"
"Halagapura","","","","","1","8","2374","2301","73","96.93"
"Halakundi","","","","","1","4","622","537","85","86.33"
"Halasagara","","","","","1","6","1126","1062","64","94.32"
"Halathimalapura","","","","","1","5","582","528","54","90.72"
"Halekota","","","","","1","2","18","16","2","88.89"
"Halekota","","","","","1","1","1031","864","167","83.80"
"Halumuravani","","","","","1","1","23","19","4","82.61"
"Hampadevanahalli","","","","","1","1","284","238","46","83.80"
"Hampapatna","","","","","1","2","784","678","106","86.48"
"Hampapura","","","","","1","1","206","172","34","83.50"
"Hampasagara","","","","","1","7","2889","2855","34","98.82"
"Hampi","","","","","1","1","422","378","44","89.57"
"Handihal","","","","","1","1","538","451","87","83.83"
"Hansi","","","","","1","4","1558","1217","341","78.11"
"Hanumagondanahalli","","","","","1","1","50","42","8","84.00"
"Hanumanahalli","","","","","1","1","75","63","12","84.00"
"Haraginadone","","","","","1","3","256","216","40","84.38"
"Harakabhavi","","","","","1","2","769","651","118","84.66"
"Haralu","","","","","1","1","99","83","16","83.84"
"Haravanahalli","","","","","1","1","186","156","30","83.87"
"Haregondanahalli","","","","","1","1","635","603","32","94.96"
"Harivi","","","","","1","2","567","452","115","79.72"
"Harivi Basapura","","","","","1","3","147","116","31","78.91"
"Harudi","","","","","1","3","549","485","64","88.34"
"Hatcholli","","","","","1","1","796","667","129","83.79"
"Havinahal","","","","","1","5","653","590","63","90.35"
"Havinahal Veerapura","","","","","1","6","1352","1196","156","88.46"
"Herakal","","","","","1","5","409","346","63","84.60"
"Hirabannimatti","","","","","1","4","580","536","44","92.41"
"Hirehadagali","","","","","1","2","444","379","65","85.36"
"Hirehadagalli","","","","","1","3","6235","5753","482","92.27"
"Hirehal","","","","","1","3","134","114","20","85.07"
"Hireheggadahal","","","","","1","2","699","607","92","86.84"
"Hirejaiganur","","","","","1","7","149","125","24","83.89"
"Hirekeriyaginahalli","","","","","1","6","1014","885","129","87.28"
"Hirekolachi","","","","","1","4","2109","1917","192","90.90"
"Hirekumbalagunta","","","","","1","4","461","429","32","93.06"
"Hiremallinakeri","","","","","1","4","700","683","17","97.57"
"Hiresobati","","","","","1","1","102","86","16","84.31"
"Hirevaddarahalli","","","","","1","3","230","189","41","82.17"
"Holagundi","","","","","1","2","2024","1827","197","90.27"
"Holalu","","","","","1","5","3883","3673","210","94.59"
"Honnahalli","","","","","1","3","899","822","77","91.43"
"Honnahalli","","","","","1","1","272","228","44","83.82"
"Honnarahalli","","","","","1","1","76","63","13","82.89"
"Hosahalli","","","","","1","2","1424","1194","230","83.85"
"Hosakeri","","","","","1","1","248","207","41","83.47"
"Hosakota","","","","","1","1","338","284","54","84.02"
"Hosur","","","","","1","4","861","713","148","82.81"
"Hudem","","","","","1","6","1673","1622","51","96.95"
"Hugulura","","","","","1","3","453","424","29","93.60"
"Hulikere","","","","","1","4","826","771","55","93.34"
"Hulikunta","","","","","1","2","426","382","44","89.67"
"Hulikunta 73","","","","","1","2","253","214","39","84.58"
"Hurlihalu","","","","","1","7","1195","1121","74","93.81"
"Hyalya","","","","","1","5","603","551","52","91.38"
"Hyarada","","","","","1","1","655","549","106","83.82"
"Ibrampura","","","","","1","5","486","441","45","90.74"
"Ibrampura","","","","","1","3","359","305","54","84.96"
"Ingaligi","","","","","1","5","539","456","83","84.60"
"Ittigi","","","","","1","1","1311","1108","203","84.52"
"Ittigi","","","","","1","3","371","312","59","84.10"
"Ittigihal","","","","","1","1","107","90","17","84.11"
"Jaisingapur","","","","","1","2","340","286","54","84.12"
"Jalibenchi","","","","","1","1","380","320","60","84.21"
"Jalihal","","","","","1","1","364","305","59","83.79"
"Jambunathanahalli","","","","","1","2","91","75","16","82.42"
"Janikunte","","","","","1","3","480","409","71","85.21"
"Jeeriganuru","","","","","1","1","129","108","21","83.72"
"Jermali","","","","","1","3","527","452","75","85.77"
"Jiginahalli","","","","","1","2","260","232","28","89.23"
"Jodibommiahnahalli","","","","","1","1","164","138","26","84.15"
"Jodikasinayakanahalli","","","","","1","1","11","9","2","81.82"
"Joga","","","","","1","1","179","150","29","83.80"
"Joladakudligi","","","","","1","3","501","448","53","89.42"
"Joladarasi","","","","","1","1","216","182","34","84.26"
"Jowku","","","","","1","5","694","574","120","82.71"
"Jummobanahalli","","","","","1","2","255","213","42","83.53"
"K.Basapura Tanda","","","","","1","2","730","618","112","84.66"
"K.Iyyanahalli","","","","","1","4","1301","1223","78","94.00"
"Kachinabandi","","","","","1","1","200","167","33","83.50"
"Kaddirampura","","","","","1","1","239","207","32","86.61"
"Kadekolla","","","","","1","4","976","900","76","92.21"
"Kadlabalu","","","","","1","8","2859","2670","189","93.39"
"Kakkabevinahalli","","","","","1","1","398","334","64","83.92"
"Kakkuppi","","","","","1","3","598","560","38","93.65"
"Kakubal","","","","","1","1","511","428","83","83.76"
"Kalapura","","","","","1","3","662","606","56","91.54"
"Kalghatta","","","","","1","1","26","21","5","80.77"
"Kalingeri","","","","","1","3","595","520","75","87.39"
"Kallahalli","","","","","1","5","408","342","66","83.82"
"Kallahalli","","","","","1","2","373","307","66","82.31"
"Kallahalli","","","","","1","1","118","99","19","83.90"
"Kallirampura","","","","","1","1","10","9","1","90.00"
"Kallukamba","","","","","1","2","554","469","85","84.66"
"Kallukutiganahalu","","","","","1","1","254","212","42","83.46"
"Kallukuttiganahal","","","","","1","1","66","55","11","83.33"
"Kalvi  West","","","","","1","11","3146","3112","34","98.92"
"Kammarchedu","","","","","1","1","368","312","56","84.78"
"Kanakapur .B.C.","","","","","1","3","274","229","45","83.58"
"Kandagal","","","","","1","2","429","374","55","87.18"
"Kannanayakanakatte","","","","","1","1","172","144","28","83.72"
"Kannehalli","","","","","1","1","249","208","41","83.53"
"Kanvithimmalapura","","","","","1","2","618","523","95","84.63"
"Kappagallu","","","","","1","5","1843","1759","84","95.44"
"Karchiganur","","","","","1","1","191","162","29","84.82"
"Karekal","","","","","1","1","301","252","49","83.72"
"Karekal Veerapura","","","","","1","2","849","717","132","84.45"
"Karichedu","","","","","1","1","252","213","39","84.52"
"Karikeri","","","","","1","1","209","175","34","83.73"
"Karthikeshwar","","","","","1","2","483","410","73","84.89"
"Karur","","","","","1","1","1190","998","192","83.87"
"Kasapura","","","","","1","1","154","143","11","92.86"
"Katebennuru","","","","","1","2","1135","1067","68","94.01"
"Kenchagarabelagal","","","","","1","4","1679","1424","255","84.81"
"Kenchamallanahalli","","","","","1","6","830","767","63","92.41"
"Kenchanagudda","","","","","1","11","1153","1036","117","89.85"
"Kesarakoni","","","","","1","3","98","93","5","94.90"
"Kithanur","","","","","1","1","392","328","64","83.67"
"Kodalu","","","","","1","1","302","253","49","83.77"
"Kodihalli","","","","","1","4","387","359","28","92.76"
"Kogali","","","","","1","1","608","510","98","83.88"
"Kogali-Samatu Kodihalli","","","","","1","4","1773","1628","145","91.82"
"Koilaragatti","","","","","1","3","510","433","77","84.90"
"Kolagallu","","","","","1","9","3755","3651","104","97.23"
"Kolur","","","","","1","7","1366","1208","158","88.43"
"Komaranahalli","","","","","1","1","75","63","12","84.00"
"Kombihalli","","","","","1","1","115","97","18","84.35"
"Kombli","","","","","1","4","917","837","80","91.28"
"Konchigeri","","","","","1","1","564","472","92","83.69"
"Korlagundi","","","","","1","1","1167","979","188","83.89"
"Kotal Camp","","","","","1","2","2289","1937","352","84.62"
"Kotanakal","","","","","1","2","236","204","32","86.44"
"Kotehal","","","","","1","1","184","154","30","83.70"
"Kotehalsugur","","","","","1","8","950","885","65","93.16"
"Kotihal","","","","","1","1","36","31","5","86.11"
"Kottalachinta","","","","","1","1","260","218","42","83.85"
"Kottiginahal","","","","","1","1","79","66","13","83.54"
"Krishnanagar","","","","","1","1","778","652","126","83.80"
"Krishnapura","","","","","1","1","20","16","4","80.00"
