"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ahmadabad","","","","","1","2","925","760","165","82.16"
"Aknapur","","","","","1","1","50","41","9","82.00"
"Alamkeri","","","","","1","1","3","2","1","66.67"
"Alandi","","","","","1","2","898","736","162","81.96"
"Algood","","","","","1","2","697","565","132","81.06"
"Aliamber","","","","","1","8","1883","1535","348","81.52"
"Alipur","","","","","1","3","2866","2361","505","82.38"
"Allabad","","","","","1","3","268","246","22","91.79"
"Allapur","","","","","1","2","652","534","118","81.90"
"Allapur","","","","","1","1","89","72","17","80.90"
"Allura","","","","","1","2","386","312","74","80.83"
"Almaspur","","","","","1","2","343","282","61","82.22"
"Alur (B)","","","","","1","2","196","160","36","81.63"
"Alur(K)","","","","","1","12","786","664","122","84.48"
"Alwai","","","","","1","6","1186","1039","147","87.61"
"Ambalpad","","","","","1","2","338","278","60","82.25"
"Ambesangu","","","","","1","2","687","561","126","81.66"
"Ameerabad","","","","","1","2","303","258","45","85.15"
"Amlapur","","","","","1","2","1549","1265","284","81.67"
"Anandwadi","","","","","1","3","611","500","111","81.83"
"Andura","","","","","1","2","392","319","73","81.38"
"Ashoknagar","","","","","1","1","33","27","6","81.82"
"Ashtoor","","","","","1","2","606","489","117","80.69"
"Atiwal","","","","","1","2","835","685","150","82.04"
"Atlapur","","","","","1","2","279","226","53","81.00"
"Atnoor","","","","","1","2","398","327","71","82.16"
"Atterga","","","","","1","2","697","569","128","81.64"
"Attur","","","","","1","5","2438","2379","59","97.58"
"Atwal","","","","","1","2","350","285","65","81.43"
"Aurad (Rural)","","","","","1","1","33","27","6","81.82"
"Aurad (S)","","","","","1","6","1885","1550","335","82.23"
"Ayazpur","","","","","1","2","728","597","131","82.01"
"Babli","","","","","1","1","140","113","27","80.71"
"Bachepalli","","","","","1","1","151","122","29","80.79"
"Badalgaon","","","","","1","3","343","300","43","87.46"
"Badjawalga","","","","","1","2","457","371","86","81.18"
"Bagdal","","","","","1","5","2435","1997","438","82.01"
"Bagduri","","","","","1","2","410","335","75","81.71"
"Bage-E-Gornalli","","","","","1","1","222","217","5","97.75"
"Bage-Shahi","","","","","1","1","222","217","5","97.75"
"Bahirnahalli","","","","","1","1","426","398","28","93.43"
"Bahirnalli","","","","","1","2","370","301","69","81.35"
"Bakchawadi","","","","","1","2","578","469","109","81.14"
"Balad (K)","","","","","1","2","612","499","113","81.54"
"Balat (B)","","","","","1","2","449","366","83","81.51"
"Ballur Janwada","","","","","1","2","410","335","75","81.71"
"Balur","","","","","1","1","203","164","39","80.79"
"Balur","","","","","1","8","1806","1492","314","82.61"
"Bambalgi","","","","","1","2","388","314","74","80.93"
"Bannalli","","","","","1","2","745","607","138","81.48"
"Bapur","","","","","1","2","1276","1050","226","82.29"
"Bardapur","","","","","1","2","761","703","58","92.38"
"Bardapur","","","","","1","1","157","126","31","80.25"
"Baridabad","","","","","1","2","966","792","174","81.99"
"Barur","","","","","1","5","1668","1483","185","88.91"
"Basanthpur","","","","","1","2","366","298","68","81.42"
"Basavakalyan ( R)","","","","","1","1","36","36","0","100.00"
"Bashirapur","","","","","1","2","606","495","111","81.68"
"Baskernagar","","","","","1","1","312","306","6","98.08"
"Basnal","","","","","1","1","103","84","19","81.55"
"Batgera","","","","","1","5","750","618","132","82.40"
"Baugi","","","","","1","2","771","627","144","81.32"
"Bawalgaon","","","","","1","15","521","490","31","94.05"
"Bawalpur","","","","","1","1","211","207","4","98.10"
"Bedkunda","","","","","1","1","275","222","53","80.73"
"Beeri","","","","","1","9","1460","1213","247","83.08"
"Beeri (K)","","","","","1","3","378","308","70","81.48"
"Beldhal","","","","","1","1","218","176","42","80.73"
"Belkera","","","","","1","2","1157","945","212","81.68"
"Belkuni Bhopalgad","","","","","1","2","1059","865","194","81.68"
"Belkuni Chaudhri","","","","","1","25","1563","1291","272","82.60"
"Bellura","","","","","1","2","703","571","132","81.22"
"Belur (Narayan-Khed)","","","","","1","2","422","345","77","81.75"
"Belura","","","","","1","7","4935","4773","162","96.72"
"Bemalkheda","","","","","1","2","1642","1374","268","83.68"
"Bembra","","","","","1","1","62","50","12","80.65"
"Benakanalli","","","","","1","2","758","621","137","81.93"
"Benchincholi","","","","","1","2","1000","902","98","90.20"
"Betbalkunda","","","","","1","2","622","503","119","80.87"
"Bhadrapur","","","","","1","5","4205","3469","736","82.50"
"Bhaknal","","","","","1","2","306","250","56","81.70"
"Bhalki (R)","","","","","1","1","122","119","3","97.54"
"Bhandar Kumta","","","","","1","5","641","533","108","83.15"
"Bhangoor","","","","","1","2","877","718","159","81.87"
"Bhatambra","","","","","1","5","1802","1446","356","80.24"
"Bhatsangvi","","","","","1","2","1107","1013","94","91.51"
"Bhavani Bijalgaon","","","","","1","2","492","402","90","81.71"
"Bhosga","","","","","1","2","816","688","128","84.31"
"Bolegaon","","","","","1","2","743","606","137","81.56"
"Bompalli","","","","","1","2","306","251","55","82.03"
"Bonthi","","","","","1","21","963","891","72","92.52"
"Boral","","","","","1","1","278","224","54","80.58"
"Boral","","","","","1","2","819","670","149","81.81"
"Borampalli","","","","","1","2","371","303","68","81.67"
"Borgi (Janwada)","","","","","1","2","594","485","109","81.65"
"Bothagi","","","","","1","2","414","337","77","81.40"
"Budhera","","","","","1","2","597","507","90","84.92"
"Byalhalli","","","","","1","2","415","342","73","82.41"
"Bylhalli","","","","","1","2","1124","917","207","81.58"
"Chalkapur","","","","","1","5","1826","1511","315","82.75"
"Chambool","","","","","1","2","741","603","138","81.38"
"Chandakpur","","","","","1","2","947","775","172","81.84"
"Chandanalli","","","","","1","2","956","782","174","81.80"
"Chandapur","","","","","1","2","331","270","61","81.57"
"Chandeshwar","","","","","1","1","328","265","63","80.79"
"Chandoori","","","","","1","1","354","286","68","80.79"
"Changler","","","","","1","2","1632","1334","298","81.74"
"Chatnal","","","","","1","3","388","336","52","86.60"
"Chatnalli","","","","","1","2","787","675","112","85.77"
"Chaver Fathepur","","","","","1","1","591","579","12","97.97"
"Chicknagaon","","","","","1","20","5905","5226","679","88.50"
"Chikalchanda","","","","","1","2","649","531","118","81.82"
"Chikli Janwada","","","","","1","17","1523","1449","74","95.14"
"Chikli Udgir","","","","","1","14","814","786","28","96.56"
"Chikotta(B)","","","","","1","3","713","585","128","82.05"
"Chikpet","","","","","1","1","193","156","37","80.83"
"Chillargi","","","","","1","2","717","582","135","81.17"
"Chimegaon","","","","","1","5","457","396","61","86.65"
"Chimkod","","","","","1","2","566","459","107","81.10"
"Chinkera","","","","","1","2","773","633","140","81.89"
"Chintaki","","","","","1","7","592","491","101","82.94"
"Chintalgera","","","","","1","2","363","312","51","85.95"
"Chitgoppa (Rural)","","","","","1","1","305","299","6","98.03"
"Chitkota","","","","","1","2","466","382","84","81.97"
"Chitkota (K)","","","","","1","3","710","585","125","82.39"
"Chitta","","","","","1","2","524","429","95","81.87"
"Chitta","","","","","1","3","1155","937","218","81.13"
"Chittakaldev","","","","","1","6","2218","1828","390","82.42"
"Chondi","","","","","1","5","1177","970","207","82.41"
"Chouli","","","","","1","2","382","312","70","81.68"
"Dabka(Chawar)","","","","","1","4","1320","1076","244","81.52"
"Daddapur","","","","","1","2","317","260","57","82.02"
"Dadgi","","","","","1","2","716","581","135","81.15"
"Dakulgi","","","","","1","2","907","742","165","81.81"
"Dangargaon","","","","","1","5","374","313","61","83.69"
"Daregaon","","","","","1","1","62","50","12","80.65"
"Dattankeri","","","","","1","1","103","101","2","98.06"
"Dawargaon","","","","","1","2","946","772","174","81.61"
"Devgir","","","","","1","6","1327","1091","236","82.22"
"Devnal","","","","","1","2","697","622","75","89.24"
"Dhamuri","","","","","1","2","631","520","111","82.41"
"Dhanura","","","","","1","8","3245","2842","403","87.58"
"Dhanura (K)","","","","","1","6","1417","1193","224","84.19"
"Dhanura (Raj)","","","","","1","3","299","274","25","91.64"
"Dharajwadi","","","","","1","2","296","241","55","81.42"
"Dharmapur","","","","","1","2","418","342","76","81.82"
