"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbihal","","","","","1","1","362","273","89","75.41"
"Abbihal","","","","","1","1","177","134","43","75.71"
"Adavisangapur","","","","","1","1","6","6","0","100.00"
"Advi Hulagabal","","","","","1","2","223","168","55","75.34"
"Advi Somnal","","","","","1","1","312","235","77","75.32"
"Agarkhed","","","","","1","6","1779","1377","402","77.40"
"Agasabal","","","","","1","1","260","196","64","75.38"
"Agasabal","","","","","1","1","37","37","0","100.00"
"Agasanal","","","","","1","1","316","240","76","75.95"
"Aheri","","","","","1","1","354","267","87","75.42"
"Aheri(Bheri)","","","","","1","7","1303","1074","229","82.43"
"Ahirasang","","","","","1","4","1053","786","267","74.64"
"Ainapur","","","","","1","5","1530","1262","268","82.48"
"Akalwadi","","","","","1","1","70","53","17","75.71"
"Alaginal","","","","","1","1","174","131","43","75.29"
"Alahalli","","","","","1","1","246","189","57","76.83"
"Algur","","","","","1","1","620","472","148","76.13"
"Aliyabad","","","","","1","19","1501","1264","237","84.21"
"Alkoppa","","","","","1","1","246","187","59","76.02"
"Almatti","","","","","1","3","439","364","75","82.92"
"Almel","","","","","1","1","3085","2328","757","75.46"
"Alur","","","","","1","1","368","281","87","76.36"
"Alur","","","","","1","5","768","588","180","76.56"
"Amaragol","","","","","1","1","296","225","71","76.01"
"Ambalanur","","","","","1","3","450","356","94","79.11"
"Ambalnur","","","","","1","1","171","129","42","75.44"
"Anachi","","","","","1","1","202","152","50","75.25"
"Angadageri","","","","","1","1","251","191","60","76.10"
"Animadu","","","","","1","1","33","25","8","75.76"
"Anjutagi","","","","","1","7","1599","1309","290","81.86"
"Ankalagi","","","","","1","7","761","576","185","75.69"
"Antargangi","","","","","1","1","219","165","54","75.34"
"Arajanal","","","","","1","1","328","247","81","75.30"
"Arakeri","","","","","1","30","2854","2281","573","79.92"
"Araladinni","","","","","1","1","293","226","67","77.13"
"Arasanal","","","","","1","1","238","180","58","75.63"
"Arasangi","","","","","1","1","187","141","46","75.40"
"Are Shankar","","","","","1","1","123","93","30","75.61"
"Aremural","","","","","1","1","108","81","27","75.00"
"Areshankar","","","","","1","1","173","131","42","75.72"
"Arjunagi","","","","","1","6","917","742","175","80.92"
"Arjunagi [B.K.]","","","","","1","4","1016","768","248","75.59"
"Arjunagi [K.H.]","","","","","1","2","656","494","162","75.30"
"Asangi (B.K.)","","","","","1","2","392","296","96","75.51"
"Asangi (K.D.)","","","","","1","2","546","412","134","75.46"
"Asangihal","","","","","1","1","286","219","67","76.57"
"Asantapur","","","","","1","1","119","91","28","76.47"
"Aski","","","","","1","1","785","592","193","75.41"
"Atalatti","","","","","1","2","51","51","0","100.00"
"Atharga","","","","","1","12","2477","1881","596","75.94"
"Babalad","","","","","1","1","270","206","64","76.30"
"Babalad","","","","","1","3","498","375","123","75.30"
"Babaleshwar","","","","","1","8","2803","2653","150","94.65"
"Babanagar","","","","","1","5","1076","1015","61","94.33"
"Bableshwar","","","","","1","1","269","203","66","75.46"
"Bachihal","","","","","1","1","713","698","15","97.90"
"Bagalur","","","","","1","1","501","385","116","76.85"
"Bailkur","","","","","1","1","147","111","36","75.51"
"Balabatti","","","","","1","1","421","319","102","75.77"
"Baladinni","","","","","1","1","244","184","60","75.41"
"Balaganur","","","","","1","1","625","481","144","76.96"
"Balaganur","","","","","1","1","1233","931","302","75.51"
"Balawat","","","","","1","1","332","252","80","75.90"
"Ballolli","","","","","1","3","799","609","190","76.22"
"Baluti . R.C","","","","","1","1","555","424","131","76.40"
"Banahatti(P.A)","","","","","1","2","658","496","162","75.38"
"Bandal","","","","","1","1","466","353","113","75.75"
"Bangaragund","","","","","1","1","85","64","21","75.29"
"Bannihatti","","","","","1","1","68","51","17","75.00"
"Bannihatti(P.T)","","","","","1","2","412","310","102","75.24"
"Banoshi","","","","","1","1","143","108","35","75.52"
"Baragudi","","","","","1","3","440","330","110","75.00"
"Baratagi","","","","","1","30","1388","1033","355","74.42"
"Bardol","","","","","1","15","1505","1176","329","78.14"
"Basanal","","","","","1","3","455","342","113","75.16"
"Basarkod","","","","","1","1","938","710","228","75.69"
