"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Devarahalli","","","","","1","2","200","140","60","70.00"
"Achattipura","","","","","1","1","89","71","18","79.78"
"Agara","","","","","1","4","2260","1300","960","57.52"
"Agathagowdanahalli","","","","","1","1","428","365","63","85.28"
"Agrahara","","","","","1","1","80","80","0","100.00"
"Ajjipura","","","","","1","9","3160","3160","0","100.00"
"Alagumole","","","","","1","1","120","120","0","100.00"
"Alahalli","","","","","1","1","253","253","0","100.00"
"Alathur","","","","","1","3","1331","1095","236","82.27"
"Alavady","","","","","1","1","377","321","56","85.15"
"Aldur","","","","","1","5","2216","1811","405","81.72"
"Alkereagrahara","","","","","1","2","1200","260","940","21.67"
"Alur","","","","","1","1","179","153","26","85.47"
"Amachavadi","","","","","1","6","3804","3132","672","82.33"
"Ambale","","","","","1","1","1400","854","546","61.00"
"Ameerahosahalli","","","","","1","1","179","153","26","85.47"
"Ammanapura","","","","","1","2","807","675","132","83.64"
"Anapura","","","","","1","1","90","90","0","100.00"
"Andipalya","","","","","1","7","430","430","0","100.00"
"Ankahalli","","","","","1","2","819","677","142","82.66"
"Ankanasettypura","","","","","1","1","380","304","76","80.00"
"Annur","","","","","1","2","2675","2276","399","85.08"
"Arabigere-75","","","","","1","2","140","48","92","34.29"
"Arabigere-85","","","","","1","15","675","592","83","87.70"
"Arakalavadi","","","","","1","1","675","540","135","80.00"
"Aralikatte","","","","","1","1","360","288","72","80.00"
"Arepalya","","","","","1","1","132","132","0","100.00"
"Arepalya Beat","","","","","1","1","86","86","0","100.00"
"Arepura","","","","","1","1","264","225","39","85.23"
"Attagulipura","","","","","1","5","1736","1419","317","81.74"
"Avalkandalli","","","","","1","2","1800","516","1284","28.67"
"Ayyanapura","","","","","1","6","1371","1151","220","83.95"
"Bachahalli","","","","","1","1","616","525","91","85.23"
"Bachanahalli","","","","","1","1","248","198","50","79.84"
"Badagalapura","","","","","1","1","203","162","41","79.80"
"Badanaguppe","","","","","1","2","1458","1158","300","79.42"
"Bagali","","","","","1","2","1186","979","207","82.55"
"Balachavady","","","","","1","1","358","305","53","85.20"
"Ballahalli","","","","","1","1","248","198","50","79.84"
"Banagavadi","","","","","1","1","380","304","76","80.00"
"Banahalli","","","","","1","1","298","238","60","79.87"
"Bandalli","","","","","1","7","5270","3915","1355","74.29"
"Bandigere","","","","","1","1","635","508","127","80.00"
"Bandigowdanahalli","","","","","1","1","308","246","62","79.87"
"Bandipura","","","","","1","1","377","321","56","85.15"
"Bandipura District Forest","","","","","1","1","179","153","26","85.47"
"Bandipura State Forest","","","","","1","1","248","198","50","79.84"
"Bannisarige","","","","","1","1","550","210","340","38.18"
"Bannithalapura","","","","","1","2","1206","1015","191","84.16"
"Baragi","","","","","1","5","2070","1744","326","84.25"
"Basavanapura","","","","","1","1","201","161","40","80.10"
"Basavapura","","","","","1","3","1829","1598","231","87.37"
"Basavapura","","","","","1","1","138","118","20","85.51"
"Basavatti","","","","","1","1","132","106","26","80.30"
"Basthipura","","","","","1","1","28","21","7","75.00"
"Bataguppa","","","","","1","1","120","120","0","100.00"
"Bedaguli","1","0","0","1","1","3","821","711","110","86.60"
"Bedarapura","","","","","1","1","429","343","86","79.95"
"Begur","","","","","1","2","1164","979","185","84.11"
"Belachalavadi","","","","","1","1","501","427","74","85.23"
"Belakuppe","","","","","1","1","360","288","72","80.00"
"Belathur","","","","","1","1","900","457","443","50.78"
"Belavadi","","","","","1","2","586","503","83","85.84"
"Bellaji Beat","1","1","0","0","1","1","6","6","0","100.00"
"Bendagalli","","","","","1","1","192","164","28","85.42"
"Bendaravadi","","","","","1","1","108","92","16","85.19"
"Bendaravady","","","","","1","5","1419","1149","270","80.97"
"Berambadi","","","","","1","3","1334","1105","229","82.83"
"Berambadi District Forest","","","","","1","1","1","1","0","100.00"
"Berambadi State Forest","","","","","1","2","28","24","4","85.71"
"Beratahalli","","","","","1","1","377","321","56","85.15"
"Bettadamadahalli","","","","","1","1","179","153","26","85.47"
"Bettadapura","","","","","1","1","291","233","58","80.07"
"Bettahalli","","","","","1","1","608","477","131","78.45"
"Bettahalli","","","","","1","1","383","327","56","85.38"
"Bevinathalapura","","","","","1","1","186","149","37","80.11"
"Bhadrayyanahalli","","","","","1","1","250","250","0","100.00"
"Bheemanabeedu","","","","","1","1","1064","907","157","85.24"
"Bhogapura","","","","","1","1","363","290","73","79.89"
"Bhogganapura","","","","","1","1","168","127","41","75.60"
"Biligiriranganabetta","","","","","1","14","985","164","821","16.65"
"Bisalavadi","","","","","1","3","1697","1358","339","80.02"
"Bokkepura","","","","","1","1","161","129","32","80.12"
"Bommalapura","","","","","1","1","854","741","113","86.77"
"Bommanahalli","","","","","1","12","4843","3826","1017","79.00"
"Bommanahalli","","","","","1","1","507","432","75","85.21"
"Boodabalu","","","","","1","5","189","189","0","100.00"
"Boodamballi","","","","","1","3","687","550","137","80.06"
"Boodithittu","","","","","1","1","217","174","43","80.18"
"Bujaganapura","","","","","1","3","451","361","90","80.04"
"Byadamudlu","","","","","1","1","527","422","105","80.08"
"Bylur","","","","","1","12","2319","2001","318","86.29"
"Byranatha","","","","","1","1","400","400","0","100.00"
"C.M.Samudra","","","","","1","2","600","600","0","100.00"
"Cauvery Beat","","","","","1","1","50","50","0","100.00"
"Chamarajanagar [R]","","","","","1","2","474","380","94","80.17"
"Chandakavadi","","","","","1","2","1023","819","204","80.06"
"Changadarahalli","","","","","1","5","1350","1350","0","100.00"
"Changadi","","","","","1","1","180","180","0","100.00"
"Channalinganahalli","","","","","1","1","500","500","0","100.00"
"Channamallipura","","","","","1","3","629","527","102","83.78"
"Channappanapura","","","","","1","1","244","195","49","79.92"
"Channur Beat","","","","","1","1","115","115","0","100.00"
"Chatipura","","","","","1","1","531","425","106","80.04"
"Chikanapura","","","","","1","1","128","110","18","85.94"
"Chikkabegur","","","","","1","2","396","316","80","79.80"
"Chikkamalapura","","","","","1","3","1050","1050","0","100.00"
"Chikkathuppur","","","","","1","2","771","661","110","85.73"
"Chikkati","","","","","1","1","559","477","82","85.33"
"Chikkilur","","","","","1","16","1050","821","229","78.19"
"Chikkinduvadi","","","","","1","2","98","98","0","100.00"
"Chilakavadi","","","","","1","3","584","584","0","100.00"
"Chinchalli","","","","","1","5","2623","2623","0","100.00"
"Chirakanahalli","","","","","1","1","288","246","42","85.42"
"Chowdahalli","","","","","1","1","201","177","24","88.06"
"Cowdalli","","","","","1","2","2200","2200","0","100.00"
"Cowdalli Beat","","","","","1","1","800","800","0","100.00"
"D.M.Samudra","","","","","1","8","2180","2180","0","100.00"
"Dantalli","","","","","1","2","450","450","0","100.00"
"Daribegur","","","","","1","1","109","93","16","85.32"
"Dasanapura","","","","","1","1","165","165","0","100.00"
"Demahalli","","","","","1","4","1138","911","227","80.05"
"Depapura","","","","","1","1","252","215","37","85.32"
"Desavalli","","","","","1","1","224","179","45","79.91"
"Deshipura","","","","","1","6","1353","1097","256","81.08"
"Devalapura","","","","","1","1","113","90","23","79.65"
"Devalapura","","","","","1","1","1","1","0","100.00"
"Devarahalli","","","","","1","1","344","293","51","85.17"
"Devarajapura","","","","","1","1","115","101","14","87.83"
"Dhanagere","","","","","1","2","303","303","0","100.00"
"Dinnahalli","","","","","1","11","1480","1480","0","100.00"
"Dinnahalli Beat","","","","","1","1","20","20","0","100.00"
"Doddalathur","","","","","1","1","350","350","0","100.00"
"Doddamole","","","","","1","1","763","610","153","79.95"
"Doddani Beat","","","","","1","1","30","30","0","100.00"
"Doddathuppur","","","","","1","1","284","242","42","85.21"
"Doddinduvadi","","","","","1","1","1215","1215","0","100.00"
"Dollipura","","","","","1","1","145","116","29","80.00"
"Duggahatti","","","","","1","1","400","201","199","50.25"
"Dumdasanapura","","","","","1","1","138","108","30","78.26"
"Duyamkandalli","","","","","1","2","400","376","24","94.00"
"Ellemala","","","","","1","5","1322","1322","0","100.00"
"Ellemala Beat","","","","","1","1","120","120","0","100.00"
"Erasavadi","","","","","1","1","650","520","130","80.00"
"Ganaganur","","","","","1","7","2754","2205","549","80.07"
"Gangadharakatte","","","","","1","1","100","100","0","100.00"
"Ganganadoddi","","","","","1","6","880","880","0","100.00"
"Gangavadi","","","","","1","1","363","290","73","79.89"
"Gangavadi","","","","","1","1","505","412","93","81.58"
"Ganiganur","","","","","1","2","400","250","150","62.50"
"Garaganahalli","","","","","1","1","141","120","21","85.11"
"Gopinatham","","","","","1","1","300","300","0","100.00"
"Gopinatham Beat","","","","","1","6","550","500","50","90.91"
"Goreyur","","","","","1","1","250","250","0","100.00"
"Govindavadi","","","","","1","2","979","784","195","80.08"
"Gowdahalli","","","","","1","1","500","312","188","62.40"
"Gulipura","","","","","1","1","482","386","96","80.08"
"Gumballi","","","","","1","3","925","431","494","46.59"
"Gundal 'A' Beat","","","","","1","1","122","122","0","100.00"
"Gundegala","","","","","1","1","312","312","0","100.00"
"Guruvinapura","","","","","1","1","266","227","39","85.34"
"H.Mookahalli","","","","","1","2","554","444","110","80.14"
"Hagalabele","","","","","1","1","128","101","27","78.91"
"Hakkalapura","","","","","1","1","151","129","22","85.43"
"Halladamadahalli","","","","","1","1","195","166","29","85.13"
"Halladapura","","","","","1","1","308","261","47","84.74"
"Hampapura","","","","","1","2","500","500","0","100.00"
"Hanahalli","","","","","1","2","360","290","70","80.56"
"Hanchipura","","","","","1","1","201","161","40","80.10"
"Hanchithalapura","","","","","1","1","59","47","12","79.66"
"Handarakalli","","","","","1","3","1159","926","233","79.90"
"Hangala","","","","","1","1","1440","1228","212","85.28"
"Hangaladahosahalli","","","","","1","1","165","142","23","86.06"
"Hangalapura","","","","","1","1","212","181","31","85.38"
"Hangarepura","","","","","1","1","11","9","2","81.82"
"Hanumanapura","","","","","1","1","139","111","28","79.86"
"Hanur Beat","","","","","1","1","20","20","0","100.00"
"Haradanahalli","","","","","1","4","1939","1550","389","79.94"
"Haradanahalli District Forest","","","","","1","2","48","38","10","79.17"
"Haradanahalli District Forest Ii","","","","","1","2","1146","916","230","79.93"
"Haraganapura","","","","","1","1","10","10","0","100.00"
"Harale","","","","","1","3","398","398","0","100.00"
"Haravanapura","","","","","1","1","512","512","0","100.00"
"Harave","","","","","1","2","1325","1060","265","80.00"
"Hasaguli","","","","","1","1","527","449","78","85.20"
"Hebbasur","","","","","1","3","1820","1455","365","79.95"
"Heggadahalli","","","","","1","1","245","209","36","85.31"
"Heggavadi","","","","","1","1","139","111","28","79.86"
"Heggavadi","","","","","1","1","154","131","23","85.06"
"Heggavadi","","","","","1","1","303","242","61","79.87"
"Heggavadipura","","","","","1","1","252","202","50","80.16"
"Heggotara","","","","","1","1","742","594","148","80.05"
"Hirebegur","","","","","1","1","246","197","49","80.08"
"Hirikati","","","","","1","3","1323","1108","215","83.75"
"Homma","","","","","1","1","287","230","57","80.14"
"Honakanahalli","","","","","1","1","179","153","26","85.47"
"Hondarabalu","","","","","1","14","1509","1212","297","80.32"
"Hondarabalu","","","","","1","2","311","249","62","80.06"
"Hongahalli","","","","","1","1","434","370","64","85.25"
"Hongalavadi","","","","","1","1","103","82","21","79.61"
