"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abakavaripalli","","","","","1","1","64","63","1","98.44"
"Abbaludu","","","","","1","3","347","337","10","97.12"
"Achaganapalli","","","","","1","3","410","404","6","98.54"
"Achepalli","","","","","1","1","188","185","3","98.40"
"Adavigollavarahalli","","","","","1","2","314","304","10","96.82"
"Addagal","","","","","1","2","137","133","4","97.08"
"Addekoppa","","","","","1","1","146","144","2","98.63"
"Adepalli","","","","","1","1","41","40","1","97.56"
"Adiganapalli","","","","","1","1","109","107","2","98.17"
"Adinarayanahalli","","","","","1","1","44","43","1","97.73"
"Agalagurki","","","","","1","1","399","388","11","97.24"
"Agatamdike","","","","","1","2","120","118","2","98.33"
"Agrahara","","","","","1","1","41","40","1","97.56"
"Agraharahalli","","","","","1","1","37","36","1","97.30"
"Agraharahosahalli","","","","","1","1","146","144","2","98.63"
"Ajjakadirenahalli","","","","","1","1","52","51","1","98.08"
"Ajjavara","","","","","1","1","288","280","8","97.22"
"Akalathimmanahalli","","","","","1","1","47","46","1","97.87"
"Akkimangala","","","","","1","1","155","152","3","98.06"
"Akkimangala Bussanahalli","","","","","1","1","155","152","3","98.06"
"Alagurki","","","","","1","4","152","150","2","98.68"
"Alakapura","","","","","1","10","997","982","15","98.50"
"Alambagiri","","","","","1","2","267","262","5","98.13"
"Alapalli","","","","","1","2","123","121","2","98.37"
"Alas Thimmanahalli","","","","","1","1","88","87","1","98.86"
"Aligadirenahalli","","","","","1","1","34","33","1","97.06"
"Allipura (CT)","","","","","1","3","1718","1700","18","98.95"
"Amani Balladakere","","","","","1","1","24","24","0","100.00"
"Amani Bandammanakere","","","","","1","1","24","24","0","100.00"
"Amani Byrasagara","","","","","1","1","10","9","1","90.00"
"Amani Dasenahalli","","","","","1","1","24","24","0","100.00"
"Amani Doddamaralikere","","","","","1","1","37","36","1","97.30"
"Amani Gopalakrishnakere","","","","","1","1","47","46","1","97.87"
"Amani Kandavarakere","","","","","1","2","130","0","130","0.00"
"Amani Keelukuntekere","","","","","1","2","216","212","4","98.15"
"Amani Manchanabelekere","","","","","1","1","2","2","0","100.00"
"Amani Mavukere","","","","","1","1","2","2","0","100.00"
"Amani Poornasagarakere","","","","","1","2","4","4","0","100.00"
"Amani Reddihallikere","","","","","1","1","2","2","0","100.00"
"Amani Thimmasanikere","","","","","1","1","6","6","0","100.00"
"Amaravathi","","","","","1","1","80","78","2","97.50"
"Ambiganahalli","","","","","1","1","87","85","2","97.70"
"Amitahalli","","","","","1","1","74","73","1","98.65"
"Amitiganahalli","","","","","1","1","51","50","1","98.04"
"Ammagarahalli","","","","","1","2","191","188","3","98.43"
"Ammanakere","","","","","1","1","123","121","2","98.37"
"Ampalli","","","","","1","1","51","50","1","98.04"
"Anagattahalli","","","","","1","1","74","73","1","98.65"
"Anakalamadagu","","","","","1","1","125","123","2","98.40"
"Anakallu","","","","","1","1","106","104","2","98.11"
"Anakanur","","","","","1","1","204","200","4","98.04"
"Andarlahalli","","","","","1","1","214","208","6","97.20"
"Anemadagu","","","","","1","2","449","440","9","98.00"
"Anemadagu","","","","","1","1","11","10","1","90.91"
"Angarekanahalli","","","","","1","2","287","281","6","97.91"
"Angatta","","","","","1","1","133","129","4","96.99"
"Ankanagondi","","","","","1","1","114","111","3","97.37"
"Ankathatti","","","","","1","1","61","60","1","98.36"
"Annapalli","","","","","1","1","70","70","0","100.00"
"Annepalli","","","","","1","1","9","9","0","100.00"
"Anoor","","","","","1","1","9","9","0","100.00"
"Anudi","","","","","1","1","291","288","3","98.97"
"Anur","","","","","1","2","584","573","11","98.12"
"Anur Hunasenahalli","","","","","1","2","288","282","6","97.92"
"Anur Thimmanahalli","","","","","1","1","77","75","2","97.40"
"Appasanihalli","","","","","1","1","129","126","3","97.67"
"Appegowdanahalli","","","","","1","1","204","200","4","98.04"
"Appireddihalli","","","","","1","4","316","308","8","97.47"
"Arasalbande","","","","","1","1","172","170","2","98.84"
"Arasanahalli","","","","","1","1","117","114","3","97.44"
"Arigepalli","","","","","1","2","117","115","2","98.29"
"Arigevarigutta","","","","","1","4","275","270","5","98.18"
"Arikere","","","","","1","2","144","140","4","97.22"
"Arikere","","","","","1","1","131","128","3","97.71"
"Arkunda","","","","","1","1","167","165","2","98.80"
"Aroor","","","","","1","5","426","413","13","96.95"
"Atagollahalli","","","","","1","1","32","31","1","96.88"
"Athiganahalli","","","","","1","1","115","113","2","98.26"
"Atturu","","","","","1","1","173","173","0","100.00"
