"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Rangapura","","","","","1","1","111","95","16","85.59"
"Aadigere","","","","","1","1","75","64","11","85.33"
"Abbinaholalu","","","","","1","1","83","83","0","100.00"
"Abrugodige Estate","","","","","1","1","42","36","6","85.71"
"Addada","","","","","1","13","278","254","24","91.37"
"Addagadde","","","","","1","10","133","113","20","84.96"
"Adigebylu","","","","","1","22","446","406","40","91.03"
"Aduvalli","","","","","1","14","337","291","46","86.35"
"Agalagandi","","","","","1","15","315","281","34","89.21"
"Agrahara","","","","","1","1","170","146","24","85.88"
"Ajjampura","","","","","1","2","2241","1924","317","85.85"
"Aladagudde","","","","","1","1","37","37","0","100.00"
"Aladahalli","","","","","1","2","84","72","12","85.71"
"Aladahalli","","","","","1","1","78","67","11","85.90"
"Aladahalli","","","","","1","2","113","98","15","86.73"
"Alagatta","","","","","1","1","117","100","17","85.47"
"Alagatta","","","","","1","2","177","140","37","79.10"
"Aldur","","","","","1","16","946","840","106","88.79"
"Alehalli","","","","","1","10","132","114","18","86.36"
"Alekhan Estate","","","","","1","1","70","67","3","95.71"
"Allampura","","","","","1","2","358","308","50","86.03"
"Ambinakodige","","","","","1","1","19","16","3","84.21"
"Amble","","","","","1","4","666","572","94","85.89"
"Ammadi Estate","","","","","1","1","42","38","4","90.48"
"Amrutapura","","","","","1","1","197","169","28","85.79"
"Anajooru","","","","","1","1","135","116","19","85.93"
"Anche  Chomanahalli","","","","","1","2","234","209","25","89.32"
"Angadi","","","","","1","3","283","243","40","85.87"
"Angajanahalli","","","","","1","1","470","403","67","85.74"
"Aniganahalli","","","","","1","1","23","20","3","86.96"
"Annapura","","","","","1","1","65","56","9","86.15"
"Annegere","","","","","1","1","91","78","13","85.71"
"Annegere","","","","","1","3","562","483","79","85.94"
"Annindadike","","","","","1","2","36","32","4","88.89"
"Anoor","","","","","1","7","318","283","35","88.99"
"Antharagatte","","","","","1","1","361","310","51","85.87"
"Anuvanahalli","","","","","1","1","218","187","31","85.78"
"Arabala","","","","","1","1","124","106","18","85.48"
"Aradavalli","","","","","1","6","536","460","76","85.82"
"Aralaguppe","","","","","1","5","538","462","76","85.87"
"Aralikoppa","","","","","1","7","191","164","27","85.86"
"Aramane Thalagur","","","","","1","2","171","147","24","85.96"
"Aramballi","","","","","1","2","25","21","4","84.00"
"Arasinaguppe","","","","","1","1","317","272","45","85.80"
"Arebidacoor Estate","","","","","1","1","45","39","6","86.67"
"Arehalli","","","","","1","1","232","199","33","85.78"
"Arekallahalli","","","","","1","1","55","47","8","85.45"
"Arenahalli","","","","","1","1","41","35","6","85.37"
"Arenoor","","","","","1","3","163","140","23","85.89"
"Arsikere","","","","","1","1","111","95","16","85.59"
"Asagodu","","","","","1","15","199","171","28","85.93"
"Asanabalu","","","","","1","16","133","118","15","88.72"
"Asandi","","","","","1","1","487","418","69","85.83"
"Asunde","","","","","1","1","4","3","1","75.00"
"Athigiri","","","","","1","1","86","74","12","86.05"
"Attiganalu","","","","","1","1","63","54","9","85.71"
"Attigatta","","","","","1","1","76","65","11","85.53"
"Attigere","","","","","1","2","132","114","18","86.36"
"Attikudige","","","","","1","23","275","232","43","84.36"
"Attimogge","","","","","1","1","231","198","33","85.71"
"Avathi","","","","","1","6","581","539","42","92.77"
"B.Basavanahalli","","","","","1","2","153","126","27","82.35"
"B.Bommenahalli","","","","","1","1","27","23","4","85.19"
"B.Hosahalli","","","","","1","1","119","102","17","85.71"
"B.Kanabur","","","","","1","16","1336","1271","65","95.13"
"B.Kodihalli","","","","","1","1","120","103","17","85.83"
"B.Mallenahalli","","","","","1","1","62","53","9","85.48"
"B.T.Mallenahalli","","","","","1","3","302","266","36","88.08"
"Badagabylu","","","","","1","8","217","178","39","82.03"
"Bagaithu","","","","","1","1","21","18","3","85.71"
"Bagamane","","","","","1","1","63","55","8","87.30"
"Baganeheddalu","","","","","1","1","10","9","1","90.00"
"Baggasagodu","","","","","1","1","255","219","36","85.88"
"Baggavalli","","","","","1","1","395","339","56","85.82"
"Baggavalli Kaval","","","","","1","1","395","339","56","85.82"
"Bakki","","","","","1","4","175","151","24","86.29"
"Balagere","","","","","1","6","73","62","11","84.93"
"Bale","","","","","1","13","275","243","32","88.36"
"Balehalli","","","","","1","6","213","194","19","91.08"
"Balekadi","","","","","1","7","62","51","11","82.26"
"Balekoppa","","","","","1","4","109","101","8","92.66"
"Balenahalli","","","","","1","1","93","80","13","86.02"
"Balige","","","","","1","3","149","134","15","89.93"
"Ballavara","","","","","1","2","150","133","17","88.67"
"Ballekere","","","","","1","3","281","241","40","85.77"
"Balliganur","","","","","1","3","361","327","34","90.58"
"Balur","","","","","1","9","394","342","52","86.80"
"Balur Estate","","","","","1","1","708","608","100","85.88"
"Banakal","","","","","1","11","709","654","55","92.24"
"Banannahalli","","","","","1","1","6","5","1","83.33"
"Banavara","","","","","1","1","51","44","7","86.27"
"Bandre","","","","","1","1","41","35","6","85.37"
"Banjenahalli","","","","","1","1","212","182","30","85.85"
"Bankana Katte","","","","","1","2","388","362","26","93.30"
"Bankenahalli","","","","","1","2","131","114","17","87.02"
"Bannihatti","","","","","1","1","212","182","30","85.85"
"Bannur","","","","","1","1","115","99","16","86.09"
"Bannur","","","","","1","11","438","395","43","90.18"
"Banoor","","","","","1","1","166","143","23","86.14"
"Bantiganahalli","","","","","1","1","332","285","47","85.84"
"Banur","","","","","1","1","480","412","68","85.83"
"Baramanahalli","","","","","1","1","25","25","0","100.00"
"Bargenahalli","","","","","1","1","237","203","34","85.65"
"Barimale Estate","","","","","1","1","3","2","1","66.67"
"Basagal","","","","","1","3","126","111","15","88.10"
"Basagodu","","","","","1","4","204","177","27","86.76"
"Basapura","","","","","1","2","134","119","15","88.81"
"Basaravalli","","","","","1","1","85","73","12","85.88"
"Basavanahalli","","","","","1","1","129","111","18","86.05"
"Basavanahalli","","","","","1","1","129","111","18","86.05"
"Basavapura","","","","","1","1","70","69","1","98.57"
"Basavapura","","","","","1","1","152","130","22","85.53"
"Basuru","","","","","1","2","277","236","41","85.20"
"Basurukaval","","","","","1","1","2","1","1","50.00"
"Beejavalli","","","","","1","1","48","41","7","85.42"
"Beekanahalli (Rural)","","","","","1","1","21","18","3","85.71"
"Beekanahallikaval","","","","","1","1","21","18","3","85.71"
"Beeranahalli","","","","","1","1","297","255","42","85.86"
"Beeranahalli","","","","","1","1","78","67","11","85.90"
"Beeranahalli","","","","","1","1","86","74","12","86.05"
"Beernahalli","","","","","1","1","60","60","0","100.00"
"Begar","","","","","1","7","143","123","20","86.01"
"Begur","","","","","1","1","313","269","44","85.94"
"Belagola","","","","","1","10","171","145","26","84.80"
"Belandur","","","","","1","13","244","228","16","93.44"
"Belavinakodige","","","","","1","21","178","147","31","82.58"
"Belawadi","","","","","1","3","558","479","79","85.84"
"Belawadi","","","","","1","2","36","31","5","86.11"
"Belenahalli","","","","","1","1","183","157","26","85.79"
"Belibasavanahalli","","","","","1","1","5","4","1","80.00"
"Bellur","","","","","1","4","79","68","11","86.08"
"Beranagodu","","","","","1","3","134","116","18","86.57"
"Bertikere","","","","","1","1","44","38","6","86.36"
"Bethadakolalu","","","","","1","8","206","176","30","85.44"
"Bettadahalli","","","","","1","1","373","320","53","85.79"
"Bettadamalali","","","","","1","1","195","167","28","85.64"
"Bettadamane","","","","","1","2","204","181","23","88.73"
"Bettadavarekere","","","","","1","1","219","188","31","85.84"
"Bettagere","","","","","1","4","228","199","29","87.28"
"Bettagere","","","","","1","17","185","157","28","84.86"
"Bhaktana Katte","","","","","1","1","254","218","36","85.83"
"Bhaktharahalli","","","","","1","1","56","48","8","85.71"
"Bhandigadi","","","","","1","22","333","292","41","87.69"
"Bhavikere","","","","","1","1","871","748","123","85.88"
"Bhoothanahalli","","","","","1","1","2","1","1","50.00"
"Bhuyanakote","","","","","1","18","238","214","24","89.92"
"Bidarahalli","","","","","1","5","316","289","27","91.46"
"Bidare","","","","","1","11","590","513","77","86.95"
"Biggadevanahalli","","","","","1","1","61","52","9","85.25"
"Bigganahalli","","","","","1","2","158","152","6","96.20"
"Bikkarane","","","","","1","1","62","53","9","85.48"
"Bikkemane","","","","","1","1","37","32","5","86.49"
"Bilagadde","","","","","1","24","259","219","40","84.56"
"Bilagali","","","","","1","2","132","114","18","86.36"
"Bilagola","","","","","1","1","427","420","7","98.36"
"Bilalkoppa","","","","","1","1","4","3","1","75.00"
"Bilekallahalli","","","","","1","1","38","38","0","100.00"
"Billahalli","","","","","1","1","150","129","21","86.00"
"Billenahalli","","","","","1","1","21","18","3","85.71"
"Biluvala","","","","","1","2","365","321","44","87.95"
"Biluvalakaval","","","","","1","1","54","46","8","85.19"
"Bindiga","","","","","1","8","749","707","42","94.39"
"Binnadi","","","","","1","2","71","62","9","87.32"
"Bintravalli","","","","","1","9","304","271","33","89.14"
"Birur (Rural)","","","","","1","1","20","20","0","100.00"
"Birurkaval  (Rural)","","","","","1","1","163","140","23","85.89"
"Bisagnimutt","","","","","1","2","89","86","3","96.63"
"Bisalehalli","","","","","1","1","166","143","23","86.14"
"Bislere","","","","","1","1","272","234","38","86.03"
"Bittenahalli","","","","","1","2","314","272","42","86.62"
"Boggase","","","","","1","3","165","141","24","85.45"
"Bokikere","","","","","1","1","136","117","19","86.03"
"Bokkmallanahalli","","","","","1","1","154","132","22","85.71"
"Bolanahalli","","","","","1","2","130","111","19","85.38"
"Bolapura","","","","","1","11","116","101","15","87.07"
"Bomlapura","","","","","1","20","340","302","38","88.82"
"Bommenahalli","","","","","1","1","29","25","4","86.21"
"Bommenahalli","","","","","1","1","33","27","6","81.82"
"Bommenahalli.S","","","","","1","1","58","50","8","86.21"
"Boochenahallikaval","","","","","1","4","118","101","17","85.59"
"Boodanike","","","","","1","1","47","40","7","85.11"
"Boodiguppe","","","","","1","1","29","25","4","86.21"
"Boothanahalli","","","","","1","1","160","137","23","85.63"
"Brahmanahalli","","","","","1","1","34","27","7","79.41"
"Brahmasamudra","","","","","1","1","67","58","9","86.57"
"Bukkambudi","","","","","1","1","697","598","99","85.80"
"Bukkanagundi","","","","","1","1","23","18","5","78.26"
"Byadarahalli","","","","","1","1","119","102","17","85.71"
"Byagadihalli","","","","","1","1","111","95","16","85.59"
"Byaravalli","","","","","1","11","644","569","75","88.35"
"Byduvalli","","","","","1","3","127","109","18","85.83"
"Byduvalli Estate","","","","","1","1","27","27","0","100.00"
"Bygoor","","","","","1","3","309","265","44","85.76"
"Byladalu","","","","","1","2","302","260","42","86.09"
"Byrapura","","","","","1","1","109","94","15","86.24"
"Byrapura","","","","","1","4","168","144","24","85.71"
"Byrapura","","","","","1","1","23","20","3","86.96"
"Byrapura Estate","","","","","1","2","73","73","0","100.00"
"Byredevaru","","","","","1","16","281","251","30","89.32"
"Byregondanahalli","","","","","1","1","173","149","24","86.13"
"C.Dasarahalli","","","","","1","2","88","72","16","81.82"
"Chakkodige","","","","","1","1","56","48","8","85.71"
"Chakonahalli","","","","","1","1","147","126","21","85.71"
"Chandrapura","","","","","1","1","6","5","1","83.33"
"Chandrapura","","","","","1","1","179","154","25","86.03"
"Chandrashekarapura","","","","","1","1","47","40","7","85.11"
"Channagondanahalli","","","","","1","2","284","265","19","93.31"
"Channapura","","","","","1","1","302","259","43","85.76"
"Channapura","","","","","1","1","297","288","9","96.97"
"Channapura","","","","","1","1","142","122","20","85.92"
"Channenahalli","","","","","1","1","56","48","8","85.71"
"Chatnahalli","","","","","1","2","180","147","33","81.67"
"Chattanahalli","","","","","1","1","195","167","28","85.64"
"Chattanahalli","","","","","1","1","54","47","7","87.04"
"Chattnapalya","","","","","1","1","47","40","7","85.11"
"Chavalamane","","","","","1","21","400","350","50","87.50"
"Cheelanahalli","","","","","1","1","92","79","13","85.87"
"Cheernanahalli Kaval","","","","","1","1","5","4","1","80.00"
"Chikapatnagere","","","","","1","2","226","206","20","91.15"
"Chikkaballekere","","","","","1","1","289","248","41","85.81"
"Chikkabasur","","","","","1","1","274","235","39","85.77"
"Chikkabukkasagara","","","","","1","1","38","33","5","86.84"
"Chikkadevanur","","","","","1","2","319","272","47","85.27"
"Chikkagowja","","","","","1","1","200","172","28","86.00"
"Chikkakalasapura","","","","","1","1","200","172","28","86.00"
"Chikkamagaravalli","","","","","1","4","572","473","99","82.69"
"Chikkanalluru","","","","","1","1","368","316","52","85.87"
"Chikkanayakanahalli","","","","","1","1","79","68","11","86.08"
"Chikkangala","","","","","1","3","535","465","70","86.92"
"Chikkanvangala","","","","","1","1","175","150","25","85.71"
"Chikkatangli","","","","","1","1","172","148","24","86.05"
"Chikkathur","","","","","1","1","34","29","5","85.29"
"Chikkolale","","","","","1","5","271","239","32","88.19"
"Chikmagalur (Rural)","","","","","1","1","10","9","1","90.00"
"Chimmatagere","","","","","1","1","39","33","6","84.62"
"Chinakarahalli","","","","","1","1","112","96","16","85.71"
"Chindenahalli","","","","","1","1","10","9","1","90.00"
"Chinnapura","","","","","1","1","91","78","13","85.71"
"Chinniga","","","","","1","3","272","244","28","89.71"
"Chithavalli","","","","","1","4","207","185","22","89.37"
"Chokkapura","","","","","1","1","2","1","1","50.00"
"Chowdlapura","","","","","1","1","64","55","9","85.94"
"Chowlihiriyur","","","","","1","1","927","796","131","85.87"
"Churchugudde Kaval","","","","","1","1","26","22","4","84.62"
"Coove","","","","","1","10","557","509","48","91.38"
"D.Hosahalli","","","","","1","2","101","89","12","88.12"
"Dambadahalli","","","","","1","1","84","72","12","85.71"
"Danayakapura","","","","","1","1","128","110","18","85.94"
"Dandoor","","","","","1","2","242","207","35","85.54"
"Dandubittahara","","","","","1","2","98","84","14","85.71"
"Danihalli","","","","","1","1","88","76","12","86.36"
"Daradahalli","","","","","1","14","464","416","48","89.66"
"Darekoppa","","","","","1","10","173","152","21","87.86"
"Darshana","","","","","1","1","25","21","4","84.00"
"Dasarahalli","","","","","1","2","185","173","12","93.51"
"Dasarahalli","","","","","1","1","83","71","12","85.54"
"Dattathreyapeeta","","","","","1","1","4","3","1","75.00"
"Davana","","","","","1","7","131","106","25","80.92"
"Dayamballi","","","","","1","17","157","133","24","84.71"
"Devadana","","","","","1","19","991","860","131","86.78"
"Devagodu","","","","","1","18","424","371","53","87.50"
"Devagondanahalli","","","","","1","1","318","273","45","85.85"
"Devanur","","","","","1","2","508","438","70","86.22"
"Devanurkaval","","","","","1","1","464","398","66","85.78"
"Devarahalli","","","","","1","1","113","97","16","85.84"
"Devarahalli","","","","","1","1","68","58","10","85.29"
"Devarahalli","","","","","1","1","16","14","2","87.50"
"Devarahalli","","","","","1","1","68","58","10","85.29"
"Devarahalli","","","","","1","2","65","62","3","95.38"
"Devarahalli  Kaval","","","","","1","1","35","30","5","85.71"
"Devarunda","","","","","1","5","238","204","34","85.71"
