"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbaiahnahalli","","","","","1","7","419","351","68","83.77"
"Abbinahole","","","","","1","2","312","266","46","85.26"
"Abradasikatte","","","","","1","2","188","160","28","85.11"
"Adanur","","","","","1","4","741","647","94","87.31"
"Adavi Sangenahalli","","","","","1","1","103","85","18","82.52"
"Adavigollarahalli","","","","","1","1","144","123","21","85.42"
"Adavimallapura","","","","","1","1","59","48","11","81.36"
"Adiralu","","","","","1","3","321","275","46","85.67"
"Adivala","","","","","1","6","2146","1852","294","86.30"
"Adrikatte","","","","","1","3","259","197","62","76.06"
"Agasarahalli","","","","","1","1","99","81","18","81.82"
"Agrahara","","","","","1","1","84","72","12","85.71"
"Agrahara","","","","","1","1","84","72","12","85.71"
"Agrahara","","","","","1","3","286","272","14","95.10"
"Aimangala","","","","","1","5","996","896","100","89.96"
"Ajjappanahalli","","","","","1","1","126","108","18","85.71"
"Ajjikamasagara","","","","","1","1","128","106","22","82.81"
"Ajjikyatanahalli","","","","","1","2","88","76","12","86.36"
"Aladahalli","","","","","1","1","189","158","31","83.60"
"Alagatta","","","","","1","5","524","483","41","92.18"
"Alagavadi","","","","","1","1","383","327","56","85.38"
"Alaghatta","","","","","1","1","383","327","56","85.38"
"Alur","","","","","1","3","259","210","49","81.08"
"Amakundi","","","","","1","1","172","144","28","83.72"
"Amalapura","","","","","1","1","45","38","7","84.44"
"Amanahal","","","","","1","1","67","57","10","85.07"
"Amanitalav","","","","","1","2","192","162","30","84.38"
"Ambalagere","","","","","1","3","443","368","75","83.07"
"Amblihalli","","","","","1","1","45","38","7","84.44"
"Amruthapura","","","","","1","1","247","211","36","85.43"
"Andanur","","","","","1","3","628","484","144","77.07"
"Anesidri","","","","","1","2","132","106","26","80.30"
"Anivala","","","","","1","1","277","233","44","84.12"
"Annehal","","","","","1","5","741","631","110","85.16"
"Anthapura","","","","","1","1","245","209","36","85.31"
"Apparasanahalli","","","","","1","1","191","163","28","85.34"
"Appasamudra","","","","","1","1","204","171","33","83.82"
"Arabagatta","","","","","1","2","334","300","34","89.82"
"Aralahalli","","","","","1","4","370","344","26","92.97"
"Aralihalli","","","","","1","1","252","212","40","84.13"
"Aralikere","","","","","1","1","122","104","18","85.25"
"Arasanaghatta","","","","","1","2","440","366","74","83.18"
"Arasinagundi","","","","","1","2","36","24","12","66.67"
"Arasuru","","","","","1","1","218","186","32","85.32"
"Arehalli","","","","","1","1","276","232","44","84.06"
"Arehalli","","","","","1","1","356","304","52","85.39"
"Arehalli Kaval","","","","","1","2","220","188","32","85.45"
"Arenahalli","","","","","1","1","97","79","18","81.44"
"Athimage","","","","","1","5","560","522","38","93.21"
"Attigatta","","","","","1","4","459","403","56","87.80"
"Attikatte","","","","","1","1","218","186","32","85.32"
"Avalenahalli","","","","","1","1","82","82","0","100.00"
"B.Durga","","","","","1","2","988","844","144","85.43"
"Babbur","","","","","1","1","339","289","50","85.25"
"Bachavara","","","","","1","1","71","57","14","80.28"
"Badavanahalli (B)","","","","","1","1","26","22","4","84.62"
"Badavanahalli Kaval (B)","","","","","1","4","488","412","76","84.43"
"Bagasettihalli","","","","","1","1","182","152","30","83.52"
"Bagenahal","","","","","1","2","216","177","39","81.94"
"Baggalurangavvanahalli","","","","","1","1","37","32","5","86.49"
"Bagganadu","","","","","1","1","200","168","32","84.00"
"Bagganadu Kaval","","","","","1","3","83","50","33","60.24"
"Bagur","","","","","1","3","681","543","138","79.74"
"Bahadurghatta","","","","","1","3","476","422","54","88.66"
"Balenahalli","","","","","1","1","32","24","8","75.00"
"Balenahalli","","","","","1","1","207","178","29","85.99"
"Balenahalli","","","","","1","1","198","166","32","83.84"
"Baligatte","","","","","1","2","60","52","8","86.67"
"Ballalasamudra","","","","","1","11","592","514","78","86.82"
"Ballalasamudra Kaval","","","","","1","1","109","90","19","82.57"
"Ballalasamudrakere Kaval","","","","","1","1","109","90","19","82.57"
"Ballekere","","","","","1","3","215","135","80","62.79"
"Banagere","","","","","1","1","133","114","19","85.71"
"Banapura","","","","","1","2","170","138","32","81.18"
"Banasihalli","","","","","1","3","362","321","41","88.67"
"Banavigondanahalli","","","","","1","1","34","29","5","85.29"
"Bande Bommenahalli","","","","","1","3","341","277","64","81.23"
"Bandethimmalapura","","","","","1","4","668","570","98","85.33"
"Bandihalli","","","","","1","1","78","63","15","80.77"
"Bandravi","","","","","1","4","665","542","123","81.50"
"Bangarakkanahalli","","","","","1","1","320","290","30","90.63"
"Banjagondanahalli","","","","","1","1","274","234","40","85.40"
"Banjigere","","","","","1","1","331","283","48","85.50"
"Baragenahalli","","","","","1","1","274","234","40","85.40"
"Baramasagara (B)","","","","","1","1","73","62","11","84.93"
"Basapura","","","","","1","3","168","139","29","82.74"
"Basapura","","","","","1","1","135","113","22","83.70"
"Basapura","","","","","1","1","177","151","26","85.31"
"Basavanashivanakere","","","","","1","1","207","177","30","85.51"
"Basavapura","","","","","1","1","153","131","22","85.62"
"Bastihalli","","","","","1","1","126","108","18","85.71"
"Bedarabommenahalli","","","","","1","1","126","108","18","85.71"
"Bedarashivanakere","","","","","1","1","211","180","31","85.31"
"Beerapura","","","","","1","1","211","180","31","85.31"
"Beeravara","","","","","1","3","308","284","24","92.21"
"Beerenahalli","","","","","1","3","390","347","43","88.97"
"Beesanahalli","","","","","1","2","112","88","24","78.57"
"Belagere","","","","","1","9","1034","874","160","84.53"
"Belagere Kaval","","","","","1","4","146","128","18","87.67"
"Belaghatta","","","","","1","1","586","501","85","85.49"
"Belagur","","","","","1","2","1193","1018","175","85.33"
"Benakanahalli","","","","","1","3","158","142","16","89.87"
"Benkanahalli","","","","","1","1","127","105","22","82.68"
"Bettadanagenahalli","","","","","1","1","183","156","27","85.25"
"Bevinahalli","","","","","1","1","297","254","43","85.52"
"Bevinahalli","","","","","1","1","77","62","15","80.52"
"Bhagavathikere","","","","","1","1","272","229","43","84.19"
"Bhairanayakanahatti","","","","","1","1","27","23","4","85.19"
"Bharamagiri","","","","","1","1","210","176","34","83.81"
"Bharamapura","","","","","1","3","329","297","32","90.27"
"Bharamasagara","","","","","1","3","189","166","23","87.83"
"Bharamasagara","","","","","1","4","1656","1375","281","83.03"
"Bhatrahalli","","","","","1","1","245","207","38","84.49"
"Bheemagondanahalli","","","","","1","1","112","96","16","85.71"
"Bheemanakere","","","","","1","1","70","60","10","85.71"
"Bheemasamudra","","","","","1","1","252","215","37","85.32"
"Bhoganahalli","","","","","1","2","779","702","77","90.12"
"Bidarakere","","","","","1","4","464","431","33","92.89"
"Bidarakere","","","","","1","1","231","194","37","83.98"
"Bochapura","","","","","1","4","1352","1143","209","84.54"
"Bogalerahatti","","","","","1","1","180","160","20","88.89"
"Bokikere","","","","","1","3","378","333","45","88.10"
"Bomberahalli","","","","","1","1","152","130","22","85.53"
"Bommadevarahalli","","","","","1","1","11","0","11","0.00"
"Bommagondanakere","","","","","1","4","1571","1318","253","83.90"
"Bommakkanahalli","","","","","1","4","778","660","118","84.83"
"Bommakkanahalli","","","","","1","1","157","132","25","84.08"
"Bommalinganahalli","","","","","1","4","904","721","183","79.76"
"Bommanakatte","","","","","1","1","273","233","40","85.35"
"Bommanakunte","","","","","1","3","306","253","53","82.68"
"Bommasamudra","","","","","1","1","342","292","50","85.38"
"Bommavvanagathihalli","","","","","1","1","106","91","15","85.85"
"Bommenahalli","","","","","1","1","26","19","7","73.08"
"Bommenahalli","","","","","1","1","162","135","27","83.33"
"Bommenahalli","","","","","1","1","199","170","29","85.43"
"Bommenahalli","","","","","1","6","2156","1959","197","90.86"
"Boranakunte","","","","","1","1","137","114","23","83.21"
"Borenahalli","","","","","1","1","145","124","21","85.52"
"Brahmapura","","","","","1","1","72","62","10","86.11"
"Budipura","","","","","1","1","67","57","10","85.07"
"Budnahatti","","","","","1","6","603","535","68","88.72"
"Bukkambudi","","","","","1","1","210","172","38","81.90"
"Bukkasagara","","","","","1","3","300","253","47","84.33"
"Buklorahalli","","","","","1","2","388","326","62","84.02"
"Burudekatte","","","","","1","4","474","426","48","89.87"
"Burujanaroppa","","","","","1","5","655","542","113","82.75"
"Byadarahalli","","","","","1","5","1076","902","174","83.83"
"Byadareddyhalli","","","","","1","3","982","884","98","90.02"
"Byalahal","","","","","1","1","285","244","41","85.61"
"Byaramadu","","","","","1","3","173","140","33","80.92"
"Bydarahalli","","","","","1","1","43","33","10","76.74"
"Bylahalli","","","","","1","1","43","33","10","76.74"
"Byrapura","","","","","1","3","132","106","26","80.30"
"Byrapura","","","","","1","1","235","198","37","84.26"
"Challakere(Rural)","","","","","1","3","114","98","16","85.96"
"Challamadu","","","","","1","1","45","35","10","77.78"
"Channammanagathihalli","","","","","1","2","342","290","52","84.80"
"Channammanagatihalli Kaval","","","","","1","2","630","538","92","85.40"
"Channapatna","","","","","1","1","138","118","20","85.51"
"Channapura","","","","","1","1","43","33","10","76.74"
"Channasamudra","","","","","1","1","130","111","19","85.38"
"Channasamudra","","","","","1","3","612","520","92","84.97"
"Chatnahalli","","","","","1","1","130","111","19","85.38"
"Chattekamba","","","","","1","1","198","169","29","85.35"
"Cheelangi","","","","","1","1","205","175","30","85.37"
"Cheeranahalli","","","","","1","1","197","168","29","85.28"
"Chennaganahalli","","","","","1","3","300","259","41","86.33"
"Chikkaammanahalli","","","","","1","8","262","170","92","64.89"
"Chikkabadihalli","","","","","1","2","52","44","8","84.62"
"Chikkabbigere","","","","","1","2","258","218","40","84.50"
