"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"102 Nekkilady","","","","","1","8","404","386","18","95.54"
"Addur (CT)","","","","","1","9","1227","1225","2","99.84"
"Adyapady","","","","","1","9","268","256","12","95.52"
"Aikala","","","","","1","6","458","433","25","94.54"
"Aithoor","","","","","1","12","999","959","40","96.00"
"Aivarnadu","","","","","1","41","1138","1111","27","97.63"
"Aivathoklu","","","","","1","32","797","767","30","96.24"
"Ajjavara","","","","","1","45","1555","1510","45","97.11"
"Ajjibettu","","","","","1","3","650","631","19","97.08"
"Alankaru","","","","","1","8","890","812","78","91.24"
"Alanthaya","","","","","1","6","460","425","35","92.39"
"Aletty","","","","","1","64","1967","1887","80","95.93"
"Alike","","","","","1","20","1291","1203","88","93.18"
"Amaramudnur","","","","","1","26","917","892","25","97.27"
"Amarapadnoor","","","","","1","17","645","624","21","96.74"
"Amblamogru","","","","","1","10","905","905","0","100.00"
"Ammunje","","","","","1","11","726","692","34","95.32"
"Amtady","","","","","1","8","1684","1654","30","98.22"
"Amtoor","","","","","1","7","638","618","20","96.87"
"Ananthadi","","","","","1","10","619","588","31","94.99"
"Andinje","","","","","1","9","579","571","8","98.62"
"Arala","","","","","1","11","946","912","34","96.41"
"Arambodi","","","","","1","19","843","825","18","97.86"
"Aranthodu","","","","","1","28","930","908","22","97.63"
"Ariyadka","","","","","1","10","1053","980","73","93.07"
"Arkula (CT)","","","","","1","8","969","969","0","100.00"
"Aryapu  (Rural)","","","","","1","11","1512","1448","64","95.77"
"Athikari Bettu","","","","","1","7","897","895","2","99.78"
"Attur","","","","","1","2","148","147","1","99.32"
"Badaga Bellur","","","","","1","12","1207","1168","39","96.77"
"Badagakajekar","","","","","1","6","889","872","17","98.09"
"Badagakaranduru","","","","","1","12","652","638","14","97.85"
"Badagannur","","","","","1","11","664","575","89","86.60"
"Badagaulipady (CT)","","","","","1","3","1647","1602","45","97.27"
"Badagayedapadavu","","","","","1","14","1239","1217","22","98.22"
"Badagayekkaru","","","","","1","8","1231","1211","20","98.38"
"Badagumijaru","","","","","1","30","681","668","13","98.09"
"Badakodi","","","","","1","11","376","356","20","94.68"
"Bajathuru","","","","","1","17","1128","1067","61","94.59"
"Bajire","","","","","1","8","706","693","13","98.16"
"Balagodu","","","","","1","30","336","332","4","98.81"
"Balenja","","","","","1","13","444","429","15","96.62"
"Balepuni","","","","","1","7","1137","1111","26","97.71"
"Balila","","","","","1","19","455","441","14","96.92"
"Balkunje","","","","","1","11","518","503","15","97.10"
"Ballya","","","","","1","12","528","468","60","88.64"
