"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adapura","","","","","1","2","220","214","6","97.27"
"Adavihalli","","","","","1","3","568","556","12","97.89"
"Agarabannihatti","","","","","1","2","132","131","1","99.24"
"Agasanahalli","","","","","1","1","56","54","2","96.43"
"Agasanakatte","","","","","1","1","200","194","6","97.00"
"Ajjihalli","","","","","1","1","479","479","0","100.00"
"Aladahalli","","","","","1","3","589","576","13","97.79"
"Aligilawada","","","","","1","1","186","184","2","98.92"
"Alur","","","","","1","1","286","284","2","99.30"
"Alur","","","","","1","2","1201","1185","16","98.67"
"Amaravathi (CT)","","","","","1","1","504","0","504","0.00"
"Anaberu","","","","","1","1","661","651","10","98.49"
"Anabur","","","","","1","2","409","399","10","97.56"
"Anagodu","","","","","1","2","760","740","20","97.37"
"Anaji","","","","","1","2","639","629","10","98.44"
"Anajigeri","","","","","1","5","886","845","41","95.37"
"Ananthanahalli","","","","","1","1","105","105","0","100.00"
"Anapura","","","","","1","1","95","94","1","98.95"
"Anjaneyapura","","","","","1","1","165","153","12","92.73"
"Annapura","","","","","1","2","335","329","6","98.21"
"Arabagatte","","","","","1","1","638","615","23","96.39"
"Arakere","","","","","1","2","581","564","17","97.07"
"Arasanahal","","","","","1","1","449","443","6","98.66"
"Arasapura","","","","","1","1","250","242","8","96.80"
"Arasinaghatta","","","","","1","2","325","323","2","99.38"
"Arasinagundi","","","","","1","1","120","118","2","98.33"
"Arehalli","","","","","1","1","109","106","3","97.25"
"Arehalli","","","","","1","1","313","311","2","99.36"
"Arlikatte","","","","","1","1","151","149","2","98.68"
"Arsikeri","","","","","1","1","1103","1089","14","98.73"
"Arundi","","","","","1","1","513","507","6","98.83"
"Asagodu","","","","","1","3","935","917","18","98.07"
"Astapanahalli","","","","","1","1","98","98","0","100.00"
"Attigere","","","","","1","1","523","515","8","98.47"
"Avaragolla","","","","","1","1","611","601","10","98.36"
"Bada","","","","","1","1","760","748","12","98.42"
"Bagali","","","","","1","1","614","604","10","98.37"
"Bagavadi","","","","","1","1","150","141","9","94.00"
"Baggenahalli","","","","","1","1","100","98","2","98.00"
"Bakkapura","","","","","1","1","2","2","0","100.00"
"Balamuri","","","","","1","1","177","168","9","94.92"
"Balleshwara","","","","","1","1","116","111","5","95.69"
"Balluru","","","","","1","2","904","896","8","99.12"
"Bangarakkanagudda","","","","","1","1","174","170","4","97.70"
"Bannihatti","","","","","1","1","396","392","4","98.99"
"Bannikodu","","","","","1","1","449","442","7","98.44"
"Bannikodu","","","","","1","1","929","913","16","98.28"
"Bapujinagar","","","","","1","3","329","317","12","96.35"
"Basavanahalli","","","","","1","1","539","531","8","98.52"
"Basavanahalu","","","","","1","2","346","344","2","99.42"
"Basavanahatti","","","","","1","1","157","155","2","98.73"
"Basavanakote","","","","","1","2","696","681","15","97.84"
"Basavapura","","","","","1","1","16","13","3","81.25"
"Basavapura","","","","","1","4","302","300","2","99.34"
"Basavapura","","","","","1","1","175","171","4","97.71"
"Basavapura","","","","","1","1","45","44","1","97.78"
"Batlekatte","","","","","1","1","202","198","4","98.02"
"Bavihalu","","","","","1","1","276","270","6","97.83"
"Beedugondanahalli","","","","","1","2","215","213","2","99.07"
"Beeragondanahalli","","","","","1","1","323","317","6","98.14"
"Belaguthi","","","","","1","2","1636","1618","18","98.90"
"Belalagere","","","","","1","1","709","706","3","99.58"
"Belalakatte","","","","","1","1","134","131","3","97.76"
"Belavanur","","","","","1","2","968","958","10","98.97"
"Belimallur","","","","","1","1","649","638","11","98.31"
"Belliganodu","","","","","1","1","278","276","2","99.28"
"Belludi","","","","","1","1","1473","1444","29","98.03"
"Benakanahalli","","","","","1","1","213","211","2","99.06"
"Benakanahalli","","","","","1","1","693","681","12","98.27"
"Benkikere","","","","","1","1","372","370","2","99.46"
"Bennehalli","","","","","1","1","228","222","6","97.37"
"Bennihalli","","","","","1","3","605","589","16","97.36"
"Bethuru","","","","","1","3","1408","1392","16","98.86"
"Bettakaduru","","","","","1","1","198","196","2","98.99"
"Bevinahalli","","","","","1","1","442","432","10","97.74"
"Bevinahalli","","","","","1","2","218","210","8","96.33"
"Bevinahalli","","","","","1","1","554","543","11","98.01"
"Bhanuvalli","","","","","1","1","1871","1836","35","98.13"
"Bharamasamudra","","","","","1","1","356","349","7","98.03"
"Bhimanere","","","","","1","1","156","154","2","98.72"
"Bidaragadde","","","","","1","1","215","209","6","97.21"
"Bidarahalli","","","","","1","2","189","180","9","95.24"
"Bidarakere","","","","","1","2","697","682","15","97.85"
"Bijogatte","","","","","1","1","140","135","5","96.43"
