"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Timmasagar","","","","","1","1","240","205","35","85.42"
"Adargunchi","","","","","1","1","1583","1568","15","99.05"
"Adnur","","","","","1","1","308","275","33","89.29"
"Agadi","","","","","1","1","552","494","58","89.49"
"Agasanahalli","","","","","1","1","63","63","0","100.00"
"Ahetti","","","","","1","1","569","555","14","97.54"
"Aladakatti","","","","","1","1","223","186","37","83.41"
"Alagawadi","","","","","1","1","1423","1291","132","90.72"
"Amaragol","","","","","1","1","814","804","10","98.77"
"Ambalikoppa","","","","","1","1","173","164","9","94.80"
"Amboli","","","","","1","1","145","142","3","97.93"
"Amminabhavi","","","","","1","1","2165","2143","22","98.98"
"Anchatgeri","","","","","1","1","380","330","50","86.84"
"Annigeri (Rural)","","","","","1","1","129","41","88","31.78"
"Arahatti","","","","","1","1","223","198","25","88.79"
"Aralihonda","","","","","1","1","153","147","6","96.08"
"Aravatagi","","","","","1","1","189","186","3","98.41"
"Arebasankoppa","","","","","1","1","108","95","13","87.96"
"Arekurahatti","","","","","1","1","830","763","67","91.93"
"Astakatti","","","","","1","1","123","75","48","60.98"
"B.Aralikatti","","","","","1","1","947","860","87","90.81"
"B.Shigigatti","","","","","1","2","409","407","2","99.51"
"Baad","","","","","1","1","339","330","9","97.35"
"Bagadageri","","","","","1","1","266","256","10","96.24"
"Bagawad","","","","","1","1","103","102","1","99.03"
"Balageri","","","","","1","1","31","31","0","100.00"
"Ballarawad","","","","","1","1","465","387","78","83.23"
"Ballur","","","","","1","1","331","304","27","91.84"
"Bammigatti","","","","","1","2","731","701","30","95.90"
"Bangittigudihal","","","","","1","1","387","384","3","99.22"
"Bardwad","","","","","1","1","485","425","60","87.63"
"Basapur","","","","","1","1","770","726","44","94.29"
"Basapur","","","","","1","1","168","158","10","94.05"
"Basavarsikoppa","","","","","1","1","28","28","0","100.00"
"Beeravalli","","","","","1","1","370","346","24","93.51"
"Begur","","","","","1","1","517","490","27","94.78"
"Belahar","","","","","1","1","394","340","54","86.29"
"Belavantra","","","","","1","1","442","415","27","93.89"
"Belavatagi","","","","","1","1","799","736","63","92.12"
"Belegali","","","","","1","1","533","529","4","99.25"
"Belligatti","","","","","1","1","30","30","0","100.00"
"Belur","","","","","1","1","472","472","0","100.00"
"Benachi","","","","","1","3","451","431","20","95.57"
"Benakanahalli","","","","","1","1","223","212","11","95.07"
"Bendalgatti","","","","","1","1","282","252","30","89.36"
"Benkankatti","","","","","1","1","254","254","0","100.00"
"Bennur","","","","","1","1","165","145","20","87.88"
"Betadur","","","","","1","1","900","814","86","90.44"
"Bhadrapur","","","","","1","1","770","729","41","94.68"
"Bhandiwad","","","","","1","1","845","845","0","100.00"
"Bhoganur","","","","","1","1","300","276","24","92.00"
"Bhogenagarkoppa","","","","","1","1","467","458","9","98.07"
"Bilebal","","","","","1","1","275","260","15","94.55"
"Bisaralli","","","","","1","1","169","159","10","94.08"
"Bogur","","","","","1","1","203","203","0","100.00"
"Bommarsikoppa","","","","","1","1","199","199","0","100.00"
"Bommasamudra","","","","","1","1","273","269","4","98.53"
