"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbigeri","","","","","1","1","992","852","140","85.89"
"Adarakatti","","","","","1","3","668","551","117","82.49"
"Adavisomapur","","","","","1","5","1233","1065","168","86.37"
"Adrahalli","","","","","1","5","946","730","216","77.17"
"Akkigund","","","","","1","1","172","141","31","81.98"
"Alagilawad","","","","","1","1","157","141","16","89.81"
"Alur","","","","","1","3","1873","1613","260","86.12"
"Amaragatti","","","","","1","1","1001","916","85","91.51"
"Amaragol","","","","","1","1","124","116","8","93.55"
"Amarapur","","","","","1","1","40","33","7","82.50"
"Ankali","","","","","1","1","57","48","9","84.21"
"Antur","","","","","1","2","788","728","60","92.39"
"Arahunashi","","","","","1","1","161","159","2","98.76"
"Ashakiran","","","","","1","1","217","210","7","96.77"
"Asundi","","","","","1","2","1158","1112","46","96.03"
"Asuti","","","","","1","5","1146","1074","72","93.72"
"Attikatti","","","","","1","1","169","111","58","65.68"
"B-S-Beler","","","","","1","1","102","90","12","88.24"
"Bagewadi","","","","","1","5","1369","1080","289","78.89"
"Balaganur","","","","","1","1","434","404","30","93.09"
"Balagod","","","","","1","1","118","101","17","85.59"
"Balajinagar","","","","","1","1","70","65","5","92.86"
"Balehosur","","","","","1","1","641","556","85","86.74"
"Banahatti","","","","","1","3","963","901","62","93.56"
"Bannikoppa","","","","","1","3","1073","883","190","82.29"
"Baradur","","","","","1","1","301","226","75","75.08"
"Basapur","","","","","1","1","180","120","60","66.67"
"Basapur","","","","","1","1","73","45","28","61.64"
"Basapur","","","","","1","1","110","98","12","89.09"
"Basarakod","","","","","1","1","65","61","4","93.85"
"Battur","","","","","1","4","1033","901","132","87.22"
"Beladhadi","","","","","1","4","870","633","237","72.76"
"Belaghatti","","","","","1","1","121","96","25","79.34"
"Belahod","","","","","1","3","561","430","131","76.65"
"Belavanaki","","","","","1","2","1181","1166","15","98.73"
"Bellatti","","","","","1","2","1040","915","125","87.98"
"Belleri","","","","","1","1","89","59","30","66.29"
"Benachamatti","","","","","1","1","114","101","13","88.60"
"Benahal","","","","","1","1","192","186","6","96.88"
"Benakanakoppa","","","","","1","1","221","206","15","93.21"
"Benakanakoppa","","","","","1","1","89","69","20","77.53"
"Bennihalli","","","","","1","1","175","119","56","68.00"
"Bentur","","","","","1","1","354","236","118","66.67"
"Betigeri(Rural)","","","","","1","1","228","119","109","52.19"
"Bevinakatti","","","","","1","1","120","115","5","95.83"
