"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adki","","","","","1","3","806","688","118","85.36"
"Afzalpur (Rural)","","","","","1","1","3","2","1","66.67"
"Ainapur","","","","","1","20","1113","995","118","89.40"
"Ainapur","","","","","1","1","84","71","13","84.52"
"Ainoli","","","","","1","3","1186","1026","160","86.51"
"Akhandhalli","","","","","1","1","144","121","23","84.03"
"Aland (Rural)","","","","","1","2","38","32","6","84.21"
"Alanga","","","","","1","1","491","414","77","84.32"
"Aldihal","","","","","1","1","131","110","21","83.97"
"Algi (B)","","","","","1","4","1102","928","174","84.21"
"Algi (K)","","","","","1","2","198","166","32","83.84"
"Algud","","","","","1","1","299","252","47","84.28"
"Alhalli","","","","","1","1","767","646","121","84.22"
"Allapur","","","","","1","1","54","45","9","83.33"
"Allapur","","","","","1","3","585","540","45","92.31"
"Allapur (H)","","","","","1","1","156","131","25","83.97"
"Allapur.J","","","","","1","2","312","262","50","83.97"
"Allhalli","","","","","1","1","212","179","33","84.43"
"Allur (B)","","","","","1","2","262","220","42","83.97"
"Allur (K)","","","","","1","2","808","680","128","84.16"
"Alur","","","","","1","3","1176","1060","116","90.14"
"Alur (B)","","","","","1","2","462","390","72","84.42"
"Alura","","","","","1","2","212","178","34","83.96"
"Amarwadi","","","","","1","1","34","29","5","85.29"
"Ambalga","","","","","1","3","692","669","23","96.68"
"Amberkhed","","","","","1","1","181","152","29","83.98"
"Ambewad","","","","","1","1","301","254","47","84.39"
"Anadgi","","","","","1","1","104","88","16","84.62"
"Anantapur","","","","","1","1","139","117","22","84.17"
"Andola","","","","","1","1","923","778","145","84.29"
"Ankalga","","","","","1","3","385","324","61","84.16"
"Ankalga","","","","","1","3","652","590","62","90.49"
"Ankalga","","","","","1","1","208","175","33","84.13"
"Annur","","","","","1","1","263","222","41","84.41"
"Antapnhal","","","","","1","1","81","68","13","83.95"
"Antwaram","","","","","1","1","107","90","17","84.11"
"Anur","","","","","1","1","346","292","54","84.39"
"Anwar","","","","","1","1","352","297","55","84.38"
"Apchand","","","","","1","1","110","93","17","84.55"
"Aralgundgi","","","","","1","1","933","786","147","84.24"
"Arankal","","","","","1","11","989","833","156","84.23"
"Arebommanhalli","","","","","1","1","164","138","26","84.15"
"Arjamga","","","","","1","1","296","249","47","84.12"
"Arjungi","","","","","1","3","642","541","101","84.27"
"Ashta","","","","","1","1","398","335","63","84.17"
"Atnoor","","","","","1","1","824","694","130","84.22"
"Aurad","","","","","1","3","1833","1686","147","91.98"
"Aurad (K)","","","","","1","2","272","230","42","84.56"
"Awarad","","","","","1","2","1648","1388","260","84.22"
"Awarhalli","","","","","1","1","217","183","34","84.33"
"Awrad (B)","","","","","1","2","412","348","64","84.47"
"Azadpur","","","","","1","1","308","259","49","84.09"
"Bablad (T.K.)","","","","","1","2","750","632","118","84.27"
"Bablad Sindagi","","","","","1","1","206","174","32","84.47"
