"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Hosahalli","","","","","1","1","41","13","28","31.71"
"A.Belaguli","","","","","1","1","208","194","14","93.27"
"A.Kalenahalli","","","","","1","1","181","175","6","96.69"
"Abbana","","","","","1","7","215","177","38","82.33"
"Abbur Machagowdanahalli","","","","","1","2","229","197","32","86.03"
"Achanahalli","","","","","1","4","131","94","37","71.76"
"Achangi","","","","","1","2","119","101","18","84.87"
"Acharadi","","","","","1","2","110","94","16","85.45"
"Adagooru","","","","","1","4","516","488","28","94.57"
"Adagunchanahalli","","","","","1","1","20","19","1","95.00"
"Adagur","","","","","1","3","247","213","34","86.23"
"Adarvalli","","","","","1","1","25","24","1","96.00"
"Adavibantenahalli","","","","","1","1","112","108","4","96.43"
"Addihalli","","","","","1","1","86","74","12","86.05"
"Adibylu","","","","","1","1","42","38","4","90.48"
"Adihalli","","","","","1","1","155","140","15","90.32"
"Adihalli","","","","","1","1","192","186","6","96.88"
"Adihalli","","","","","1","2","237","195","42","82.28"
"Adike Bommanahalli","","","","","1","3","185","146","39","78.92"
"Adikekerehosur","","","","","1","3","124","81","43","65.32"
"Aduvalli","","","","","1","1","67","65","2","97.01"
"Aduvalli","","","","","1","1","86","83","3","96.51"
"Agalahalli","","","","","1","1","167","162","5","97.01"
"Agalahatti","","","","","1","3","234","213","21","91.03"
"Agani","","","","","1","3","114","69","45","60.53"
"Agasarahalli","","","","","1","1","112","90","22","80.36"
"Agasaravalli","","","","","1","2","110","99","11","90.00"
"Aggadalu","","","","","1","2","129","119","10","92.25"
"Aggunda","","","","","1","4","578","538","40","93.08"
"Agile","","","","","1","2","173","141","32","81.50"
"Agrahara","","","","","1","1","122","115","7","94.26"
"Agrahara","","","","","1","4","430","390","40","90.70"
"Agrahara","","","","","1","3","251","227","24","90.44"
"Agrahara","","","","","1","2","232","221","11","95.26"
"Ahamedpura","","","","","1","1","208","201","7","96.63"
"Ajjagodanahalli","","","","","1","1","23","22","1","95.65"
"Ajjanahalli","","","","","1","1","94","91","3","96.81"
"Ajjenahalli","","","","","1","3","78","21","57","26.92"
"Ajjenahalli","","","","","1","2","216","204","12","94.44"
"Ajjur","","","","","1","1","226","193","33","85.40"
"Akkalavadi","","","","","1","1","122","118","4","96.72"
"Akkanahalli","","","","","1","3","317","281","36","88.64"
"Aladahalli","","","","","1","1","41","33","8","80.49"
"Aladahalli","","","","","1","1","93","88","5","94.62"
"Aladahalli","","","","","1","2","51","34","17","66.67"
"Aladahalli","","","","","1","2","160","137","23","85.63"
"Aladahalli","","","","","1","1","167","162","5","97.01"
"Aladahalli","","","","","1","1","108","62","46","57.41"
"Alagodanahalli","","","","","1","3","110","99","11","90.00"
"Alagodanahalli","","","","","1","1","41","29","12","70.73"
"Allapatna","","","","","1","1","132","121","11","91.67"
"Alur","","","","","1","1","66","42","24","63.64"
"Alur (Rural)","","","","","1","1","3","1","2","33.33"
"Aluvalli","","","","","1","3","64","47","17","73.44"
"Aluvalli","","","","","1","1","71","69","2","97.18"
"Amalepura","","","","","1","2","18","8","10","44.44"
"Amanichikkere","","","","","1","1","12","1","11","8.33"
"Amanidoddakere","","","","","1","1","18","1","17","5.56"
"Amanihirekere","","","","","1","1","7","7","0","100.00"
"Ambigodanahlli","","","","","1","2","92","86","6","93.48"
"Ambuga","","","","","1","3","274","260","14","94.89"
"Ammagodanahalli","","","","","1","1","125","120","5","96.00"
"Ammanagudi Kaval","","","","","1","1","198","198","0","100.00"
"Anachihalli","","","","","1","1","161","141","20","87.58"
"Anandanahalli","","","","","1","2","87","80","7","91.95"
"Anandoor","","","","","1","1","304","294","10","96.71"
"Anathi","","","","","1","2","369","310","59","84.01"
"Andale","","","","","1","2","216","5","211","2.31"
"Andur","","","","","1","1","12","1","11","8.33"
"Anegundi Kaval","","","","","1","1","304","294","10","96.71"
"Anehalli","","","","","1","1","73","63","10","86.30"
"Anekannambadi","","","","","1","4","669","637","32","95.22"
"Anekere","","","","","1","1","43","1","42","2.33"
"Anemahal","","","","","1","1","295","286","9","96.95"
"Angadihalli","","","","","1","1","295","270","25","91.53"
"Angajanahalli","","","","","1","1","10","1","9","10.00"
"Anigalale","","","","","1","7","157","134","23","85.35"
"Aniganahalli","","","","","1","2","10","2","8","20.00"
"Anjaneya Hosahalli","","","","","1","1","89","86","3","96.63"
"Anjaneyapura","","","","","1","1","55","53","2","96.36"
"Ankanahalli","","","","","1","1","84","77","7","91.67"
"Ankanahalli","","","","","1","1","84","81","3","96.43"
"Ankanahalli","","","","","1","2","227","220","7","96.92"
"Ankanahalli","","","","","1","1","65","63","2","96.92"
"Ankanahalli","","","","","1","1","69","62","7","89.86"
"Ankanahalli","","","","","1","1","65","63","2","96.92"
"Ankanaikanahalli","","","","","1","4","196","182","14","92.86"
"Ankanaikanahalli Kaval","","","","","1","1","57","55","2","96.49"
"Ankapura","","","","","1","2","227","221","6","97.36"
"Ankavalli","","","","","1","2","149","145","4","97.32"
"Ankenahalli","","","","","1","1","81","77","4","95.06"
"Ankihalli","","","","","1","1","186","180","6","96.77"
"Annanaikanahalli","","","","","1","7","334","295","39","88.32"
"Annapura","","","","","1","1","67","65","2","97.01"
"Annechakenahalli","","","","","1","1","52","50","2","96.15"
"Annenahalli","","","","","1","1","81","55","26","67.90"
"Annenahalli","","","","","1","1","141","137","4","97.16"
"Anniganahalli","","","","","1","4","381","323","58","84.78"
"Anniganahalli","","","","","1","1","100","97","3","97.00"
"Anthanahalli","","","","","1","2","67","54","13","80.60"
"Anuganalu","","","","","1","1","79","75","4","94.94"
"Anugavalli","","","","","1","1","199","186","13","93.47"
"Anughatta","","","","","1","2","110","102","8","92.73"
"Appagodanahalli","","","","","1","1","101","98","3","97.03"
"Appagowdanahalli","","","","","1","1","19","18","1","94.74"
"Appenahalli","","","","","1","1","79","71","8","89.87"
"Appenahalli","","","","","1","2","70","59","11","84.29"
"Appenahalli","","","","","1","1","49","47","2","95.92"
