"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abalur","","","","","1","1","379","338","41","89.18"
"Adavisomapur","","","","","1","1","351","317","34","90.31"
"Adur","","","","","1","1","1044","938","106","89.85"
"Agadi","","","","","1","2","2390","1977","413","82.72"
"Agasanamatti","","","","","1","2","131","109","22","83.21"
"Airani","","","","","1","1","806","740","66","91.81"
"Ajagundikoppa","","","","","1","1","206","180","26","87.38"
"Akki Alur","","","","","1","1","2383","2161","222","90.68"
"Akkivalli","","","","","1","1","301","275","26","91.36"
"Akkur","","","","","1","1","359","331","28","92.20"
"Aladageri","","","","","1","1","541","499","42","92.24"
"Aladakatti","","","","","1","1","956","892","64","93.31"
"Aladakatti","","","","","1","1","549","485","64","88.34"
"Aladakatti","","","","","1","2","355","315","40","88.73"
"Aladakatti","","","","","1","1","146","130","16","89.04"
"Alalageri","","","","","1","1","420","354","66","84.29"
"Allapur","","","","","1","1","154","130","24","84.42"
"Allipura","","","","","1","1","319","285","34","89.34"
"Anaji","","","","","1","1","474","426","48","89.87"
"Andalagi","","","","","1","1","611","492","119","80.52"
"Angaragatti","","","","","1","1","261","240","21","91.95"
"Angaragatti","","","","","1","2","303","277","26","91.42"
"Ankasapur","","","","","1","1","271","241","30","88.93"
"Antaravalli","","","","","1","2","817","729","88","89.23"
"Anur","","","","","1","1","443","394","49","88.94"
"Apinakoppa","","","","","1","1","92","82","10","89.13"
"Arabagonda","","","","","1","1","238","180","58","75.63"
"Araleshwar","","","","","1","1","531","484","47","91.15"
"Aralihalli","","","","","1","1","205","182","23","88.78"
"Aralikatti","","","","","1","1","418","353","65","84.45"
"Arashinguppi","","","","","1","1","243","192","51","79.01"
"Aratal","","","","","1","1","333","308","25","92.49"
"Aremallapur","","","","","1","1","1037","961","76","92.67"
"Arikatti","","","","","1","1","314","284","30","90.45"
"Asundi","","","","","1","1","908","831","77","91.52"
"Attigeri","","","","","1","2","1056","918","138","86.93"
"Attikatti","","","","","1","1","303","263","40","86.80"
"Baad","","","","","1","1","374","325","49","86.90"
"Babapur","","","","","1","1","156","109","47","69.87"
"Badabasapur","","","","","1","2","113","91","22","80.53"
"Badamalli","","","","","1","1","368","309","59","83.97"
"Badamgatti","","","","","1","1","154","94","60","61.04"
"Badasangapur","","","","","1","1","95","82","13","86.32"
"Baichavalli","","","","","1","1","370","295","75","79.73"
"Bailmadapura","","","","","1","1","112","99","13","88.39"
