"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1St Rudraguppe","","","","","1","1","125","101","24","80.80"
"7 Th Hosakote","","","","","1","1","71","58","13","81.69"
"Abbimatta","","","","","1","1","100","81","19","81.00"
"Abyathamangala","","","","","1","1","100","81","19","81.00"
"Agalli","","","","","1","1","39","32","7","82.05"
"Aigur*","","","","","1","4","828","658","170","79.47"
"Aimangala","","","","","1","1","224","181","43","80.80"
"Aiyangeri","","","","","1","1","413","335","78","81.11"
"Alur","","","","","1","1","651","640","11","98.31"
"Ammathi","","","","","1","1","780","655","125","83.97"
"Andagove","","","","","1","2","969","785","184","81.01"
"Anekad Forest","","","","","1","1","10","10","0","100.00"
"Anjanageri Bettageri","","","","","1","2","182","147","35","80.77"
"Ankanalli","","","","","1","4","245","198","47","80.82"
"Arameri","","","","","1","2","840","681","159","81.07"
"Arapattu","","","","","1","2","458","358","100","78.17"
"Arekadu","","","","","1","1","109","88","21","80.73"
"Arekeri Forest - I","","","","","1","2","309","53","256","17.15"
"Arekeri Forest - Ii","","","","","1","1","35","25","10","71.43"
"Arekeri Forest - Iii","","","","","1","2","663","537","126","81.00"
"Arji","","","","","1","1","488","404","84","82.79"
"Aruvath0Klu","","","","","1","3","2739","2219","520","81.01"
"Aruvathoklu","","","","","1","1","483","391","92","80.95"
"Attur Forest","","","","","1","1","101","82","19","81.19"
"Attur Nallur","","","","","1","1","727","589","138","81.02"
"Avaradalu","","","","","1","2","124","111","13","89.52"
"B.Badaga","","","","","1","1","190","154","36","81.05"
"B.Shettigeri","","","","","1","1","421","400","21","95.01"
"Badaga","","","","","1","1","935","757","178","80.96"
"Badagabanangala","","","","","1","1","903","641","262","70.99"
"Badagarakeri","","","","","1","1","236","191","45","80.93"
"Baichanalli","","","","","1","2","612","496","116","81.05"
"Balagunda","","","","","1","2","728","655","73","89.97"
"Balamuri","","","","","1","1","239","194","45","81.17"
"Balele","","","","","1","1","464","376","88","81.03"
"Ballamavati","","","","","1","1","239","194","45","81.17"
"Balugodu","","","","","1","1","196","159","37","81.12"
"Balyamandur","","","","","1","1","107","79","28","73.83"
"Basavana Halli","","","","","1","3","755","611","144","80.93"
"Begur","","","","","1","1","159","129","30","81.13"
"Bekke Sodlur","","","","","1","1","259","210","49","81.08"
"Bellarahalli","","","","","1","2","79","64","15","81.01"
"Bellumadu","","","","","1","1","155","126","29","81.29"
"Bellur","","","","","1","2","687","580","107","84.43"
"Belur Basavanalli","","","","","1","1","215","174","41","80.93"
"Bembalur","","","","","1","2","185","150","35","81.08"
"Bendebetta Forest","","","","","1","1","10","10","0","100.00"
"Bengooru","","","","","1","1","190","136","54","71.58"
"Besagur","","","","","1","1","1260","1021","239","81.03"
"Bethu","","","","","1","1","635","514","121","80.94"
"Betoli","","","","","1","1","522","423","99","81.03"
"Bettadalli","","","","","1","1","45","24","21","53.33"
"Bettageri","","","","","1","1","362","293","69","80.94"
"Bettakeri","","","","","1","2","926","750","176","80.99"
"Bettathur","","","","","1","2","193","156","37","80.83"
"Bhagamandala","","","","","1","2","499","435","64","87.17"
"Bidarur","","","","","1","1","123","100","23","81.30"
"Biligeri","","","","","1","1","482","390","92","80.91"
"Biligeri","","","","","1","1","270","260","10","96.30"
"Bilugunda","","","","","1","1","375","304","71","81.07"
"Bilur","","","","","1","2","631","511","120","80.98"
"Bittangala","","","","","1","1","282","228","54","80.85"
"Bydagotta","","","","","1","2","125","101","24","80.80"
"Byrambada","","","","","1","1","380","300","80","78.95"
"Channapura","","","","","1","3","61","47","14","77.05"
"Channayan Kote","","","","","1","2","1906","1422","484","74.61"
"Cheekanalli","","","","","1","2","14","10","4","71.43"
"Chelavara","","","","","1","1","156","101","55","64.74"
"Chembe Belliyur","","","","","1","2","386","337","49","87.31"
"Cherala Srimangala","","","","","1","1","1188","962","226","80.98"
"Cherangala","","","","","1","3","379","296","83","78.10"
"Chikka Mandur","","","","","1","3","745","604","141","81.07"
"Chikka Tholur","","","","","1","1","140","113","27","80.71"
"Choudlu","","","","","1","2","1421","1151","270","81.00"
"Chowdena Halli","","","","","1","2","120","97","23","80.83"
"Devamachi Forest","","","","","1","1","536","371","165","69.22"
"Devanageri","","","","","1","1","100","81","19","81.00"
"Devanur","","","","","1","1","743","602","141","81.02"
"Dhanugala","","","","","1","2","579","469","110","81.00"
"Doddabandara","","","","","1","2","149","121","28","81.21"
"Doddabilaha","","","","","1","3","142","121","21","85.21"
"Doddakanagalu","","","","","1","4","147","119","28","80.95"
"Doddakodli","","","","","1","3","369","300","69","81.30"
"Doddakolathur","","","","","1","3","203","164","39","80.79"
"Doddamolathe","","","","","1","1","197","160","37","81.22"
"Doddatholur","","","","","1","1","143","116","27","81.12"
"Dundalli","","","","","1","4","110","110","0","100.00"
"Gadinad Forest","","","","","1","1","10","10","0","100.00"
"Galibeedu","","","","","1","1","307","229","78","74.59"
"Ganagur","","","","","1","2","207","167","40","80.68"
"Garagandur","","","","","1","1","785","636","149","81.02"
"Garvale","","","","","1","1","198","160","38","80.81"
"Gonikoppal (CT)","","","","","1","1","2085","0","2085","0.00"
"Gonimarur","","","","","1","8","520","422","98","81.15"
"Gopalapura","","","","","1","4","552","447","105","80.98"
"Gowdalli","","","","","1","5","529","427","102","80.72"
"Guhya","","","","","1","1","676","548","128","81.07"
"Hachinad","","","","","1","1","780","645","135","82.69"
"Hakathoor","","","","","1","1","243","197","46","81.07"
"Halligattu","","","","","1","1","129","104","25","80.62"
"Halugunda","","","","","1","1","723","586","137","81.05"
"Hammiyala","","","","","1","3","136","98","38","72.06"
"Hanagallu","","","","","1","2","734","595","139","81.06"
"Haraga","","","","","1","1","118","96","22","81.36"
"Harihara","","","","","1","2","834","731","103","87.65"
"Harohalli","","","","","1","3","161","130","31","80.75"
"Hathugattu Forest I","","","","","1","1","100","81","19","81.00"
"Hathur","","","","","1","2","757","594","163","78.47"
"Hebbale","","","","","1","1","878","711","167","80.98"
"Hebbale","","","","","1","2","1102","893","209","81.03"
"Hebbettageri","","","","","1","2","193","175","18","90.67"
"Hebbulse","","","","","1","3","159","141","18","88.68"
"Heggala","","","","","1","1","652","528","124","80.98"
"Heggula","","","","","1","4","205","165","40","80.49"
"Heravanadu","","","","","1","1","447","362","85","80.98"
"Herur","","","","","1","3","274","244","30","89.05"
"Hithlukeri","","","","","1","2","135","109","26","80.74"
"Hodavada","","","","","1","1","509","412","97","80.94"
"Hoddur","","","","","1","1","620","502","118","80.97"
"Honnahanakodu","","","","","1","2","352","283","69","80.40"
"Honnekodi","","","","","1","3","102","83","19","81.37"
"Horur","","","","","1","2","418","375","43","89.71"
"Hosakote","","","","","1","1","147","119","28","80.95"
"Hoskeri","","","","","1","1","409","331","78","80.93"
"Hosoor","","","","","1","1","170","138","32","81.18"
"Hudikeri","","","","","1","2","593","396","197","66.78"
"Hulse","","","","","1","1","102","83","19","81.37"
"Hulse","","","","","1","2","280","227","53","81.07"
"Hysodlur","","","","","1","1","241","195","46","80.91"
"Ibnivalvadi (Rural)","","","","","1","1","482","440","42","91.29"
"Irale Valamudi","","","","","1","1","216","175","41","81.02"
"Ist Kudlur","","","","","1","1","78","63","15","80.77"
"Jainkalbetta Forest","","","","","1","1","68","55","13","80.88"
"Janardanahalli","","","","","1","4","145","118","27","81.38"
"Kadagadalu","","","","","1","1","240","221","19","92.08"
"Kadanga Marur","","","","","1","1","313","254","59","81.15"
"Kadanur","","","","","1","1","290","235","55","81.03"
"Kaggodlu","","","","","1","1","286","232","54","81.12"
"Kaikeri","","","","","1","2","653","529","124","81.01"
"Kajur","","","","","1","3","350","283","67","80.86"
"Kalakandur","","","","","1","3","384","311","73","80.99"
"Kalakeri Nidugane (Rural)","","","","","1","2","243","198","45","81.48"
"Kalathmadu","","","","","1","1","286","232","54","81.12"
"Kalooru","","","","","1","3","276","252","24","91.30"
"Kanbylu Baichanalli","","","","","1","1","300","243","57","81.00"
"Kandanakolli","","","","","1","3","129","105","24","81.40"
"Kannangala","","","","","1","2","700","567","133","81.00"
"Kanthur","","","","","1","1","697","565","132","81.06"
"Kanur","","","","","1","2","100","82","18","82.00"
"Karada","","","","","1","1","208","168","40","80.77"
"Karadigodu","","","","","1","2","1270","965","305","75.98"
"Karike","","","","","1","1","1115","903","212","80.99"
"Karmadu","","","","","1","1","712","577","135","81.04"
"Karnangeri","","","","","1","1","152","114","38","75.00"
"Karugunda","","","","","1","1","216","175","41","81.02"
"Kasuru","","","","","1","3","113","113","0","100.00"
"Katakeri (Rural)","","","","","1","1","381","309","72","81.10"
"Kattepura","","","","","1","2","139","112","27","80.58"
"Kattepura Forest","","","","","1","1","10","10","0","100.00"
"Kavadi","","","","","1","1","840","780","60","92.86"
"Kedakal Negadal","","","","","1","2","599","560","39","93.49"
"Kedamullur","","","","","1","1","131","78","53","59.54"
"Kelakodli","","","","","1","3","195","151","44","77.44"
"Kerekeri","","","","","1","3","260","211","49","81.15"
"Kiggalu","","","","","1","2","505","409","96","80.99"
"Kiragandur","","","","","1","1","369","299","70","81.03"
"Kirgur","","","","","1","2","614","526","88","85.67"
"Kirikodli","","","","","1","2","138","123","15","89.13"
"Kirundadu","","","","","1","2","280","227","53","81.07"
"Kitturu","","","","","1","1","129","104","25","80.62"
"Kokeri","","","","","1","1","219","177","42","80.82"
"Kolagadalu","","","","","1","3","595","530","65","89.08"
"Kolakeri","","","","","1","1","10","10","0","100.00"
"Kolatodu Bygodu","","","","","1","1","238","193","45","81.09"
"Konanjageri","","","","","1","2","423","323","100","76.36"
"Koothi","","","","","1","1","193","156","37","80.83"
"Kopatti","","","","","1","1","148","106","42","71.62"
"Koragallu","","","","","1","2","111","90","21","81.08"
"Kothanalli","","","","","1","1","173","140","33","80.92"
"Kothur","","","","","1","1","450","365","85","81.11"
"Kottageri","","","","","1","1","169","146","23","86.39"
"Kottoli","","","","","1","2","625","558","67","89.28"
"Kudige","","","","","1","9","1635","1308","327","80.00"
"Kudlurchettalli","","","","","1","1","311","252","59","81.03"
"Kudumangalore","","","","","1","6","690","558","132","80.87"
"Kuklur","","","","","1","1","169","137","32","81.07"
"Kumaralli","","","","","1","1","186","151","35","81.18"
"Kumbaladalu","","","","","1","1","162","131","31","80.86"
"Kumbur","","","","","1","2","492","399","93","81.10"
"Kumtoor","","","","","1","3","977","792","185","81.06"
"Kunda","","","","","1","3","190","184","6","96.84"
"Kundacheri","","","","","1","2","448","404","44","90.18"
"Kundalli","","","","","1","2","357","289","68","80.95"
"Kundalpadi Peraje","","","","","1","2","994","805","189","80.99"
"Kunjalageri","","","","","1","1","169","137","32","81.07"
"Kunjila","","","","","1","1","669","542","127","81.02"
"Kurchi","","","","","1","1","154","125","29","81.17"
"Kusubur","","","","","1","1","410","332","78","80.98"
"Kutta","","","","","1","1","1330","1077","253","80.98"
"Kuttandi","","","","","1","1","181","147","34","81.22"
"M. Badaga","","","","","1","2","423","355","68","83.92"
"Made","","","","","1","1","509","412","97","80.94"
"Madre","","","","","1","4","324","263","61","81.17"
"Maggula","","","","","1","1","149","121","28","81.21"
"Maithadi","","","","","1","1","309","250","59","80.91"
