"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A.Upparahalli","","","","","1","2","39","37","2","94.87"
"A.Vyapalapalli","","","","","1","2","98","96","2","97.96"
"Abbani","","","","","1","1","231","230","1","99.57"
"Abbenahalli","","","","","1","3","468","464","4","99.15"
"Abbigirihosahalli","","","","","1","2","322","319","3","99.07"
"Abbihalli","","","","","1","1","109","108","1","99.08"
"Achampalli","","","","","1","4","201","196","5","97.51"
"Achampalli","","","","","1","1","113","112","1","99.12"
"Achatnahalli","","","","","1","1","92","91","1","98.91"
"Adampalli","","","","","1","1","89","88","1","98.88"
"Adavichambakur","","","","","1","1","97","96","1","98.97"
"Adavikurapalli","","","","","1","1","97","96","1","98.97"
"Addagal","","","","","1","4","347","341","6","98.27"
"Adikarahatti","","","","","1","1","52","51","1","98.08"
"Adikethota","","","","","1","1","95","84","11","88.42"
"Adirajapalli","","","","","1","2","105","103","2","98.10"
"Agalakote","","","","","1","1","2","2","0","100.00"
"Agara","","","","","1","1","376","348","28","92.55"
"Agara","","","","","1","2","186","184","2","98.92"
"Agara","","","","","1","4","319","315","4","98.75"
"Agnihalli","","","","","1","2","196","194","2","98.98"
"Agrahara","","","","","1","1","37","36","1","97.30"
"Agrahara","","","","","1","6","533","483","50","90.62"
"Agrahara","","","","","1","2","208","204","4","98.08"
"Agrahara Somarasanahalli","","","","","1","2","156","154","2","98.72"
"Ahanya","","","","","1","1","133","132","1","99.25"
"Ajjapalli","","","","","1","1","114","114","0","100.00"
"Ajjapalli","","","","","1","1","139","138","1","99.28"
"Ajjappanahalli","","","","","1","1","73","72","1","98.63"
"Akshantaragollahalli","","","","","1","2","126","124","2","98.41"
"Alaganahalli","","","","","1","2","128","126","2","98.44"
"Alaganahalli","","","","","1","1","87","86","1","98.85"
"Alahalli","","","","","1","1","135","135","0","100.00"
"Alahalli","","","","","1","1","103","102","1","99.03"
"Alambadi","","","","","1","2","572","566","6","98.95"
