"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbigeri","","","","","1","1","256","207","49","80.86"
"Achalapur","","","","","1","1","46","37","9","80.43"
"Achalapur","","","","","1","1","9","7","2","77.78"
"Acharnarsapur","","","","","1","1","464","375","89","80.82"
"Achartimmapur","","","","","1","1","17","13","4","76.47"
"Achnoor","","","","","1","1","31","29","2","93.55"
"Adapura","","","","","1","1","239","194","45","81.17"
"Adoor","","","","","1","1","362","293","69","80.94"
"Advibhavi","","","","","1","1","158","128","30","81.01"
"Advibhavi","","","","","1","5","620","557","63","89.84"
"Advibhavi","","","","","1","1","158","128","30","81.01"
"Advihalli","","","","","1","1","69","55","14","79.71"
"Agalkera","","","","","1","2","1294","1211","83","93.59"
"Agoli","","","","","1","1","525","424","101","80.76"
"Ainapur","","","","","1","1","158","128","30","81.01"
"Akalkumpi","","","","","1","1","98","80","18","81.63"
"Akkeri","","","","","1","1","158","128","30","81.01"
"Allanagar","","","","","1","1","161","131","30","81.37"
"Allipur","","","","","1","1","161","131","30","81.37"
"Alwandi","","","","","1","1","1501","1214","287","80.88"
"Amarapur","","","","","1","1","22","17","5","77.27"
"Anegundi","","","","","1","1","548","444","104","81.02"
"Anjanhalli","","","","","1","1","40","32","8","80.00"
"Antarthana","","","","","1","1","176","142","34","80.68"
"Anugondana Koppa","","","","","1","1","362","293","69","80.94"
"Arhal","","","","","1","3","757","611","146","80.71"
"Arkeri","","","","","1","1","294","238","56","80.95"
"Arlahalli","","","","","1","1","156","106","50","67.95"
"Arsinkera","","","","","1","3","300","250","50","83.33"
"Attivatti","","","","","1","1","38","32","6","84.21"
"Ayodhya","","","","","1","1","38","32","6","84.21"
"Ayodhya","","","","","1","3","955","918","37","96.13"
"Bachinhal","","","","","1","1","172","139","33","80.81"
"Badimnhal","","","","","1","1","205","165","40","80.49"
"Baglapura","","","","","1","1","98","80","18","81.63"
"Bahaddurbandi","","","","","1","1","553","448","105","81.01"
"Bailakampur","","","","","1","1","145","117","28","80.69"
"Balapur","","","","","1","1","604","489","115","80.96"
"Balgera","","","","","1","1","493","399","94","80.93"
"Ballutgi","","","","","1","5","1041","846","195","81.27"
"Balutagi","","","","","1","1","286","232","54","81.12"
"Bandargal","","","","","1","1","261","211","50","80.84"
"Banderhal","","","","","1","1","142","115","27","80.99"
"Bandi","","","","","1","1","434","351","83","80.88"
"Bandihal","","","","","1","1","340","275","65","80.88"
"Bandiharlapur","","","","","1","3","1096","1043","53","95.16"
"Bandikunta","","","","","1","1","769","621","148","80.75"
"Banhatti","","","","","1","1","72","58","14","80.56"
"Bankapur","","","","","1","1","187","151","36","80.75"
"Bannikoppa","","","","","1","1","584","474","110","81.16"
"Bargur","","","","","1","1","312","252","60","80.77"
"Basapattana","","","","","1","9","2592","2437","155","94.02"
"Basapur","","","","","1","1","148","119","29","80.41"
