"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"B. Hosakote","","","","","1","1","228","210","18","92.11"
"A. Shanboganahalli","","","","","1","1","46","44","2","95.65"
"A.Nagathihalli","","","","","1","1","252","240","12","95.24"
"A.Sriramanahalli","","","","","1","1","93","86","7","92.47"
"Abalavadi","","","","","1","1","506","482","24","95.26"
"Abbagere","","","","","1","1","89","86","3","96.63"
"Achamanahalli","","","","","1","1","40","37","3","92.50"
"Achappana Koppalu","","","","","1","1","320","295","25","92.19"
"Adakatahalli","","","","","1","1","27","24","3","88.89"
"Addihalli","","","","","1","1","108","105","3","97.22"
"Adihalli","","","","","1","1","71","65","6","91.55"
"Advikatte","","","","","1","1","46","46","0","100.00"
"Agachahalli","","","","","1","1","182","171","11","93.96"
"Agasanapura","","","","","1","1","384","354","30","92.19"
"Agasarahalli","","","","","1","1","198","182","16","91.92"
"Agatahalli","","","","","1","1","113","104","9","92.04"
"Aghalaya","","","","","1","2","331","304","27","91.84"
"Aghalaya Kaval","","","","","1","1","777","715","62","92.02"
"Agrahara","","","","","1","1","5","4","1","80.00"
"Agrahara Bachahalli","","","","","1","1","390","359","31","92.05"
"Agralinganahalli","","","","","1","1","83","76","7","91.57"
"Ajjahalli","","","","","1","1","283","261","22","92.23"
"Akkihebbal","","","","","1","1","777","736","41","94.72"
"Alabujanahalli","","","","","1","1","294","271","23","92.18"
"Alada Halli","","","","","1","1","213","200","13","93.90"
"Aladahalli","","","","","1","1","53","49","4","92.45"
"Alagud","","","","","1","1","51","47","4","92.16"
"Alakere","","","","","1","1","530","512","18","96.60"
"Alambadi","","","","","1","1","256","243","13","94.92"
"Alambadi Kaval","","","","","1","1","594","561","33","94.44"
"Alamsettahalli","","","","","1","1","160","151","9","94.38"
"Alenahalli","","","","","1","1","283","261","22","92.23"
"Alisandra","","","","","1","1","243","234","9","96.30"
"Allapatna","","","","","1","1","144","133","11","92.36"
"Alpahalli","","","","","1","2","316","301","15","95.25"
"Alur","","","","","1","2","308","289","19","93.83"
"Ambaljeeranahalli","","","","","1","3","151","144","7","95.36"
"Ambarahalli","","","","","1","1","263","242","21","92.02"
"Ambigarahalli","","","","","1","1","198","187","11","94.44"
"Amchahalli","","","","","1","1","71","65","6","91.55"
"Amrutheswaranahalli","","","","","1","2","257","246","11","95.72"
"Amruthi","","","","","1","1","217","200","17","92.17"
"Anagahalli","","","","","1","1","538","495","43","92.01"
"Anasale","","","","","1","4","547","519","28","94.88"
"Anavalu","","","","","1","1","79","73","6","92.41"
"Anchanahalli","","","","","1","1","206","190","16","92.23"
"Anche Chittanahalli","","","","","1","2","164","156","8","95.12"
"Anchebeeranahalli","","","","","1","1","234","215","19","91.88"
"Anchebuvanahalli","","","","","1","1","77","73","4","94.81"
