"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbalathi","","","","","1","7","410","375","35","91.46"
"Abbur","","","","","1","1","26","23","3","88.46"
"Abburu","","","","","1","1","47","24","23","51.06"
"Abburu","","","","","1","1","106","95","11","89.62"
"Adaganahalli","","","","","1","3","1002","891","111","88.92"
"Adagoor","","","","","1","1","84","75","9","89.29"
"Adaguru","","","","","1","1","154","78","76","50.65"
"Adahalli","","","","","1","1","344","318","26","92.44"
"Adakanahalli","","","","","1","1","196","196","0","100.00"
"Adibettahalli","","","","","1","3","227","201","26","88.55"
"Adiganahalli","","","","","1","1","76","33","43","43.42"
"Agasanahundi","","","","","1","2","514","461","53","89.69"
"Agasthapura","","","","","1","1","84","68","16","80.95"
"Agathuru","","","","","1","1","14","13","1","92.86"
"Agrahara","","","","","1","1","72","45","27","62.50"
"Aithanahalli","","","","","1","1","340","306","34","90.00"
"Akala","","","","","1","1","193","183","10","94.82"
"Akkadevanahalli","","","","","1","1","307","276","31","89.90"
"Akkur","","","","","1","3","434","383","51","88.25"
"Alaganchi","","","","","1","1","530","475","55","89.62"
"Alaganchi","","","","","1","1","438","393","45","89.73"
"Alalahalli","","","","","1","1","112","59","53","52.68"
"Alalakuppe","","","","","1","1","122","101","21","82.79"
"Alalur","","","","","1","1","136","122","14","89.71"
"Alambadikaval","","","","","1","2","473","393","80","83.09"
"Alambur","","","","","1","2","354","295","59","83.33"
"Alanahalli","","","","","1","2","708","651","57","91.95"
"Alanahalli","","","","","1","5","624","552","72","88.46"
"Alanahalli","","","","","1","1","143","128","15","89.51"
"Alathur","","","","","1","4","621","539","82","86.80"
"Algodu","","","","","1","4","1377","1209","168","87.80"
"Amakahalli","","","","","1","1","193","175","18","90.67"
"Amani Jungle","","","","","1","1","477","428","49","89.73"
"Ambalare","","","","","1","1","364","328","36","90.11"
"Ambale","","","","","1","2","461","416","45","90.24"
"Anagalli","","","","","1","1","229","217","12","94.76"
"Anagatti","","","","","1","2","261","234","27","89.66"
"Anandur","","","","","1","1","447","445","2","99.55"
"Anemala","","","","","1","2","1295","1162","133","89.73"
"Angatahalli","","","","","1","1","151","110","41","72.85"
"Anivalu","","","","","1","1","216","193","23","89.35"
"Ankanahalli","","","","","1","3","236","155","81","65.68"
"Ankanahalli","","","","","1","1","115","88","27","76.52"
"Ankanahalli","","","","","1","1","304","273","31","89.80"
"Ankanahalli","","","","","1","5","914","841","73","92.01"
"Ankanahalli","","","","","1","3","558","416","142","74.55"
"Ankanahalli","","","","","1","2","275","244","31","88.73"
"Ankupura","","","","","1","1","190","171","19","90.00"
"Annarayapura","","","","","1","1","52","39","13","75.00"
"Annur","","","","","1","7","1688","1521","167","90.11"
"Antharasanthe","","","","","1","1","145","130","15","89.66"
"Antharasanthe Plantation","","","","","1","1","416","373","43","89.66"
"Aragowdanahalli","","","","","1","1","1","1","0","100.00"
"Arakere","","","","","1","5","2908","2545","363","87.52"
"Arakere","","","","","1","1","209","188","21","89.95"
"Aralikumari","","","","","1","1","848","769","79","90.68"
"Arasinakere","","","","","1","1","447","363","84","81.21"
"Aravattigekoppalu","","","","","1","1","364","287","77","78.85"
"Arenahalli","","","","","1","1","536","487","49","90.86"
"Ariyur","","","","","1","3","402","298","104","74.13"
"Arjunahalli","","","","","1","1","198","158","40","79.80"
"Aspathrekaval","","","","","1","12","1926","1390","536","72.17"
"Aswalu","","","","","1","1","67","52","15","77.61"
"Aswalu","","","","","1","1","248","222","26","89.52"
"Athahalli","","","","","1","2","1392","1150","242","82.61"
"Atthikuppe","","","","","1","2","131","80","51","61.07"
"Attigodu","","","","","1","9","827","710","117","85.85"
"Attiguppe","","","","","1","1","203","152","51","74.88"
"Avarekaiguddadakaval","","","","","1","1","20","19","1","95.00"
"Avarthi","","","","","1","3","385","343","42","89.09"
"Ayarabeedu","","","","","1","3","276","240","36","86.96"
"Ayarahalli","","","","","1","1","30","22","8","73.33"
"Ayarahalli","","","","","1","3","1206","1126","80","93.37"
"Ayyajayyanahundi","","","","","1","1","1","1","0","100.00"
"B. Matagere","","","","","1","9","3770","3583","187","95.04"
"B.Bettahalli","","","","","1","3","582","502","80","86.25"
"B.Seehalli","","","","","1","3","2073","1731","342","83.50"
"Bachahalli","","","","","1","3","245","178","67","72.65"
"Bachahalli","","","","","1","1","131","118","13","90.08"
"Bachegowdanahalli","","","","","1","1","282","253","29","89.72"
"Badaga","","","","","1","4","1383","1241","142","89.73"
"Badanakuppe","","","","","1","1","614","551","63","89.74"
"Badanavalu","","","","","1","3","676","639","37","94.53"
"Bagooru","","","","","1","2","154","135","19","87.66"
"Bakkarehallada Kaval","","","","","1","1","232","208","24","89.66"
"Ballahalli","","","","","1","1","44","39","5","88.64"
"Ballenahalli","","","","","1","5","1359","1016","343","74.76"
"Ballur","","","","","1","1","187","168","19","89.84"
"Banagavadi","","","","","1","1","150","138","12","92.00"
"Bandahalli","","","","","1","1","172","154","18","89.53"
"Bankahalli","","","","","1","4","356","321","35","90.17"
"Bankavadi","","","","","1","4","1038","1038","0","100.00"
"Bannahalli","","","","","1","3","156","134","22","85.90"
"Bannavadi","","","","","1","1","191","171","20","89.53"
"Bannikuppe","","","","","1","5","1306","778","528","59.57"
"Bannikuppe","","","","","1","1","186","167","19","89.78"
"Bannur (Rural)","","","","","1","1","264","245","19","92.80"
"Banooru","","","","","1","1","71","63","8","88.73"
"Baradanapura","","","","","1","1","631","566","65","89.70"
"Baragi","","","","","1","5","1229","1104","125","89.83"
"Barse","","","","","1","4","343","322","21","93.88"
"Basalapura","","","","","1","1","316","284","32","89.87"
"Basavanahalli","","","","","1","1","531","503","28","94.73"
"Basavanahalli","","","","","1","1","1","1","0","100.00"
"Basavanakote","","","","","1","1","325","292","33","89.85"
"Basavanapura","","","","","1","1","27","24","3","88.89"
"Basavanapura","","","","","1","1","140","130","10","92.86"
"Basavanayeni","","","","","1","4","1300","1093","207","84.08"
"Basavapatna","","","","","1","1","265","237","28","89.43"
"Basavarajapura","","","","","1","1","186","167","19","89.78"
"Basavattige","","","","","1","1","256","242","14","94.53"
"Basthimadanahalli","","","","","1","1","322","241","81","74.84"
"Battiganahalli","","","","","1","1","186","167","19","89.78"
"Beddalapura","","","","","1","1","198","178","20","89.90"
"Beechanahalli","","","","","1","3","1187","1063","124","89.55"
"Beechanahalli","","","","","1","4","635","635","0","100.00"
"Beedanahalli","","","","","1","1","417","394","23","94.48"
"Beejaganahalli","","","","","1","5","783","554","229","70.75"
"Beeramballi","","","","","1","5","2000","1834","166","91.70"
"Beeranahalli","","","","","1","1","196","176","20","89.80"
"Beeranahalli","","","","","1","1","30","22","8","73.33"
"Beeranahalli","","","","","1","2","307","255","52","83.06"
"Beeranahallikaval","","","","","1","1","67","45","22","67.16"
"Beerathammanahalli","","","","","1","4","310","176","134","56.77"
"Beerwal","","","","","1","3","251","213","38","84.86"
"Begur","","","","","1","1","26","23","3","88.46"
"Begurjungle","","","","","1","1","271","271","0","100.00"
"Beguru","","","","","1","7","2776","2752","24","99.14"
"Bekkare","","","","","1","1","40","36","4","90.00"
"Bekya","","","","","1","3","286","257","29","89.86"
"Belaganahalli","","","","","1","1","561","503","58","89.66"
"Belaganahallikaval","","","","","1","4","848","762","86","89.86"
"Belagunda","","","","","1","2","167","151","16","90.42"
"Belale","","","","","1","1","308","290","18","94.16"
"Belathur","","","","","1","2","164","142","22","86.59"
"Belavadi","","","","","1","1","440","395","45","89.77"
"Belthur","","","","","1","1","107","72","35","67.29"
"Belvata (CT)","","","","","1","1","2260","0","2260","0.00"
"Bemmathi","","","","","1","3","207","182","25","87.92"
"Benagal","","","","","1","2","250","220","30","88.00"
