"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adapur","","","","","1","1","176","149","27","84.66"
"Adavibhavi","","","","","1","3","225","158","67","70.22"
"Adkalgud","","","","","1","3","434","387","47","89.17"
"Advi Khanapur","","","","","1","1","170","144","26","84.71"
"Advibhavi (Mudgal)","","","","","1","2","455","390","65","85.71"
"Advibhavi(Maski)","","","","","1","4","535","458","77","85.61"
"Agapur (D)","","","","","1","1","3","2","1","66.67"
"Agrahar","","","","","1","1","68","57","11","83.82"
"Agrahar","","","","","1","1","4","3","1","75.00"
"Aidanhal","","","","","1","1","219","186","33","84.93"
"Aidbhavi","","","","","1","1","363","308","55","84.85"
"Akalkumpi","","","","","1","1","338","287","51","84.91"
"Alabanoor","","","","","1","1","339","289","50","85.25"
"Aldhal","","","","","1","11","400","321","79","80.25"
"Aldharti","","","","","1","9","132","111","21","84.09"
"Alkod","","","","","1","2","139","119","20","85.61"
"Alkur","","","","","1","1","230","195","35","84.78"
"Amarapur","","","","","1","1","288","244","44","84.72"
"Amarapur Khadehola - (D)","","","","","1","2","665","570","95","85.71"
"Amarawati","","","","","1","1","50","42","8","84.00"
"Amarawati","","","","","1","1","101","86","15","85.15"
"Amdihal","","","","","1","1","445","377","68","84.72"
"Ameengad","","","","","1","1","515","437","78","84.85"
"Amrapur","","","","","1","1","126","107","19","84.92"
"Amrapur","","","","","1","1","126","107","19","84.92"
"Anahosur","","","","","1","1","820","695","125","84.76"
"Anandgal","","","","","1","1","304","257","47","84.54"
"Anchesugur","","","","","1","1","176","149","27","84.66"
"Andankhed","","","","","1","1","176","149","27","84.66"
"Anjal","","","","","1","1","317","269","48","84.86"
"Ankanhal","","","","","1","1","103","88","15","85.44"
"Ankusadoddi","","","","","1","1","408","346","62","84.80"
"Antargangi (Big)","","","","","1","3","195","160","35","82.05"
"Antargangi (Small)","","","","","1","2","88","75","13","85.23"
"Anwar","","","","","1","1","137","116","21","84.67"
"Anwar","","","","","1","1","278","236","42","84.89"
"Anwari","","","","","1","1","882","748","134","84.81"
"Appandoddi","","","","","1","1","253","214","39","84.58"
"Apprahal","","","","","1","1","38","33","5","86.84"
"Arkera","","","","","1","2","1034","879","155","85.01"
"Arlappanahuda","","","","","1","1","55","47","8","85.45"
"Arlibenchi","","","","","1","1","73","70","3","95.89"
"Arlihalli","","","","","1","1","395","336","59","85.06"
"Arlihalli(Simth Mukunda)","","","","","1","1","41","35","6","85.37"
"Arnalli","","","","","1","2","410","351","59","85.61"
"Aroli","","","","","1","1","622","527","95","84.73"
"Arshanagi","","","","","1","1","263","223","40","84.79"
"Arshangi","","","","","1","1","211","179","32","84.83"
"Arsigera","","","","","1","3","260","218","42","83.85"
"Arya-Bhogapur","","","","","1","1","113","96","17","84.96"
"Asapur","","","","","1","1","260","220","40","84.62"
"Ashihal","","","","","1","13","756","593","163","78.44"
"Askihal","","","","","1","1","260","220","40","84.62"
"Athkur","","","","","1","3","781","657","124","84.12"
"Atnur","","","","","1","9","976","804","172","82.38"
"Ayazpur","","","","","1","1","214","182","32","85.05"
"Ayyanur","","","","","1","1","306","259","47","84.64"
"Badarli","","","","","1","5","348","299","49","85.92"
"Badlapur","","","","","1","1","72","61","11","84.72"
"Bagalapur","","","","","1","1","30","26","4","86.67"
"Bagalwad","","","","","1","15","1298","1098","200","84.59"
"Baggalgudda","","","","","1","1","66","55","11","83.33"
"Bagur","","","","","1","1","118","100","18","84.75"
"Baidoddi","","","","","1","1","352","298","54","84.66"
"Bailgudda","","","","","1","3","228","188","40","82.46"
"Bailmarchad","","","","","1","3","376","324","52","86.17"
"Baiyapur","","","","","1","3","297","233","64","78.45"
"Balganur","","","","","1","7","2689","2330","359","86.65"
"Ballatgi","","","","","1","9","337","287","50","85.16"
"Bandebhavi","","","","","1","7","366","312","54","85.25"
"Bandegud","","","","","1","23","887","767","120","86.47"
"Bandisunkapur","","","","","1","1","85","72","13","84.71"
"Banniganur","","","","","1","5","452","342","110","75.66"
"Bannigol","","","","","1","3","451","379","72","84.04"
"Bapur","","","","","1","1","67","56","11","83.58"
"Bapur","","","","","1","3","336","279","57","83.04"
"Bapur (D)","","","","","1","1","291","247","44","84.88"
"Basapur","","","","","1","1","193","164","29","84.97"
"Basapur","","","","","1","1","313","265","48","84.66"
"Bassapur","","","","","1","1","50","42","8","84.00"
"Bassapur (D)","","","","","1","1","41","35","6","85.37"
"Bassapur (D)","","","","","1","2","153","131","22","85.62"
"Bassapur (K)","","","","","1","4","1069","919","150","85.97"
"Bassapur - (Ej)","","","","","1","4","577","496","81","85.96"
"Baswantpur","","","","","1","1","75","63","12","84.00"
"Belgurki","","","","","1","1","536","454","82","84.70"
"Belladamaradi","","","","","1","1","90","77","13","85.56"
"Belliganur","","","","","1","1","309","262","47","84.79"
"Bellihal","","","","","1","1","79","68","11","86.08"
"Belwat","","","","","1","1","118","100","18","84.75"
"Benchaldoddi","","","","","1","9","219","162","57","73.97"
"Benchamardi","","","","","1","1","151","128","23","84.77"
"Bendarkarlkunti","","","","","1","1","144","121","23","84.03"
"Benderganekal","","","","","1","23","1232","1050","182","85.23"
"Bendlhatti","","","","","1","1","309","262","47","84.79"
"Bendona","","","","","1","1","215","183","32","85.12"
"Benkal","","","","","1","1","112","97","15","86.61"
"Benkanhal","","","","","1","1","5","4","1","80.00"
"Bettadur","","","","","1","7","356","288","68","80.90"
"Bevin Benchi","","","","","1","1","85","72","13","84.71"
"Bevinur","","","","","1","1","61","52","9","85.25"
"Bhiramgondal (D)","","","","","1","1","289","245","44","84.78"
"Bhogapur","","","","","1","3","413","350","63","84.75"
"Bhogapur","","","","","1","3","120","102","18","85.00"
"Bhogawati","","","","","1","3","373","321","52","86.06"
"Bhogiramangund","","","","","1","1","279","237","42","84.95"
"Bhumangund","","","","","1","1","468","397","71","84.83"
"Bhupur","","","","","1","3","354","288","66","81.36"
"Bichal","","","","","1","5","466","378","88","81.12"
"Bijangera","","","","","1","1","435","368","67","84.60"
"Bolmandoddi","","","","","1","1","145","122","23","84.14"
"Bommanahal","","","","","1","3","255","219","36","85.88"
"Bommanahal-U","","","","","1","1","174","147","27","84.48"
"Bommanhal","","","","","1","3","230","196","34","85.22"
"Bommanhal","","","","","1","1","184","156","28","84.78"
"Bommanhal - (Ej)","","","","","1","4","487","421","66","86.45"
"Bommanhalli","","","","","1","1","246","209","37","84.96"
"Bomsandoddi","","","","","1","1","173","147","26","84.97"
"Boppur","","","","","1","1","275","233","42","84.73"
"Buddinni","","","","","1","1","184","156","28","84.78"
"Buddinni","","","","","1","1","174","147","27","84.48"
"Buddinni","","","","","1","3","358","304","54","84.92"
"Buddinni","","","","","1","3","230","185","45","80.43"
"Buddinni","","","","","1","6","132","115","17","87.12"
"Buddinni","","","","","1","1","29","24","5","82.76"
"Buddinni","","","","","1","7","597","510","87","85.43"
"Buddinni","","","","","1","1","121","102","19","84.30"
"Budidipad","","","","","1","2","242","205","37","84.71"
"Budinhal","","","","","1","1","142","120","22","84.51"
"Budiwal","","","","","1","1","323","274","49","84.83"
"Bukanhatti","","","","","1","1","323","274","49","84.83"
"Bullapur","","","","","1","1","312","264","48","84.62"
"Bullapur","","","","","1","1","78","66","12","84.62"
"Bunkaldoddi","","","","","1","1","470","400","70","85.11"
"Burhanpur","","","","","1","1","51","45","6","88.24"
"Butaldinni","","","","","1","15","1550","1337","213","86.26"
"Byagwat","","","","","1","5","1165","996","169","85.49"
"Byalihal","","","","","1","1","113","96","17","84.96"
"Chadkalgudda","","","","","1","1","298","253","45","84.90"
"Chagbhavi","","","","","1","3","753","628","125","83.40"
"Chandrabanda","","","","","1","1","639","542","97","84.82"
"Channahalli","","","","","1","6","1076","911","165","84.67"
"Chapalki","","","","","1","1","20","16","4","80.00"
"Chattar","","","","","1","7","506","398","108","78.66"
"Chick-Hesarur","","","","","1","2","685","586","99","85.55"
"Chickbudur","","","","","1","1","319","270","49","84.64"
"Chickhonkuni","","","","","1","1","142","120","22","84.51"
"Chickkudalgi","","","","","1","1","3","2","1","66.67"
"Chickmanchal","","","","","1","1","220","187","33","85.00"
"Chickraikumpi","","","","","1","1","73","62","11","84.93"
"Chicksugur","","","","","1","1","480","407","73","84.79"
"Chikaldoddi","","","","","1","1","4","3","1","75.00"
"Chikalparvi","","","","","1","3","506","426","80","84.19"
"Chikbhergi","","","","","1","1","383","324","59","84.60"
"Chikka Hanagi","","","","","1","1","57","49","8","85.96"
"Chikka Nagnur","","","","","1","1","152","129","23","84.87"
"Chikkabadardinni","","","","","1","1","82","69","13","84.15"
"Chikkadinni","","","","","1","5","340","272","68","80.00"
"Chikkaldoddi","","","","","1","2","243","235","8","96.71"
"Chikkaudbal","","","","","1","1","82","69","13","84.15"
"Chikkkadbur","","","","","1","4","454","396","58","87.22"
"Chikkotankal","","","","","1","1","384","325","59","84.64"
"Chilkaragi","","","","","1","1","126","107","19","84.92"
"Chimlapur","","","","","1","1","190","164","26","86.32"
"Chincharaki","","","","","1","1","264","224","40","84.85"
"Chinchodi","","","","","1","1","391","332","59","84.91"
"Chintalkunta","","","","","1","1","245","208","37","84.90"
"Chintamandoddi","","","","","1","1","100","85","15","85.00"
"Chiratanal","","","","","1","1","264","224","40","84.85"
"Chitrali","","","","","1","1","95","81","14","85.26"
"Chitranhal","","","","","1","1","150","126","24","84.00"
"Chittapur","","","","","1","1","354","300","54","84.75"
"Chukanahatti","","","","","1","1","80","68","12","85.00"
"Cincheri","","","","","1","1","95","81","14","85.26"
"Dabbermadu","","","","","1","1","62","53","9","85.48"
"Daddal","","","","","1","1","175","148","27","84.57"
"Deensamudra","","","","","1","1","294","250","44","85.03"
"Deosugur","","","","","1","1","560","476","84","85.00"
"Desai-Bhogapur","","","","","1","6","205","122","83","59.51"
"Devadurga (Rural)","","","","","1","1","28","23","5","82.14"
"Devanpalli","","","","","1","1","380","322","58","84.74"
"Devar-Bhupur","","","","","1","15","1426","1176","250","82.47"
"Devatgal","","","","","1","3","217","184","33","84.79"
"Devergud","","","","","1","1","114","97","17","85.09"
"Devergud","","","","","1","3","132","113","19","85.61"
"Devergudi","","","","","1","3","827","711","116","85.97"
"Devipur","","","","","1","1","160","136","24","85.00"
"Dewatgal","","","","","1","7","163","127","36","77.91"
"Dhadesugur","","","","","1","3","707","588","119","83.17"
"Dhotarbandi","","","","","1","1","157","134","23","85.35"
"Dibbanakhed","","","","","1","1","20","16","4","80.00"
"Diddigi","","","","","1","1","527","447","80","84.82"
"Dignaikanbhavi","","","","","1","3","218","181","37","83.03"
"Dinni","","","","","1","1","554","475","79","85.74"
"Donamaradi","","","","","1","5","230","186","44","80.87"
"Dondambli","","","","","1","1","268","227","41","84.70"
"Dongarampur","","","","","1","3","158","132","26","83.54"
"Donmardi","","","","","1","1","131","111","20","84.73"
"Dugnoor","","","","","1","1","283","240","43","84.81"
"Dumti","","","","","1","3","1369","1056","313","77.14"
"Durg","","","","","1","1","268","227","41","84.70"
"Eachanhal","","","","","1","5","777","632","145","81.34"
"Eklasapur","","","","","1","1","189","160","29","84.66"
"Eklaspur","","","","","1","1","283","240","43","84.81"
"Eralgaddi","","","","","1","3","111","84","27","75.68"
"Fathepur","","","","","1","1","188","160","28","85.11"
"Gabbur","","","","","1","2","2597","2224","373","85.64"
"Gadgi","","","","","1","3","134","91","43","67.91"
"Gadhar","","","","","1","1","331","281","50","84.89"
"Gadratigi","","","","","1","1","234","199","35","85.04"
"Gagal","","","","","1","1","51","43","8","84.31"
"Gajaldinni","","","","","1","1","129","109","20","84.50"
"Gajjibhavi","","","","","1","1","161","137","24","85.09"
"Gajral","","","","","1","1","230","195","35","84.78"
"Galag","","","","","1","12","2140","1887","253","88.18"
"Ganadinni","","","","","1","3","380","318","62","83.68"
"Ganajali","","","","","1","1","178","151","27","84.83"
"Gandhal","","","","","1","2","850","717","133","84.35"
"Gandhal","","","","","1","1","440","373","67","84.77"
"Gandhinagar","","","","","1","3","2275","1931","344","84.88"
"Ganekal","","","","","1","1","341","290","51","85.04"
"Gangwar","","","","","1","1","112","95","17","84.82"
"Ganjhalli","","","","","1","1","350","297","53","84.86"
"Ganmur","","","","","1","1","347","295","52","85.01"
"Garaldinni","","","","","1","1","376","322","54","85.64"
"Gatbichal","","","","","1","2","439","376","63","85.65"
"Gavigat","","","","","1","3","383","319","64","83.29"
"Gejjelagatta","","","","","1","1","472","400","72","84.75"
"Ghousenagar","","","","","1","1","63","54","9","85.71"
"Gillesugur","","","","","1","5","601","498","103","82.86"
"Giniwar","","","","","1","1","525","446","79","84.95"
"Gobberkal","","","","","1","1","253","214","39","84.58"
"Godihal","","","","","1","3","183","150","33","81.97"
"Goge Hebbal","","","","","1","3","234","203","31","86.75"
"Goldinni","","","","","1","1","190","161","29","84.74"
"Golpalli","","","","","1","12","302","275","27","91.06"
"Gomarsi","","","","","1","1","326","276","50","84.66"
"Gonhal","","","","","1","1","196","174","22","88.78"
"Gonhal","","","","","1","1","375","318","57","84.80"
"Gonniganoor","","","","","1","1","76","64","12","84.21"
"Gonwar","","","","","1","9","1011","861","150","85.16"
"Gonwar","","","","","1","3","292","250","42","85.62"
"Gonwar","","","","","1","1","271","231","40","85.24"
"Gonwatla","","","","","1","3","604","500","104","82.78"
"Gopalpur","","","","","1","1","266","226","40","84.96"
"Gopendeverhalli","","","","","1","1","46","39","7","84.78"
"Gorebal","","","","","1","11","4492","3605","887","80.25"
"Gorebal","","","","","1","3","448","383","65","85.49"
"Gorkal","","","","","1","1","546","463","83","84.80"
"Gorloti","","","","","1","3","122","103","19","84.43"
"Goudanbhavi","","","","","1","3","616","524","92","85.06"
"Goudur","","","","","1","7","862","725","137","84.11"
"Govinadoddi","","","","","1","5","130","106","24","81.54"
"Govindnaikandoddi","","","","","1","1","17","14","3","82.35"
"Govindpalli","","","","","1","1","188","159","29","84.57"
"Gud-Dinni.K","","","","","1","6","1065","992","73","93.15"
"Gudadanhal","","","","","1","1","466","395","71","84.76"
"Gudadur","","","","","1","2","412","351","61","85.19"
"Guddad Irabgera","","","","","1","6","71","60","11","84.51"
"Gudgaldinni","","","","","1","1","126","107","19","84.92"
"Gudihal","","","","","1","1","231","196","35","84.85"
"Gudihal","","","","","1","1","263","223","40","84.79"
"Gudihal","","","","","1","1","116","99","17","85.34"
"Gugal","","","","","1","2","263","226","37","85.93"
"Gunda","","","","","1","1","246","209","37","84.96"
"Gundasagar","","","","","1","1","326","276","50","84.66"
"Gunderveli","","","","","1","1","145","122","23","84.14"
"Gundgurthi","","","","","1","1","166","141","25","84.94"
"Gunjanalli","","","","","1","5","1249","1070","179","85.67"
"Gunjhalli","","","","","1","1","1070","908","162","84.86"
"Guntagola","","","","","1","4","393","314","79","79.90"
"Guntarhal","","","","","1","1","210","179","31","85.24"
"Gurgunta","","","","","1","28","3366","2882","484","85.62"
"Gurjapur","","","","","1","1","116","99","17","85.34"
"Hadagali","","","","","1","13","783","622","161","79.44"
"Haddinhal","","","","","1","1","140","119","21","85.00"
"Hal-Jadaldinni","","","","","1","1","141","120","21","85.11"
"Halapur","","","","","1","3","471","394","77","83.65"
"Halbhavi","","","","","1","3","548","440","108","80.29"
"Halkawatgi","","","","","1","1","263","223","40","84.79"
"Halli","","","","","1","5","98","81","17","82.65"
"Halvenktapur","","","","","1","2","184","158","26","85.87"
"Hampergundi","","","","","1","1","141","120","21","85.11"
"Hanchanhal","","","","","1","3","92","76","16","82.61"
"Hanchinal","","","","","1","1","179","152","27","84.92"
"Hanchinhal","","","","","1","1","96","82","14","85.42"
"Hanchinhal","","","","","1","1","124","105","19","84.68"
"Hanchinhal (K)","","","","","1","2","1122","967","155","86.19"
"Hanchinhal (U)","","","","","1","4","900","772","128","85.78"
"Hanmapur","","","","","1","1","328","280","48","85.37"
"Hanmapur","","","","","1","1","328","277","51","84.45"
"Hanpanhal","","","","","1","1","362","307","55","84.81"
"Hanumandoddi","","","","","1","1","131","111","20","84.73"
"Hanumangudda(Hosur)","","","","","1","1","215","183","32","85.12"
"Hanumapur","","","","","1","5","715","616","99","86.15"
"Harapur","","","","","1","5","412","353","59","85.68"
"Haretnur","","","","","1","1","449","382","67","85.08"
"Harkandoddi (D)","","","","","1","1","131","111","20","84.73"
"Harvapur","","","","","1","1","211","179","32","84.83"
"Harvi","","","","","1","13","1922","1772","150","92.20"
"Hasamakal","","","","","1","3","397","339","58","85.39"
"Hatti","","","","","1","1","227","193","34","85.02"
"Hatti (CT)","","","","","1","1","2759","0","2759","0.00"
"Hattigudda","","","","","1","1","284","241","43","84.86"
"Hedginhal","","","","","1","3","369","313","56","84.82"
"Hedigibal","","","","","1","2","245","210","35","85.71"
"Heera","","","","","1","1","436","369","67","84.63"
"Heerapur","","","","","1","1","529","449","80","84.88"
"Heggaddinni","","","","","1","1","212","181","31","85.38"
"Heggapur","","","","","1","3","140","108","32","77.14"
"Hegsanhalli","","","","","1","1","349","296","53","84.81"
"Hemanal","","","","","1","1","251","212","39","84.46"
"Hemberhal","","","","","1","1","128","109","19","85.16"
"Hemnhal","","","","","1","1","66","55","11","83.33"
"Hemnur","","","","","1","1","261","221","40","84.67"
"Herundi","","","","","1","1","204","172","32","84.31"
"Herur","","","","","1","2","330","283","47","85.76"
"Hilalpur","","","","","1","1","60","51","9","85.00"
"Hire Hanagi","","","","","1","1","339","288","51","84.96"
"Hire Hesarur","","","","","1","2","349","299","50","85.67"
"Hire Kadboor","","","","","1","1","155","132","23","85.16"
"Hire Kotankal","","","","","1","11","809","648","161","80.10"
"Hire Nagnur","","","","","1","2","657","563","94","85.69"
"Hire-Badardinni","","","","","1","5","459","378","81","82.35"
"Hirebhergi","","","","","1","1","249","211","38","84.74"
"Hirebudur","","","","","1","1","315","267","48","84.76"
"Hiredinni","","","","","1","3","490","416","74","84.90"
"Hirehonkuni","","","","","1","1","315","267","48","84.76"
"Hirekudalgi","","","","","1","1","43","36","7","83.72"
"Hireraikumpi","","","","","1","1","256","217","39","84.77"
"Hogernhal","","","","","1","1","243","206","37","84.77"
"Hokarani","","","","","1","1","135","114","21","84.44"
"Hokrani","","","","","1","3","359","299","60","83.29"
"Honkatmalli","","","","","1","1","278","236","42","84.89"
"Honnahalli","","","","","1","1","456","387","69","84.87"
"Honnatagi","","","","","1","1","147","124","23","84.35"
"Hoovinabhavi","","","","","1","1","218","186","32","85.32"
"Horahatti","","","","","1","1","147","124","23","84.35"
"Hosagudda","","","","","1","2","86","73","13","84.88"
"Hosalapur","","","","","1","1","82","69","13","84.15"
"Hospet","","","","","1","1","349","296","53","84.81"
"Hosshalli (Ej)","","","","","1","10","1457","1190","267","81.67"
"Hosshalli (K)","","","","","1","6","1567","1344","223","85.77"
"Hosur","","","","","1","1","349","296","53","84.81"
"Hosur","","","","","1","4","716","612","104","85.47"
"Hosur Siddapur","","","","","1","2","828","709","119","85.63"
"Hosur Umli","","","","","1","3","96","83","13","86.46"
"Hosur.N","","","","","1","2","910","780","130","85.71"
"Huda","","","","","1","3","600","541","59","90.17"
"Huda","","","","","1","1","139","119","20","85.61"
"Hulgunchi","","","","","1","1","217","185","32","85.25"
"Huligud","","","","","1","1","137","116","21","84.67"
"Huligudda","","","","","1","1","7","7","0","100.00"
"Hullur","","","","","1","1","303","257","46","84.82"
"Hunched","","","","","1","1","134","114","20","85.07"
"Hungunbad","","","","","1","1","47","40","7","85.11"
"Hunkunti","","","","","1","1","365","309","56","84.66"
"Hunoor","","","","","1","1","365","310","55","84.93"
"Hunsihalhuda","","","","","1","1","442","375","67","84.84"
"Hunur","","","","","1","1","56","48","8","85.71"
"Hussainpur","","","","","1","1","237","201","36","84.81"
"Huvinhadgi","","","","","1","1","114","97","17","85.09"
"Ibrahimdoddi","","","","","1","1","160","136","24","85.00"
"Idapnur","","","","","1","1","1014","860","154","84.81"
"Ingaladhal","","","","","1","1","92","78","14","84.78"
"Irkal","","","","","1","1","119","101","18","84.87"
"Itagi","","","","","1","2","308","265","43","86.04"
"J. Venktapur","","","","","1","1","396","337","59","85.10"
"Jagatkal","","","","","1","1","253","214","39","84.58"
"Jagir-Jadaldinni","","","","","1","2","661","566","95","85.63"
"Jakkal Dinni","","","","","1","3","357","282","75","78.99"
"Jakker-Madu","","","","","1","9","703","503","200","71.55"
"Jalapur","","","","","1","3","557","458","99","82.23"
"Jaldurga","","","","","1","1","49","42","7","85.71"
"Jalhalli","","","","","1","1","2159","1850","309","85.69"
"Jalibenchi","","","","","1","1","226","192","34","84.96"
"Jalibenchi","","","","","1","1","138","117","21","84.78"
"Jalihal","","","","","1","5","964","828","136","85.89"
"Jallihatti","","","","","1","1","283","240","43","84.81"
"Jalwadgi","","","","","1","1","253","214","39","84.58"
"Jambaldinni","","","","","1","1","338","287","51","84.91"
"Jambaldinni","","","","","1","1","70","59","11","84.29"
"Jambaldinni","","","","","1","7","395","308","87","77.97"
"Jambunathanahalli","","","","","1","2","292","251","41","85.96"
"Janekal","","","","","1","6","462","385","77","83.33"
"Jangamarahatti (D)","","","","","1","1","15","12","3","80.00"
"Jangamarhalli","","","","","1","1","217","185","32","85.25"
"Jangamerhatti (A)","","","","","1","1","216","184","32","85.19"
"Jantapur","","","","","1","1","243","206","37","84.77"
"Jaradbandi","","","","","1","1","127","107","20","84.25"
"Javgud","","","","","1","1","127","107","20","84.25"
"Jawalgera","","","","","1","5","1991","1698","293","85.28"
"Jawoor(Big)","","","","","1","1","173","147","26","84.97"
"Jawoor(Small)","","","","","1","2","100","85","15","85.00"
"Jeenur","","","","","1","3","356","298","58","83.71"
"Jegarkal","","","","","1","1","463","395","68","85.31"
"Jerbandi","","","","","1","1","160","136","24","85.00"
"Jinnapur","","","","","1","1","90","77","13","85.56"
"Jinnapur","","","","","1","1","175","148","27","84.57"
"Jogaldinni","","","","","1","1","1372","1163","209","84.77"
"Joladarasi","","","","","1","2","118","102","16","86.44"
"Joladarasi","","","","","1","1","1372","1163","209","84.77"
"Joladhadgi","","","","","1","1","190","161","29","84.74"
"Jujulapur","","","","","1","1","1372","1163","209","84.77"
"Jukur","","","","","1","3","216","179","37","82.87"
"Julamgera","","","","","1","3","329","278","51","84.50"
"Julgudda","","","","","1","1","257","218","39","84.82"
"Jungamarhalli","","","","","1","1","6","5","1","83.33"
"Jungi-Rampur","","","","","1","3","248","185","63","74.60"
"Jutlahal","","","","","1","1","76","64","12","84.21"
"Jutlapur","","","","","1","1","76","64","12","84.21"
"Jutmardi","","","","","1","1","158","134","24","84.81"
"Kabberhal","","","","","1","1","642","544","98","84.74"
"Kachapur","","","","","1","1","56","48","8","85.71"
"Kachapur","","","","","1","1","124","105","19","84.68"
