"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abbanakuppe","","","","","1","5","593","590","3","99.49"
"Abbur","","","","","1","3","271","247","24","91.14"
"Achalu","","","","","1","4","275","251","24","91.27"
"Achalu","","","","","1","20","1999","1930","69","96.55"
"Achalu Forest","","","","","1","1","42","38","4","90.48"
"Adakamaranahalli","","","","","1","1","51","51","0","100.00"
"Adarangi","","","","","1","6","625","616","9","98.56"
"Agalakote","","","","","1","5","558","553","5","99.10"
"Agara","","","","","1","1","107","99","8","92.52"
"Agrahara","","","","","1","3","417","414","3","99.28"
"Agrahara Valagerehalli","","","","","1","2","204","199","5","97.55"
"Ajjabasavanahalli","","","","","1","1","35","31","4","88.57"
"Ajjahalli","","","","","1","4","98","94","4","95.92"
"Ajjanahalli","","","","","1","5","202","193","9","95.54"
"Ajjegowdanavalase","","","","","1","4","349","342","7","97.99"
"Akkur","","","","","1","1","33","30","3","90.91"
"Akkur","","","","","1","2","159","147","12","92.45"
"Aladakatte","","","","","1","3","70","70","0","100.00"
"Aladakattepalya","","","","","1","1","162","162","0","100.00"
"Alahalli","","","","","1","17","1608","1557","51","96.83"
"Alalakuppe","","","","","1","3","106","97","9","91.51"
"Alamaradoddi","","","","","1","1","51","48","3","94.12"
"Allalasandra","","","","","1","6","403","360","43","89.33"
"Allimaranahalli","","","","","1","6","478","445","33","93.10"
"Alur","","","","","1","4","487","483","4","99.18"
"Alur","","","","","1","4","423","394","29","93.14"
"Ambadahalli","","","","","1","1","155","145","10","93.55"
"Ammallydoddi","","","","","1","1","79","74","5","93.67"
"Ammanapura","","","","","1","1","42","39","3","92.86"
"Anajawadi","","","","","1","4","329","313","16","95.14"
"Anamanahalli","","","","","1","3","251","231","20","92.03"
"Anedoddi","","","","","1","1","118","109","9","92.37"
"Anehosahalli","","","","","1","2","175","168","7","96.00"
"Angajanahalli","","","","","1","6","155","155","0","100.00"
"Anigere","","","","","1","1","40","34","6","85.00"
"Anjanapura","","","","","1","1","101","96","5","95.05"
"Ankanahalli","","","","","1","3","100","84","16","84.00"
"Ankanahalli","","","","","1","1","57","51","6","89.47"
"Ankushanahalli","","","","","1","1","53","49","4","92.45"
"Anmanahalli","","","","","1","1","81","75","6","92.59"
"Annahalli","","","","","1","3","531","513","18","96.61"
"Annaiahsastripalya","","","","","1","1","19","19","0","100.00"
"Annekaranahalli","","","","","1","1","15","15","0","100.00"
"Anumanahalli","","","","","1","1","40","32","8","80.00"
"Arakere","","","","","1","2","203","191","12","94.09"
"Aralagadakallu","","","","","1","1","38","29","9","76.32"
"Aralalasandra","","","","","1","1","46","41","5","89.13"
"Aralalu","","","","","1","1","106","100","6","94.34"
"Aralalusandra","","","","","1","12","1142","1069","73","93.61"
"Aralapura","","","","","1","1","203","198","5","97.54"
"Aralimarada doddi","","","","","1","2","814","810","4","99.51"
"Aranakuppe","","","","","1","2","57","46","11","80.70"
"Arasinakunte","","","","","1","6","284","284","0","100.00"
"Aratabele","","","","","1","4","574","544","30","94.77"
"Archikarahalli","","","","","1","1","16","8","8","50.00"
"Arehalli","","","","","1","4","345","329","16","95.36"
"Arehosahalli","","","","","1","1","136","128","8","94.12"
"Arekadakalu","","","","","1","1","74","69","5","93.24"
"Arekattedoddi","","","","","1","2","123","117","6","95.12"
"Arekoppa","","","","","1","8","940","880","60","93.62"
"Attiguppe","","","","","1","1","104","99","5","95.19"
"Attihalli","","","","","1","1","105","104","1","99.05"
"Attikuppe","","","","","1","3","96","80","16","83.33"
"Attingere","","","","","1","5","356","341","15","95.79"
"Avaragere","","","","","1","3","92","70","22","76.09"
"Avaremala","","","","","1","7","506","451","55","89.13"
"Avverahalli","","","","","1","2","102","95","7","93.14"
"Awerahalli","","","","","1","2","88","84","4","95.45"
"Bachahalli","","","","","1","8","689","645","44","93.61"
"Bachahalli","","","","","1","3","285","271","14","95.09"
"Bachenahatti","","","","","1","5","457","454","3","99.34"
"Baganigere","","","","","1","3","36","36","0","100.00"
"Baganigerekaval","","","","","1","1","41","41","0","100.00"
"Balagondanahalli","","","","","1","1","64","59","5","92.19"
"Balaguli","","","","","1","1","12","8","4","66.67"
"Balechannanavalse","","","","","1","1","27","20","7","74.07"
"Balekatte","","","","","1","1","56","55","1","98.21"
"Balenahalli","","","","","1","1","144","144","0","100.00"
"Balepura","","","","","1","1","309","307","2","99.35"
"Baleveeranahalli","","","","","1","1","32","22","10","68.75"
"Ballagere","","","","","1","5","257","239","18","93.00"
"Ballapatna","","","","","1","3","675","660","15","97.78"
"Banagahalli","","","","","1","3","324","309","15","95.37"
"Banandur","","","","","1","5","384","356","28","92.71"
"Bananthahalli","","","","","1","5","613","569","44","92.82"
"Banavadi","","","","","1","7","385","380","5","98.70"
"Banavasi","","","","","1","18","1534","1455","79","94.85"
"Bandiganahalli","","","","","1","5","1381","1351","30","97.83"
"Banduru Valagerehalli","","","","","1","6","420","403","17","95.95"
"Bannane","","","","","1","1","486","483","3","99.38"
"Bannigiri","","","","","1","5","337","316","21","93.77"
