"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"A. Annapura","","","","","1","2","125","103","22","82.40"
"Abasi","","","","","1","3","178","147","31","82.58"
"Abbalagere","","","","","1","1","302","249","53","82.45"
"Achapura","","","","","1","6","400","327","73","81.75"
"Adagadi","","","","","1","1","113","93","20","82.30"
"Adagalale","","","","","1","7","137","111","26","81.02"
"Adaganti","","","","","1","1","258","212","46","82.17"
"Adagodi","","","","","1","1","46","38","8","82.61"
"Adaranthe","","","","","1","1","35","29","6","82.86"
"Adavalli","","","","","1","1","18","17","1","94.44"
"Adina Kottige","","","","","1","1","76","63","13","82.89"
"Adinasara","","","","","1","3","34","28","6","82.35"
"Adrihalli","","","","","1","1","105","86","19","81.90"
"Adur","","","","","1","4","168","139","29","82.74"
"Agalabagilu","","","","","1","12","181","152","29","83.98"
"Agaradahalli","","","","","1","2","826","680","146","82.32"
"Agasadi","","","","","1","3","16","13","3","81.25"
"Agasanahalli","","","","","1","1","238","196","42","82.35"
"Agasanahalli","","","","","1","1","198","163","35","82.32"
"Agasavalli","","","","","1","8","425","357","68","84.00"
"Aklapura","","","","","1","10","117","98","19","83.76"
"Alada Halli","","","","","1","1","151","124","27","82.12"
"Aladevara Hosuru","","","","","1","1","21","17","4","80.95"
"Alageri","","","","","1","9","156","127","29","81.41"
"Alageri Mandri","","","","","1","1","268","221","47","82.46"
"Alahalli","","","","","1","1","163","134","29","82.21"
"Alamanepalbasagere","","","","","1","1","3","2","1","66.67"
"Alase","","","","","1","1","42","35","7","83.33"
"Alavalli","","","","","1","8","188","154","34","81.91"
"Alkuni","","","","","1","2","19","15","4","78.95"
"Almane","","","","","1","4","47","39","8","82.98"
"Alur","","","","","1","5","86","74","12","86.05"
"Amachi","","","","","1","1","26","21","5","80.77"
"Amachi","","","","","1","1","36","30","6","83.33"
"Amachi","","","","","1","2","161","150","11","93.17"
"Ambaragodlu","","","","","1","2","52","47","5","90.38"
"Ambaragoppa","","","","","1","1","564","464","100","82.27"
"Ambli Katte","","","","","1","1","92","76","16","82.61"
"Ambligola","","","","","1","1","191","157","34","82.20"
"Ammagondanakoppa","","","","","1","1","12","10","2","83.33"
"Amrutha","","","","","1","1","147","121","26","82.31"
"Amtekoppa","","","","","1","1","252","208","44","82.54"
"Anadagadoduru","","","","","1","7","183","151","32","82.51"
"Anaginabylu","","","","","1","1","191","157","34","82.20"
"Analekoppa","","","","","1","1","3","2","1","66.67"
"Anandapuram","","","","","1","1","518","427","91","82.43"
"Anavatti","","","","","1","1","1757","1447","310","82.36"
"Anaveri","","","","","1","2","641","527","114","82.22"
"Andagere","","","","","1","7","134","111","23","82.84"
"Andagoli","","","","","1","1","4","3","1","75.00"
"Andavalli","","","","","1","2","274","234","40","85.40"
"Andige","","","","","1","1","154","127","27","82.47"
"Anegadde","","","","","1","2","28","23","5","82.14"
"Anesara","","","","","1","1","26","21","5","80.77"
"Angalagodige","","","","","1","8","77","59","18","76.62"
"Anjanapura","","","","","1","1","191","157","34","82.20"
"Ankaravalli","","","","","1","1","173","142","31","82.08"
"Antaragange","","","","","1","3","491","404","87","82.28"
"Anupina Katte","","","","","1","1","105","86","19","81.90"
"Araballi","","","","","1","4","46","38","8","82.61"
"Aradottilu","","","","","1","2","260","214","46","82.31"
"Araga","","","","","1","5","195","164","31","84.10"
"Aragodi","","","","","1","1","22","18","4","81.82"
"Arahatholalu","","","","","1","3","708","584","124","82.49"
"Arakere","","","","","1","1","452","372","80","82.30"
"Aralagodu","","","","","1","5","42","34","8","80.95"
"Aralapura","","","","","1","18","325","282","43","86.77"
"Aralasurali","","","","","1","8","136","117","19","86.03"
"Aralehalli","","","","","1","1","286","236","50","82.52"
"Aralihalli","","","","","1","1","781","643","138","82.33"
"Aralikoppa","","","","","1","2","95","78","17","82.11"
"Aralikoppa","","","","","1","1","191","157","34","82.20"
"Aramane Koppa","","","","","1","22","343","276","67","80.47"
"Aranalli","","","","","1","3","167","130","37","77.84"
"Arasalu","","","","","1","3","77","63","14","81.82"
"Arasinagere","","","","","1","1","423","348","75","82.27"
"Aravade","","","","","1","1","23","19","4","82.61"
"Arebilachi","","","","","1","4","1383","1139","244","82.36"
"Arehada","","","","","1","7","71","64","7","90.14"
"Arehalli","","","","","1","12","320","279","41","87.19"
"Arekoppa","","","","","1","1","78","64","14","82.05"
"Arena Koppa","","","","","1","1","104","86","18","82.69"
"Arethelagadde","","","","","1","1","113","93","20","82.30"
"Arisinaghatta","","","","","1","2","105","86","19","81.90"
"Athavadi","","","","","1","4","124","102","22","82.26"
"Athibylu","","","","","1","2","153","126","27","82.35"
"Athigunda","","","","","1","1","357","294","63","82.35"
"Attigadde","","","","","1","4","44","37","7","84.09"
"Avade","","","","","1","1","37","30","7","81.08"
"Avalagodu","","","","","1","1","21","17","4","80.95"
"Avinahalli","","","","","1","20","441","371","70","84.13"
"Ayanuru","","","","","1","3","729","683","46","93.69"
"B Beeranahalli","","","","","1","1","290","239","51","82.41"
"Baballi","","","","","1","1","241","198","43","82.16"
"Badanakatte","","","","","1","1","6","5","1","83.33"
"Badanehal","","","","","1","1","51","47","4","92.16"
"Badenagara","","","","","1","1","8","7","1","87.50"
"Baganakatte","","","","","1","1","305","251","54","82.30"
"Baggodige","","","","","1","3","74","62","12","83.78"
"Balagatte","","","","","1","5","82","68","14","82.93"
"Balagodu","","","","","1","2","7","5","2","71.43"
"Balagodu","","","","","1","1","48","40","8","83.33"
"Balagodu","","","","","1","1","94","77","17","81.91"
"Balasagodu","","","","","1","1","103","85","18","82.52"
"Bale Koppa","","","","","1","1","301","248","53","82.39"
"Balegaru","","","","","1","1","7","6","1","85.71"
"Balegundi","","","","","1","1","81","67","14","82.72"
"Balehalli","","","","","1","25","295","243","52","82.37"
"Balekatte","","","","","1","1","40","33","7","82.50"
"Balekoppa","","","","","1","1","44","36","8","81.82"
"Balekoppa","","","","","1","1","29","24","5","82.76"
"Balekoppa","","","","","1","1","28","23","5","82.14"
"Balemaranahalli","","","","","1","3","416","343","73","82.45"
"Balige","","","","","1","4","92","76","16","82.61"
"Baligere","","","","","1","8","29","19","10","65.52"
"Ballibylu","","","","","1","3","121","104","17","85.95"
"Balur","","","","","1","7","194","166","28","85.57"
"Baluru","","","","","1","6","2462","2027","435","82.33"
"Banadakoppa","","","","","1","1","28","23","5","82.14"
"Banadakoppa","","","","","1","1","112","92","20","82.14"
"Bandalike","","","","","1","1","358","295","63","82.40"
"Bandigudda","","","","","1","1","72","58","14","80.56"
"Bandya","","","","","1","11","129","111","18","86.05"
"Baniga","","","","","1","7","119","98","21","82.35"
"Bankasana","","","","","1","1","12","10","2","83.33"
"Bankavalli","","","","","1","1","83","68","15","81.93"
"Bannikere","","","","","1","1","160","132","28","82.50"
"Bannuru","","","","","1","1","166","137","29","82.53"
"Banumane","","","","","1","5","70","53","17","75.71"
"Baradavalli","","","","","1","4","290","242","48","83.45"
"Baragavalli","","","","","1","1","30","25","5","83.33"
"Barandooru","","","","","1","3","537","442","95","82.31"
"Barige","","","","","1","1","107","88","19","82.24"
"Barur","","","","","1","3","135","111","24","82.22"
"Baruve","","","","","1","7","60","47","13","78.33"
"Baruve","","","","","1","2","243","200","43","82.30"
"Basalikatte","","","","","1","2","412","339","73","82.28"
"Basavana Ganguru","","","","","1","1","261","215","46","82.38"
"Basavanabyana","","","","","1","3","41","33","8","80.49"
"Basavanagadde","","","","","1","5","120","107","13","89.17"
"Basavanandihalli","","","","","1","1","166","137","29","82.53"
"Basavani","","","","","1","7","145","119","26","82.07"
"Basavapura","","","","","1","6","145","119","26","82.07"
"Basavapura","","","","","1","1","166","137","29","82.53"
"Basavapura","","","","","1","1","71","58","13","81.69"
"Basavapura","","","","","1","1","26","21","5","80.77"
"Basavapura","","","","","1","1","26","21","5","80.77"
"Basavapura","","","","","1","1","17","14","3","82.35"
"Basthikoppa","","","","","1","1","41","34","7","82.93"
"Basuru","","","","","1","1","182","150","32","82.42"
"Bedara Hosahalli","","","","","1","1","329","271","58","82.37"
"Bedavatti","","","","","1","2","161","131","30","81.37"
"Beede","","","","","1","1","24","20","4","83.33"
"Beerana Halli","","","","","1","1","3","2","1","66.67"
"Beerana Kere","","","","","1","1","231","190","41","82.25"
"Beesu","","","","","1","4","49","41","8","83.67"
"Begadali","","","","","1","3","50","43","7","86.00"
"Beguru","","","","","1","7","1119","920","199","82.22"
"Beguru Dodda Thanda","","","","","1","1","332","273","59","82.23"
"Beguvalli","","","","","1","6","210","167","43","79.52"
"Behalli","","","","","1","3","92","75","17","81.52"
"Bejjavalli","","","","","1","1","26","21","5","80.77"
"Bekkanur","","","","","1","9","159","128","31","80.50"
"Bekkina Kalmatha","","","","","1","1","231","190","41","82.25"
"Bekshikenjigudde","","","","","1","7","258","215","43","83.33"
"Belagalu","","","","","1","1","231","190","41","82.25"
"Belagalu","","","","","1","1","373","362","11","97.05"
"Belagavi","","","","","1","2","1006","828","178","82.31"
"Belala Katte","","","","","1","1","231","190","41","82.25"
"Belandur","","","","","1","2","189","156","33","82.54"
"Belanduru","","","","","1","2","86","70","16","81.40"
"Belavantanakoppa","","","","","1","1","112","92","20","82.14"
"Belavanthanakoppa","","","","","1","1","171","141","30","82.46"
"Bellangi","","","","","1","8","78","62","16","79.49"
"Bellanne","","","","","1","5","109","88","21","80.73"
"Belligere","","","","","1","1","193","159","34","82.38"
"Bellur","","","","","1","13","129","102","27","79.07"
"Belur","","","","","1","1","66","54","12","81.82"
"Beluru","","","","","1","2","192","158","34","82.29"
"Beluru","","","","","1","3","31","25","6","80.65"
"Benavalli","","","","","1","5","196","161","35","82.14"
"Bendekoppa","","","","","1","1","6","5","1","83.33"
"Benkatavalli","","","","","1","5","131","112","19","85.50"
"Bennigere","","","","","1","2","334","213","121","63.77"
"Bennuru","","","","","1","2","151","124","27","82.12"
"Bennuru","","","","","1","4","277","246","31","88.81"
"Besur","","","","","1","7","135","110","25","81.48"
"Bettadakurli","","","","","1","1","152","125","27","82.24"
"Bettadakurli State Forest","","","","","1","1","152","125","27","82.24"
"Bettadasaravani","","","","","1","4","100","86","14","86.00"
"Bhadrapura","","","","","1","1","20","18","2","90.00"
"Bhadrapura","","","","","1","1","26","21","5","80.77"
"Bhadrapura","","","","","1","1","33","27","6","81.82"
"Bhadrapura","","","","","1","1","374","308","66","82.35"
"Bhairana Koppa","","","","","1","1","119","98","21","82.35"
"Bhairanakoppa","","","","","1","1","119","98","21","82.35"
"Bhakthanakoppa","","","","","1","1","33","27","6","81.82"
"Bhandibhyranahalli","","","","","1","1","45","37","8","82.22"
"Bhandigadi","","","","","1","10","217","186","31","85.71"
"Bhandya","","","","","1","8","186","165","21","88.71"
"Bhanukuli","","","","","1","14","161","128","33","79.50"
"Bharangi","","","","","1","1","327","269","58","82.26"
"Bharathipura","","","","","1","9","124","102","22","82.26"
"Bhimanakone","","","","","1","3","134","110","24","82.09"
"Bhimaneri","","","","","1","2","290","239","51","82.41"
"Bhogi","","","","","1","1","160","132","28","82.50"
"Bhramanavada","","","","","1","14","93","73","20","78.49"
"Bhyrapura","","","","","1","3","230","189","41","82.17"
"Bidaragodu","","","","","1","21","267","222","45","83.15"
"Bidare","","","","","1","1","265","218","47","82.26"
"Bidarikoppa","","","","","1","1","255","210","45","82.35"
"Bidarur","","","","","1","2","78","64","14","82.05"
"Bidharalli","","","","","1","5","205","169","36","82.44"
"Bikkona Halli","","","","","1","1","104","86","18","82.69"
"Bilagali","","","","","1","1","231","190","41","82.25"
"Bilagalikoppa","","","","","1","1","153","126","27","82.35"
"Bilagi","","","","","1","1","54","44","10","81.48"
"Bilagodi","","","","","1","2","130","108","22","83.08"
"Bilagodu","","","","","1","1","38","31","7","81.58"
"Bilaki","","","","","1","2","251","207","44","82.47"
"Bilaki","","","","","1","1","571","470","101","82.31"
"Bilavagodu","","","","","1","1","69","57","12","82.61"
"Bilguni","","","","","1","1","74","61","13","82.43"
"Bilisiri","","","","","1","7","242","200","42","82.64"
"Bilki","","","","","1","2","54","41","13","75.93"
"Billodi","","","","","1","3","85","69","16","81.18"
"Bilumane","","","","","1","7","23","13","10","56.52"
"Biluvani","","","","","1","1","148","122","26","82.43"
"Biluve","","","","","1","10","220","174","46","79.09"
"Biluvehariharapura","","","","","1","4","95","89","6","93.68"
"Bilvadera Koppa","","","","","1","1","104","86","18","82.69"
"Bintala","","","","","1","3","21","17","4","80.95"
"Bisalahalli","","","","","1","1","150","124","26","82.67"
"Bisilamane","","","","","1","1","37","30","7","81.08"
"Bobbige","","","","","1","19","345","303","42","87.83"
"Bobli","","","","","1","5","31","25","6","80.65"
"Boblihinchuvalli","","","","","1","1","28","23","5","82.14"
"Bogarukoppa","","","","","1","7","156","127","29","81.41"
"Boghasamudra","","","","","1","1","571","470","101","82.31"
"Bommanahalli","","","","","1","1","129","106","23","82.17"
"Bommanahalli","","","","","1","2","51","42","9","82.35"
"Bommanakatte","","","","","1","1","119","98","21","82.35"
"Bommarsikoppa","","","","","1","1","129","106","23","82.17"
"Bommenahalli","","","","","1","1","101","88","13","87.13"
"Boodi Gere","","","","","1","1","58","48","10","82.76"
"Boppagondanakoppa","","","","","1","1","33","27","6","81.82"
"Bori Koppa","","","","","1","2","23","19","4","82.61"
"Brahamanavadainduvalli","","","","","1","1","51","42","9","82.35"
"Brahmana Bedur","","","","","1","4","130","120","10","92.31"
"Brahmana Ilakalale","","","","","1","1","46","38","8","82.61"
"Brahmana Keppige","","","","","1","11","157","129","28","82.17"
"Brahmanachitratte","","","","","1","4","33","27","6","81.82"
"Brahmanamanchale","","","","","1","3","193","160","33","82.90"
"Brahmanatharuve","","","","","1","12","71","55","16","77.46"
"Brahmanavadadodderi","","","","","1","1","31","26","5","83.87"
"Brahmanavadaholekatte","","","","","1","1","5","4","1","80.00"
