"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achammanahalli","","","","","1","7","1510","1391","119","92.12"
"Huruliborasandra","","","","","1","4","141","137","4","97.16"
"A. Hosahalli","","","","","1","2","180","160","20","88.89"
"A.Hosahalli","","","","","1","5","502","432","70","86.06"
"A.Venkatapura","","","","","1","3","474","415","59","87.55"
"Abalakatte","","","","","1","1","19","15","4","78.95"
"Abbanakuppe","","","","","1","1","9","8","1","88.89"
"Achenahalli","","","","","1","1","152","133","19","87.50"
"Adagondanahalli","","","","","1","3","191","183","8","95.81"
"Adagoor","","","","","1","4","367","318","49","86.65"
"Adakekere","","","","","1","3","143","127","16","88.81"
"Adalagere","","","","","1","4","581","506","75","87.09"
"Adavikatanahalli","","","","","1","1","35","31","4","88.57"
"Adavinagenahalli","","","","","1","2","239","209","30","87.45"
"Adinayakanahalli","","","","","1","1","143","108","35","75.52"
"Adityapatna (CT)","","","","","1","1","711","0","711","0.00"
"Adlapura","","","","","1","1","108","94","14","87.04"
"Advihalli","","","","","1","1","143","125","18","87.41"
"Agalagunte","","","","","1","3","363","341","22","93.94"
"Agalakote","","","","","1","1","279","244","35","87.46"
"Agarahara","","","","","1","1","61","53","8","86.89"
"Agasarahalli","","","","","1","2","70","66","4","94.29"
"Agrahara","","","","","1","1","99","87","12","87.88"
"Agrahara","","","","","1","3","177","165","12","93.22"
"Agrahara","","","","","1","1","75","64","11","85.33"
"Agrahara","","","","","1","1","168","147","21","87.50"
"Ahobala Agrahara","","","","","1","3","503","449","54","89.26"
"Ajjagonahalli","","","","","1","1","156","136","20","87.18"
"Ajjanahalli","","","","","1","10","549","492","57","89.62"
"Ajjappanahalli","","","","","1","1","115","101","14","87.83"
"Ajjenahalli","","","","","1","1","54","45","9","83.33"
"Ajjenahalli","","","","","1","5","138","109","29","78.99"
"Ajjenahalli","","","","","1","3","142","120","22","84.51"
"Ajjenahalli","","","","","1","1","97","85","12","87.63"
"Ajjigudde","","","","","1","2","176","166","10","94.32"
"Akkajihalli","","","","","1","4","267","237","30","88.76"
"Akkalasandra","","","","","1","3","315","299","16","94.92"
"Akkanahalli","","","","","1","1","11","10","1","90.91"
"Akkathangiyarakatte Kaval","","","","","1","11","1365","1216","149","89.08"
"Akkirampura","","","","","1","4","971","872","99","89.80"
"Aladahalli","","","","","1","3","117","108","9","92.31"
"Aladahalli","","","","","1","3","262","229","33","87.40"
"Aladakatte","","","","","1","3","943","938","5","99.47"
"Alalaghatta","","","","","1","2","866","747","119","86.26"
"Alalapura","","","","","1","1","37","31","6","83.78"
"Alapanahalli","","","","","1","1","102","86","16","84.31"
"Albur","","","","","1","2","500","437","63","87.40"
"Alkere","","","","","1","4","177","154","23","87.01"
"Alur","","","","","1","1","160","140","20","87.50"
"Amalapura","","","","","1","1","91","80","11","87.91"
"Amani Hosakere","","","","","1","1","91","80","11","87.91"
"Amanikere","","","","","1","2","8","6","2","75.00"
"Amaravathi","","","","","1","1","129","113","16","87.60"
"Ambaladevanahalli","","","","","1","1","50","44","6","88.00"
"Ambarapura","","","","","1","3","256","250","6","97.66"
"Ambarapura","","","","","1","3","125","120","5","96.00"
"Ammanaghatta","","","","","1","7","672","629","43","93.60"
"Ammanahalli","","","","","1","1","72","63","9","87.50"
"Ammanahalli","","","","","1","1","46","38","8","82.61"
"Ammasandra","","","","","1","1","247","214","33","86.64"
"Ammenahalli","","","","","1","1","63","55","8","87.30"
"Amruthagiri","","","","","1","2","180","161","19","89.44"
"Amruthur","","","","","1","4","1264","1251","13","98.97"
"Anadagu","","","","","1","2","99","82","17","82.83"
"Anagondanahalli","","","","","1","1","176","154","22","87.50"
"Anehalli","","","","","1","1","48","42","6","87.50"
"Anekatte","","","","","1","3","639","622","17","97.34"
"Anekere","","","","","1","6","454","426","28","93.83"
"Anemale","","","","","1","3","188","164","24","87.23"
"Angadigere","","","","","1","1","97","83","14","85.57"
"Angadithimanapalya","","","","","1","1","21","18","3","85.71"
"Angarekhanahalli","","","","","1","8","383","332","51","86.68"
"Anivala","","","","","1","3","124","102","22","82.26"
"Ankalakoppa","","","","","1","6","479","412","67","86.01"
"Ankanahalli","","","","","1","2","42","36","6","85.71"
"Ankapura","","","","","1","1","60","52","8","86.67"
"Ankasandra","","","","","1","4","266","259","7","97.37"
"Ankasandra","","","","","1","4","280","252","28","90.00"
"Ankasandra Kavalu","","","","","1","2","24","20","4","83.33"
"Annadanapura","","","","","1","3","156","127","29","81.41"
"Annamallenahalli","","","","","1","4","155","138","17","89.03"
"Annapura","","","","","1","1","70","61","9","87.14"
"Annenahalli","","","","","1","3","194","176","18","90.72"
"Annenahalli","","","","","1","1","100","87","13","87.00"
"Anthapura","","","","","1","1","220","192","28","87.27"
"Anthapura","","","","","1","1","92","80","12","86.96"
"Anupanahalli","","","","","1","3","226","198","28","87.61"
"Anupanahalli","","","","","1","5","200","192","8","96.00"
"Anupanahalli","","","","","1","1","62","54","8","87.10"
"Anupanakunte","","","","","1","1","39","34","5","87.18"
