"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"108 Kalthur","","","","","1","14","661","656","5","99.24"
"33 Shiroor","","","","","1","8","444","434","10","97.75"
"34 Kudi","","","","","1","14","720","704","16","97.78"
"38 Kalthur","","","","","1","13","325","312","13","96.00"
"41 Shiroor","","","","","1","17","461","449","12","97.40"
"52 Heroor (CT)","","","","","1","9","1147","1144","3","99.74"
"92 Heroor","","","","","1","10","302","300","2","99.34"
"Achalady","","","","","1","5","260","249","11","95.77"
"Ajri","","","","","1","20","1392","1384","8","99.43"
"Albadi","","","","","1","17","846","840","6","99.29"
"Alevoor (CT)","","","","","1","11","606","562","44","92.74"
"Aloor","","","","","1","8","742","738","4","99.46"
"Amasebailu","","","","","1","14","614","600","14","97.72"
"Ampar","","","","","1","33","1068","1050","18","98.31"
"Anagalli","","","","","1","10","841","836","5","99.41"
"Andaru","","","","","1","15","587","576","11","98.13"
"Anjaru","","","","","1","10","407","391","16","96.07"
"Aroor","","","","","1","14","770","754","16","97.92"
"Asodu","","","","","1","6","237","229","8","96.62"
"Athradi","","","","","1","11","522","513","9","98.28"
"Avarse","","","","","1","8","350","336","14","96.00"
"Bada (CT)","","","","","1","12","1762","1757","5","99.72"
"Badagabettu (No.80) (CT)","","","","","1","11","567","545","22","96.12"
"Badakere","","","","","1","5","378","364","14","96.30"
"Badanidiyur","","","","","1","9","899","895","4","99.56"
"Baikady","","","","","1","8","873","866","7","99.20"
"Bailoor","","","","","1","9","1185","1181","4","99.66"
"Bairampalli","","","","","1","8","659","644","15","97.72"
"Balkudru","","","","","1","11","571","565","6","98.95"
"Balkur","","","","","1","4","682","670","12","98.24"
"Bannady","","","","","1","7","250","242","8","96.80"
"Basrur","","","","","1","11","1476","1465","11","99.25"
"Beejadi","","","","","1","8","1267","1247","20","98.42"
"Belenje","","","","","1","25","390","352","38","90.26"
