"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Halkani","","","","","1","3","146","145","1","99.32"
"Malubalgar","","","","","1","1","5","5","0","100.00"
"Aalwad","","","","","1","5","76","73","3","96.05"
"Abbolli","","","","","1","1","31","31","0","100.00"
"Achanalli","","","","","1","3","106","82","24","77.36"
"Achave","","","","","1","15","663","597","66","90.05"
"Adalli","","","","","1","8","47","47","0","100.00"
"Addigera","","","","","1","2","62","58","4","93.55"
"Adekekuli","","","","","1","13","186","179","7","96.24"
"Adigon","","","","","1","3","166","150","16","90.36"
"Adikehosur","","","","","1","2","219","124","95","56.62"
"Adkalli","","","","","1","2","23","23","0","100.00"
"Adkar","","","","","1","3","68","68","0","100.00"
"Adlur","","","","","1","5","186","161","25","86.56"
"Adnalli","","","","","1","13","259","245","14","94.59"
"Adukal","","","","","1","1","158","153","5","96.84"
"Agadi","","","","","1","3","685","578","107","84.38"
"Agasal","","","","","1","23","225","213","12","94.67"
"Agasalkatta","","","","","1","1","66","42","24","63.64"
"Agga","","","","","1","3","18","15","3","83.33"
"Aghanashini","","","","","1","4","35","35","0","100.00"
"Agragon","","","","","1","13","535","509","26","95.14"
"Agsur","","","","","1","12","953","889","64","93.28"
"Aigalkurve","","","","","1","2","30","30","0","100.00"
"Aigod","","","","","1","5","225","218","7","96.89"
"Ainbail","","","","","1","3","60","59","1","98.33"
"Ajga0N","","","","","1","1","168","126","42","75.00"
"Ajjarni","","","","","1","3","212","183","29","86.32"
"Ajjibal","","","","","1","5","133","133","0","100.00"
"Ajjihalli","","","","","1","1","235","212","23","90.21"
"Ajminal","","","","","1","2","123","94","29","76.42"
"Akheti","","","","","1","2","95","60","35","63.16"
"Akkunji","","","","","1","5","343","318","25","92.71"
"Alalli","","","","","1","2","240","228","12","95.00"
"Alavalli","","","","","1","6","232","221","11","95.26"
"Algar","","","","","1","1","15","15","0","100.00"
"Algeri","","","","","1","5","712","656","56","92.13"
"Algod","","","","","1","6","91","83","8","91.21"
"Alkod","","","","","1","8","235","223","12","94.89"
"Alolli","","","","","1","1","113","95","18","84.07"
"Alur","","","","","1","1","120","112","8","93.33"
"Alvalli","","","","","1","3","47","41","6","87.23"
"Amadalli","1","1","0","0","1","20","1552","1516","36","97.68"
"Amarde","","","","","1","1","15","15","0","100.00"
"Ambagaon","","","","","1","7","48","47","1","97.92"
"Ambeli","","","","","1","2","100","85","15","85.00"
"Ambewadi","","","","","1","2","760","733","27","96.45"
"Ambikanagara (CT)","","","","","1","1","992","0","992","0.00"
"Amblihonda","","","","","1","3","22","21","1","95.45"
"Ambodaga","","","","","1","1","4","0","4","0.00"
"Ambolli","","","","","1","9","194","99","95","51.03"
"Ammankop","","","","","1","1","299","265","34","88.63"
"Ammatgar","","","","","1","2","37","36","1","97.30"
"Amshet","","","","","1","5","273","231","42","84.62"
"Analebail","","","","","1","6","350","346","4","98.86"
"Analgar","","","","","1","4","22","22","0","100.00"
"Anamod","","","","","1","4","219","204","15","93.15"
"Anashi","","","","","1","4","75","52","23","69.33"
"Andalgi","","","","","1","4","470","423","47","90.00"
"Andgi","","","","","1","1","171","148","23","86.55"
"Andle","","","","","1","4","86","81","5","94.19"
"Andolli","","","","","1","5","54","53","1","98.15"
"Anegundi","","","","","1","1","11","10","1","90.91"
"Angadi","","","","","1","1","102","101","1","99.02"
"Angod","","","","","1","32","240","235","5","97.92"
"Angodkoppa","","","","","1","1","30","16","14","53.33"
"Anilgod","","","","","1","6","180","180","0","100.00"
"Antravalli","","","","","1","3","21","16","5","76.19"
"Antravalli","","","","","1","6","101","86","15","85.15"
"Antrolli","","","","","1","3","164","137","27","83.54"
"Apsarkonda","","","","","1","1","60","47","13","78.33"
"Arasapur","","","","","1","1","17","17","0","100.00"
"Arav","","","","","1","4","215","214","1","99.53"
"Aravakki","","","","","1","4","58","48","10","82.76"
"Arbail","","","","","1","10","265","235","30","88.68"
"Arehalla","","","","","1","6","115","102","13","88.70"
"Arendur","","","","","1","1","185","180","5","97.30"
"Arga","","","","","1","12","152","145","7","95.39"
"Arlwad","","","","","1","1","534","436","98","81.65"
"Arolli-Mundagod","","","","","1","9","243","231","12","95.06"
"Arshingeri","","","","","1","1","7","4","3","57.14"
"Ashikeri","","","","","1","3","73","67","6","91.78"
"Asu","","","","","1","9","858","693","165","80.77"
"Asulli","1","0","0","1","1","9","214","0","214","0.00"
"Atabail","","","","","1","2","148","143","5","96.62"
"Attangi","","","","","1","3","278","206","72","74.10"
"Attimurd","","","","","1","5","58","58","0","100.00"
"Audala","","","","","1","16","107","98","9","91.59"
"Aunsalli","","","","","1","6","167","164","3","98.20"
"Avarguppa","","","","","1","4","426","411","15","96.48"
"Aveda","","","","","1","2","218","191","27","87.61"
"Aveda  Poppal  Wadi","1","1","0","0","1","1","17","0","17","0.00"
"Aversa (CT)","","","","","1","11","1263","1212","51","95.96"
"Avurli","","","","","1","3","31","30","1","96.77"
"Baad","","","","","1","1","344","329","15","95.64"
"Bablikop","","","","","1","1","5","2","3","40.00"
"Bachagaon","","","","","1","8","442","417","25","94.34"
"Bachanaki","","","","","1","2","655","500","155","76.34"
"Badabag","","","","","1","4","50","38","12","76.00"
"Badagi","","","","","1","12","86","83","3","96.51"
"Badakanshirda","","","","","1","1","34","34","0","100.00"
"Badanagod","","","","","1","3","456","362","94","79.39"
"Badashirgur","","","","","1","1","30","15","15","50.00"
"Badgund","","","","","1","2","46","33","13","71.74"
"Badpoli","","","","","1","1","18","18","0","100.00"
"Baginkatta","","","","","1","2","37","37","0","100.00"
"Baichgod","","","","","1","3","43","39","4","90.70"
"Bailur","","","","","1","26","1748","1556","192","89.02"
"Bakkal","","","","","1","9","128","123","5","96.09"
"Balagar","","","","","1","22","206","202","4","98.06"
"Balale","","","","","1","6","271","251","20","92.62"
"Balavalli","","","","","1","13","238","234","4","98.32"
"Balegadde","","","","","1","12","228","209","19","91.67"
"Baleguli","","","","","1","1","104","96","8","92.31"
"Balehalli","","","","","1","1","60","44","16","73.33"
"Balekai","","","","","1","2","35","35","0","100.00"
"Balekaimane","","","","","1","10","101","92","9","91.09"
"Balekani","","","","","1","10","64","64","0","100.00"
"Balekoppa","","","","","1","3","177","174","3","98.31"
"Balekoppa  (Kibballi)","","","","","1","13","167","155","12","92.81"
"Balekoppa (Shiralgi)","","","","","1","2","56","52","4","92.86"
"Balemane","","","","","1","1","11","0","11","0.00"
"Balemet","","","","","1","4","93","88","5","94.62"
"Balesar","","","","","1","16","133","133","0","100.00"
"Balgar","","","","","1","2","26","21","5","80.77"
"Balgod","","","","","1","8","166","151","15","90.96"
"Balguli","","","","","1","3","64","56","8","87.50"
"Balkur","","","","","1","1","112","59","53","52.68"
"Ballatte","","","","","1","4","135","123","12","91.11"
"Baloga","","","","","1","1","21","15","6","71.43"
"Balshettikop","","","","","1","1","100","82","18","82.00"
"Bamanawadi","","","","","1","1","22","12","10","54.55"
"Banavasi","","","","","1","47","1162","1076","86","92.60"
"Bandal","","","","","1","17","133","130","3","97.74"
"Bandisara","","","","","1","2","18","17","1","94.44"
"Bandoda","1","1","0","0","1","1","5","0","5","0.00"
"Bangane","","","","","1","3","164","148","16","90.24"
"Bankanal","","","","","1","5","350","302","48","86.29"
"Bankasalli","","","","","1","1","4","4","0","100.00"
"Bankikodla","","","","","1","1","121","104","17","85.95"
"Bannige","","","","","1","6","112","112","0","100.00"
"Bapeli","","","","","1","2","42","42","0","100.00"
"Bappalgundi","","","","","1","1","28","28","0","100.00"
"Bappalkatti","","","","","1","1","20","20","0","100.00"
"Bappanalli","","","","","1","6","134","134","0","100.00"
"Baragadde","","","","","1","6","36","36","0","100.00"
"Bare","","","","","1","16","214","194","20","90.65"
"Bargal","","","","","1","6","112","112","0","100.00"
"Bargi","","","","","1","7","144","135","9","93.75"
"Bargigazani","","","","","1","2","291","263","28","90.38"
"Baroor","","","","","1","4","102","97","5","95.10"
"Basavanakoppa","","","","","1","2","114","60","54","52.63"
"Basawalli","","","","","1","1","248","198","50","79.84"
"Basolli","","","","","1","3","56","56","0","100.00"
"Bastigalamigte (Hadin)","","","","","1","2","14","12","2","85.71"
"Bastigalmigte (Koppa )","","","","","1","2","7","4","3","57.14"
"Bastikeri","","","","","1","3","167","154","13","92.22"
"Bazar  Kunang","1","1","0","0","1","5","61","0","61","0.00"
"Bedarshirgur","","","","","1","1","25","23","2","92.00"
"Bedasgadde","","","","","1","1","20","0","20","0.00"
"Bedasgaon","","","","","1","4","283","237","46","83.75"
"Bedkani","","","","","1","15","501","472","29","94.21"
"Beegar","","","","","1","3","55","54","1","98.18"
"Beejanakoppa","","","","","1","2","64","56","8","87.50"
"Begar","","","","","1","7","145","137","8","94.48"
"Begodi","","","","","1","1","10","10","0","100.00"
"Behalli","","","","","1","4","364","334","30","91.76"
"Bekkod","","","","","1","3","228","216","12","94.74"
"Belakanda","","","","","1","10","56","56","0","100.00"
"Belale","","","","","1","9","155","144","11","92.90"
"Belalkhanda","","","","","1","1","308","293","15","95.13"
"Belambar","","","","","1","16","1840","1728","112","93.91"
"Belegeri","","","","","1","6","83","66","17","79.52"
"Belekeri","","","","","1","10","1538","1485","53","96.55"
"Belke","","","","","1","21","1277","1001","276","78.39"
"Bellambi","","","","","1","2","70","70","0","100.00"
"Bellangi","","","","","1","5","219","187","32","85.39"
"Bellankeri","","","","","1","2","161","148","13","91.93"
"Belni","","","","","1","7","505","485","20","96.04"
"Belse","","","","","1","15","1267","1153","114","91.00"
"Belur","","","","","1","13","201","190","11","94.53"
"Belwatgi","","","","","1","2","873","720","153","82.47"
"Benadaguli","","","","","1","5","38","33","5","86.84"
"Benagaon","","","","","1","17","182","151","31","82.97"
"Benagi","","","","","1","3","126","89","37","70.63"
"Benandoor","","","","","1","6","86","67","19","77.91"
"Bendigeri","","","","","1","1","14","14","0","100.00"
"Bengle","","","","","1","5","417","408","9","97.84"
"Bengre","","","","","1","29","1938","1827","111","94.27"
"Beranki","","","","","1","6","255","253","2","99.22"
"Berde","","","","","1","5","57","53","4","92.98"
"Berolli","","","","","1","12","639","638","1","99.84"
"Bese","","","","","1","1","41","38","3","92.68"
