"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achola","","","","","1","3","251","176","75","70.12"
"Adwadgi","","","","","1","2","251","178","73","70.92"
"Agastihal","","","","","1","2","63","44","19","69.84"
"Agni","","","","","1","1","381","268","113","70.34"
"Agnihal","","","","","1","2","186","131","55","70.43"
"Agthirth","","","","","1","1","211","149","62","70.62"
"Ainapur","","","","","1","1","98","69","29","70.41"
"Aldhal","","","","","1","2","410","293","117","71.46"
"Aldhal","","","","","1","2","390","300","90","76.92"
"Alhal","","","","","1","1","156","148","8","94.87"
"Alipur","","","","","1","9","754","554","200","73.47"
"Alkur","","","","","1","2","751","535","216","71.24"
"Amlihal","","","","","1","1","211","149","62","70.62"
"Ammapur (S.K)","","","","","1","2","282","200","82","70.92"
"Anabi","","","","","1","4","1430","1026","404","71.75"
"Aneksugur","","","","","1","2","384","273","111","71.09"
"Anpur","","","","","1","3","684","495","189","72.37"
"Anur","","","","","1","2","365","261","104","71.51"
"Anur(K)","","","","","1","2","306","218","88","71.24"
"Anwar","","","","","1","2","426","303","123","71.13"
"Aralhalli","","","","","1","2","314","224","90","71.34"
"Aralhalli","","","","","1","1","231","191","40","82.68"
"Arjungi","","","","","1","2","294","210","84","71.43"
"Arkera (J)","","","","","1","4","733","541","192","73.81"
"Arkera Khalsa","","","","","1","8","1784","1415","369","79.32"
"Arkera(B)","","","","","1","4","659","471","188","71.47"
"Arkera(K)","","","","","1","4","857","610","247","71.18"
"Ashinal","","","","","1","5","772","606","166","78.50"
"Ashoknagar","","","","","1","2","237","206","31","86.92"
"Azalapur","","","","","1","1","421","297","124","70.55"
"Bablad","","","","","1","4","1073","894","179","83.32"
"Bachimatti","","","","","1","1","272","193","79","70.96"
"Bachwar","","","","","1","5","426","314","112","73.71"
"Badepalli","","","","","1","3","127","98","29","77.17"
"Badiyal","","","","","1","1","534","376","158","70.41"
"Badlapur - Becharak","","","","","1","2","534","382","152","71.54"
"Badyapur","","","","","1","3","234","165","69","70.51"
"Bagalmadu","","","","","1","1","534","376","158","70.41"
"Bahirimabdi","","","","","1","1","202","143","59","70.79"
"Baichbal","","","","","1","1","386","272","114","70.47"
"Bailkunti","","","","","1","5","268","189","79","70.52"
"Balajinagar","","","","","1","2","226","162","64","71.68"
"Balched","","","","","1","1","450","318","132","70.67"
"Balichakkar","","","","","1","6","460","321","139","69.78"
"Balkal","","","","","1","2","359","257","102","71.59"
"Balshattihal","","","","","1","11","559","491","68","87.84"
"Bamangud","","","","","1","1","263","186","77","70.72"
"Bandhalli","","","","","1","1","582","411","171","70.62"
"Bandoli","","","","","1","1","177","124","53","70.06"
"Banhatti","","","","","1","3","153","109","44","71.24"
"Bantihal","","","","","1","2","359","257","102","71.59"
"Bapparga","","","","","1","1","279","197","82","70.61"
"Bardevanhal","","","","","1","19","765","560","205","73.20"
"Bassapur","","","","","1","1","51","36","15","70.59"
"Baswanthpur","","","","","1","1","114","81","33","71.05"
"Baswantpur","","","","","1","2","402","287","115","71.39"
"Beernur","","","","","1","2","628","448","180","71.34"
"Belgera","","","","","1","1","632","446","186","70.57"
"Belgunda","","","","","1","1","298","210","88","70.47"
"Benchigaddi","","","","","1","1","136","134","2","98.53"
"Bendartalhalli","","","","","1","1","139","98","41","70.50"
"Bendebembli","","","","","1","2","924","659","265","71.32"
"Benkanhalli","","","","","1","3","333","276","57","82.88"
"Benkanhalli Jagir","","","","","1","3","705","504","201","71.49"
"Benkanhalli Khalsa","","","","","1","3","240","172","68","71.67"
"Bettadhalli","","","","","1","1","179","126","53","70.39"
"Bevinhal","","","","","1","2","394","281","113","71.32"
"Bevinhal (S.K.)","","","","","1","2","86","61","25","70.93"
"Bevinhalli","","","","","1","2","447","319","128","71.36"
"Bhagyanagar","","","","","1","1","44","31","13","70.45"
"Bhailapur","","","","","1","3","75","52","23","69.33"
"Bhimenhalli","","","","","1","1","114","81","33","71.05"
"Bhimnagar","","","","","1","1","257","182","75","70.82"
"Bholkadamgera","","","","","1","6","860","616","244","71.63"
"Bidrani","","","","","1","2","296","210","86","70.95"
"Bijaspur","","","","","1","1","607","428","179","70.51"
"Bilhar","","","","","1","2","753","535","218","71.05"
"Bilwad","","","","","1","1","384","270","114","70.31"
"Birnal","","","","","1","2","267","190","77","71.16"
"Bolari","","","","","1","5","323","238","85","73.68"
"Bomanhalli","","","","","1","1","230","162","68","70.43"
"Bommanhalli","","","","","1","2","451","321","130","71.18"
"Bomraldoddi","","","","","1","1","66","46","20","69.70"
"Bomshathalli","","","","","1","1","118","83","35","70.34"
"Bonal","","","","","1","1","383","270","113","70.50"
"Boodihal","","","","","1","1","390","275","115","70.51"
"Boodinhal","","","","","1","2","124","89","35","71.77"
"Borabanda","","","","","1","1","166","117","49","70.48"
"Budnoor","","","","","1","2","500","356","144","71.20"
"Budur","","","","","1","1","237","167","70","70.46"
"Chaler","","","","","1","1","148","104","44","70.27"
"Chamenhalli","","","","","1","3","499","355","144","71.14"
"Chamnal","","","","","1","8","787","577","210","73.32"
"Chandapur","","","","","1","8","563","400","163","71.05"
"Chandapur","","","","","1","1","204","144","60","70.59"
"Chanderki","","","","","1","1","789","557","232","70.60"
"Chandlapur","","","","","1","1","257","182","75","70.82"
"Chandral","","","","","1","2","41","28","13","68.29"
"Channur","","","","","1","3","297","218","79","73.40"
"Channur Jagir","","","","","1","3","416","299","117","71.88"
"Channur Khalsa","","","","","1","3","988","707","281","71.56"
"Chanpatan","","","","","1","2","114","87","27","76.32"
"Chapetla","","","","","1","1","369","260","109","70.46"
"Chattanhalli","","","","","1","2","1532","1091","441","71.21"
"Chigirhal","","","","","1","1","194","138","56","71.13"
"Chikanhalli","","","","","1","1","194","138","56","71.13"
"Chinakhar","","","","","1","1","447","315","132","70.47"
"Chincholi","","","","","1","1","242","171","71","70.66"
"Chintenpalli","","","","","1","3","479","354","125","73.90"
"Chintkunta","","","","","1","1","293","207","86","70.65"
"Chitknal","","","","","1","1","93","91","2","97.85"
"Choudeshwarhal","","","","","1","1","178","125","53","70.22"
"Dadal","","","","","1","1","27","19","8","70.37"
"Dadlapur","","","","","1","1","83","59","24","71.08"
"Dand Sholapur","","","","","1","4","341","274","67","80.35"
"Dantapur","","","","","1","1","224","158","66","70.54"
"Dariyapur","","","","","1","2","449","319","130","71.05"
"Darshanapur","","","","","1","2","488","347","141","71.11"
"Dastrabad","","","","","1","1","224","158","66","70.54"
"Devanalli","","","","","1","1","224","158","66","70.54"
"Devapur","","","","","1","1","769","543","226","70.61"
"Devapur Jagir","","","","","1","2","155","111","44","71.61"
"Devarahalli","","","","","1","3","474","425","49","89.66"
"Devargonal","","","","","1","1","527","372","155","70.59"
"Devatinagar","","","","","1","1","518","493","25","95.17"
"Devatkal","","","","","1","7","291","241","50","82.82"
"Devikera","","","","","1","1","432","305","127","70.60"
"Dharampur","","","","","1","1","203","143","60","70.44"
"Dharmapur","","","","","1","3","346","284","62","82.08"
"Diggi","","","","","1","2","569","406","163","71.35"
"Doranahalli","","","","","1","5","189","143","46","75.66"
"Dornahalli","","","","","1","1","31","22","9","70.97"
"Duppalli","","","","","1","1","436","307","129","70.41"
"Dyamanhal","","","","","1","1","203","143","60","70.44"
"Edlur","","","","","1","2","305","216","89","70.82"
"Ekchinti","","","","","1","2","377","269","108","71.35"
"Fathepur","","","","","1","1","110","78","32","70.91"
"Gaddesugur","","","","","1","2","612","436","176","71.24"
"Gajarkot","","","","","1","1","899","634","265","70.52"
"Gangnal","","","","","1","2","708","505","203","71.33"
"Geddalmari","","","","","1","9","389","334","55","85.86"
"Ghanpur","","","","","1","1","215","152","63","70.70"
"Godihal","","","","","1","2","514","366","148","71.21"
"Godihal (T)","","","","","1","2","275","196","79","71.27"
"Godihal Jagir","","","","","1","1","83","59","24","71.08"
"Godrihal","","","","","1","2","104","75","29","72.12"
"Gogaddihal","","","","","1","1","236","166","70","70.34"
"Gogikona","","","","","1","15","4362","3790","572","86.89"
"Gogipeth (CT)","","","","","1","3","3803","2718","1085","71.47"
"Gonal","","","","","1","2","333","236","97","70.87"
"Gonal","","","","","1","2","247","176","71","71.26"
"Gondadgi","","","","","1","1","166","117","49","70.48"
"Gondenoor","","","","","1","2","467","333","134","71.31"
"Gopalpur","","","","","1","1","183","130","53","71.04"
"Goudgera","","","","","1","3","563","461","102","81.88"
"Goudgera","","","","","1","1","571","403","168","70.58"
"Goudoor","","","","","1","2","290","206","84","71.03"
"Gudalgunta","","","","","1","1","165","116","49","70.30"
"Gudur","","","","","1","1","88","62","26","70.45"
"Gulbal","","","","","1","3","373","265","108","71.05"
"Gulsaram","","","","","1","2","1185","844","341","71.22"
"Gundalgare","","","","","1","1","310","218","92","70.32"
"Gundapur","","","","","1","2","449","319","130","71.05"
"Gundgurthi","","","","","1","2","563","402","161","71.40"
"Gundhalli","","","","","1","5","1163","828","335","71.20"
"Gundloor","","","","","1","2","198","141","57","71.21"
"Gunjunur","","","","","1","1","322","227","95","70.50"
"Gurmatkal(Rural)","","","","","1","1","322","227","95","70.50"
"Gurnur","","","","","1","1","199","140","59","70.35"
"Habballi","","","","","1","2","204","145","59","71.08"
"Habshihal","","","","","1","2","173","123","50","71.10"
"Hadnoor","","","","","1","2","865","616","249","71.21"
"Hagratgi","","","","","1","2","593","446","147","75.21"
"Halbhavi","","","","","1","1","63","45","18","71.43"
"Halbhavi","","","","","1","2","728","519","209","71.29"
"Halgera","","","","","1","1","157","111","46","70.70"
"Halgera","","","","","1","1","490","346","144","70.61"
"Halgera","","","","","1","2","728","519","209","71.29"
"Hallisagar","","","","","1","2","728","519","209","71.29"
"Hanchinal","","","","","1","5","1184","1004","180","84.80"
"Handral","","","","","1","1","216","153","63","70.83"
"Handral","","","","","1","2","165","117","48","70.91"
