"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Alacode","","","","","1","10","2809","2809","0","100.00"
"Anakkara","","","","","1","11","13709","13709","0","100.00"
"Anavilasam","","","","","1","5","1087","1087","0","100.00"
"Anaviratty","","","","","1","3","941","941","0","100.00"
"Arakkulam","","","","","1","7","1059","1059","0","100.00"
"Ayyappancoil","","","","","1","19","20164","20164","0","100.00"
"Baisonvally","","","","","1","9","1885","1885","0","100.00"
"Chakkupallam","","","","","1","7","8902","8902","0","100.00"
"Chathurangapara","","","","","1","4","1007","1007","0","100.00"
"Chinnakanal","","","","","1","10","6096","6096","0","100.00"
"Elappally","","","","","1","3","527","527","0","100.00"
"Elappara","","","","","1","12","5594","5594","0","100.00"
"Idukki","","","","","1","8","5027","5027","0","100.00"
"Kalkoonthal","","","","","1","21","4320","4320","0","100.00"
"Kanjikuzhi","","","","","1","32","15806","15806","0","100.00"
"Kannan Devan Hills","","","","","1","20","10914","10914","0","100.00"
"Kanthalloor","","","","","1","7","6150","6150","0","100.00"
"Kanthippara","","","","","1","8","1042","1042","0","100.00"
"Karikkode (Part)","","","","","1","10","2634","2634","0","100.00"
"Karimannoor","","","","","1","9","3217","3217","0","100.00"
"Karimkunnam (Part)","","","","","1","10","2881","2881","0","100.00"
"Karunapuram","","","","","1","16","3126","3126","0","100.00"
"Kattappana","","","","","1","17","19952","19952","0","100.00"
"Keezhanthoor","","","","","1","3","2500","2500","0","100.00"
"Kodikulam","","","","","1","10","1684","1684","0","100.00"
"Kokkayar","","","","","1","11","5519","5519","0","100.00"
"Konnathady","","","","","1","15","2742","2742","0","100.00"
"Kottakamboor","","","","","1","4","2913","2913","0","100.00"
"Kudayathoor","","","","","1","8","1245","1245","0","100.00"
"Kumaramangalam (Part)","","","","","1","13","2108","2108","0","100.00"
"Kumily","","","","","1","13","8038","8038","0","100.00"
"Kunjithanny","","","","","1","7","1296","1296","0","100.00"
"Manakkad (Part)","","","","","1","10","3457","3457","0","100.00"
"Manjumala","","","","","1","12","7370","7370","0","100.00"
"Mankulam","","","","","1","10","7866","7866","0","100.00"
"Mannamkandam","","","","","1","15","2989","2989","0","100.00"
"Marayoor","","","","","1","10","8130","8130","0","100.00"
"Mlappara","","","","","1","2","816","816","0","100.00"
"Muttom","","","","","1","10","1695","1695","0","100.00"
"Neyyasseri","","","","","1","4","1806","1787","19","98.95"
"Pallivasal","","","","","1","6","1042","1042","0","100.00"
"Pampadumpara","","","","","1","9","3581","3581","0","100.00"
"Parathodu","","","","","1","11","6448","6448","0","100.00"
"Peerumade","","","","","1","11","4676","4676","0","100.00"
"Periyar","","","","","1","12","5214","5214","0","100.00"
"Peruvanthanam","","","","","1","10","5996","5996","0","100.00"
"Poopara","","","","","1","5","941","941","0","100.00"
"Purapuzha","","","","","1","11","2908","2908","0","100.00"
"Rajakkad","","","","","1","11","1963","1932","31","98.42"
"Rajakumari","","","","","1","10","1844","1844","0","100.00"
"Santhanpara","","","","","1","5","3993","3993","0","100.00"
"Thankamony","","","","","1","16","10999","10999","0","100.00"
"Thodupuzha (Part)","","","","","1","1","264","264","0","100.00"
"Udumbanchola","","","","","1","5","4925","4925","0","100.00"
"Udumbannoor","","","","","1","11","43730","43730","0","100.00"
"Upputhara","","","","","1","11","5564","5564","0","100.00"
"Upputhode","","","","","1","8","7860","7860","0","100.00"
"Vagamon","","","","","1","9","4257","4230","27","99.37"
"Vandanmedu","","","","","1","5","5777","5777","0","100.00"
"Vannapuram","","","","","1","13","6845","6820","25","99.63"
"Vathikudy","","","","","1","12","10141","10141","0","100.00"
"Vattavada","","","","","1","6","4525","4525","0","100.00"
"Vellathuval","","","","","1","8","1878","1878","0","100.00"
"Velliyamattom","","","","","1","12","4853","4853","0","100.00"
"Total","0","0","0","0","64","633","3,51,247","3,51,145","102",""
