"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Alakode","","","","","1","16","10891","10891","0","100.00"
"Alapadamba","","","","","1","4","2232","2232","0","100.00"
"Ancharakandy (CT)","","","","","1","1","5249","5249","0","100.00"
"Aralam","","","","","1","13","9243","9243","0","100.00"
"Ayyankunnu","","","","","1","12","10632","10632","0","100.00"
"Azhikode North (CT)","","","","","1","1","4510","4510","0","100.00"
"Azhikode South (CT)","","","","","1","1","5516","5516","0","100.00"
"Chala (CT)","","","","","1","1","3489","3489","0","100.00"
"Chavassery","","","","","1","9","927","927","0","100.00"
"Cheleri (CT)","","","","","1","5","3475","3475","0","100.00"
"Chelora (CT)","","","","","1","1","5246","5246","0","100.00"
"Chengalai","","","","","1","7","3521","3521","0","100.00"
"Cherukunnu (CT)","","","","","1","10","1400","1400","0","100.00"
"Cheruthazham (CT)","","","","","1","1","7079","7079","0","100.00"
"Cheruvanchery","","","","","1","4","1288","1288","0","100.00"
"Chirakkal (CT)","","","","","1","1","9602","9602","0","100.00"
"Chockli (CT)","","","","","1","1","7056","7056","0","100.00"
"Chuzhali","","","","","1","7","1001","1001","0","100.00"
"Dharmadom (CT)","","","","","1","1","6755","6755","0","100.00"
"Elayavoor (CT)","","","","","1","1","7460","7460","0","100.00"
"Eramam","","","","","1","5","2425","2425","0","100.00"
"Eranholi (CT)","","","","","1","1","6044","6044","0","100.00"
"Eruvassy","","","","","1","11","3047","3047","0","100.00"
"Eruvatti (CT)","","","","","1","1","3915","3915","0","100.00"
"Ezhome (CT)","","","","","1","11","2002","2002","0","100.00"
"Irikkur (CT)","","","","","1","10","3390","3390","0","100.00"
"Iriveri (CT)","","","","","1","1","3569","3569","0","100.00"
"Kadachira (CT)","","","","","1","1","4130","4130","0","100.00"
"Kadannappalli (CT)","","","","","1","5","1500","1500","0","100.00"
"Kadirur (CT)","","","","","1","1","6820","6820","0","100.00"
"Kalliad","","","","","1","5","1800","1800","0","100.00"
"Kalliasseri (CT)","","","","","1","1","7155","7155","0","100.00"
"Kandamkunnu (CT)","","","","","1","7","2273","2273","0","100.00"
"Kanhirode (CT)","","","","","1","1","3147","3147","0","100.00"
"Kanichar","","","","","1","10","4160","4160","0","100.00"
"Kankole","","","","","1","6","2574","2574","0","100.00"
"Kannadiparamba (CT)","","","","","1","1","2796","2796","0","100.00"
"Kannapuram (CT)","","","","","1","1","4540","4540","0","100.00"
"Kannavam","","","","","1","5","1588","1588","0","100.00"
"Karivellur (CT)","","","","","1","7","3472","3472","0","100.00"
"Kayaralam","","","","","1","9","6246","6246","0","100.00"
"Keezhallur (CT)","","","","","1","11","4834","4834","0","100.00"
"Keezhur","","","","","1","7","4312","4312","0","100.00"
"Kelakam","","","","","1","10","6010","6010","0","100.00"
"Kolacherry (CT)","","","","","1","8","5576","5576","0","100.00"
"Kolavelloor (CT)","","","","","1","8","2580","2580","0","100.00"
"Koloyad","","","","","1","8","3114","3114","0","100.00"
"Koodali (CT)","","","","","1","7","3057","3057","0","100.00"
"Kooveri","","","","","1","9","4203","4203","0","100.00"
"Kottayam-Malabar (CT)","","","","","1","1","3820","3820","0","100.00"
"Kottiyoor","","","","","1","10","6620","6620","0","100.00"
"Kunhimangalam (CT)","","","","","1","10","1500","1500","0","100.00"
"Kurumathur (CT)","","","","","1","7","4116","4116","0","100.00"
"Kuttiattoor (CT)","","","","","1","14","16387","16387","0","100.00"
"Kuttiyeri","","","","","1","5","2860","2860","0","100.00"
"Kuttoor","","","","","1","4","2024","2024","0","100.00"
"Madayi (CT)","","","","","1","17","2635","2635","0","100.00"
"Malapattam","","","","","1","10","2310","2310","0","100.00"
"Manantheri (CT)","","","","","1","7","2277","2277","0","100.00"
"Manathana","","","","","1","8","5392","5392","0","100.00"
"Mangattidam (CT)","","","","","1","8","2535","2535","0","100.00"
"Maniyoor (CT)","","","","","1","6","1530","1530","0","100.00"
"Mattool","","","","","1","13","1794","1794","0","100.00"
"Mavilayi (CT)","","","","","1","1","2702","2702","0","100.00"
"Mayyil (CT)","","","","","1","5","3524","3524","0","100.00"
"Mokeri (CT)","","","","","1","11","3460","3460","0","100.00"
"Munderi (CT)","","","","","1","1","4249","4249","0","100.00"
"Muzhakkunnu","","","","","1","11","3696","3696","0","100.00"
"Muzhappilangad (CT)","","","","","1","1","4465","4465","0","100.00"
"Narath (CT)","","","","","1","1","2560","2560","0","100.00"
"Nediyanga","","","","","1","8","4008","4008","0","100.00"
"New Mahe (CT)","","","","","1","1","2149","2149","0","100.00"
"New Naduvil","","","","","1","9","6426","6426","0","100.00"
"Nuchiyad","","","","","1","6","4002","4002","0","100.00"
"Padiyoor","","","","","1","6","2616","2616","0","100.00"
"Paduvilayi (CT)","","","","","1","1","4215","4215","0","100.00"
"Pallikkunnu (CT)","","","","","1","1","6130","6130","0","100.00"
"Panapuzha","","","","","1","6","1002","1002","0","100.00"
"Panniyannur (CT)","","","","","1","1","4870","4870","0","100.00"
"Panniyoor","","","","","1","5","2675","2675","0","100.00"
"Panoor (CT)","","","","","1","1","3595","3595","0","100.00"
"Pappinisseri (CT)","","","","","1","1","7230","7230","0","100.00"
"Pariyaram (CT)","","","","","1","8","6280","6280","0","100.00"
"Pathiriyad (CT)","","","","","1","1","3919","3919","0","100.00"
"Pattannur","","","","","1","7","3100","3100","0","100.00"
"Pattiom (CT)","","","","","1","1","4665","4665","0","100.00"
"Pattuvam","","","","","1","10","3300","3300","0","100.00"
"Payam","","","","","1","9","5238","5238","0","100.00"
"Payyavoor","","","","","1","12","10776","10776","0","100.00"
"Peralam","","","","","1","4","1948","1948","0","100.00"
"Peralassery (CT)","","","","","1","1","3832","3832","0","100.00"
"Peringathur (CT)","","","","","1","1","8210","8210","0","100.00"
"Peringome","","","","","1","5","3755","3755","0","100.00"
"Perinthatta","","","","","1","4","1428","1428","0","100.00"
"Pinarayi (CT)","","","","","1","1","3925","3925","0","100.00"
"Pulingome","","","","","1","6","3756","3756","0","100.00"
"Puthoor","","","","","1","9","2905","2905","0","100.00"
"Puzhathi (CT)","","","","","1","1","7088","7088","0","100.00"
"Ramanthali","","","","","1","12","5604","5604","0","100.00"
"Sivapuram","","","","","1","8","6624","6624","0","100.00"
"Sreekandapuram","","","","","1","8","8776","8776","0","100.00"
"Thillenkeri","","","","","1","10","1700","1700","0","100.00"
"Thimiri","","","","","1","8","4496","4496","0","100.00"
"Thirumeni","","","","","1","5","2075","2075","0","100.00"
"Tholambra","","","","","1","3","1196","1196","0","100.00"
"Thottada (CT)","","","","","1","1","8802","8802","0","100.00"
"Thrippangottur","","","","","1","14","4396","4396","0","100.00"
"Valapattanam (CT)","","","","","1","1","1334","1334","0","100.00"
"Varam (CT)","","","","","1","1","3277","3277","0","100.00"
"Vayakkara","","","","","1","8","4496","4496","0","100.00"
"Vayathur","","","","","1","10","7240","7240","0","100.00"
"Vekkalam","","","","","1","3","1037","1037","0","100.00"
"Vellad","","","","","1","15","6225","6225","0","100.00"
"Vellarvelly","","","","","1","4","2467","2467","0","100.00"
"Vellora","","","","","1","5","2565","2565","0","100.00"
"Vilamana","","","","","1","6","2928","2928","0","100.00"
"Total","0","0","0","0","116","664","4,95,588","4,95,588","0",""
