"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdu Rahiman Nagar (CT)","","","","","1","2","11421","11421","0","100.00"
"Akampadam","","","","","1","1","3871","3871","0","100.00"
"Alamcode (CT)","","","","","1","2","2998","2998","0","100.00"
"Aliparamba","","","","","1","10","4614","4614","0","100.00"
"Amarambalam","","","","","1","1","7756","7755","1","99.99"
"Anakkayam (OG)","","","","","1","1","6509","6509","0","100.00"
"Anamangad","","","","","1","6","3348","3348","0","100.00"
"Ananthavoor","","","","","1","2","4666","4666","0","100.00"
"Angadippuram","","","","","1","10","5863","5863","0","100.00"
"Arakkuparamba","","","","","1","6","3444","3444","0","100.00"
"Areekode","","","","","1","13","6243","6243","0","100.00"
"Ariyallur (CT)","","","","","1","2","6319","6319","0","100.00"
"Athavanad","","","","","1","2","4339","4339","0","100.00"
"Cheekkode","","","","","1","8","4395","4395","0","100.00"
"Chekkode","","","","","1","1","3841","3841","0","100.00"
"Chelambra (CT)","","","","","1","13","6056","6056","0","100.00"
"Chembrasseri","","","","","1","1","5235","5235","0","100.00"
"Cheriyamundam (CT)","","","","","1","2","3136","3136","0","100.00"
"Cherukavu (CT)","","","","","1","11","6171","6171","0","100.00"
"Chungathara","","","","","1","1","7882","7882","0","100.00"
"Edakkara","","","","","1","1","13177","13177","0","100.00"
"Edappal (CT)","","","","","1","2","6317","6317","0","100.00"
"Edappatta","","","","","1","10","4532","4532","0","100.00"
"Edavanna","","","","","1","1","23308","23308","0","100.00"
"Edayoor","","","","","1","2","3506","3506","0","100.00"
"Elamkulam","","","","","1","12","5366","5366","0","100.00"
"Elankur","","","","","1","1","5055","5055","0","100.00"
"Irimbiliyam (CT)","","","","","1","2","5547","5547","0","100.00"
"Kalady (CT)","","","","","1","2","6085","6085","0","100.00"
"Kalikavu","","","","","1","1","4473","4473","0","100.00"
"Kalpakancheri","","","","","1","2","3187","3187","0","100.00"
"Kannamangalam (CT)","","","","","1","2","11431","11431","0","100.00"
"Karakunnu","","","","","1","1","5427","5427","0","100.00"
"Kariavattom","","","","","1","7","2923","2923","0","100.00"
"Karulai","","","","","1","1","5537","5537","0","100.00"
"Karuvarakundu","","","","","1","1","13489","13489","0","100.00"
"Kattipparuthi (CT)","","","","","1","2","2385","2385","0","100.00"
"Kavanoor","","","","","1","14","7337","7337","0","100.00"
"Keezhattur","","","","","1","8","4045","4045","0","100.00"
"Kerala Estate","","","","","1","1","5127","5127","0","100.00"
"Kizhuparamba (CT)","","","","","1","10","4536","4536","0","100.00"
"Kodur (CT)","","","","","1","15","8585","8585","0","100.00"
"Kondotty (CT)","","","","","1","12","5495","5495","0","100.00"
"Koottilangadi (CT)","","","","","1","14","7135","7135","0","100.00"
"Kottakkal (CT)","","","","","1","17","8650","8650","0","100.00"
"Kurumbathur","","","","","1","2","2175","2175","0","100.00"
"Kurumbilangode","","","","","1","1","4364","4364","0","100.00"
"Kuruva","","","","","1","17","7415","7415","0","100.00"
"Kuruvambalam","","","","","1","4","2363","2363","0","100.00"
"Kuttippuram (CT)","","","","","1","2","4474","4474","0","100.00"
"Kuzhimanna","","","","","1","13","6546","6546","0","100.00"
"Mambad","","","","","1","1","5378","5378","0","100.00"
"Mangalam","","","","","1","2","4644","4644","0","100.00"
"Mankada","","","","","1","13","6633","6633","0","100.00"
"Marakkara","","","","","1","2","4442","4442","0","100.00"
"Marancheri (CT)","","","","","1","2","3939","3939","0","100.00"
"Melattur","","","","","1","11","5549","5549","0","100.00"
"Melmuri","","","","","1","2","4413","4413","0","100.00"
"Moonniyur (CT)","","","","","1","2","6403","6403","0","100.00"
"Moorkkanad","","","","","1","14","7019","7019","0","100.00"
"Morayur","","","","","1","13","6517","6517","0","100.00"
"Muthuvallur","","","","","1","12","6989","6989","0","100.00"
"Naduvattom (CT)","","","","","1","2","4419","4419","0","100.00"
"Nannambra (CT)","","","","","1","4","12667","12667","0","100.00"
"Nannamukku","","","","","1","2","2954","2954","0","100.00"
"Nediyiruppu","","","","","1","12","5845","5845","0","100.00"
"Neduva (CT)","","","","","1","2","6407","6407","0","100.00"
"Nenmini","","","","","1","6","3136","3136","0","100.00"
"Nilambur (CT)","","","","","1","1","10223","10223","0","100.00"
"Niramaruthur","","","","","1","2","3147","3147","0","100.00"
"Othukkungal (CT)","","","","","1","2","11441","11441","0","100.00"
"Ozhur","","","","","1","2","3125","3125","0","100.00"
"Pallikal (CT)","","","","","1","16","7159","7159","0","100.00"
"Pandalur","","","","","1","6","3387","3387","0","100.00"
"Pandikkad","","","","","1","1","21064","21064","0","100.00"
"Parappanangadi","","","","","1","1","9314","9314","0","100.00"
"Parappur (CT)","","","","","1","2","11394","11394","0","100.00"
"Pariyapuram","","","","","1","2","3133","3133","0","100.00"
"Perakamanna","","","","","1","1","5001","5001","0","100.00"
"Perumanna (CT)","","","","","1","2","3155","3155","0","100.00"
"Perumpadappa","","","","","1","2","2951","2951","0","100.00"
"Peruvallur (CT)","","","","","1","2","6348","6348","0","100.00"
"Ponmala","","","","","1","13","6322","6322","0","100.00"
"Ponmundam (CT)","","","","","1","2","3116","3116","0","100.00"
"Pookkottur","","","","","1","14","7140","7140","0","100.00"
"Porur","","","","","1","1","5430","5430","0","100.00"
"Pulamanthole","","","","","1","11","5404","5404","0","100.00"
"Pulikkal","","","","","1","15","7684","7684","0","100.00"
"Pullipadam","","","","","1","1","365","365","0","100.00"
"Pulpatta","","","","","1","42","15671","15671","0","100.00"
"Purathur","","","","","1","2","4482","4482","0","100.00"
"Puzhakkattiri","","","","","1","12","5917","5917","0","100.00"
"Talakkad (CT)","","","","","1","2","4732","4732","0","100.00"
"Tanalur (CT)","","","","","1","2","3159","3159","0","100.00"
"Tanur","","","","","1","2","3225","3225","0","100.00"
"Tavanur","","","","","1","2","7373","7373","0","100.00"
"Thazhekode","","","","","1","10","4585","4585","0","100.00"
"Thenhippalam (CT)","","","","","1","2","6361","6361","0","100.00"
"Thennala (CT)","","","","","1","2","11458","11458","0","100.00"
"Thirunavaya (CT)","","","","","1","2","4426","4426","0","100.00"
"Thiruvali","","","","","1","1","11560","11560","0","100.00"
"Thuvvur","","","","","1","1","5115","5115","0","100.00"
