"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Agali","","","","","1","12","5163","5163","0","100.00"
"Alanallur-I","","","","","1","7","2698","2698","0","100.00"
"Alanallur-II","","","","","1","4","1645","1645","0","100.00"
"Alanallur-III","","","","","1","8","3187","3187","0","100.00"
"Alathur (CT)","","","","","1","13","4378","4378","0","100.00"
"Ambalapara - I","","","","","1","6","3551","3551","0","100.00"
"Ambalapara - II","","","","","1","10","6022","6022","0","100.00"
"Anakkara","","","","","1","12","6496","6496","0","100.00"
"Ananganadi","","","","","1","12","7203","7203","0","100.00"
"Ayiloor","","","","","1","4","2473","2473","0","100.00"
"Chalavara","","","","","1","11","6503","6503","0","100.00"
"Chalissery","","","","","1","12","6390","6390","0","100.00"
"Cherpulacherry","","","","","1","14","4961","4961","0","100.00"
"Chittur (Part)","","","","","1","3","1608","1608","0","100.00"
"Elappully-I","","","","","1","8","3906","3906","0","100.00"
"Elappully-II","","","","","1","10","4887","4887","0","100.00"
"Elavancherry","","","","","1","10","6420","6420","0","100.00"
"Erimayur-I","","","","","1","7","2505","2505","0","100.00"
"Erimayur-II","","","","","1","8","2661","2661","0","100.00"
"Eruthempathy","","","","","1","5","2474","2474","0","100.00"
"Hemambikanagar (CT)","","","","","1","4","1947","1947","0","100.00"
"Kadampazhipuram-I","","","","","1","7","2478","2478","0","100.00"
"Kadampazhipuram-II","","","","","1","6","2124","2124","0","100.00"
"Kairady","","","","","1","4","2440","2440","0","100.00"
"Kallamala","","","","","1","7","3004","3004","0","100.00"
"Kannadi-I","","","","","1","7","3295","3295","0","100.00"
"Kannadi-II","","","","","1","5","2265","2265","0","100.00"
"Kannambra-I","","","","","1","8","2765","2765","0","100.00"
"Kannambra-II","","","","","1","6","1947","1947","0","100.00"
"Kappur","","","","","1","14","7405","7405","0","100.00"
"Karakurissi","","","","","1","12","4721","4721","0","100.00"
"Karimba -I","","","","","1","7","2752","2752","0","100.00"
"Karimba -II","","","","","1","5","1932","1932","0","100.00"
"Karimpuzha-I","","","","","1","9","3188","3188","0","100.00"
"Karimpuzha-II","","","","","1","5","1771","1771","0","100.00"
