"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Angadi","","","","","1","11","6127","6127","0","100.00"
"Angadickal","","","","","1","7","5899","5899","0","100.00"
"Anicad","","","","","1","10","5400","5400","0","100.00"
"Aranmula","","","","","1","1","3935","3935","0","100.00"
"Aruvappulam","","","","","1","9","5742","5742","0","100.00"
"Athikkayam","","","","","1","6","6138","6138","0","100.00"
"Ayiroor","","","","","1","13","5409","5409","0","100.00"
"Chenneerkara","","","","","1","11","3880","3880","0","100.00"
"Cherukole","","","","","1","10","3878","3878","0","100.00"
"Chethakkal","","","","","1","9","6139","6139","0","100.00"
"Chittar-Seethathodu","","","","","1","22","6143","6143","0","100.00"
"Elanthoor","","","","","1","10","3870","3870","0","100.00"
"Enadimangalam","","","","","1","12","5892","5892","0","100.00"
"Enathu","","","","","1","7","5887","5887","0","100.00"
"Erathu","","","","","1","13","5889","5889","0","100.00"
"Eraviperoor","","","","","1","13","5406","5406","0","100.00"
"Ezhamkulam","","","","","1","9","5886","5886","0","100.00"
"Ezhumattoor","","","","","1","6","5404","5404","0","100.00"
"Iravan","","","","","1","5","5740","5740","0","100.00"
"Kadampanadu","","","","","1","13","5889","5889","0","100.00"
"Kadapra","","","","","1","14","4212","4212","0","100.00"
"Kalanjoor","","","","","1","7","5887","5887","0","100.00"
"Kallooppara","","","","","1","11","5390","5390","0","100.00"
"Kaviyoor","","","","","1","10","5351","5351","0","100.00"
"Kavumbhagom (Part)","","","","","1","4","4192","4192","0","100.00"
"Kidangannur","","","","","1","1","3970","3970","0","100.00"
"Kodumon","","","","","1","7","5887","5887","0","100.00"
"Koipuram","","","","","1","14","5403","5403","0","100.00"
"Kollamula","","","","","1","12","6132","6132","0","100.00"
"Konni","","","","","1","7","5740","5740","0","100.00"
"Konnithazham","","","","","1","8","5744","5744","0","100.00"
"Koodal","","","","","1","9","5886","5886","0","100.00"
"Kottangal","","","","","1","10","5350","5350","0","100.00"
"Kozhenchery (CT)","","","","","1","10","3870","3870","0","100.00"
"Kulanada","","","","","1","1","5630","5630","0","100.00"
"Kunnamthanam","","","","","1","11","5445","5445","0","100.00"
"Kurampala","","","","","1","10","13468","13468","0","100.00"
"Kuttoor","","","","","1","11","4191","4191","0","100.00"
"Malayalapuzha (Part)","","","","","1","10","5669","5669","0","100.00"
"Mallappally","","","","","1","11","5462","5462","0","100.00"
"Mallapuzhassery","","","","","1","10","3870","3870","0","100.00"
"Mezhuveli","","","","","1","1","4680","4680","0","100.00"
"Mylapra (Part)","","","","","1","10","3878","3878","0","100.00"
"Naranganam","","","","","1","10","3870","3870","0","100.00"
"Nedumpuram","","","","","1","11","4191","4191","0","100.00"
"Niranam","","","","","1","8","4192","4192","0","100.00"
"Omalloor","","","","","1","10","3870","3870","0","100.00"
"Pallickal","","","","","1","9","5886","5886","0","100.00"
"Pandalam","","","","","1","11","13475","13475","0","100.00"
"Pandalam Thekkekara","","","","","1","18","13482","13482","0","100.00"
"Pathanamthitta (Part)","","","","","1","1","76","76","0","100.00"
"Pazhavangadi","","","","","1","11","6138","6138","0","100.00"
"Peringanadu (Part)","","","","","1","10","5881","5881","0","100.00"
"Peringara","","","","","1","8","4192","4192","0","100.00"
"Perumpetty","","","","","1","10","4954","4954","0","100.00"
"Perunad","","","","","1","9","6138","6138","0","100.00"
"Pramadom","","","","","1","8","5744","5744","0","100.00"
"Puramattam","","","","","1","10","5400","5400","0","100.00"
"Ranni","","","","","1","10","6140","6140","0","100.00"
"Thannithode","","","","","1","10","3872","3872","0","100.00"
"Thelliyoor","","","","","1","5","5406","5406","0","100.00"
"Thottapuzhassery","","","","","1","10","5400","5400","0","100.00"
"Vadasserikkara","","","","","1","12","6132","6132","0","100.00"
"Vallicode","","","","","1","11","5742","5742","0","100.00"
"Vallicode-Kottayam","","","","","1","7","5740","5740","0","100.00"
"Total","0","0","0","0","65","605","3,59,781","3,59,781","0",""
