"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Alamcode (CT)","","","","","1","2","4800","4800","0","100.00"
"Amboori","","","","","1","1","4250","4250","0","100.00"
"Anad","","","","","1","2","7000","7000","0","100.00"
"Anavoor","","","","","1","1","4080","4080","0","100.00"
"Andoorkonam","","","","","1","2","5701","5701","0","100.00"
"Aruvikkara","","","","","1","3","7500","7500","0","100.00"
"Aryanad","","","","","1","2","7502","7502","0","100.00"
"Athiyannur (CT)","","","","","1","1","2420","2420","0","100.00"
"Attingal-Avanavancherry (Part)","","","","","1","1","3500","3500","0","100.00"
"Ayiroor","","","","","1","2","8301","8301","0","100.00"
"Azhoor (CT)","","","","","1","2","7400","7400","0","100.00"
"Chemmaruthy","","","","","1","2","8405","8405","0","100.00"
"Chenkal (Part)","","","","","1","2","10001","10001","0","100.00"
"Edakkode (CT)","","","","","1","2","7800","7800","0","100.00"
"Edava","","","","","1","2","8300","8300","0","100.00"
"Elamba-Mudakkal","","","","","1","2","6200","6200","0","100.00"
"Iroopara (CT)","","","","","1","2","5700","5700","0","100.00"
"Kadakkavoor","","","","","1","4","16000","16000","0","100.00"
"Kadinamkulam","","","","","1","2","5501","5501","0","100.00"
"Kallara","","","","","1","2","4800","4800","0","100.00"
"Kallikkad","","","","","1","2","13812","13812","0","100.00"
"Kalliyoor (CT)","","","","","1","2","9507","9507","0","100.00"
"Kanjiramkulam (CT)","","","","","1","1","2400","2400","0","100.00"
"Karakulam (CT)","","","","","1","2","7700","7700","0","100.00"
"Karavaram","","","","","1","2","4401","4401","0","100.00"
"Karode","","","","","1","1","10440","10440","0","100.00"
"Karumkulam","","","","","1","2","2400","2400","0","100.00"
"Keezharoor","","","","","1","2","3958","3958","0","100.00"
"Keezhattingal (CT)","","","","","1","2","7700","7700","0","100.00"
"Keezhthonnakkal","","","","","1","2","5300","5300","0","100.00"
"Kilimanoor","","","","","1","2","4720","4720","0","100.00"
"Kizhuvalam-Koonthalloor (CT)","","","","","1","2","6600","6600","0","100.00"
"Koduvazhannoor","","","","","1","2","4400","4400","0","100.00"
"Koliyakode","","","","","1","2","4800","4800","0","100.00"
"Kollayil (Part)","","","","","1","2","2434","2434","0","100.00"
"Kottukal (Part)","","","","","1","2","17412","17412","0","100.00"
"Kudavoor","","","","","1","2","4400","4400","0","100.00"
"Kulathoor","","","","","1","1","9583","9583","0","100.00"
"Kulathummal (CT)","","","","","1","2","6900","6900","0","100.00"
"Kunnathukal","","","","","1","2","4032","4032","0","100.00"
"Kurupuzha","","","","","1","2","4800","4800","0","100.00"
"Madavoor","","","","","1","2","4500","4500","0","100.00"
"Malayinkeezhu (CT)","","","","","1","2","9800","9800","0","100.00"
"Manamboor","","","","","1","2","7600","7600","0","100.00"
"Manikkal","","","","","1","2","4800","4800","0","100.00"
"Mannoorkara","","","","","1","2","6805","6805","0","100.00"
"Maranalloor","","","","","1","2","10200","10200","0","100.00"
"Melthonnakkal","","","","","1","2","4450","4450","0","100.00"
"Menamkulam","","","","","1","2","4950","4950","0","100.00"
"Nagaroor","","","","","1","2","5100","5100","0","100.00"
"Navaikulam","","","","","1","2","4701","4701","0","100.00"
"Nellanad","","","","","1","2","4800","4800","0","100.00"
"Ottasekharamangalam","","","","","1","1","3080","3080","0","100.00"
"Ottoor","","","","","1","2","8702","8702","0","100.00"
"Pallichal (CT)","","","","","1","2","10500","10500","0","100.00"
"Pallickal","","","","","1","2","4600","4600","0","100.00"
"Pallippuram (CT)","","","","","1","2","4800","4800","0","100.00"
"Palode","","","","","1","2","4800","4800","0","100.00"
"Panavoor","","","","","1","2","7100","7100","0","100.00"
"Pangode","","","","","1","2","4800","4800","0","100.00"
"Parassala (CT)","","","","","1","1","10660","10660","0","100.00"
"Parasuvaikkal (CT)","","","","","1","1","12610","12610","0","100.00"
"Pazhayakunnummel","","","","","1","2","4600","4600","0","100.00"
"Peringamala","","","","","1","2","4800","4800","0","100.00"
"Perumkadavila","","","","","1","1","3500","3500","0","100.00"
"Perumkulam","","","","","1","2","6300","6300","0","100.00"
"Pulimath","","","","","1","2","4600","4600","0","100.00"
"Pullampara","","","","","1","2","4800","4800","0","100.00"
"Sarkara-Chirayinkeezhu","","","","","1","2","8500","8500","0","100.00"
"Theakada","","","","","1","2","7510","7510","0","100.00"
"Thennoor","","","","","1","2","4607","4607","0","100.00"
"Thirupuram","","","","","1","2","9205","9205","0","100.00"
"Tholicode","","","","","1","2","6200","6200","0","100.00"
"Uliyazhathura (CT)","","","","","1","2","7700","7700","0","100.00"
"Uzhamalackal","","","","","1","2","6500","6500","0","100.00"
"Vakkom (CT)","","","","","1","2","6501","6501","0","100.00"
"Vamanapuram","","","","","1","2","4800","4800","0","100.00"
"Vattappara (CT)","","","","","1","2","6900","6900","0","100.00"
"Vazhichal","","","","","1","1","2850","2850","0","100.00"
"Veeranakavu","","","","","1","2","6600","6600","0","100.00"
"Veiloor (CT)","","","","","1","2","5703","5703","0","100.00"
"Vellalloor","","","","","1","2","4600","4600","0","100.00"
"Vellanad","","","","","1","3","6651","6651","0","100.00"
"Vellarada","","","","","1","1","4180","4180","0","100.00"
"Vembayam","","","","","1","2","6800","6800","0","100.00"
"Venganoor (CT)","","","","","1","2","30004","30004","0","100.00"
"Vettoor-Cherunniyoor","","","","","1","2","8700","8700","0","100.00"
"Vilappil (CT)","","","","","1","2","10006","10006","0","100.00"
"Vilavoorkkal (CT)","","","","","1","2","10000","10000","0","100.00"
"Vithura","","","","","1","2","6677","6676","1","99.99"
"Vizhinjam (Part)","","","","","1","2","30003","30003","0","100.00"
"Total","0","0","0","0","91","173","6,42,015","6,42,014","1",""
