"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adcolna","","","","","1","1","385","385","0","100.00"
"Advoi","","","","","1","1","160","160","0","100.00"
"Adwalpale","","","","","1","1","326","326","0","100.00"
"Agarvado","","","","","1","1","324","324","0","100.00"
"Alorna","","","","","1","1","600","600","0","100.00"
"Ambarim","","","","","1","1","27","27","0","100.00"
"Ambedem","","","","","1","1","55","55","0","100.00"
"Ambeli","","","","","1","1","22","22","0","100.00"
"Amberem","","","","","1","1","75","75","0","100.00"
"Amone","","","","","1","1","694","694","0","100.00"
"Ansolem","","","","","1","1","47","47","0","100.00"
"Arpora","","","","","1","1","834","834","0","100.00"
"Assagao","","","","","1","1","952","952","0","100.00"
"Assodem","","","","","1","1","24","24","0","100.00"
"Assonora","","","","","1","1","944","944","0","100.00"
"Aturli","","","","","1","1","112","112","0","100.00"
"Azossim","","","","","1","1","270","270","0","100.00"
"Bainguinim","","","","","1","1","388","388","0","100.00"
"Bastora","","","","","1","1","917","917","0","100.00"
"Batim","","","","","1","1","356","356","0","100.00"
"Betora","","","","","1","1","1405","1405","0","100.00"
"Betqui","","","","","1","1","382","382","0","100.00"
"Birondem","","","","","1","1","126","126","0","100.00"
"Boma","","","","","1","1","653","653","0","100.00"
"Bombedem","","","","","1","1","8","8","0","100.00"
"Buimpal","","","","","1","1","303","303","0","100.00"
"Calvim","","","","","1","1","113","113","0","100.00"
"Camurlim","","","","","1","1","674","674","0","100.00"
"Canca","","","","","1","1","794","794","0","100.00"
"Candepar","","","","","1","1","860","860","0","100.00"
"Cansarvornem","","","","","1","1","310","310","0","100.00"
"Capao","","","","","1","1","37","37","0","100.00"
"Caraim","","","","","1","1","44","44","0","100.00"
"Carambolim","","","","","1","1","1195","1195","0","100.00"
"Carambolim- Brama","","","","","1","1","96","96","0","100.00"
"Carambolim-Bozruco","","","","","1","1","98","98","0","100.00"
"Caranzol","","","","","1","1","176","176","0","100.00"
"Casnem","","","","","1","1","77","77","0","100.00"
"Chandel","","","","","1","1","272","272","0","100.00"
"Chopdem","","","","","1","1","196","196","0","100.00"
"Chorao","","","","","1","1","1202","1202","0","100.00"
"Choraundem","","","","","1","1","153","153","0","100.00"
"Codal","","","","","1","1","44","44","0","100.00"
"Codar","","","","","1","1","172","172","0","100.00"
"Codiem","","","","","1","1","17","17","0","100.00"
"Codqui","","","","","1","1","204","204","0","100.00"
"Compordem","","","","","1","1","225","225","0","100.00"
"Conquirem","","","","","1","1","101","101","0","100.00"
"Conxem","","","","","1","1","39","39","0","100.00"
"Corgao","","","","","1","1","1497","1497","0","100.00"
"Corjuem","","","","","1","1","640","640","0","100.00"
"Cotombi","","","","","1","1","128","128","0","100.00"
"Cotorem","","","","","1","1","139","139","0","100.00"
"Cudcem","","","","","1","1","142","142","0","100.00"
"Cudnem","","","","","1","1","763","763","0","100.00"
"Cumarconda","","","","","1","1","114","114","0","100.00"
"Cuncoliem","","","","","1","1","323","323","0","100.00"
"Cundaim","","","","","1","1","913","913","0","100.00"
"Curca","","","","","1","1","560","560","0","100.00"
"Curchirem","","","","","1","1","435","435","0","100.00"
"Dabem","","","","","1","1","113","113","0","100.00"
"Damocem","","","","","1","1","143","143","0","100.00"
"Dargalim","","","","","1","1","1331","1331","0","100.00"
"Davem","","","","","1","1","184","184","0","100.00"
"Derodem","","","","","1","1","25","25","0","100.00"
"Dongurli","","","","","1","1","339","339","0","100.00"
"Dumacem","","","","","1","1","59","59","0","100.00"
"Durbhat","","","","","1","1","771","771","0","100.00"
"Edorem","","","","","1","1","60","60","0","100.00"
"Ella","","","","","1","1","1258","1258","0","100.00"
"Gancim","","","","","1","1","113","113","0","100.00"
"Gandaulim","","","","","1","1","73","73","0","100.00"
"Gangem","","","","","1","1","112","112","0","100.00"
"Goalim Moula","","","","","1","1","97","97","0","100.00"
"Golauli","","","","","1","1","67","67","0","100.00"
"Goltim","","","","","1","1","423","423","0","100.00"
"Gonteli","","","","","1","1","332","332","0","100.00"
"Govanem","","","","","1","1","39","39","0","100.00"
"Guleli","","","","","1","1","105","105","0","100.00"
"Ibrampur","","","","","1","1","555","555","0","100.00"
"Ivrem-Buzruco","","","","","1","1","149","149","0","100.00"
"Ivrem-Curdo","","","","","1","1","44","44","0","100.00"
"Latambarcem","","","","","1","1","1533","1533","0","100.00"
"Maem","","","","","1","1","1728","1728","0","100.00"
"Malar","","","","","1","1","382","382","0","100.00"
"Maloli","","","","","1","1","90","90","0","100.00"
"Malpona","","","","","1","1","70","70","0","100.00"
"Mandur","","","","","1","1","726","726","0","100.00"
"Marna","","","","","1","1","298","298","0","100.00"
"Marra","","","","","1","1","516","516","0","100.00"
"Maulinguem North","","","","","1","1","323","323","0","100.00"
"Mauzi","","","","","1","1","295","295","0","100.00"
"Melauli","","","","","1","1","346","346","0","100.00"
"Mencurem","","","","","1","1","306","306","0","100.00"
"Moitem","","","","","1","1","190","190","0","100.00"
"Mopa","","","","","1","1","243","243","0","100.00"
"Morlem","","","","","1","1","762","762","0","100.00"
"Mulgao","","","","","1","1","926","926","0","100.00"
"Nachinola","","","","","1","1","645","645","0","100.00"
"Nadora","","","","","1","1","295","295","0","100.00"
"Nagargao","","","","","1","1","117","117","0","100.00"
"Nagoa","","","","","1","1","351","351","0","100.00"
"Naguem","","","","","1","1","105","105","0","100.00"
"Naneli","","","","","1","1","60","60","0","100.00"
"Nanorem","","","","","1","1","62","62","0","100.00"
"Naroa","","","","","1","1","419","419","0","100.00"
"Naroa","","","","","1","1","119","119","0","100.00"
"Navelim","","","","","1","1","280","280","0","100.00"
"Navelim","","","","","1","1","611","611","0","100.00"
"Neura-O-Grande","","","","","1","1","330","330","0","100.00"
"Neura-O-Pequeno","","","","","1","1","131","131","0","100.00"
"Nirancal","","","","","1","1","406","406","0","100.00"
"Olaulim","","","","","1","1","172","172","0","100.00"
"Ona","","","","","1","1","167","167","0","100.00"
"Oxel","","","","","1","1","633","633","0","100.00"
"Ozorim","","","","","1","1","394","394","0","100.00"
"Padeli","","","","","1","1","145","145","0","100.00"
"Pale","","","","","1","1","251","251","0","100.00"
"Paliem","","","","","1","1","609","609","0","100.00"
"Paliem","","","","","1","1","314","314","0","100.00"
"Parra","","","","","1","1","1067","1067","0","100.00"
"Pernem","","","","","1","1","629","629","0","100.00"
"Piligao","","","","","1","1","600","600","0","100.00"
"Pirna","","","","","1","1","632","632","0","100.00"
"Pissurlem","","","","","1","1","502","502","0","100.00"
"Podocem","","","","","1","1","241","241","0","100.00"
"Pomburpa","","","","","1","1","757","757","0","100.00"
"Ponchavadi","","","","","1","1","931","931","0","100.00"
"Ponocem","","","","","1","1","110","110","0","100.00"
"Ponolem","","","","","1","1","29","29","0","100.00"
"Poriem","","","","","1","1","903","903","0","100.00"
"Poroscodem","","","","","1","1","167","167","0","100.00"
"Punola","","","","","1","1","199","199","0","100.00"
"Querim","","","","","1","1","774","774","0","100.00"
"Querim","","","","","1","1","492","492","0","100.00"
