"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adnem","","","","","1","1","369","369","0","100.00"
"Adsulim","","","","","1","1","52","52","0","100.00"
"Aglote","","","","","1","1","402","402","0","100.00"
"Agonda","","","","","1","1","924","924","0","100.00"
"Ambaulim","","","","","1","1","679","679","0","100.00"
"Ambelim","","","","","1","1","693","693","0","100.00"
"Arossim","","","","","1","1","426","426","0","100.00"
"Assolda","","","","","1","1","309","309","0","100.00"
"Assolna","","","","","1","1","891","891","0","100.00"
"Avedem","","","","","1","1","420","420","0","100.00"
"Bali","","","","","1","1","705","705","0","100.00"
"Bandoli","","","","","1","1","231","231","0","100.00"
"Barcem","","","","","1","1","458","458","0","100.00"
"Bati","","","","","1","1","438","438","0","100.00"
"Bendordem","","","","","1","1","131","131","0","100.00"
"Betalbatim","","","","","1","1","945","945","0","100.00"
"Calata","","","","","1","1","445","445","0","100.00"
"Calem","","","","","1","1","574","574","0","100.00"
"Camarconda","","","","","1","1","173","173","0","100.00"
"Camurlim","","","","","1","1","595","595","0","100.00"
"Cana","","","","","1","1","105","105","0","100.00"
"Canacona","","","","","1","1","993","993","0","100.00"
"Cansaulim","","","","","1","1","563","563","0","100.00"
"Caranzol","","","","","1","1","10","10","0","100.00"
"Carmona","","","","","1","1","1006","1006","0","100.00"
"Cavelossim","","","","","1","1","481","481","0","100.00"
"Cavorem","","","","","1","1","215","215","0","100.00"
"Cavorim","","","","","1","1","576","576","0","100.00"
"Cazur","","","","","1","1","105","105","0","100.00"
"Chaifi","","","","","1","1","19","19","0","100.00"
"Chandor","","","","","1","1","184","184","0","100.00"
"Chicolna","","","","","1","1","669","669","0","100.00"
"Codli","","","","","1","1","884","884","0","100.00"
"Cola","","","","","1","1","1107","1107","0","100.00"
"Colem","","","","","1","1","995","995","0","100.00"
"Colomba","","","","","1","1","400","400","0","100.00"
"Colva","","","","","1","1","810","810","0","100.00"
"Comproi","","","","","1","1","150","150","0","100.00"
"Coranginim","","","","","1","1","9","9","0","100.00"
"Cordem","","","","","1","1","324","324","0","100.00"
"Corla","","","","","1","1","43","43","0","100.00"
"Cormonem","","","","","1","1","152","152","0","100.00"
"Costi","","","","","1","1","196","196","0","100.00"
"Cotarli","","","","","1","1","258","258","0","100.00"
"Cotigao","","","","","1","1","510","510","0","100.00"
"Cotombi","","","","","1","1","274","274","0","100.00"
"Cuelim","","","","","1","1","430","430","0","100.00"
"Cumbari","","","","","1","1","70","70","0","100.00"
"Curdi","","","","","1","1","9","9","0","100.00"
"Curpem","","","","","1","1","203","203","0","100.00"
"Dabolim","","","","","1","1","1433","1433","0","100.00"
"Darbandora","","","","","1","1","672","672","0","100.00"
"Deussua","","","","","1","1","382","382","0","100.00"
"Dicarpale","","","","","1","1","695","695","0","100.00"
"Dongor","","","","","1","1","7","7","0","100.00"
"Dramapur","","","","","1","1","861","861","0","100.00"
"Dudal","","","","","1","1","97","97","0","100.00"
"Duncolim","","","","","1","1","193","193","0","100.00"
"Fatorpa","","","","","1","1","558","558","0","100.00"
"Gandaulim","","","","","1","1","114","114","0","100.00"
"Gaodongrem","","","","","1","1","1004","1004","0","100.00"
"Gocoldem","","","","","1","1","110","110","0","100.00"
"Gonsua","","","","","1","1","50","50","0","100.00"
"Guirdolim","","","","","1","1","909","909","0","100.00"
"Issorcim","","","","","1","1","189","189","0","100.00"
"Loliem","","","","","1","1","1248","1248","0","100.00"
"Loutulim","","","","","1","1","1368","1368","0","100.00"
"Macasana","","","","","1","1","503","503","0","100.00"
"Maina","","","","","1","1","109","109","0","100.00"
"Majorda","","","","","1","1","742","742","0","100.00"
"Mangal","","","","","1","1","59","59","0","100.00"
"Maulinguem","","","","","1","1","72","72","0","100.00"
"Moissal","","","","","1","1","2","2","0","100.00"
"Molcarnem","","","","","1","1","347","347","0","100.00"
"Molcopona","","","","","1","1","93","93","0","100.00"
"Molem","","","","","1","1","383","383","0","100.00"
"Morpila","","","","","1","1","569","569","0","100.00"
"Muguli","","","","","1","1","119","119","0","100.00"
"Mulem","","","","","1","1","668","668","0","100.00"
"Nagoa","","","","","1","1","995","995","0","100.00"
"Nagvem","","","","","1","1","100","100","0","100.00"
"Naiquinim","","","","","1","1","65","65","0","100.00"
"Naquerim","","","","","1","1","117","117","0","100.00"
"Netorli","","","","","1","1","387","387","0","100.00"
"Nundem","","","","","1","1","114","114","0","100.00"
"Odar","","","","","1","1","143","143","0","100.00"
"Orlim","","","","","1","1","499","499","0","100.00"
"Padi","","","","","1","1","50","50","0","100.00"
"Pale","","","","","1","1","473","473","0","100.00"
"Paroda","","","","","1","1","151","151","0","100.00"
"Patiem","","","","","1","1","60","60","0","100.00"
"Piliem","","","","","1","1","944","944","0","100.00"
"Pirla","","","","","1","1","112","112","0","100.00"
"Poinguinim","","","","","1","1","1574","1574","0","100.00"
"Porteem","","","","","1","1","561","561","0","100.00"
"Potrem","","","","","1","1","43","43","0","100.00"
"Quedem","","","","","1","1","86","86","0","100.00"
"Quelossim","","","","","1","1","775","775","0","100.00"
"Quisconda","","","","","1","1","94","94","0","100.00"
"Quitol","","","","","1","1","344","344","0","100.00"
"Rachol","","","","","1","1","382","382","0","100.00"
"Rivona","","","","","1","1","875","875","0","100.00"
"Rumbrem","","","","","1","1","131","131","0","100.00"
"Sancordem","","","","","1","1","273","273","0","100.00"
"Sangod","","","","","1","1","236","236","0","100.00"
"Santona","","","","","1","1","343","343","0","100.00"
"Sao Jacinto Island","","","","","1","1","48","48","0","100.00"
"Sarzora","","","","","1","1","605","605","0","100.00"
"Seraulim","","","","","1","1","777","777","0","100.00"
"Sernabatim","","","","","1","1","372","372","0","100.00"
"Sigao","","","","","1","1","405","405","0","100.00"
"Sirlim","","","","","1","1","214","214","0","100.00"
"Sirvoi","","","","","1","1","281","281","0","100.00"
"Sonauli","","","","","1","1","18","18","0","100.00"
"Sulcorna","","","","","1","1","102","102","0","100.00"
"Surla","","","","","1","1","247","247","0","100.00"
"Talaulim","","","","","1","1","699","699","0","100.00"
"Tiloi","","","","","1","1","139","139","0","100.00"
"Tudou","","","","","1","1","9","9","0","100.00"
"Uguem","","","","","1","1","608","608","0","100.00"
"Undorna","","","","","1","1","53","53","0","100.00"
"Utorda","","","","","1","1","516","516","0","100.00"
"Vanelim","","","","","1","1","429","429","0","100.00"
"Velim","","","","","1","1","1536","1536","0","100.00"
"Velsao","","","","","1","1","335","335","0","100.00"
"Verlem","","","","","1","1","145","145","0","100.00"
"Vichundrem","","","","","1","1","179","179","0","100.00"
"Viliena","","","","","1","1","121","121","0","100.00"
"Xelpem","","","","","1","1","66","66","0","100.00"
"Xelvona","","","","","1","1","418","418","0","100.00"
"Xic-Xelvona","","","","","1","1","28","28","0","100.00"
"Zanodem","","","","","1","1","61","61","0","100.00"
"Total","0","0","0","0","132","132","53,504","53,504","0",""
