MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH
10,BIHAR,217,Gopalganj,1225,Manjha,230930,Dewapur Tola Mohar Singh,29,17
10,BIHAR,217,Gopalganj,1225,Manjha,230931,Dewapur Tola Asaraut,132,54
10,BIHAR,217,Gopalganj,1225,Manjha,230932,Dewapur Tola Akil,173,99
10,BIHAR,217,Gopalganj,1225,Manjha,230933,Purdil Tola,215,134
10,BIHAR,217,Gopalganj,1225,Manjha,230934,Mathia,99,84
10,BIHAR,217,Gopalganj,1225,Manjha,230936,Shahabuddin Tola,82,82
10,BIHAR,217,Gopalganj,1225,Manjha,230938,Korar,83,66
10,BIHAR,217,Gopalganj,1225,Manjha,230939,Amaithi Khurd,230,159
10,BIHAR,217,Gopalganj,1225,Manjha,230940,Indarwa,79,66
10,BIHAR,217,Gopalganj,1225,Manjha,230941,Kapilaspur,240,140
10,BIHAR,217,Gopalganj,1225,Manjha,230943,Amaithi Kalan,219,122
10,BIHAR,217,Gopalganj,1225,Manjha,230944,Paithan Patti,551,273
10,BIHAR,217,Gopalganj,1225,Manjha,230946,Bangra,543,179
10,BIHAR,217,Gopalganj,1225,Manjha,230947,Hata,56,40
10,BIHAR,217,Gopalganj,1225,Manjha,230948,Deuria,62,44
10,BIHAR,217,Gopalganj,1225,Manjha,230950,Partappur,550,208
10,BIHAR,217,Gopalganj,1225,Manjha,230951,Chhitauli,342,44
10,BIHAR,217,Gopalganj,1225,Manjha,230952,Baikunthpur,128,56
10,BIHAR,217,Gopalganj,1225,Manjha,230953,Tanrwa,85,43
10,BIHAR,217,Gopalganj,1225,Manjha,230954,Sanah,133,86
10,BIHAR,217,Gopalganj,1225,Manjha,230955,Bargachhia,98,63
10,BIHAR,217,Gopalganj,1225,Manjha,230956,Lahladpur,167,66
10,BIHAR,217,Gopalganj,1225,Manjha,230957,Telia Bandh,160,132
10,BIHAR,217,Gopalganj,1225,Manjha,230958,Jalalpur,24,18
10,BIHAR,217,Gopalganj,1225,Manjha,230959,Sajapur,125,49
10,BIHAR,217,Gopalganj,1225,Manjha,230961,Lohkhara,72,48
10,BIHAR,217,Gopalganj,1225,Manjha,230962,Bishambharpur,81,27
10,BIHAR,217,Gopalganj,1225,Manjha,230964,Kamanpura,98,62
10,BIHAR,217,Gopalganj,1225,Manjha,230965,Shahpur,21,13
10,BIHAR,217,Gopalganj,1225,Manjha,230966,Bathua,713,303
10,BIHAR,217,Gopalganj,1225,Manjha,230967,Dharam Parsa,458,364
10,BIHAR,217,Gopalganj,1225,Manjha,230968,Arazi Dharam Parsa,62,47
10,BIHAR,217,Gopalganj,1225,Manjha,230969,Harpur Gosain,165,129
10,BIHAR,217,Gopalganj,1225,Manjha,230970,Mujauna,185,140
10,BIHAR,217,Gopalganj,1225,Manjha,230971,Pipra,320,92
10,BIHAR,217,Gopalganj,1225,Manjha,230972,Phulwaria,449,156
10,BIHAR,217,Gopalganj,1225,Manjha,230973,Karanpura,383,267
10,BIHAR,217,Gopalganj,1225,Manjha,230974,Pathra,277,219
10,BIHAR,217,Gopalganj,1225,Manjha,230976,Shekh Parsa,291,122
10,BIHAR,217,Gopalganj,1225,Manjha,230977,Ahiraulia,279,132
10,BIHAR,217,Gopalganj,1225,Manjha,230978,Alapur,88,35
10,BIHAR,217,Gopalganj,1225,Manjha,230979,Lerwariya Tola,55,26
10,BIHAR,217,Gopalganj,1225,Manjha,230980,Misraulia,207,58
10,BIHAR,217,Gopalganj,1225,Manjha,230982,Santpur,152,90
10,BIHAR,217,Gopalganj,1225,Manjha,230983,Sipah Khas,183,104
10,BIHAR,217,Gopalganj,1225,Manjha,230984,Pasrampur,168,96
10,BIHAR,217,Gopalganj,1225,Manjha,230985,Lohjira,281,233
10,BIHAR,217,Gopalganj,1225,Manjha,230986,Majhaulia,267,140
10,BIHAR,217,Gopalganj,1225,Manjha,230988,Dhobaulia,279,109
10,BIHAR,217,Gopalganj,1225,Manjha,230989,Upar Chhanta,30,14
10,BIHAR,217,Gopalganj,1225,Manjha,230991,Gopalpur,33,16
10,BIHAR,217,Gopalganj,1225,Manjha,230992,Goniar,88,79
10,BIHAR,217,Gopalganj,1225,Manjha,230993,Pithauri,353,230
10,BIHAR,217,Gopalganj,1225,Manjha,230995,Keshapur,168,81
10,BIHAR,217,Gopalganj,1225,Manjha,230996,Himtapur,50,28
10,BIHAR,217,Gopalganj,1225,Manjha,230997,Mira Tola,96,69
10,BIHAR,217,Gopalganj,1225,Manjha,230999,Admapur,320,256
