MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
10,BIHAR,224,Bhagalpur,1344,Sonhaula,240219,Sirmatpur,189,69
10,BIHAR,224,Bhagalpur,1341,Shahkund,239886,Maheslitti,174,28
