MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name
10,BIHAR,240,Arwal,1546,Kurtha,0,Kurtha
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,215990,Bhaisalotan
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216007,Gorar
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216032,Garkatti
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216036,Bihar
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216045,Chegauna
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216046,Binwaliya
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216049,Budhsar
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216053,Behuarwa
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216054,Gandhariya
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216055,Bairaidih
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216059,Barba Khurd
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216063,Khajoria
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216064,Amolba
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216074,Nawtanwan
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216076,Barba
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216087,Kataha
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216096,Barganw
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216111,Dhakdhaian
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216119,Harka
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216121,Bhinda Chaur
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216122,Leduaphas Phaso
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216125,Katphorwa
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216136,Dharmauli
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216137,Dumri
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216142,Maghariya
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216145,Sakhui
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216147,Nipania
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216148,Pipari
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216151,Pokhar Bhinda
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216154,Jharhar
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216158,Bhagajua
10,BIHAR,203,Pashchim Champaran,1013,Sidhaw,216163,Gopaulia
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216169,Serahwa
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216176,Murlidih
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216179,Gardi
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216180,Naurangia
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216181,Majurha
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216182,Bairiya Kalan
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216183,Barwa Dih
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216184,Gobrahia
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216185,Jhajhri
10,BIHAR,203,Pashchim Champaran,1014,Ramnagar,216186,Dhayar
