MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH
32,KERALA,594,Thrissur,5654,Thrissur,627812,Velappaya,847,847
32,KERALA,594,Thrissur,5654,Thrissur,627813,Madakkathara,3866,3866
32,KERALA,594,Thrissur,5654,Thrissur,627814,Chalakkal,1845,1845
32,KERALA,594,Thrissur,5654,Thrissur,627815,Pananchery,4637,4637
32,KERALA,594,Thrissur,5654,Thrissur,627816,Peechi,4261,4261
32,KERALA,594,Thrissur,5654,Thrissur,627817,Mannamangalam,1874,1874
32,KERALA,594,Thrissur,5654,Thrissur,627818,Mulayam,1610,1610
32,KERALA,594,Thrissur,5654,Thrissur,627819,Pullu,213,213
32,KERALA,594,Thrissur,5654,Thrissur,627820,Pallippuram,560,560
32,KERALA,594,Thrissur,5654,Thrissur,627821,Alappad,1890,1890
32,KERALA,594,Thrissur,5654,Thrissur,627822,Chazhoor,2154,2154
32,KERALA,594,Thrissur,5654,Thrissur,627823,Inchamudi,893,893
32,KERALA,594,Thrissur,5654,Thrissur,627824,Arattupuzha,2686,2686
32,KERALA,594,Thrissur,5654,Thrissur,627825,Killannur (CT),1005,1005
32,KERALA,594,Thrissur,5654,Thrissur,627826,Thangalur (CT),857,857
32,KERALA,594,Thrissur,5654,Thrissur,627827,Avanur (CT),322,322
32,KERALA,594,Thrissur,5654,Thrissur,627828,Anjur (CT),395,395
32,KERALA,594,Thrissur,5654,Thrissur,627829,Kaiparamba (CT),145,145
32,KERALA,594,Thrissur,5654,Thrissur,627830,Tholur (CT),3042,3042
32,KERALA,594,Thrissur,5654,Thrissur,627831,Edakkalathur (CT),4680,4680
32,KERALA,594,Thrissur,5654,Thrissur,627832,Peramangalam (CT),4773,4773
32,KERALA,594,Thrissur,5654,Thrissur,627833,Choolissery (CT),1065,1065
32,KERALA,594,Thrissur,5654,Thrissur,627834,Pottore (CT),1948,1948
32,KERALA,594,Thrissur,5654,Thrissur,627835,Kolazhy (CT),2957,2957
32,KERALA,594,Thrissur,5654,Thrissur,627836,Kurichikkara (CT),268,268
32,KERALA,594,Thrissur,5654,Thrissur,627837,Vellanikkara (CT),140,140
32,KERALA,594,Thrissur,5654,Thrissur,627838,Kuttoor (CT),2546,2546
32,KERALA,594,Thrissur,5654,Thrissur,627839,Puzhakkal (CT),1637,1637
32,KERALA,594,Thrissur,5654,Thrissur,627840,Puranattukara (CT),2631,2631
32,KERALA,594,Thrissur,5654,Thrissur,627841,Chittilappilly (CT),7048,7048
32,KERALA,594,Thrissur,5654,Thrissur,627842,Adat (CT),4892,4892
32,KERALA,594,Thrissur,5654,Thrissur,627843,Kozhukkully (CT),2190,2190
32,KERALA,594,Thrissur,5654,Thrissur,627844,Kainoor (CT),1069,1069
32,KERALA,594,Thrissur,5654,Thrissur,627845,Nadathara (CT),2871,2871
32,KERALA,594,Thrissur,5654,Thrissur,627846,Parakkad (CT),400,400
32,KERALA,594,Thrissur,5654,Thrissur,627847,Karamuck (CT),2653,2653
32,KERALA,594,Thrissur,5654,Thrissur,627848,Manalur (CT),3540,3540
32,KERALA,594,Thrissur,5654,Thrissur,627849,Eravu (CT),185,185
32,KERALA,594,Thrissur,5654,Thrissur,627850,Veluthur (CT),402,402
32,KERALA,594,Thrissur,5654,Thrissur,627851,Manakkody (CT),300,300
32,KERALA,594,Thrissur,5654,Thrissur,627852,Marathakkara (CT),3604,3604
32,KERALA,594,Thrissur,5654,Thrissur,627853,Puthur (CT),1962,1962
32,KERALA,594,Thrissur,5654,Thrissur,627854,Avinissery (CT),3198,3198
32,KERALA,594,Thrissur,5654,Thrissur,627855,Palissery (CT),1915,1915
