MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611980,Mayagondanahalli,86,75
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611981,Bommenahalli,227,181
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611982,Hosahalli,126,110
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611984,Dasanakatte,184,159
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611985,Hulihalli,314,274
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611986,Anivala,124,102
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611987,Chikkahonnavalli,149,130
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611988,Sooranahalli,119,104
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611989,Hanumanthapura,45,39
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611990,Chowdenahalli,68,59
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611991,Kodihalli,115,101
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611992,Gyaraghatta,110,96
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611993,Ramanahalli,236,217
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611994,Honnavalli,1351,1187
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611995,Halugowdanakatte,59,52
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611996,Krishnapura,29,25
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611997,Bagavala,170,148
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611998,Vittalapura,48,42
29,KARNATAKA,571,Tumkur,5539,Tiptur ,611999,Thammadihalli,9,8
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612000,Patarehalli,100,87
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612001,Nelagondanahalli,73,64
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612002,Satheramanahalli,136,129
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612003,Ghatikinakere,164,143
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612004,Byrapura,78,68
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612005,Chowlihalli,213,186
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612006,Manakikere,430,400
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612007,Hurulihalli,68,59
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612008,Sarathavalli,739,716
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612009,Paruvagondanahalli,112,98
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612010,Thimmalapura,221,201
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612011,Harachanahalli,115,100
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612012,Vasudevarahalli,123,118
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612013,Alur,160,140
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612014,Harisamudra,131,114
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612015,Virupakshipura,61,53
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612016,Kalkere,217,190
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612017,Meesethimmanahalli,91,80
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612018,Gedlahalli,163,143
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612019,Byranaikanahalli,164,143
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612020,Annamallenahalli,155,138
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612021,Kagehallada Kaval,164,144
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612022,Chowdlapura,46,40
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612023,Jakkanahalli,255,223
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612024,Siddanahalli,14,12
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612025,Thimmalapura,130,122
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612026,Biligere,404,353
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612027,Kibbanahalli Amanikere,52,46
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612028,Hatna,332,291
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612029,Badanekatte,10,9
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612030,Kamagondanahalli,94,82
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612031,Rajathadripura,414,399
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612032,Karekurchi (B),107,94
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612033,Yagachikatti,285,280
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612034,Kallenahalli Kaval,123,108
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612035,Beerasandra,368,321
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612036,Katigenahalli,190,166
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612037,Hindiskere,255,223
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612039,Kundur,228,199
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612040,Gadabanahalli,74,65
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612041,Aralaguppe,691,598
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612042,Madlehalli,200,189
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612043,Mallenahalli,32,28
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612044,Byrapura,78,68
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612045,Shettihalli,229,221
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612046,Sidlehalli,246,232
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612047,Nyakenahalli,269,249
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612048,Ramenahalli,162,147
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612049,Karadi,161,141
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612050,Mallipatna,105,92
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612051,Kattehalli,51,45
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612052,Kondlighatta,169,148
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612053,Kuppalu,131,115
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612054,Ballekatte,21,18
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612055,Uppinahalli,105,102
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612056,Kadushettihalli,82,72
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612057,Shivapura,141,140
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612058,Karadalu,205,178
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612059,Ginikikere,82,72
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612060,Kallushettihalli,191,167
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612061,Eranakall Kaval,314,274
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612062,Ayarahalli,125,110
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612063,Kotigehalli,239,209
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612064,Konehalli,50,44
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612065,Bidarammanagudi Kaval,85,75
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612066,K.Lakkihalli,420,368
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612067,Nagathihalli,104,91
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612068,Maragondanahalli,108,94
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612069,Gudigondanahalli,232,203
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612070,Bommalapura,173,152
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612071,Madihalli,899,894
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612072,Kanchaghatta,19,17
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612073,Annapura,70,61
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612074,Halepalya,164,143
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612075,Edenahalli,519,454
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612076,Ramasettyhalli,278,263
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612077,Doddamarapanahalli,101,88
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612078,Chikkamarapanahalli,180,157
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612079,Eralagere,157,137
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612080,Bennaikanahalli,312,273
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612081,Bommenahalli,187,164
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612082,Peddihalli,87,76
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612083,Kotanaikanahalli,307,268
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612084,Huchagondanahalli,198,167
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612085,Tiptur [Rural],24,20
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612086,Koppa,203,177
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612087,Hindiskere,115,100
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612088,Shanthanahalli,37,32
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612089,Kodihalli,115,101
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612090,Eachanur Kaval,72,62
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612091,Eachanur,531,464
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612092,Hullukatte,86,75
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612093,Goragondanahalli,24,21
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612094,Havenahalli,110,96
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612095,Hosahalli,237,207
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612096,Anagondanahalli,176,154
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612097,Maranagere,155,141
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612098,Lingadahalli,184,161
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612099,Madenur,430,376
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612101,Hirebidare,202,176
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612102,Siddapura,102,89
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612103,Karikere,558,487
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612104,Chikkabidare,135,118
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612105,Gowdanakatte,267,234
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612106,Timlapura,49,43
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612107,Singenahalli,86,75
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612108,Gurugadahalli,491,443
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612109,Bennenahalli,135,118
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612110,Honnenahalli,83,73
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612111,Chatnahalli,129,113
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612112,Shankaranahalli,13,11
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612113,Keragodi,277,242
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612114,Rangapura,316,312
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612115,Chikkarangapura,147,128
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612116,Chikkakottigehalli,48,42
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612117,Ballekatte,21,18
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612118,Narasikatte,240,221
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612119,Dasihalli,128,112
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612120,Hogavanaghatta,159,137
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612121,Thadasur,473,472
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612122,Melapura,26,23
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612123,Shivara,290,283
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612124,Lakkihalli Kaval ,98,86
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612125,S.Lakkihalli,144,126
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612126,Bannihalli,85,74
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612127,Kallahalli,53,46
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612128,Ramachandrapura,374,352
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612129,Dasarighatta,431,382
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612130,Jayapura,53,46
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612131,Voddaramallenahalli,73,64
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612132,Aladahalli,262,229
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612133,Hedagarahalli,276,233
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612134,Belagarahalli,281,245
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612135,Kannughatta,262,228
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612136,Haroghatta,163,142
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612137,Kurubaramallenahalli,78,68
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612138,Karikere,183,160
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612139,Nallikere,303,298
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612140,Burudeghatta,218,191
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612141,Yadehalli,56,49
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612142,Basthihalli,130,114
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612143,Albur,500,437
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612144,Nonavinakere,1029,900
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612145,Kuduvanaghatta,263,230
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612146,Gopalapura,136,119
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612147,Chiggave,69,60
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612148,Agarahara,61,53
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612149,Muguthihalli,113,108
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612150,Kaidala,158,138
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612151,Nagaraghatta,197,194
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612152,Shakunagiri Gollarahatti,190,166
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612153,Kodihalli,115,101
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612154,Honnenahalli,83,73
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612155,Bochihalli,167,146
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612156,Sugur,388,386
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612157,Nagaraghatta Kaval,46,40
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612158,N.Melanahalli,285,270
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612159,Lingadevarahalli,60,52
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612160,Kurubarahalli,151,132
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612161,Mattighatta,304,292
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612162,Sasalahalli,54,47
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612163,G.Melanahalli,324,284
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612164,Ganganaghatta,445,389
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612165,J.Mallenahalli,270,236
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612166,Hunaseghatta,220,192
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612167,Machaghatta,107,94
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612168,Ballekere,195,171
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612169,Bajaguru,493,431
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612170,Vignasanthe,383,355
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612171,Makanahalli,181,164
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612172,Madihalli,446,390
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612173,Kasavanahalli,70,61
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612174,Kasavanahalli Kaval,38,34
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612175,J.Mallenahalli,364,319
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612176,Maragondanahalli,108,94
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612177,Bidarakere,138,121
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612178,Hullenahalli,235,206
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612179,Hullenahalli Kaval,8,2
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612180,Virupakshipura,61,53
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612181,Matanahalli,82,72
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612182,Jabaghatta,155,136
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612183,Rayashettyhalli,76,66
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612184,Ganjalaghatta,115,101
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612185,Masavanagatta,513,499
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612186,Bisalehalli,186,163
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612187,Sannenahalli,191,167
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612188,Kallahalli,53,46
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612189,Kabballi Kaval,10,8
29,KARNATAKA,571,Tumkur,5539,Tiptur ,612190,Gungaramale,390,342
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612191,Mudlapura,77,74
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612192,Somalapura,295,254
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612193,A.Hosahalli,502,432
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612194,Guladahalli,8,2
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612195,Bommenahalli,180,145
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612196,Banasandra,641,523
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612197,Hulisandra,5,2
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612198,Marasandra,460,367
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612199,Heggere,196,152
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612200,Lingapura,5,2
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612201,Dunda,446,372
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612202,Bugudanahalli,97,83
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612203,G.Manchenahalli,116,102
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612204,Balamadihalli,56,47
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612206,Neeragunda,361,312
29,KARNATAKA,571,Tumkur,5540,Turuvekere ,612207,Ajjenahalli,54,45
