"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Alappuzha","","","","","87","168","570816","570816","0","100.00"
"Ernakulam","","","","","110","305","755169","755169","0","100.00"
"Idukki","","","","","64","633","351247","351145","102","99.97"
"Kannur","","","","","116","664","495588","495588","0","100.00"
"Kasaragod","","","","","120","484","181143","181143","0","100.00"
"Kollam","","","","","95","95","617936","617936","0","100.00"
"Kottayam","","","","","93","1030","420052","420052","0","100.00"
"Kozhikode","","","","","103","105","589416","589416","0","100.00"
"Malappuram","","","","","123","661","756562","756561","1","100.00"
"Palakkad","","","","","148","1139","544859","544859","0","100.00"
"Pathanamthitta","","","","","65","605","359781","359781","0","100.00"
"Thiruvananthapuram","","","","","91","173","642015","642014","1","100.00"
"Thrissur","","","","","227","1053","603301","603301","0","100.00"
"Wayanad","","","","","48","370","215332","215332","0","100.00"
"Total","0","0","0","0","1,490","7,485","71,03,217","71,03,113","104",""
