"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ala (Part)","","","","","1","1","3751","3751","0","100.00"
"Ambalappuzha","","","","","1","2","20551","20551","0","100.00"
"Arattupuzha","","","","","1","3","5657","5657","0","100.00"
"Arookutty (CT)","","","","","1","1","4440","4440","0","100.00"
"Aroor (CT)","","","","","1","1","9456","9456","0","100.00"
"Aryad South  (Part)","","","","","1","1","7350","7350","0","100.00"
"Bharanikkavu (CT)","","","","","1","2","6532","6532","0","100.00"
"Champakkulam","","","","","1","2","5289","5289","0","100.00"
"Chengannur  (Part)","","","","","1","1","6552","6552","0","100.00"
"Chennithala (CT)","","","","","1","2","5446","5446","0","100.00"
"Cheppad (CT)","","","","","1","4","4031","4031","0","100.00"
"Cheriyanad","","","","","1","1","3872","3872","0","100.00"
"Cherthala North (Part)","","","","","1","4","23981","23981","0","100.00"
"Cherthala South (Part)","","","","","1","2","13805","13805","0","100.00"
"Cheruthana","","","","","1","3","4026","4026","0","100.00"
"Chingoli (CT)","","","","","1","3","3981","3981","0","100.00"
"Chunakkara","","","","","1","2","5665","5665","0","100.00"
"Edathua","","","","","1","1","18","18","0","100.00"
"Ennakkad","","","","","1","1","3885","3885","0","100.00"
"Ezhupunna (CT)","","","","","1","3","12250","12250","0","100.00"
"Haripad (CT)","","","","","1","2","2679","2679","0","100.00"
"Kadakkarappally","","","","","1","3","12232","12232","0","100.00"
"Kainakary North","","","","","1","1","3530","3530","0","100.00"
"Kainakary South","","","","","1","1","3349","3349","0","100.00"
"Kalarkode (OG) (Part)","","","","","1","1","6847","6847","0","100.00"
"Kalavoor","","","","","1","2","10800","10800","0","100.00"
"Kandalloor (CT)","","","","","1","3","4090","4090","0","100.00"
"Kanjikkuzhi (CT)","","","","","1","1","6020","6020","0","100.00"
"Kannamangalam (CT)","","","","","1","2","3367","3367","0","100.00"
"Karthikappally (CT)","","","","","1","3","4009","4009","0","100.00"
"Karumady","","","","","1","1","22","22","0","100.00"
"Karuvatta","","","","","1","3","3985","3985","0","100.00"
"Kattanam (CT)","","","","","1","2","6183","6183","0","100.00"
"Kavalam","","","","","1","2","3019","3019","0","100.00"
"Keerikkad (CT)","","","","","1","3","3172","3172","0","100.00"
"Kodamthuruth (CT)","","","","","1","2","9890","9890","0","100.00"
"Kokkothamangalam (CT)","","","","","1","1","4207","4207","0","100.00"
"Komalapuram (CT)","","","","","1","1","11746","11746","0","100.00"
"Krishnapuram (CT)","","","","","1","3","3624","3624","0","100.00"
"Kumarapuram (CT)","","","","","1","3","3996","3996","0","100.00"
"Kunnumma","","","","","1","2","1526","1526","0","100.00"
"Kurattissery (CT)","","","","","1","1","3756","3756","0","100.00"
"Kuthiathode (CT)","","","","","1","1","2242","2242","0","100.00"
"Mannanchery (CT)","","","","","1","2","16432","16432","0","100.00"
"Mannar (CT)","","","","","1","1","4239","4239","0","100.00"
"Mararikkulam North","","","","","1","2","13700","13700","0","100.00"
"Muhamma (CT)","","","","","1","1","6450","6450","0","100.00"
"Mulakuzha (Part)","","","","","1","1","743","743","0","100.00"
"Mullakkal (Part)","","","","","1","1","10","10","0","100.00"
"Muthukulam (CT)","","","","","1","3","4363","4363","0","100.00"
"Muttar","","","","","1","2","1721","1721","0","100.00"
"Nedumudi","","","","","1","2","9594","9594","0","100.00"
"Neelamperoor","","","","","1","2","980","980","0","100.00"
"Noornad","","","","","1","2","7687","7687","0","100.00"
"Palamel","","","","","1","2","8699","8699","0","100.00"
"Pallippad","","","","","1","1","4009","4009","0","100.00"
"Pallippuram (CT)","","","","","1","2","9280","9280","0","100.00"
"Panavally","","","","","1","2","9132","9132","0","100.00"
"Pandanad (Part)","","","","","1","1","4126","4126","0","100.00"
"Pathirappally (CT)","","","","","1","4","26184","26184","0","100.00"
"Pathiyoor (CT)","","","","","1","3","4496","4496","0","100.00"
"Pattanakkad","","","","","1","2","10234","10234","0","100.00"
"Perumbalam","","","","","1","2","9508","9508","0","100.00"
"Perungala","","","","","1","2","3023","3023","0","100.00"
"Pulinkunnu","","","","","1","2","3004","3004","0","100.00"
"Puliyoor(Part)","","","","","1","1","4317","4317","0","100.00"
"Punnapra (OG)","","","","","1","1","8952","8952","0","100.00"
"Purakkad","","","","","1","2","19271","19271","0","100.00"
"Puthuppally (CT)","","","","","1","3","4121","4121","0","100.00"
"Ramankary","","","","","1","2","3515","3515","0","100.00"
"Thaikattussery (CT)","","","","","1","4","19358","19358","0","100.00"
"Thakazhy","","","","","1","4","16800","16800","0","100.00"
"Thalavady","","","","","1","1","16","16","0","100.00"
"Thamarakkulam","","","","","1","2","5236","5236","0","100.00"
"Thanneermukkam (CT)","","","","","1","1","7962","7962","0","100.00"
"Thazhakara (CT)","","","","","1","2","7717","7717","0","100.00"
"Thekkekara (Part)","","","","","1","2","5038","5038","0","100.00"
"Thiruvanvandoor","","","","","1","1","4363","4363","0","100.00"
"Thrikkunnapuzha","","","","","1","1","3969","3969","0","100.00"
"Thriperumthura","","","","","1","2","3574","3574","0","100.00"
"Thuravoor Thekku","","","","","1","1","2021","2021","0","100.00"
"Vallikunnam","","","","","1","2","8652","8652","0","100.00"
"Vayalar (CT)","","","","","1","1","6172","6172","0","100.00"
"Veeyapuram","","","","","1","4","5190","5190","0","100.00"
"Veliyanad","","","","","1","2","3598","3598","0","100.00"
"Venmony","","","","","1","1","4326","4326","0","100.00"
"Vettiyar","","","","","1","2","4205","4205","0","100.00"
"Total","0","0","0","0","87","168","5,70,816","5,70,816","0",""
