"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adichanalloor (CT)","","","","","1","1","6489","6489","0","100.00"
"Adinad (CT)","","","","","1","1","7035","7035","0","100.00"
"Alappad","","","","","1","1","5904","5904","0","100.00"
"Alayamon","","","","","1","1","2151","2151","0","100.00"
"Anchal","","","","","1","1","5755","5755","0","100.00"
"Arackal","","","","","1","1","5740","5740","0","100.00"
"Arienkavu","","","","","1","1","5721","5721","0","100.00"
"Ayanivelikulangara (CT)","","","","","1","1","5056","5056","0","100.00"
"Ayiranalloor","","","","","1","1","5707","5707","0","100.00"
"Chadayamangalam","","","","","1","1","5994","5994","0","100.00"
"Chakkuvarakkal","","","","","1","1","6594","6594","0","100.00"
"Channappetta","","","","","1","1","3115","3115","0","100.00"
"Chavara (CT)","","","","","1","1","5640","5640","0","100.00"
"Chirakkara","","","","","1","1","5890","5890","0","100.00"
"Chithara","","","","","1","1","5941","5941","0","100.00"
"Clappana","","","","","1","1","7199","7199","0","100.00"
"Edamon","","","","","1","1","5702","5702","0","100.00"
"Edamulackal","","","","","1","1","5705","5705","0","100.00"
"Elamad","","","","","1","1","5992","5992","0","100.00"
"Elampalloor (CT)","","","","","1","1","4867","4867","0","100.00"
"Eravipuram (OG)","","","","","1","1","7076","7076","0","100.00"
"Eroor","","","","","1","1","6044","6044","0","100.00"
"Ezhukone","","","","","1","1","6465","6465","0","100.00"
"Ittiva","","","","","1","1","5934","5934","0","100.00"
"Kadakkal","","","","","1","1","6040","6040","0","100.00"
"Kalayapuram","","","","","1","1","6644","6644","0","100.00"
"Kallelibhagom (CT)","","","","","1","1","4938","4938","0","100.00"
"Kalluvathukkal","","","","","1","1","5676","5676","0","100.00"
"Karavaloor (Part)","","","","","1","1","5734","5734","0","100.00"
"Kareepra","","","","","1","1","6355","6355","0","100.00"
"Karunagappally (CT)","","","","","1","1","5697","5697","0","100.00"
"Kizhakkekallada","","","","","1","1","19640","19640","0","100.00"
"Kottamkara (CT)","","","","","1","1","6898","6898","0","100.00"
"Kottarakkara (CT)","","","","","1","1","6314","6314","0","100.00"
"Kottukkal","","","","","1","1","5595","5595","0","100.00"
"Kulakkada","","","","","1","1","6557","6557","0","100.00"
"Kulasekharapuram (CT)","","","","","1","1","5916","5916","0","100.00"
"Kulathupuzha","","","","","1","1","5722","5722","0","100.00"
"Kummil","","","","","1","1","6011","6011","0","100.00"
"Kunnathur","","","","","1","1","4662","4662","0","100.00"
"Mancode","","","","","1","1","5739","5739","0","100.00"
"Mayyanad (CT)","","","","","1","1","5335","5335","0","100.00"
"Meenad (CT)","","","","","1","1","7028","7028","0","100.00"
"Melila","","","","","1","1","4605","4605","0","100.00"
"Mulavana","","","","","1","1","19313","19313","0","100.00"
"Mundrothuruth","","","","","1","1","11795","11795","0","100.00"
"Mylom","","","","","1","1","6977","6977","0","100.00"
"Mynagappally","","","","","1","1","7126","7126","0","100.00"
"Nedumpana (CT)","","","","","1","1","4206","4206","0","100.00"
"Neduvathoor","","","","","1","1","6302","6302","0","100.00"
"Neendakara (OG)","","","","","1","1","5030","5030","0","100.00"
"Nilamel","","","","","1","1","5940","5940","0","100.00"
"Oachira (CT)","","","","","1","1","6611","6611","0","100.00"
"Odanavattam","","","","","1","1","6098","6098","0","100.00"
"Pallimon","","","","","1","1","4762","4762","0","100.00"
"Panayam (CT)","","","","","1","1","19327","19327","0","100.00"
"Panmana (CT)","","","","","1","1","4538","4538","0","100.00"
"Paravoor (Part)","","","","","1","1","6036","6036","0","100.00"
"Parippally","","","","","1","1","5739","5739","0","100.00"
"Pathanapuram","","","","","1","1","4161","4161","0","100.00"
"Pattazhy","","","","","1","1","8550","8550","0","100.00"
"Pattazhy Vadakkekara","","","","","1","1","4821","4821","0","100.00"
"Pavithreswaram","","","","","1","1","6567","6567","0","100.00"
"Pavumba","","","","","1","1","6301","6301","0","100.00"
"Perinad (CT)","","","","","1","1","21492","21492","0","100.00"
"Pidavoor","","","","","1","1","6999","6999","0","100.00"
"Piravanthur","","","","","1","1","5280","5280","0","100.00"
"Poothakkulam (CT)","","","","","1","1","6603","6603","0","100.00"
"Pooyappally","","","","","1","1","6264","6264","0","100.00"
"Poruvazhy","","","","","1","1","4778","4778","0","100.00"
"Punnala","","","","","1","1","4898","4898","0","100.00"
"Puthur","","","","","1","1","4681","4681","0","100.00"
"Sasthamkotta","","","","","1","1","4865","4865","0","100.00"
"Sooranad North","","","","","1","1","4942","4942","0","100.00"
