"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aimanam (CT)","","","","","1","17","6790","6790","0","100.00"
"Akalakunnam","","","","","1","14","5222","5222","0","100.00"
"Anikkad","","","","","1","12","3416","3416","0","100.00"
"Arpookara","","","","","1","12","4440","4440","0","100.00"
"Athirampuzha (CT)","","","","","1","18","5333","5333","0","100.00"
"Ayarkunnam","","","","","1","10","3371","3371","0","100.00"
"Bharananganam","","","","","1","13","3935","3935","0","100.00"
"Changanassery (Part)","","","","","1","3","2080","2080","0","100.00"
"Chempu","","","","","1","11","5200","5200","0","100.00"
"Chengalam East","","","","","1","9","2777","2777","0","100.00"
"Chengalam South (CT)","","","","","1","7","2400","2400","0","100.00"
"Cheruvally","","","","","1","2","466","466","0","100.00"
"Chethipuzha (CT)","","","","","1","11","8034","8034","0","100.00"
"Chirakkadavu","","","","","1","15","5174","5174","0","100.00"
"Edakkunnam","","","","","1","13","3083","3083","0","100.00"
"Elackad","","","","","1","16","4334","4334","0","100.00"
"Elamgulam","","","","","1","13","3850","3850","0","100.00"
"Elikkulam","","","","","1","16","4428","4428","0","100.00"
"Erattupetta (CT)","","","","","1","10","3455","3455","0","100.00"
"Erumeli North","","","","","1","15","3500","3500","0","100.00"
"Erumeli South","","","","","1","16","3641","3641","0","100.00"
"Ettumanoor (CT)","","","","","1","12","5760","5760","0","100.00"
"Kadanad","","","","","1","15","4469","4469","0","100.00"
"Kaduthuruthy","","","","","1","9","5409","5409","0","100.00"
"Kaipuzha","","","","","1","5","3775","3775","0","100.00"
"Kallara","","","","","1","10","4502","4502","0","100.00"
"Kanakkari","","","","","1","12","5613","5613","0","100.00"
"Kangazha","","","","","1","9","6410","6410","0","100.00"
"Kanjirappally","","","","","1","15","5312","5312","0","100.00"
"Karukachal","","","","","1","12","7689","7689","0","100.00"
"Kidangoor","","","","","1","17","5154","5154","0","100.00"
"Kondoor","","","","","1","14","4129","4129","0","100.00"
"Kooroppada","","","","","1","17","5098","5098","0","100.00"
"Koottickal","","","","","1","16","3859","3859","0","100.00"
"Koovappally","","","","","1","15","3727","3727","0","100.00"
"Kothanalloor","","","","","1","6","3980","3980","0","100.00"
"Kulasekharamangalam","","","","","1","12","5369","5369","0","100.00"
"Kumarakam","","","","","1","12","4402","4402","0","100.00"
"Kuravilangad","","","","","1","10","5060","5060","0","100.00"
"Kurichithanam","","","","","1","1","525","525","0","100.00"
"Kurichy","","","","","1","15","8999","8999","0","100.00"
"Lalam (Part)","","","","","1","4","1351","1351","0","100.00"
"Madappally","","","","","1","16","8368","8368","0","100.00"
"Manarcad","","","","","1","19","6619","6619","0","100.00"
"Manimala","","","","","1","11","8467","8467","0","100.00"
"Manjoor","","","","","1","9","5120","5120","0","100.00"
"Meenachil (Part)","","","","","1","13","3741","3741","0","100.00"
"Meenadam","","","","","1","5","1656","1656","0","100.00"
"Melukavu","","","","","1","14","3717","3717","0","100.00"
"Monippally","","","","","1","13","3934","3934","0","100.00"
"Moonilavu","","","","","1","14","3934","3934","0","100.00"
"Mulakulam","","","","","1","13","5363","5363","0","100.00"
"Mundakayam","","","","","1","15","3715","3715","0","100.00"
"Muttampalam (Part)","","","","","1","1","300","300","0","100.00"
"Muttuchira","","","","","1","7","3050","3050","0","100.00"
"Naduvile (Part)","","","","","1","4","2233","2233","0","100.00"
"Nattakam (CT)","","","","","1","1","9771","9771","0","100.00"
"Nedumkunnam","","","","","1","15","4721","4721","0","100.00"
"Njeezhoor","","","","","1","11","5622","5622","0","100.00"
"Onamthuruth","","","","","1","9","5544","5544","0","100.00"
"Paippad (CT)","","","","","1","10","4718","4718","0","100.00"
"Pampady","","","","","1","15","4825","4825","0","100.00"
"Panachikkad (CT)","","","","","1","18","5760","5760","0","100.00"
"Peroor","","","","","1","8","3520","3520","0","100.00"
"Perumbaikad (CT)","","","","","1","1","10580","10580","0","100.00"
