"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Arikkulam (Part)","","","","","1","1","6298","6298","0","100.00"
"Atholi (CT)","","","","","1","1","4500","4500","0","100.00"
"Avitanallur","","","","","1","1","3500","3500","0","100.00"
"Ayancheri (CT)","","","","","1","1","6984","6984","0","100.00"
"Azhiyur (CT)","","","","","1","1","8267","8267","0","100.00"
"Balusseri (CT)","","","","","1","1","6500","6500","0","100.00"
"Beypore (CT)","","","","","1","1","14040","14040","0","100.00"
"Chakkittapara","","","","","1","1","5445","5445","0","100.00"
"Changaroth","","","","","1","1","3940","3940","0","100.00"
"Chathamangalam","","","","","1","1","2369","2369","0","100.00"
"Chekkiad (CT)","","","","","1","1","4598","4598","0","100.00"
"Chelannur (CT)","","","","","1","1","3500","3500","0","100.00"
"Chemancheri (CT)","","","","","1","1","4563","4563","0","100.00"
"Chempanoda","","","","","1","1","1429","1429","0","100.00"
"Chengottukavu","","","","","1","2","5946","5946","0","100.00"
"Cheruvannur","","","","","1","1","5537","5537","0","100.00"
"Cheruvannur (CT)","","","","","1","1","12325","12325","0","100.00"
"Chorode (CT)","","","","","1","1","7568","7568","0","100.00"
"Edacheri (CT)","","","","","1","1","3298","3298","0","100.00"
"Elathur (OG)","","","","","1","1","9861","9861","0","100.00"
"Engapuzha","","","","","1","1","750","750","0","100.00"
"Eramala (CT)","","","","","1","1","9651","9651","0","100.00"
"Eravattur (CT)","","","","","1","1","3929","3929","0","100.00"
"Feroke (CT)","","","","","1","1","6720","6720","0","100.00"
"Iringal (CT)","","","","","1","1","6052","6052","0","100.00"
"Kadalundi (OG)","","","","","1","1","8656","8656","0","100.00"
"Kakkad","","","","","1","1","6524","6524","0","100.00"
"Kakkodi (CT)","","","","","1","1","10166","10166","0","100.00"
"Kakkur","","","","","1","1","2400","2400","0","100.00"
"Kanthalad","","","","","1","1","1456","1456","0","100.00"
"Karuvanthuruthy (CT)","","","","","1","1","4591","4591","0","100.00"
"Kavilumpara","","","","","1","1","4855","4855","0","100.00"
"Kayakkodi","","","","","1","1","5867","5867","0","100.00"
"Kayanna","","","","","1","1","2250","2250","0","100.00"
"Kedavur","","","","","1","1","8219","8219","0","100.00"
"Keezhariyur (CT)","","","","","1","1","3580","3580","0","100.00"
"Kinalur","","","","","1","1","4250","4250","0","100.00"
"Kizhakkoth","","","","","1","1","6201","6201","0","100.00"
"Kodencheri","","","","","1","1","2698","2698","0","100.00"
"Kodiyathur","","","","","1","1","7500","7500","0","100.00"
"Koduvally (OG)","","","","","1","1","6730","6730","0","100.00"
"Koodaranji","","","","","1","1","7001","7001","0","100.00"
