"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adat (CT)","","","","","1","3","4892","4892","0","100.00"
"Akathiyoor (CT)","","","","","1","1","1447","1447","0","100.00"
"Ala (CT)","","","","","1","1","14","14","0","100.00"
"Alappad","","","","","1","3","1890","1890","0","100.00"
"Alathur","","","","","1","6","10123","10123","0","100.00"
"Alur","","","","","1","1","16","16","0","100.00"
"Alur (CT)","","","","","1","9","3408","3408","0","100.00"
"Amballur (CT)","","","","","1","14","3444","3444","0","100.00"
"Anandapuram","","","","","1","3","3174","3174","0","100.00"
"Anjur (CT)","","","","","1","4","395","395","0","100.00"
"Annakara","","","","","1","4","434","434","0","100.00"
"Annallur","","","","","1","1","8","8","0","100.00"
"Anthicad (CT)","","","","","1","6","2086","2086","0","100.00"
"Arangottukara","","","","","1","1","509","509","0","100.00"
"Arattupuzha","","","","","1","3","2686","2686","0","100.00"
"Attoor","","","","","1","4","2971","2971","0","100.00"
"Avanur (CT)","","","","","1","3","322","322","0","100.00"
"Avinissery (CT)","","","","","1","1","3198","3198","0","100.00"
"Azhikode","","","","","1","2","4632","4632","0","100.00"
"Brahmakulam (CT)","","","","","1","1","3469","3469","0","100.00"
"Chalakkal","","","","","1","2","1845","1845","0","100.00"
"Chazhoor","","","","","1","3","2154","2154","0","100.00"
"Chelakkara (CT)","","","","","1","4","605","605","0","100.00"
"Chelakode","","","","","1","2","309","309","0","100.00"
"Chemmanthatta","","","","","1","4","427","427","0","100.00"
"Chendrappini (CT)","","","","","1","8","1410","1410","0","100.00"
"Chengallur","","","","","1","5","4283","4283","0","100.00"
"Cherpu (CT)","","","","","1","3","4197","4197","0","100.00"
"Cheruthuruthi (CT)","","","","","1","6","902","902","0","100.00"
"Chevvoor (CT)","","","","","1","1","3887","3887","0","100.00"
"Chiramanangad (CT)","","","","","1","4","1960","1960","0","100.00"
"Chiranellur (CT)","","","","","1","4","397","397","0","100.00"
"Chittanda (CT)","","","","","1","3","1513","1513","0","100.00"
"Chittilappilly (CT)","","","","","1","3","7048","7048","0","100.00"
"Choolissery (CT)","","","","","1","2","1065","1065","0","100.00"
"Choondal (CT)","","","","","1","6","1676","1676","0","100.00"
"Chowwannur(Part)","","","","","1","5","861","861","0","100.00"
"Desamangalam (CT)","","","","","1","4","2683","2683","0","100.00"
"Edakkalathur (CT)","","","","","1","4","4680","4680","0","100.00"
"Edakkazhiyur (CT)","","","","","1","7","554","554","0","100.00"
"Edathirinji (CT)","","","","","1","5","3172","3172","0","100.00"
"Edathiruthy (CT)","","","","","1","6","3800","3800","0","100.00"
"Edavilangu (CT)","","","","","1","1","4995","4995","0","100.00"
"Elanad","","","","","1","4","630","630","0","100.00"
"Elanjipra","","","","","1","2","5314","5314","0","100.00"
"Elavally (CT)","","","","","1","6","6738","6738","0","100.00"
"Engandiyur","","","","","1","12","7818","7818","0","100.00"
"Enkakkad (CT)","","","","","1","3","1823","1823","0","100.00"
"Eranellur (CT)","","","","","1","4","1481","1481","0","100.00"
"Eravu (CT)","","","","","1","2","185","185","0","100.00"
"Eriyad (OG)","","","","","1","1","6334","6334","0","100.00"
"Eyyal (CT)","","","","","1","3","1590","1590","0","100.00"
"Inchamudi","","","","","1","1","893","893","0","100.00"
"Irimbranallur","","","","","1","2","192","192","0","100.00"
"Iringaprom (CT)","","","","","1","1","3029","3029","0","100.00"
"Irinjalakuda (Part)","","","","","1","1","559","559","0","100.00"
"Kadangode","","","","","1","4","397","397","0","100.00"
"Kadappuram","","","","","1","12","1163","1163","0","100.00"
"Kadavallur (CT)","","","","","1","6","1672","1672","0","100.00"
"Kadikkad (CT)","","","","","1","8","639","639","0","100.00"
"Kaduppassery","","","","","1","3","1972","1972","0","100.00"
"Kainoor (CT)","","","","","1","2","1069","1069","0","100.00"
"Kaipamangalam (CT)","","","","","1","17","6459","6459","0","100.00"
"Kaiparamba (CT)","","","","","1","3","145","145","0","100.00"
"Kakkulissery","","","","","1","6","5478","5478","0","100.00"
"Kallettumkara (CT)","","","","","1","3","4963","4963","0","100.00"
"Kallur","","","","","1","10","5879","5879","0","100.00"
"Kallur Thekkummuri (CT)","","","","","1","8","4804","4804","0","100.00"
"Kallur Vadakkummuri (CT)","","","","","1","1","6399","6399","0","100.00"
"Kandanassery (CT)","","","","","1","6","1653","1653","0","100.00"
"Kanipayyur (Part)","","","","","1","1","88","88","0","100.00"
"Kaniyarkode (CT)","","","","","1","6","848","848","0","100.00"
"Kanjirakode","","","","","1","2","229","229","0","100.00"
"Karalam (Part)","","","","","1","9","3532","3532","0","100.00"
"Karamuck (CT)","","","","","1","7","2653","2653","0","100.00"
"Karikkad (CT)","","","","","1","5","1563","1563","0","100.00"
"Kariyannur (CT)","","","","","1","3","313","313","0","100.00"
"Karumathara","","","","","1","1","1505","1505","0","100.00"
"Karumathra","","","","","1","2","868","868","0","100.00"
"Kattakampal (CT)","","","","","1","6","635","635","0","100.00"
"Kattur (CT)","","","","","1","10","3603","3603","0","100.00"
"Killannur (CT)","","","","","1","10","1005","1005","0","100.00"
"Killimangalam","","","","","1","5","722","722","0","100.00"
"Kiralur","","","","","1","1","107","107","0","100.00"
"Kizhakkummuri","","","","","1","7","11958","11958","0","100.00"
"Kizhakkummuri (CT)","","","","","1","3","981","981","0","100.00"
"Kizhuppillikkara (CT)","","","","","1","2","2633","2633","0","100.00"
"Kodakara","","","","","1","15","6034","6034","0","100.00"
"Kodannur (CT)","","","","","1","4","2278","2278","0","100.00"
"Kodassery","","","","","1","1","37","37","0","100.00"
"Kolazhy (CT)","","","","","1","1","2957","2957","0","100.00"
"Kondazhy","","","","","1","5","802","802","0","100.00"
"Koolimuttam","","","","","1","7","2506","2506","0","100.00"
"Koratty (CT)","","","","","1","1","4575","4575","0","100.00"
"Kottanellur","","","","","1","3","1879","1879","0","100.00"
"Kottappuram (CT)","","","","","1","3","308","308","0","100.00"
"Kozhukkully (CT)","","","","","1","3","2190","2190","0","100.00"
"Kumaranellur (CT)","","","","","1","3","318","318","0","100.00"
"Kundazhiyur","","","","","1","6","5034","5034","0","100.00"
"Kurichikkara (CT)","","","","","1","3","268","268","0","100.00"
"Kurumala","","","","","1","2","320","320","0","100.00"
"Kurumpilavu (CT)","","","","","1","7","1868","1868","0","100.00"
"Kuruvilassery","","","","","1","1","20","20","0","100.00"
"Kuttichira","","","","","1","8","4668","4668","0","100.00"
"Kuttoor (CT)","","","","","1","6","2546","2546","0","100.00"
"Madakkathara","","","","","1","7","3866","3866","0","100.00"
"Madathumpady (CT)","","","","","1","1","10","10","0","100.00"
"Madayikonam (CT)","","","","","1","6","4872","4872","0","100.00"
"Manakkody (CT)","","","","","1","3","300","300","0","100.00"
"Manalithara","","","","","1","4","2058","2058","0","100.00"
"Manalur (CT)","","","","","1","10","3540","3540","0","100.00"
"Manavalassery (CT)","","","","","1","1","10","10","0","100.00"
"Mangad (Part)","","","","","1","3","300","300","0","100.00"
"Mannamangalam","","","","","1","4","1874","1874","0","100.00"
"Marathakkara (CT)","","","","","1","1","3604","3604","0","100.00"
"Mattathur","","","","","1","13","3033","3033","0","100.00"
"Mayannur","","","","","1","4","624","624","0","100.00"
"Melur","","","","","1","11","7967","7967","0","100.00"
"Methala (CT)","","","","","1","1","9397","9397","0","100.00"
"Minalur (CT)","","","","","1","3","319","319","0","100.00"
"Mulayam","","","","","1","4","1610","1610","0","100.00"
"Mullassery (CT)","","","","","1","7","8815","8815","0","100.00"
"Mullurkara","","","","","1","6","2249","2249","0","100.00"
"Mundathikode (CT)","","","","","1","3","325","325","0","100.00"
"Mupliyam","","","","","1","5","5228","5228","0","100.00"
"Muringur Vadakkummuri (CT)","","","","","1","1","1278","1278","0","100.00"
"Muriyad","","","","","1","4","5875","5875","0","100.00"
"Nadathara (CT)","","","","","1","1","2871","2871","0","100.00"
"Nandipulam","","","","","1","2","320","320","0","100.00"
"Nattika","","","","","1","11","4285","4285","0","100.00"
"Nedumpura (CT)","","","","","1","7","2729","2729","0","100.00"
"Nellayi","","","","","1","5","2277","2277","0","100.00"
"Nelluwaya (CT)","","","","","1","3","1241","1241","0","100.00"
"Nenmenikkara (CT)","","","","","1","1","9400","9400","0","100.00"
"Oorakam (CT)","","","","","1","6","3337","3337","0","100.00"
"Orumanayur (CT)","","","","","1","11","945","945","0","100.00"
"Padinjare Vemballur","","","","","1","5","2439","2439","0","100.00"
"Padiyam (CT)","","","","","1","6","2666","2666","0","100.00"
"Padiyur (CT)","","","","","1","4","2227","2227","0","100.00"
"Painkulam","","","","","1","5","776","776","0","100.00"
"Palissery (CT)","","","","","1","1","1915","1915","0","100.00"
"Pallippuram","","","","","1","1","560","560","0","100.00"
"Pallippuram (CT)","","","","","1","1","7","7","0","100.00"
"Pallur","","","","","1","4","412","412","0","100.00"
"Paluvai (CT)","","","","","1","1","2128","2128","0","100.00"
"Pampady","","","","","1","2","310","310","0","100.00"
"Pananchery","","","","","1","8","4637","4637","0","100.00"
"Panangad (CT)","","","","","1","7","2951","2951","0","100.00"
"Pangarappilly","","","","","1","2","321","321","0","100.00"
"Panjal","","","","","1","3","467","467","0","100.00"
"Pappinivattom (CT)","","","","","1","8","2951","2951","0","100.00"
"Parakkad (CT)","","","","","1","4","400","400","0","100.00"
"Paralam (CT)","","","","","1","4","1655","1655","0","100.00"
"Parappukkara (CT)","","","","","1","6","9922","9922","0","100.00"
"Pariyaram","","","","","1","23","7965","7965","0","100.00"
"Parlikad","","","","","1","2","201","201","0","100.00"
"Pavaratty (CT)","","","","","1","1","2790","2790","0","100.00"
"Pazhanji (CT)","","","","","1","7","1733","1733","0","100.00"
"Pazhayannur","","","","","1","7","1108","1108","0","100.00"
"Peechi","","","","","1","10","4261","4261","0","100.00"
"Perakam (CT)","","","","","1","1","2895","2895","0","100.00"
"Peramangalam (CT)","","","","","1","6","4773","4773","0","100.00"
"Peringandoor (CT)","","","","","1","2","208","208","0","100.00"
"Perinjanam (CT)","","","","","1","12","4321","4321","0","100.00"
"Perumpilavu","","","","","1","5","1524","1524","0","100.00"
"Pilakkad","","","","","1","2","218","218","0","100.00"
"Pookode (CT)","","","","","1","1","2155","2155","0","100.00"
"Poomangalam (CT)","","","","","1","10","2762","2762","0","100.00"
"Porathissery (CT)","","","","","1","8","2828","2828","0","100.00"
"Porkulam (CT)","","","","","1","4","2600","2600","0","100.00"
"Pottore (CT)","","","","","1","1","1948","1948","0","100.00"
"Poyya (CT)","","","","","1","6","8898","8898","0","100.00"
"Pulakode","","","","","1","2","317","317","0","100.00"
"Pullu","","","","","1","1","213","213","0","100.00"
"Pullur (CT)","","","","","1","6","3784","3784","0","100.00"
"Punnayur (CT)","","","","","1","9","2030","2030","0","100.00"
"Punnayurkulam (CT)","","","","","1","8","9628","9628","0","100.00"
"Puranattukara (CT)","","","","","1","1","2631","2631","0","100.00"
"Puthenchira","","","","","1","11","9880","9880","0","100.00"
"Puthukkad (CT)","","","","","1","1","3120","3120","0","100.00"
"Puthur (CT)","","","","","1","6","1962","1962","0","100.00"
"Puthuruthy","","","","","1","2","200","200","0","100.00"
"Puzhakkal (CT)","","","","","1","3","1637","1637","0","100.00"
"Talikkulam (CT)","","","","","1","13","5971","5971","0","100.00"
"Thaikkad (CT)","","","","","1","1","1544","1544","0","100.00"
"Thalassery","","","","","1","2","207","207","0","100.00"
"Thangalur (CT)","","","","","1","5","857","857","0","100.00"
"Thanniyam (CT)","","","","","1","8","3468","3468","0","100.00"
"Thayyur","","","","","1","2","200","200","0","100.00"
"Thazhekkad","","","","","1","6","10398","10398","0","100.00"
"Thekkumkara","","","","","1","14","1450","1450","0","100.00"
"Thekkumkara (CT)","","","","","1","2","3833","3833","0","100.00"
"Thichur","","","","","1","4","1339","1339","0","100.00"
"Thirumukkulam","","","","","1","1","45","45","0","100.00"
"Thiruvilwamala","","","","","1","5","774","774","0","100.00"
"Tholur (CT)","","","","","1","3","3042","3042","0","100.00"
"Thonnurkara","","","","","1","3","455","455","0","100.00"
"Thottippal","","","","","1","4","2364","2364","0","100.00"
"Trikkur (CT)","","","","","1","5","485","485","0","100.00"
"Vadakkekad (CT)","","","","","1","8","4021","4021","0","100.00"
"Vadakkethara","","","","","1","4","671","671","0","100.00"
"Vadakkumbhagom","","","","","1","4","2636","2636","0","100.00"
"Vadakkumkara (CT)","","","","","1","4","4809","4809","0","100.00"
"Vadakkummuri (CT)","","","","","1","5","935","935","0","100.00"
"Vadama (CT)","","","","","1","5","9364","9364","0","100.00"
"Vadanappally (CT)","","","","","1","14","8744","8744","0","100.00"
"Valappad","","","","","1","17","7678","7678","0","100.00"
"Vallachira (CT)","","","","","1","1","3167","3167","0","100.00"
"Vallivattom","","","","","1","4","3078","3078","0","100.00"
"Varandarappilly","","","","","1","12","10029","10029","0","100.00"
"Varavoor","","","","","1","4","866","866","0","100.00"
"Velappaya","","","","","1","2","847","847","0","100.00"
"Vellanikkara (CT)","","","","","1","2","140","140","0","100.00"
"Vellarakkad","","","","","1","3","305","305","0","100.00"
"Vellattanjur","","","","","1","3","301","301","0","100.00"
"Vellikulangara","","","","","1","7","15058","15058","0","100.00"
"Vellookkara (CT)","","","","","1","4","3971","3971","0","100.00"
"Velur (CT)","","","","","1","6","1639","1639","0","100.00"
"Veluthur (CT)","","","","","1","4","402","402","0","100.00"
"Venganellur","","","","","1","5","778","778","0","100.00"
"Venginissery (CT)","","","","","1","3","1239","1239","0","100.00"
"Venkitangu (CT)","","","","","1","6","7293","7293","0","100.00"
"Venmanad (CT)","","","","","1","1","1812","1812","0","100.00"
"Vennur","","","","","1","1","162","162","0","100.00"
"Viruppakka","","","","","1","1","101","101","0","100.00"
"Vylathur (CT)","","","","","1","5","410","410","0","100.00"
"Wadakkanchery (CT)","","","","","1","8","1850","1850","0","100.00"
"Total","0","0","0","0","227","1,053","6,03,301","6,03,301","0",""
