"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adhur","","","","","1","6","1956","1956","0","100.00"
"Adoor","","","","","1","9","2918","2918","0","100.00"
"Ajanur (CT)","","","","","1","14","2234","2234","0","100.00"
"Ambalathara","","","","","1","5","1968","1968","0","100.00"
"Angadimogaru","","","","","1","1","329","329","0","100.00"
"Arikady","","","","","1","3","969","969","0","100.00"
"Badaje","","","","","1","4","1239","1239","0","100.00"
"Badiyadka","","","","","1","5","1551","1551","0","100.00"
"Badoor","","","","","1","3","913","913","0","100.00"
"Balal","","","","","1","5","1931","1931","0","100.00"
"Bandadka","","","","","1","4","1290","1290","0","100.00"
"Bangra Manjeshwar (CT)","","","","","1","1","1041","1041","0","100.00"
"Bare (CT)","","","","","1","5","2028","2028","0","100.00"
"Bayar","","","","","1","6","1769","1769","0","100.00"
"Bedadka","","","","","1","6","1904","1904","0","100.00"
"Bekoor","","","","","1","1","326","326","0","100.00"
"Bela","","","","","1","4","1240","1240","0","100.00"
"Bellur","","","","","1","4","1322","1322","0","100.00"
"Bellur","","","","","1","3","2065","2065","0","100.00"
"Bheemanady","","","","","1","8","2610","2610","0","100.00"
"Bombrana","","","","","1","1","324","324","0","100.00"
"Cheemeni","","","","","1","4","1286","1286","0","100.00"
"Cheemeni II","","","","","1","1","310","310","0","100.00"
"Chemnad (CT)","","","","","1","5","1664","1664","0","100.00"
"Chengala (CT)","","","","","1","5","1633","1633","0","100.00"
"Cheruvathur (OG)","","","","","1","1","5868","5868","0","100.00"
"Chippar","","","","","1","1","325","325","0","100.00"
"Chithari","","","","","1","6","2309","2309","0","100.00"
"Chittarikkal","","","","","1","7","2169","2169","0","100.00"
"Delampady","","","","","1","3","919","919","0","100.00"
"Edanad","","","","","1","1","345","345","0","100.00"
"Enmakaje","","","","","1","6","1912","1912","0","100.00"
"Heroor","","","","","1","1","359","359","0","100.00"
"Hosabettu (CT)","","","","","1","1","927","927","0","100.00"
"Ichilampady","","","","","1","1","324","324","0","100.00"
"Ichilangod","","","","","1","1","288","288","0","100.00"
