"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achooranam","","","","","1","5","2402","2402","0","100.00"
"Ambalavayal","","","","","1","7","5686","5686","0","100.00"
"Anchukunnu","","","","","1","10","4565","4565","0","100.00"
"Cheeral","","","","","1","7","5598","5598","0","100.00"
"Cherukottur","","","","","1","4","1816","1816","0","100.00"
"Chundale","","","","","1","5","2400","2400","0","100.00"
"Edavaka","","","","","1","7","3178","3178","0","100.00"
"Irulam","","","","","1","9","7110","7110","0","100.00"
"Kaniambetta","","","","","1","22","10450","10450","0","100.00"
"Kanjirangad","","","","","1","6","2740","2740","0","100.00"
"Kavumannam","","","","","1","8","3792","3792","0","100.00"
"Kidanganad","","","","","1","6","4740","4740","0","100.00"
"Kottappadi (Part)","","","","","1","10","4765","4765","0","100.00"
"Kottathara","","","","","1","11","5204","5204","0","100.00"
"Krishnagiri","","","","","1","6","4770","4770","0","100.00"
"Kunnathidavaka","","","","","1","5","2400","2400","0","100.00"
"Kuppadi","","","","","1","11","8591","8591","0","100.00"
"Kuppadithara","","","","","1","5","2400","2400","0","100.00"
"Mananthavady","","","","","1","14","6188","6188","0","100.00"
"Muppainad","","","","","1","12","5699","5699","0","100.00"
"Muttil North","","","","","1","6","2826","2826","0","100.00"
"Muttil South","","","","","1","9","4311","4311","0","100.00"
"Nadavayal","","","","","1","7","5456","5456","0","100.00"
"Nalloornad","","","","","1","6","2760","2760","0","100.00"
"Nenmeni","","","","","1","11","8629","8629","0","100.00"
"Noolpuzha","","","","","1","5","3925","3925","0","100.00"
"Padichira","","","","","1","15","11700","11700","0","100.00"
"Padinharethara","","","","","1","7","3290","3290","0","100.00"
"Panamaram","","","","","1","6","2676","2676","0","100.00"
"Payyampally","","","","","1","5","2245","2245","0","100.00"
"Periya","","","","","1","5","2270","2270","0","100.00"
"Poothadi","","","","","1","8","6256","6256","0","100.00"
"Porunnanore","","","","","1","9","4050","4050","0","100.00"
"Pozhuthana","","","","","1","5","2527","2527","0","100.00"
"Pulpalli","","","","","1","14","11060","11060","0","100.00"
"Purakkadi","","","","","1","9","7177","7177","0","100.00"
"Sulthanbathery","","","","","1","9","7116","7116","0","100.00"
"Thariyode","","","","","1","2","938","938","0","100.00"
"Thavinhal","","","","","1","7","3178","3178","0","100.00"
"Thirunelly","","","","","1","6","2730","2730","0","100.00"
"Thomattuchal","","","","","1","8","6336","6336","0","100.00"
"Thondernad","","","","","1","5","2486","2486","0","100.00"
"Thrikkaipatta (Part)","","","","","1","4","1920","1920","0","100.00"
"Thrissilery","","","","","1","7","3178","3178","0","100.00"
"Valat","","","","","1","5","2270","2270","0","100.00"
"Vellamunda","","","","","1","7","3227","3227","0","100.00"
"Vellarimala","","","","","1","3","1419","1419","0","100.00"
"Vengappally","","","","","1","10","4882","4882","0","100.00"
"Total","0","0","0","0","48","370","2,15,332","2,15,332","0",""
