MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH
32,KERALA,597,Kottayam,5671,Changanassery,628182,Vazhappally Padinjaru (Part),2329,2329
32,KERALA,597,Kottayam,5671,Changanassery,628183,Changanassery (Part),2080,2080
32,KERALA,597,Kottayam,5671,Changanassery,628185,Thottackad,3520,3520
32,KERALA,597,Kottayam,5671,Changanassery,628189,Kangazha,6410,6410
32,KERALA,597,Kottayam,5671,Changanassery,628190,Vellavoor,9513,9513
32,KERALA,597,Kottayam,5671,Changanassery,628191,Chethipuzha (CT),8034,8034
32,KERALA,597,Kottayam,5671,Changanassery,628193,Paippad (CT),4718,4718
32,KERALA,597,Kottayam,5672,Kanjirappally,628201,Cheruvally,466,466
32,KERALA,597,Kottayam,5672,Kanjirappally,628205,Manimala,8467,8467
32,KERALA,598,Alappuzha,5673,Cherthala,628206,Perumbalam,9508,9508
32,KERALA,598,Alappuzha,5673,Cherthala,628207,Panavally,9132,9132
32,KERALA,598,Alappuzha,5673,Cherthala,628208,Thuravoor Thekku,2021,2021
32,KERALA,598,Alappuzha,5673,Cherthala,628209,Pattanakkad,10234,10234
32,KERALA,598,Alappuzha,5673,Cherthala,628210,Kadakkarappally,12232,12232
32,KERALA,598,Alappuzha,5673,Cherthala,628211,Cherthala North (Part),23981,23981
32,KERALA,598,Alappuzha,5673,Cherthala,628212,Cherthala South (Part),13805,13805
32,KERALA,598,Alappuzha,5673,Cherthala,628213,Mararikkulam North,13700,13700
32,KERALA,598,Alappuzha,5673,Cherthala,628214,Arookutty (CT),4440,4440
32,KERALA,598,Alappuzha,5673,Cherthala,628215,Aroor (CT),9456,9456
32,KERALA,598,Alappuzha,5673,Cherthala,628216,Ezhupunna (CT),12250,12250
32,KERALA,598,Alappuzha,5673,Cherthala,628217,Kodamthuruth (CT),9890,9890
32,KERALA,598,Alappuzha,5673,Cherthala,628218,Thaikattussery (CT),19358,19358
32,KERALA,598,Alappuzha,5673,Cherthala,628219,Kuthiathode (CT),2242,2242
32,KERALA,598,Alappuzha,5673,Cherthala,628220,Vayalar (CT),6172,6172
32,KERALA,598,Alappuzha,5673,Cherthala,628221,Pallippuram (CT),9280,9280
32,KERALA,598,Alappuzha,5673,Cherthala,628222,Thanneermukkam (CT),7962,7962
32,KERALA,598,Alappuzha,5673,Cherthala,628223,Kokkothamangalam (CT),4207,4207
32,KERALA,598,Alappuzha,5673,Cherthala,628224,Kanjikkuzhi (CT),6020,6020
32,KERALA,598,Alappuzha,5673,Cherthala,628225,Muhamma (CT),6450,6450
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628226,Kalavoor,10800,10800
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628227,Aryad South (Part) (UI),7350,7350
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628228,Mullakkal (Part) ,10,10
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628229,Ambalappuzha,20551,20551
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628230,Karumady  ,22,22
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628231,Purakkad,19271,19271
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628232,Mannanchery (CT),16432,16432
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628233,Pathirappally (CT),26184,26184
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628234,Komalapuram (CT),11746,11746
32,KERALA,598,Alappuzha,5674,Ambalappuzha,628235,Punnapra (OG),8952,8952
32,KERALA,598,Alappuzha,5674,Ambalappuzha,645603,Kalarkode (OG) (Part),6847,6847
32,KERALA,598,Alappuzha,5675,Kuttanad,628236,Kainakary North,3530,3530
32,KERALA,598,Alappuzha,5675,Kuttanad,628237,Kainakary South,3349,3349
32,KERALA,598,Alappuzha,5675,Kuttanad,628238,Pulinkunnu,3004,3004
32,KERALA,598,Alappuzha,5675,Kuttanad,628239,Kunnumma,1526,1526
32,KERALA,598,Alappuzha,5675,Kuttanad,628240,Kavalam,3019,3019
32,KERALA,598,Alappuzha,5675,Kuttanad,628241,Neelamperoor,980,980
32,KERALA,598,Alappuzha,5675,Kuttanad,628242,Veliyanad,3598,3598
32,KERALA,598,Alappuzha,5675,Kuttanad,628243,Ramankary,3515,3515
32,KERALA,598,Alappuzha,5675,Kuttanad,628244,Champakkulam,5289,5289
32,KERALA,598,Alappuzha,5675,Kuttanad,628245,Nedumudi,9594,9594
32,KERALA,598,Alappuzha,5675,Kuttanad,628246,Thakazhy,16800,16800
32,KERALA,598,Alappuzha,5675,Kuttanad,628247,Edathua  ,18,18
32,KERALA,598,Alappuzha,5675,Kuttanad,628248,Muttar,1721,1721
32,KERALA,598,Alappuzha,5675,Kuttanad,628249,Thalavady ,16,16
32,KERALA,598,Alappuzha,5676,Karthikappally,628250,Karuvatta,3985,3985
32,KERALA,598,Alappuzha,5676,Karthikappally,628251,Cheruthana,4026,4026
32,KERALA,598,Alappuzha,5676,Karthikappally,628252,Veeyapuram,5190,5190
32,KERALA,598,Alappuzha,5676,Karthikappally,628253,Pallippad,4009,4009
32,KERALA,598,Alappuzha,5676,Karthikappally,628254,Thrikkunnapuzha,3969,3969
32,KERALA,598,Alappuzha,5676,Karthikappally,628255,Arattupuzha,5657,5657
32,KERALA,598,Alappuzha,5676,Karthikappally,628256,Haripad (CT),2679,2679
32,KERALA,598,Alappuzha,5676,Karthikappally,628257,Kumarapuram (CT),3996,3996
32,KERALA,598,Alappuzha,5676,Karthikappally,628258,Karthikappally (CT),4009,4009
32,KERALA,598,Alappuzha,5676,Karthikappally,628259,Chingoli (CT),3981,3981
32,KERALA,598,Alappuzha,5676,Karthikappally,628260,Cheppad (CT),4031,4031
32,KERALA,598,Alappuzha,5676,Karthikappally,628261,Pathiyoor (CT),4496,4496
32,KERALA,598,Alappuzha,5676,Karthikappally,628262,Keerikkad (CT),3172,3172
