village_code_2011,village_name_2011,state_code_2011,district_code_2011,sub_district_code_2011,village_code_2001,village_name_2001,state_code_2001,district_code_2001,sub_district_code_2001,CEN2001_ID
627058,Vorkady,32,588,5630,300,Vorkady,32,1,1,3201000100000300
627059,Pathur,32,588,5630,400,Pathur,32,1,1,3201000100000400
627060,Kodalamogaru,32,588,5630,500,Kodalamogaru,32,1,1,3201000100000500
627061,Koliyoor,32,588,5630,600,Koliyoor,32,1,1,3201000100000600
627062,Kaliyoor,32,588,5630,700,Kaliyoor,32,1,1,3201000100000700
627063,Talikala,32,588,5630,800,Talikala,32,1,1,3201000100000800
627064,Meenja,32,588,5630,900,Meenja,32,1,1,3201000100000900
627065,Kadambar,32,588,5630,1000,Kadambar,32,1,1,3201000100001000
627066,Moodambail,32,588,5630,1100,Moodambail,32,1,1,3201000100001100
627067,Kuloor,32,588,5630,1200,Kuloor,32,1,1,3201000100001200
627068,Majibail,32,588,5630,1300,Majibail,32,1,1,3201000100001300
627069,Badaje,32,588,5630,1400,Badaje,32,1,1,3201000100001400
627070,Mulinja,32,588,5630,1600,Mulinja,32,1,1,3201000100001600
627071,Kodibail,32,588,5630,1700,Kodibail,32,1,1,3201000100001700
627072,Ichilangod,32,588,5630,2000,Ichilangod,32,1,1,3201000100002000
627073,Heroor,32,588,5630,2100,Heroor,32,1,1,3201000100002100
627074,Kubanoor,32,588,5630,2200,Kubanoor,32,1,1,3201000100002200
627075,Bekoor,32,588,5630,2300,Bekoor,32,1,1,3201000100002300
627076,Kayyar,32,588,5630,2400,Kayyar,32,1,1,3201000100002400
627077,Kudalmarkala,32,588,5630,2500,Kudalmarkala,32,1,1,3201000100002500
627078,Paivalike,32,588,5630,2600,Paivalike,32,1,1,3201000100002600
627079,Chippar,32,588,5630,2700,Chippar,32,1,1,3201000100002700
627080,Bayar,32,588,5630,2800,Bayar,32,1,1,3201000100002800
627081,Badoor,32,588,5630,2900,Badoor,32,1,1,3201000100002900
627082,Angadimogaru,32,588,5630,3000,Angadimogaru,32,1,1,3201000100003000
627083,Mugu,32,588,5630,3100,Mugu,32,1,1,3201000100003100
627084,Maire,32,588,5630,3200,Maire,32,1,1,3201000100003200
627085,Enmakaje,32,588,5630,3300,Enmakaje,32,1,1,3201000100003300
627086,Kattukukke,32,588,5630,3400,Kattukukke,32,1,1,3201000100003400
627087,Padre,32,588,5630,3500,Padre,32,1,1,3201000100003500
627088,Badiyadka,32,588,5630,3600,Badiyadka,32,1,1,3201000100003600
627089,Nirchal,32,588,5630,3700,Nirchal,32,1,1,3201000100003700
627090,Bela,32,588,5630,3800,Bela,32,1,1,3201000100003800
627091,Puthige,32,588,5630,3900,Puthige,32,1,1,3201000100003900
627092,Edanad,32,588,5630,4000,Edanad,32,1,1,3201000100004000
627093,Kannur,32,588,5630,4100,Kannur,32,1,1,3201000100004100
627094,Kidoor,32,588,5630,4200,Kidoor,32,1,1,3201000100004200
627095,Ujarulvar,32,588,5630,4300,Ujarulvar,32,1,1,3201000100004300
627096,Bombrana,32,588,5630,4400,Bombrana,32,1,1,3201000100004400
627097,Arikady,32,588,5630,4500,Arikady,32,1,1,3201000100004500
627098,Ichilampady,32,588,5630,4600,Ichilampady,32,1,1,3201000100004600
627099,Patla,32,588,5630,5200,Patla,32,1,1,3201000100005200
627100,Kalnad,32,588,5630,5300,Kalnad,32,1,1,3201000100005300
627101,Perumbala,32,588,5630,5500,Perumbala,32,1,1,3201000100005500
627102,Thekkil,32,588,5630,5600,Thekkil,32,1,1,3201000100005600
627103,Muttathody,32,588,5630,5700,Muttathody,32,1,1,3201000100005700
627104,Pady,32,588,5630,5900,Pady,32,1,1,3201000100005900
627105,Nekraje,32,588,5630,6000,Nekraje,32,1,1,3201000100006000
627106,Ubrangala,32,588,5630,6100,Ubrangala,32,1,1,3201000100006100
627107,Kumbadaje,32,588,5630,6200,Kumbadaje,32,1,1,3201000100006200
627108,Nettanige,32,588,5630,6300,Nettanige,32,1,1,3201000100006300
627109,Bellur,32,588,5630,6400,Bellur,32,1,1,3201000100006400
627110,Adhur,32,588,5630,6500,Adhur,32,1,1,3201000100006500
627111,Karadka,32,588,5630,6600,Karadka,32,1,1,3201000100006600
627112,Muliyar,32,588,5630,6700,Muliyar,32,1,1,3201000100006700
627113,Kolathur,32,588,5630,6800,Kolathur,32,1,1,3201000100006800
627114,Bedadka,32,588,5630,6900,Bedadka,32,1,1,3201000100006900
627115,Munnad,32,588,5630,7000,Munnad,32,1,1,3201000100007000
627116,Kuttikole,32,588,5630,7100,Kuttikole,32,1,1,3201000100007100
627117,Karivedakam,32,588,5630,7200,Karivedakam,32,1,1,3201000100007200
627118,Bandadka,32,588,5630,7300,Bandadka,32,1,1,3201000100007300
627119,Adoor,32,588,5630,7400,Adoor,32,1,1,3201000100007400
627120,Delampady,32,588,5630,7500,Delampady,32,1,1,3201000100007500
627121,Kunjathur(CT),32,588,5630,100,Kunjathur,32,1,1,3201000100000100
627122,Manjeshwar(CT),32,588,5630,40101000,Manjeshwar(CT),32,1,1,3201000140101000
627123,Hosabettu(CT),32,588,5630,40102000,Hosabettu(CT),32,1,1,3201000140102000
627124,BangraManjeshwar(CT),32,588,5630,40103000,Bangramanjeshwar(CT),32,1,1,3201000140103000
627125,Uppala(CT),32,588,5630,1500,Uppala,32,1,1,3201000100001500
627126,Mangalpady(CT),32,588,5630,1800,Mangalpady,32,1,1,3201000100001800
627127,Shiriya(CT),32,588,5630,1900,Shiriya,32,1,1,3201000100001900
627128,Koipady(CT),32,588,5630,4700,Koipady,32,1,1,3201000100004700
627129,Mogral(CT),32,588,5630,4800,Mogral,32,1,1,3201000100004800
627130,Puthur(CT),32,588,5630,4900,Puthur,32,1,1,3201000100004900
627131,Shiribagilu(CT),32,588,5630,5000,Shiribagilu,32,1,1,3201000100005000
627132,Madhur(CT),32,588,5630,5100,Madhur,32,1,1,3201000100005100
627133,Kudlu(CT),32,588,5630,40104000,Kudlu(CT),32,1,1,3201000140104000
627134,Chengala(CT),32,588,5630,5800,Chengala,32,1,1,3201000100005800
627135,Chemnad(CT),32,588,5630,5400,Chemnad,32,1,1,3201000100005400
627136,PallikkaraII,32,588,5631,7700,PallikkaraII,32,1,2,3201000200007700
